Date,Account,Status
07/28/2022 04:58:16,,Jarvee 3.3.1.1 is now active
07/28/2022 05:03:12,,Jarvee 3.3.1.1 is now active
07/28/2022 23:57:31,,Jarvee 3.3.1.1 is now active
07/29/2022 06:01:37,,Jarvee 3.3.1.1 is now active
07/29/2022 07:32:52,,Jarvee 3.3.1.1 is now active
08/01/2022 14:21:45,,Jarvee 3.3.1.1 is now active
08/08/2022 01:58:19,,Jarvee 3.3.1.1 is now active
09/11/2022 08:49:16,,Jarvee 3.3.1.1 is now active
09/11/2022 09:19:37,Wick_Malaysia_421,Group Joiner - 'Wick_Malaysia_421' -  is active
09/11/2022 09:19:40,Wick_Malaysia_421,Group Joiner - 'Wick_Malaysia_421' - Executing using 'https://www.facebook.com/groups/274912010994483'
09/11/2022 09:20:17,Wick_Malaysia_422,Group Joiner - 'Wick_Malaysia_422' -  is active
09/11/2022 09:20:17,Wick_Malaysia_423,Group Joiner - 'Wick_Malaysia_423' -  is active
09/11/2022 09:20:17,Wick_Malaysia_424,Group Joiner - 'Wick_Malaysia_424' -  is active
09/11/2022 09:20:17,Wick_Malaysia_425,Group Joiner - 'Wick_Malaysia_425' -  is active
09/11/2022 09:20:17,Wick_Malaysia_426,Group Joiner - 'Wick_Malaysia_426' -  is active
09/11/2022 09:20:17,Wick_Malaysia_427,Group Joiner - 'Wick_Malaysia_427' -  is active
09/11/2022 09:20:17,Wick_Malaysia_428,Group Joiner - 'Wick_Malaysia_428' -  is active
09/11/2022 09:20:17,Wick_Malaysia_429,Group Joiner - 'Wick_Malaysia_429' -  is active
09/11/2022 09:20:17,Wick_Malaysia_430,Group Joiner - 'Wick_Malaysia_430' -  is active
09/11/2022 09:20:17,Wick_Malaysia_431,Group Joiner - 'Wick_Malaysia_431' -  is active
09/11/2022 09:20:17,Wick_Malaysia_432,Group Joiner - 'Wick_Malaysia_432' -  is active
09/11/2022 09:20:17,Wick_Malaysia_433,Group Joiner - 'Wick_Malaysia_433' -  is active
09/11/2022 09:20:17,Wick_Malaysia_434,Group Joiner - 'Wick_Malaysia_434' -  is active
09/11/2022 09:20:17,Wick_Malaysia_435,Group Joiner - 'Wick_Malaysia_435' -  is active
09/11/2022 09:20:17,Wick_Malaysia_436,Group Joiner - 'Wick_Malaysia_436' -  is active
09/11/2022 09:20:17,Wick_Malaysia_438,Group Joiner - 'Wick_Malaysia_438' -  is active
09/11/2022 09:20:17,Wick_Malaysia_439,Group Joiner - 'Wick_Malaysia_439' -  is active
09/11/2022 09:20:17,Wick_Malaysia_440,Group Joiner - 'Wick_Malaysia_440' -  is active
09/11/2022 09:20:17,Wick_Malaysia_441,Group Joiner - 'Wick_Malaysia_441' -  is active
09/11/2022 09:20:17,Wick_Malaysia_442,Group Joiner - 'Wick_Malaysia_442' -  is active
09/11/2022 09:20:17,Wick_Malaysia_443,Group Joiner - 'Wick_Malaysia_443' -  is active
09/11/2022 09:20:17,Wick_Malaysia_444,Group Joiner - 'Wick_Malaysia_444' -  is active
09/11/2022 09:20:17,Wick_Malaysia_445,Group Joiner - 'Wick_Malaysia_445' -  is active
09/11/2022 09:20:17,Wick_Malaysia_446,Group Joiner - 'Wick_Malaysia_446' -  is active
09/11/2022 09:20:17,Wick_Malaysia_447,Group Joiner - 'Wick_Malaysia_447' -  is active
09/11/2022 09:20:17,Wick_Malaysia_448,Group Joiner - 'Wick_Malaysia_448' -  is active
09/11/2022 09:20:17,Wick_Malaysia_449,Group Joiner - 'Wick_Malaysia_449' -  is active
09/11/2022 09:20:17,Wick_Malaysia_450,Group Joiner - 'Wick_Malaysia_450' -  is active
09/11/2022 09:20:17,Wick_Malaysia_451,Group Joiner - 'Wick_Malaysia_451' -  is active
09/11/2022 09:20:17,Wick_Malaysia_452,Group Joiner - 'Wick_Malaysia_452' -  is active
09/11/2022 09:20:17,Wick_Malaysia_453,Group Joiner - 'Wick_Malaysia_453' -  is active
09/11/2022 09:20:17,Wick_Malaysia_454,Group Joiner - 'Wick_Malaysia_454' -  is active
09/11/2022 09:20:17,Wick_Malaysia_455,Group Joiner - 'Wick_Malaysia_455' -  is active
09/11/2022 09:20:17,Wick_Malaysia_456,Group Joiner - 'Wick_Malaysia_456' -  is active
09/11/2022 09:20:17,Wick_Malaysia_457,Group Joiner - 'Wick_Malaysia_457' -  is active
09/11/2022 09:20:17,Wick_Malaysia_458,Group Joiner - 'Wick_Malaysia_458' -  is active
09/11/2022 09:20:17,Wick_Malaysia_459,Group Joiner - 'Wick_Malaysia_459' -  is active
09/11/2022 09:20:17,Wick_Malaysia_460,Group Joiner - 'Wick_Malaysia_460' -  is active
09/11/2022 09:20:18,Wick_Malaysia_461,Group Joiner - 'Wick_Malaysia_461' -  is active
09/11/2022 09:20:18,Wick_Malaysia_462,Group Joiner - 'Wick_Malaysia_462' -  is active
09/11/2022 09:20:18,Wick_Malaysia_463,Group Joiner - 'Wick_Malaysia_463' -  is active
09/11/2022 09:20:18,Wick_Malaysia_464,Group Joiner - 'Wick_Malaysia_464' -  is active
09/11/2022 09:20:18,Wick_Malaysia_465,Group Joiner - 'Wick_Malaysia_465' -  is active
09/11/2022 09:20:18,Wick_Malaysia_466,Group Joiner - 'Wick_Malaysia_466' -  is active
09/11/2022 09:20:18,Wick_Malaysia_467,Group Joiner - 'Wick_Malaysia_467' -  is active
09/11/2022 09:20:18,Wick_Malaysia_468,Group Joiner - 'Wick_Malaysia_468' -  is active
09/11/2022 09:20:18,Wick_Malaysia_469,Group Joiner - 'Wick_Malaysia_469' -  is active
09/11/2022 09:20:18,Wick_Malaysia_470,Group Joiner - 'Wick_Malaysia_470' -  is active
09/11/2022 09:20:18,Wick_Malaysia_471,Group Joiner - 'Wick_Malaysia_471' -  is active
09/11/2022 09:20:18,Wick_Malaysia_473,Group Joiner - 'Wick_Malaysia_473' -  is active
09/11/2022 09:20:18,Wick_Malaysia_474,Group Joiner - 'Wick_Malaysia_474' -  is active
