Date,Account,Status
08/27/2022 06:57:41,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' -  is active
08/27/2022 07:24:58,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/212066420463235'
08/27/2022 07:25:59,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 07:51:53,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/709648363099538'
08/27/2022 07:52:53,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 08:18:13,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/502572187046069'
08/27/2022 08:19:23,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 08:48:24,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/symmetrynvrsk'
08/27/2022 08:49:26,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 09:16:57,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/790689328611515'
08/27/2022 09:18:01,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 09:45:55,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/b2binsight'
08/27/2022 09:46:54,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 10:15:02,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/1912206372338659'
08/27/2022 10:16:04,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 10:45:03,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/163902365692265'
08/27/2022 10:46:05,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 11:08:27,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/weeklytorahportion'
08/27/2022 11:09:27,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 11:32:39,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/166880218879212'
08/27/2022 11:33:44,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 12:00:45,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/www.ujjibansociety.org.in'
08/27/2022 12:01:48,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 12:29:25,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/287213075005080'
08/27/2022 12:30:26,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/27/2022 12:59:35,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/pimpedoutfujifilmx'
08/27/2022 13:00:41,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/28/2022 00:19:26,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/363607221918879'
08/28/2022 00:20:28,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
08/28/2022 00:48:23,Noah_Malaysia_2269,Group Joiner - 'Noah_Malaysia_2269' - Executing using 'https://www.facebook.com/groups/296974080964569'
08/28/2022 00:49:23,Noah_Malaysia_2269,Group Joiner - Noah_Malaysia_2269 - Finished operation
