Date,Account,Status
08/11/2022 23:39:29,,Jarvee 3.3.1.1 is now active
08/12/2022 01:10:38,,Jarvee 3.3.1.1 is now active
08/12/2022 01:17:09,,Jarvee 3.3.1.1 is now active
08/12/2022 04:46:13,,Jarvee 3.3.1.1 is now active
08/12/2022 14:18:36,,Jarvee 3.3.1.1 is now active
08/20/2022 04:22:43,,Jarvee 3.3.1.1 is now active
09/28/2022 10:10:10,,Jarvee 3.3.1.1 is now active
09/29/2022 03:32:23,Noah_Malaysia_2579,Group Joiner - 'Noah_Malaysia_2579' -  is active
09/29/2022 03:32:25,Noah_Malaysia_2579,Group Joiner - 'Noah_Malaysia_2579' - Executing using 'https://www.facebook.com/groups/1740610862810023'
09/29/2022 03:32:36,Noah_Malaysia_2521,Group Joiner - 'Noah_Malaysia_2521' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2522,Group Joiner - 'Noah_Malaysia_2522' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2523,Group Joiner - 'Noah_Malaysia_2523' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2524,Group Joiner - 'Noah_Malaysia_2524' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2525,Group Joiner - 'Noah_Malaysia_2525' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2526,Group Joiner - 'Noah_Malaysia_2526' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2527,Group Joiner - 'Noah_Malaysia_2527' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2528,Group Joiner - 'Noah_Malaysia_2528' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2529,Group Joiner - 'Noah_Malaysia_2529' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2530,Group Joiner - 'Noah_Malaysia_2530' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2531,Group Joiner - 'Noah_Malaysia_2531' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2532,Group Joiner - 'Noah_Malaysia_2532' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2533,Group Joiner - 'Noah_Malaysia_2533' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2534,Group Joiner - 'Noah_Malaysia_2534' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2535,Group Joiner - 'Noah_Malaysia_2535' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2536,Group Joiner - 'Noah_Malaysia_2536' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2537,Group Joiner - 'Noah_Malaysia_2537' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2538,Group Joiner - 'Noah_Malaysia_2538' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2539,Group Joiner - 'Noah_Malaysia_2539' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2540,Group Joiner - 'Noah_Malaysia_2540' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2541,Group Joiner - 'Noah_Malaysia_2541' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2542,Group Joiner - 'Noah_Malaysia_2542' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2543,Group Joiner - 'Noah_Malaysia_2543' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2544,Group Joiner - 'Noah_Malaysia_2544' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2545,Group Joiner - 'Noah_Malaysia_2545' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2546,Group Joiner - 'Noah_Malaysia_2546' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2547,Group Joiner - 'Noah_Malaysia_2547' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2548,Group Joiner - 'Noah_Malaysia_2548' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2549,Group Joiner - 'Noah_Malaysia_2549' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2550,Group Joiner - 'Noah_Malaysia_2550' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2551,Group Joiner - 'Noah_Malaysia_2551' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2552,Group Joiner - 'Noah_Malaysia_2552' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2553,Group Joiner - 'Noah_Malaysia_2553' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2554,Group Joiner - 'Noah_Malaysia_2554' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2555,Group Joiner - 'Noah_Malaysia_2555' -  is active
09/29/2022 03:32:36,Noah_Malaysia_2556,Group Joiner - 'Noah_Malaysia_2556' -  is active
