Date,Account,Status
09/13/2022 05:23:24,,Jarvee 3.3.1.1 is now active
09/13/2022 05:35:52,,Jarvee 3.3.1.1 is now active
09/13/2022 23:16:59,,Jarvee 3.3.1.1 is now active
09/13/2022 23:30:44,,Jarvee 3.3.1.1 is now active
09/15/2022 00:58:50,,Jarvee 3.3.1.1 is now active
09/15/2022 01:08:52,Mudha_Brazil1,Group Finder - Mudha_Brazil1 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:08:58,Mudha_Brazil2,Group Finder - Mudha_Brazil2 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:09:04,Mudha_Brazil3,Group Finder - Mudha_Brazil3 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:10:44,Mudha_Brazil3,Group Finder - Mudha_Brazil3 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:10:44,Mudha_France11,Group Finder - Mudha_France11 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:11:39,Mudha_France16,Group Finder - Mudha_France16 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:13:35,Mudha_Brazil1,Group Finder - Mudha_Brazil1 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:13:37,Mudha_Brazil1,Group Finder - Mudha_Brazil1 - Extracting groups for 'Zloadr cryptocurrency'
09/15/2022 01:13:41,Mudha_Brazil2,Group Finder - Mudha_Brazil2 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:13:44,Mudha_France13,Group Finder - Mudha_France13 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:15:54,Mudha_France16,Group Finder - Mudha_France16 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:15:57,Mudha_France28,Group Finder - Mudha_France28 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:18:20,Mudha_Brazil1,Group Finder - Mudha_Brazil1 - Finished extracting groups for 'Zloadr cryptocurrency'
09/15/2022 01:18:22,Mudha_France13,Group Finder - Mudha_France13 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:18:23,Mudha_Greece59,Group Finder - Mudha_Greece59 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:18:23,Mudha_France11,Group Finder - Mudha_France11 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:19:17,Mudha_Greece61,Group Finder - Mudha_Greece61 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:19:47,Mudha_Greece59,Group Finder - Mudha_Greece59 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:19:48,Mudha_Greece62,Group Finder - Mudha_Greece62 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:20:12,Mudha_Spain44,Group Finder - Mudha_Spain44 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:20:19,Mudha_France28,Group Finder - Mudha_France28 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:20:21,Mudha_Spain37,Group Finder - Mudha_Spain37 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:20:48,Mudha_Spain49,Group Finder - Mudha_Spain49 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:21:10,Mudha_France17,Group Finder - Mudha_France17 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:21:16,Mudha_Spain36,Group Finder - Mudha_Spain36 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:21:43,Mudha_Spain41,Group Finder - Mudha_Spain41 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:22:10,Mudha_France16,Group Finder - Mudha_France16 - Extracting groups for 'Zloadr cryptocurrency'
09/15/2022 01:22:37,Mudha_Spain43,Group Finder - Mudha_Spain43 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:24:14,Mudha_Spain43,Group Finder - Mudha_Spain43 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:24:15,Mudha_France31,Group Finder - Mudha_France31 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:25:13,Mudha_Greece60,Group Finder - Mudha_Greece60 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:25:25,Mudha_France17,Group Finder - Mudha_France17 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:25:28,Mudha_Greece59,Group Finder - Mudha_Greece59 - Extracting groups for 'Zloadr cryptocurrency'
09/15/2022 01:26:07,Mudha_Spain39,Group Finder - Mudha_Spain39 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:26:46,Mudha_Greece59,Group Finder - Mudha_Greece59 - Finished extracting groups for 'Zloadr cryptocurrency'
09/15/2022 01:26:46,Mudha_Spain44,Group Finder - Mudha_Spain44 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:26:54,Mudha_France16,Group Finder - Mudha_France16 - Finished extracting groups for 'Zloadr cryptocurrency'
09/15/2022 01:26:56,Mudha_Greece57,Group Finder - Mudha_Greece57 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:27:41,Mudha_Mexico69,Group Finder - Mudha_Mexico69 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:27:50,Mudha_Spain47,Group Finder - Mudha_Spain47 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:28:48,Mudha_France11,Group Finder - Mudha_France11 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:29:05,Mudha_Mexico69,Group Finder - Mudha_Mexico69 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:29:06,Mudha_France23,Group Finder - Mudha_France23 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:29:43,Mudha_Spain35,Group Finder - Mudha_Spain35 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:30:04,Mudha_Brazil7,Group Finder - Mudha_Brazil7 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:30:35,Mudha_Spain39,Group Finder - Mudha_Spain39 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:30:37,Mudha_Brazil6,Group Finder - Mudha_Brazil6 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:33:16,Mudha_Spain35,Group Finder - Mudha_Spain35 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:33:18,Mudha_France17,Group Finder - Mudha_France17 - Extracting groups for 'Zloadr cryptocurrency'
09/15/2022 01:34:31,Mudha_Brazil7,Group Finder - Mudha_Brazil7 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:34:34,Mudha_Mexico67,Group Finder - Mudha_Mexico67 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:34:53,Mudha_Brazil6,Group Finder - Mudha_Brazil6 - Finished extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:34:55,Mudha_Spain33,Group Finder - Mudha_Spain33 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:37:47,Mudha_France17,Group Finder - Mudha_France17 - Finished extracting groups for 'Zloadr cryptocurrency'
09/15/2022 01:37:48,Mudha_Greece61,Group Finder - Mudha_Greece61 - Extracting groups for 'BlackCoin cryptocurrency'
09/15/2022 01:38:39,Mudha_Spain54,Group Finder - Mudha_Spain54 - Extracting groups for 'BlackCoin cryptocurrency'
