Date,Account,Status
07/05/2022 06:02:25,,Jarvee 3.3.1.1 is now active
07/05/2022 06:03:55,,Jarvee 3.3.1.1 is now active
07/06/2022 02:59:03,,Jarvee 3.3.1.1 is now active
07/11/2022 01:47:40,,Jarvee 3.3.1.1 is now active
07/14/2022 09:04:32,,Jarvee 3.3.1.1 is now active
07/15/2022 00:33:27,,Jarvee 3.3.1.1 is now active
07/16/2022 01:40:58,,Jarvee 3.3.1.1 is now active
07/16/2022 04:30:42,,Jarvee 3.3.1.1 is now active
08/12/2022 01:32:43,,Jarvee 3.3.1.1 is now active
08/12/2022 01:37:16,Chase_MALAYSIA2,Executing a Login operation for the 'Chase_MALAYSIA2' account.
08/12/2022 01:37:16,Chase_MALAYSIA3,Executing a Login operation for the 'Chase_MALAYSIA3' account.
08/12/2022 01:37:16,Chase_MALAYSIA1,Executing a Login operation for the 'Chase_MALAYSIA1' account.
08/12/2022 01:37:19,Chase_MALAYSIA4,Executing a Login operation for the 'Chase_MALAYSIA4' account.
08/12/2022 01:37:19,Chase_MALAYSIA5,Executing a Login operation for the 'Chase_MALAYSIA5' account.
08/12/2022 01:37:30,Chase_MALAYSIA1,The Login operation for the 'Chase_MALAYSIA1' account is finalized.
08/12/2022 01:37:30,Chase_MALAYSIA2,The Login operation for the 'Chase_MALAYSIA2' account is finalized.
08/12/2022 01:37:31,Chase_MALAYSIA3,The Login operation for the 'Chase_MALAYSIA3' account is finalized.
08/12/2022 01:37:34,Chase_MALAYSIA5,The Login operation for the 'Chase_MALAYSIA5' account is finalized.
08/12/2022 01:37:34,Chase_MALAYSIA1,Executing a Check Login operation for the 'Chase_MALAYSIA1' account.
08/12/2022 01:37:34,Chase_MALAYSIA2,Executing a Check Login operation for the 'Chase_MALAYSIA2' account.
08/12/2022 01:37:37,Chase_MALAYSIA3,Executing a Check Login operation for the 'Chase_MALAYSIA3' account.
08/12/2022 01:37:40,Chase_MALAYSIA5,Executing a Check Login operation for the 'Chase_MALAYSIA5' account.
08/12/2022 01:37:43,Chase_France_44,Change language to English - 'Chase_France_44' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/12/2022 01:37:51,Chase_MALAYSIA1,Finalized a Check Login operation for the 'Chase_MALAYSIA1' account.
08/12/2022 01:37:51,Chase_MALAYSIA1,Error executing Check Login Operation for 'Chase_MALAYSIA1':  code 2  - Facebook Invalid Credentials
08/12/2022 01:37:54,Chase_MALAYSIA2,Finalized a Check Login operation for the 'Chase_MALAYSIA2' account.
08/12/2022 01:37:54,Chase_MALAYSIA2,Error executing Check Login Operation for 'Chase_MALAYSIA2':  code 2  - Facebook Invalid Credentials
08/12/2022 01:37:57,Chase_MALAYSIA5,Finalized a Check Login operation for the 'Chase_MALAYSIA5' account.
08/12/2022 01:37:57,Chase_MALAYSIA5,Error executing Check Login Operation for 'Chase_MALAYSIA5':  code 2  - Facebook Invalid Credentials
08/12/2022 01:37:58,Chase_MALAYSIA3,Finalized a Check Login operation for the 'Chase_MALAYSIA3' account.
08/12/2022 01:37:58,Chase_MALAYSIA3,Error executing Check Login Operation for 'Chase_MALAYSIA3':  code 2  - Facebook Invalid Credentials
08/12/2022 01:38:04,Chase_MALAYSIA4,The Login operation for the 'Chase_MALAYSIA4' account is finalized.
08/12/2022 01:38:04,Chase_France_44,Change language to English - Error executing for the 'Chase_France_44' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/12/2022 01:38:05,Chase_France_44,Synchronizing Groups for the 'Chase_France_44' account.
08/12/2022 01:38:11,Chase_MALAYSIA4,Executing a Check Login operation for the 'Chase_MALAYSIA4' account.
08/12/2022 01:38:28,Chase_MALAYSIA4,Finalized a Check Login operation for the 'Chase_MALAYSIA4' account.
08/12/2022 01:38:28,Chase_MALAYSIA4,Error executing Check Login Operation for 'Chase_MALAYSIA4':  code 2  - Facebook Invalid Credentials
08/12/2022 01:38:44,Chase_France_47,Change language to English - 'Chase_France_47' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/12/2022 01:39:05,Chase_France_47,Change language to English - Error executing for the 'Chase_France_47' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/12/2022 01:39:08,Chase_France_47,Birthday Sync - for the 'Chase_France_47' account URL: https://www.facebook.com/me
08/12/2022 01:39:42,Chase_France_55,Change language to English - 'Chase_France_55' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/12/2022 01:39:42,Chase_France_21,Change language to English - 'Chase_France_21' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/12/2022 01:39:42,Chase_France_9,Change language to English - 'Chase_France_9' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/12/2022 01:39:49,Chase_France_47,Checking restrictions for the 'Chase_France_47' account done. URL: https://www.facebook.com/me
08/12/2022 01:40:02,Chase_France_21,Change language to English - Error executing for the 'Chase_France_21' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/12/2022 01:40:04,Chase_France_9,Change language to English - Error executing for the 'Chase_France_9' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/12/2022 01:40:27,Chase_France_47,Checking restrictions for the 'Chase_France_47' account
08/12/2022 01:40:36,Chase_France_9,Synchronizing Groups for the 'Chase_France_9' account.
08/12/2022 01:40:41,Chase_France_47,Checking restrictions for the 'Chase_France_47' account done.
08/12/2022 01:40:42,Chase_France_47,Synchronizing Number of Followers for the 'Chase_France_47' account
