Date,Account,Status
07/04/2022 00:09:47,,Jarvee 3.3.1.1 is now active
07/04/2022 00:11:25,,Jarvee 3.3.1.1 is now active
07/04/2022 05:11:04,,Jarvee 3.3.1.1 is now active
07/04/2022 08:19:57,,Jarvee 3.3.1.1 is now active
07/04/2022 08:43:31,,Jarvee 3.3.1.1 is now active
07/05/2022 08:02:07,,Jarvee 3.3.1.1 is now active
07/05/2022 13:23:08,,Jarvee 3.3.1.1 is now active
07/06/2022 07:42:43,,Jarvee 3.3.1.1 is now active
07/07/2022 09:12:35,,Jarvee 3.3.1.1 is now active
07/11/2022 01:54:34,,Jarvee 3.3.1.1 is now active
07/11/2022 09:36:27,,Jarvee 3.3.1.1 is now active
07/12/2022 05:40:35,,Jarvee 3.3.1.1 is now active
07/12/2022 08:40:45,,Jarvee 3.3.1.1 is now active
07/13/2022 06:23:44,,Jarvee 3.3.1.1 is now active
07/16/2022 02:11:27,,Jarvee 3.3.1.1 is now active
07/16/2022 03:42:23,,Jarvee 3.3.1.1 is now active
08/12/2022 00:20:17,,Jarvee 3.3.1.1 is now active
08/12/2022 00:25:17,Chase_France_51,Change language to English - 'Chase_France_51' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/12/2022 00:25:17,Chase_France_27,Change language to English - 'Chase_France_27' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/12/2022 00:25:17,Chase_France_8,Change language to English - 'Chase_France_8' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/12/2022 00:25:37,Chase_France_27,Change language to English - Error executing for the 'Chase_France_27' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/12/2022 00:25:38,Chase_France_27,Synchronizing Groups for the 'Chase_France_27' account.
08/12/2022 00:25:48,Chase_France_8,Change language to English - Chase_France_8 - Finished operation
08/12/2022 00:25:50,Chase_France_8,Synchronizing Groups for the 'Chase_France_8' account.
08/12/2022 00:26:20,Chase_France_63,Change language to English - 'Chase_France_63' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
