Date,Account,Status
8/22/2022 3:22,,Jarvee 3.3.1.1 is now active
8/23/2022 10:26,,Jarvee 3.3.1.1 is now active
8/25/2022 7:01,,Jarvee 3.3.1.1 is now active
8/26/2022 2:36,,Jarvee 3.3.1.1 is now active
8/26/2022 9:36,,Jarvee 3.3.1.1 is now active
8/27/2022 2:59,,Jarvee 3.3.1.1 is now active
8/31/2022 18:51,,Jarvee 3.3.1.1 is now active
11/25/2022 7:05,,Jarvee 3.3.1.1 is now active
11/25/2022 7:12,Frank_Malaysia1,Group Joiner - 'Frank_Malaysia1' -  is active
11/25/2022 7:12,Frank_Malaysia1,Group Joiner - 'Frank_Malaysia1' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/25/2022 7:13,Frank_Malaysia2,Group Joiner - 'Frank_Malaysia2' -  is active
11/25/2022 7:13,Frank_Malaysia3,Group Joiner - 'Frank_Malaysia3' -  is active
11/25/2022 7:13,Frank_Malaysia4,Group Joiner - 'Frank_Malaysia4' -  is active
11/25/2022 7:13,Frank_Malaysia5,Group Joiner - 'Frank_Malaysia5' -  is active
11/25/2022 7:13,Frank_Malaysia6,Group Joiner - 'Frank_Malaysia6' -  is active
11/25/2022 7:13,Frank_Malaysia7,Group Joiner - 'Frank_Malaysia7' -  is active
11/25/2022 7:13,Frank_Malaysia8,Group Joiner - 'Frank_Malaysia8' -  is active
11/25/2022 7:13,Frank_Malaysia9,Group Joiner - 'Frank_Malaysia9' -  is active
11/25/2022 7:13,Frank_Malaysia10,Group Joiner - 'Frank_Malaysia10' -  is active
11/25/2022 7:13,Frank_Malaysia11,Group Joiner - 'Frank_Malaysia11' -  is active
11/25/2022 7:13,Frank_Malaysia12,Group Joiner - 'Frank_Malaysia12' -  is active
11/25/2022 7:13,Frank_Malaysia13,Group Joiner - 'Frank_Malaysia13' -  is active
11/25/2022 7:13,Frank_Malaysia14,Group Joiner - 'Frank_Malaysia14' -  is active
11/25/2022 7:13,Frank_Malaysia15,Group Joiner - 'Frank_Malaysia15' -  is active
11/25/2022 7:13,Frank_Malaysia16,Group Joiner - 'Frank_Malaysia16' -  is active
11/25/2022 7:13,Frank_Malaysia17,Group Joiner - 'Frank_Malaysia17' -  is active
11/25/2022 7:13,Frank_Malaysia18,Group Joiner - 'Frank_Malaysia18' -  is active
11/25/2022 7:13,Frank_Malaysia19,Group Joiner - 'Frank_Malaysia19' -  is active
11/25/2022 7:13,Frank_Malaysia20,Group Joiner - 'Frank_Malaysia20' -  is active
11/25/2022 7:13,Frank_Malaysia21,Group Joiner - 'Frank_Malaysia21' -  is active
11/25/2022 7:13,Frank_Malaysia22,Group Joiner - 'Frank_Malaysia22' -  is active
11/25/2022 7:13,Frank_Malaysia23,Group Joiner - 'Frank_Malaysia23' -  is active
11/25/2022 7:13,Frank_Malaysia24,Group Joiner - 'Frank_Malaysia24' -  is active
11/25/2022 7:13,Frank_Malaysia25,Group Joiner - 'Frank_Malaysia25' -  is active
11/25/2022 7:13,Frank_Malaysia26,Group Joiner - 'Frank_Malaysia26' -  is active
11/25/2022 7:13,Frank_Malaysia27,Group Joiner - 'Frank_Malaysia27' -  is active
11/25/2022 7:13,Frank_Malaysia28,Group Joiner - 'Frank_Malaysia28' -  is active
11/25/2022 7:13,Frank_Malaysia29,Group Joiner - 'Frank_Malaysia29' -  is active
11/25/2022 7:13,Frank_Malaysia30,Group Joiner - 'Frank_Malaysia30' -  is active
11/25/2022 7:13,Frank_Malaysia31,Group Joiner - 'Frank_Malaysia31' -  is active
11/25/2022 7:13,Frank_Malaysia32,Group Joiner - 'Frank_Malaysia32' -  is active
11/25/2022 7:13,Frank_Malaysia33,Group Joiner - 'Frank_Malaysia33' -  is active
11/25/2022 7:13,Frank_Malaysia34,Group Joiner - 'Frank_Malaysia34' -  is active
11/25/2022 7:13,Frank_Malaysia35,Group Joiner - 'Frank_Malaysia35' -  is active
11/25/2022 7:13,Frank_Malaysia36,Group Joiner - 'Frank_Malaysia36' -  is active
11/25/2022 7:13,Frank_Malaysia37,Group Joiner - 'Frank_Malaysia37' -  is active
11/25/2022 7:13,Frank_Malaysia38,Group Joiner - 'Frank_Malaysia38' -  is active
11/25/2022 7:13,Frank_Malaysia39,Group Joiner - 'Frank_Malaysia39' -  is active
11/25/2022 7:13,Frank_Malaysia40,Group Joiner - 'Frank_Malaysia40' -  is active
11/25/2022 7:13,Frank_Malaysia41,Group Joiner - 'Frank_Malaysia41' -  is active
11/25/2022 7:13,Frank_Malaysia42,Group Joiner - 'Frank_Malaysia42' -  is active
11/25/2022 7:13,Frank_Malaysia43,Group Joiner - 'Frank_Malaysia43' -  is active
11/25/2022 7:13,Frank_Malaysia44,Group Joiner - 'Frank_Malaysia44' -  is active
11/25/2022 7:13,Frank_Malaysia45,Group Joiner - 'Frank_Malaysia45' -  is active
11/25/2022 7:13,Frank_Malaysia46,Group Joiner - 'Frank_Malaysia46' -  is active
11/25/2022 7:13,Frank_Malaysia47,Group Joiner - 'Frank_Malaysia47' -  is active
11/25/2022 7:13,Frank_Malaysia48,Group Joiner - 'Frank_Malaysia48' -  is active
11/25/2022 7:13,Frank_Malaysia49,Group Joiner - 'Frank_Malaysia49' -  is active
11/25/2022 7:13,Frank_Malaysia50,Group Joiner - 'Frank_Malaysia50' -  is active
11/25/2022 7:13,Frank_Malaysia51,Group Joiner - 'Frank_Malaysia51' -  is active
11/25/2022 7:13,Frank_Malaysia52,Group Joiner - 'Frank_Malaysia52' -  is active
11/25/2022 7:13,Frank_Malaysia53,Group Joiner - 'Frank_Malaysia53' -  is active
11/25/2022 7:13,Frank_Malaysia54,Group Joiner - 'Frank_Malaysia54' -  is active
11/25/2022 7:13,Frank_Malaysia55,Group Joiner - 'Frank_Malaysia55' -  is active
11/25/2022 7:13,Frank_Malaysia56,Group Joiner - 'Frank_Malaysia56' -  is active
11/25/2022 7:13,Frank_Malaysia57,Group Joiner - 'Frank_Malaysia57' -  is active
11/25/2022 7:13,Frank_Malaysia58,Group Joiner - 'Frank_Malaysia58' -  is active
11/25/2022 7:13,Frank_Malaysia59,Group Joiner - 'Frank_Malaysia59' -  is active
11/25/2022 7:13,Frank_Malaysia60,Group Joiner - 'Frank_Malaysia60' -  is active
11/25/2022 7:13,Frank_Malaysia61,Group Joiner - 'Frank_Malaysia61' -  is active
11/25/2022 7:13,Frank_Malaysia62,Group Joiner - 'Frank_Malaysia62' -  is active
11/25/2022 7:13,Frank_Malaysia63,Group Joiner - 'Frank_Malaysia63' -  is active
11/25/2022 7:13,Frank_Malaysia64,Group Joiner - 'Frank_Malaysia64' -  is active
11/25/2022 7:13,Frank_Malaysia65,Group Joiner - 'Frank_Malaysia65' -  is active
11/25/2022 7:13,Frank_Malaysia66,Group Joiner - 'Frank_Malaysia66' -  is active
11/25/2022 7:13,Frank_Malaysia67,Group Joiner - 'Frank_Malaysia67' -  is active
11/25/2022 7:13,Frank_Malaysia68,Group Joiner - 'Frank_Malaysia68' -  is active
11/25/2022 7:13,Frank_Malaysia69,Group Joiner - 'Frank_Malaysia69' -  is active
11/25/2022 7:13,Frank_Malaysia70,Group Joiner - 'Frank_Malaysia70' -  is active
11/25/2022 7:13,Frank_Malaysia1,Group Joiner - Frank_Malaysia1 - Finished operation
11/25/2022 7:34,Frank_Malaysia1,Group Joiner - 'Frank_Malaysia1' - Executing using 'https://www.facebook.com/groups/619487189661079'
11/25/2022 7:35,Frank_Malaysia1,Group Joiner - Frank_Malaysia1 - Finished operation
11/25/2022 7:55,Frank_Malaysia1,Group Joiner - 'Frank_Malaysia1' - Executing using 'https://www.facebook.com/groups/5646866088722297'
11/25/2022 7:56,Frank_Malaysia1,Group Joiner - Frank_Malaysia1 - Finished operation
11/25/2022 8:23,Frank_Malaysia1,Group Joiner - 'Frank_Malaysia1' - Executing using 'https://www.facebook.com/groups/513992560177139'
