Date,Account,Status
9/7/2022 1:18,,Jarvee 3.3.1.1 is now active
12/1/2022 5:51,,Jarvee 3.3.1.1 is now active
12/1/2022 5:55,Pinky_Malaysia1,Group Joiner - 'Pinky_Malaysia1' -  is active
12/1/2022 5:55,Pinky_Malaysia1,Group Joiner - 'Pinky_Malaysia1' - Executing using 'https://www.facebook.com/groups/460183919270756'
12/1/2022 5:55,Pinky_Malaysia2,Group Joiner - 'Pinky_Malaysia2' -  is active
12/1/2022 5:55,Pinky_Malaysia3,Group Joiner - 'Pinky_Malaysia3' -  is active
12/1/2022 5:55,Pinky_Malaysia4,Group Joiner - 'Pinky_Malaysia4' -  is active
12/1/2022 5:55,Pinky_Malaysia5,Group Joiner - 'Pinky_Malaysia5' -  is active
12/1/2022 5:55,Pinky_Malaysia6,Group Joiner - 'Pinky_Malaysia6' -  is active
12/1/2022 5:55,Pinky_Malaysia7,Group Joiner - 'Pinky_Malaysia7' -  is active
12/1/2022 5:55,Pinky_Malaysia8,Group Joiner - 'Pinky_Malaysia8' -  is active
12/1/2022 5:55,Pinky_Malaysia9,Group Joiner - 'Pinky_Malaysia9' -  is active
12/1/2022 5:55,Pinky_Malaysia10,Group Joiner - 'Pinky_Malaysia10' -  is active
12/1/2022 5:55,Pinky_Malaysia11,Group Joiner - 'Pinky_Malaysia11' -  is active
12/1/2022 5:55,Pinky_Malaysia12,Group Joiner - 'Pinky_Malaysia12' -  is active
12/1/2022 5:55,Pinky_Malaysia13,Group Joiner - 'Pinky_Malaysia13' -  is active
12/1/2022 5:55,Pinky_Malaysia14,Group Joiner - 'Pinky_Malaysia14' -  is active
12/1/2022 5:55,Pinky_Malaysia15,Group Joiner - 'Pinky_Malaysia15' -  is active
12/1/2022 5:55,Pinky_Malaysia16,Group Joiner - 'Pinky_Malaysia16' -  is active
12/1/2022 5:55,Pinky_Malaysia17,Group Joiner - 'Pinky_Malaysia17' -  is active
12/1/2022 5:55,Pinky_Malaysia18,Group Joiner - 'Pinky_Malaysia18' -  is active
12/1/2022 5:55,Pinky_Malaysia19,Group Joiner - 'Pinky_Malaysia19' -  is active
12/1/2022 5:55,Pinky_Malaysia20,Group Joiner - 'Pinky_Malaysia20' -  is active
12/1/2022 5:55,Pinky_Malaysia21,Group Joiner - 'Pinky_Malaysia21' -  is active
12/1/2022 5:55,Pinky_Malaysia22,Group Joiner - 'Pinky_Malaysia22' -  is active
12/1/2022 5:55,Pinky_Malaysia23,Group Joiner - 'Pinky_Malaysia23' -  is active
12/1/2022 5:55,Pinky_Malaysia25,Group Joiner - 'Pinky_Malaysia25' -  is active
12/1/2022 5:55,Pinky_Malaysia26,Group Joiner - 'Pinky_Malaysia26' -  is active
12/1/2022 5:55,Pinky_Malaysia27,Group Joiner - 'Pinky_Malaysia27' -  is active
12/1/2022 5:55,Pinky_Malaysia28,Group Joiner - 'Pinky_Malaysia28' -  is active
12/1/2022 5:55,Pinky_Malaysia29,Group Joiner - 'Pinky_Malaysia29' -  is active
12/1/2022 5:55,Pinky_Malaysia30,Group Joiner - 'Pinky_Malaysia30' -  is active
12/1/2022 5:55,Pinky_Malaysia31,Group Joiner - 'Pinky_Malaysia31' -  is active
12/1/2022 5:55,Pinky_Malaysia32,Group Joiner - 'Pinky_Malaysia32' -  is active
12/1/2022 5:55,Pinky_Malaysia33,Group Joiner - 'Pinky_Malaysia33' -  is active
12/1/2022 5:55,Pinky_Malaysia34,Group Joiner - 'Pinky_Malaysia34' -  is active
12/1/2022 5:55,Pinky_Malaysia35,Group Joiner - 'Pinky_Malaysia35' -  is active
12/1/2022 5:55,Pinky_Malaysia36,Group Joiner - 'Pinky_Malaysia36' -  is active
12/1/2022 5:55,Pinky_Malaysia37,Group Joiner - 'Pinky_Malaysia37' -  is active
12/1/2022 5:55,Pinky_Malaysia38,Group Joiner - 'Pinky_Malaysia38' -  is active
12/1/2022 5:55,Pinky_Malaysia39,Group Joiner - 'Pinky_Malaysia39' -  is active
12/1/2022 5:55,Pinky_Malaysia40,Group Joiner - 'Pinky_Malaysia40' -  is active
12/1/2022 5:55,Pinky_Malaysia41,Group Joiner - 'Pinky_Malaysia41' -  is active
12/1/2022 5:55,Pinky_Malaysia42,Group Joiner - 'Pinky_Malaysia42' -  is active
12/1/2022 5:55,Pinky_Malaysia43,Group Joiner - 'Pinky_Malaysia43' -  is active
12/1/2022 5:55,Pinky_Malaysia44,Group Joiner - 'Pinky_Malaysia44' -  is active
12/1/2022 5:55,Pinky_Malaysia45,Group Joiner - 'Pinky_Malaysia45' -  is active
12/1/2022 5:55,Pinky_Malaysia46,Group Joiner - 'Pinky_Malaysia46' -  is active
12/1/2022 5:55,Pinky_Malaysia47,Group Joiner - 'Pinky_Malaysia47' -  is active
12/1/2022 5:55,Pinky_Malaysia48,Group Joiner - 'Pinky_Malaysia48' -  is active
12/1/2022 5:55,Pinky_Malaysia49,Group Joiner - 'Pinky_Malaysia49' -  is active
12/1/2022 5:55,Pinky_Malaysia50,Group Joiner - 'Pinky_Malaysia50' -  is active
12/1/2022 5:55,Pinky_Malaysia51,Group Joiner - 'Pinky_Malaysia51' -  is active
12/1/2022 5:55,Pinky_Malaysia52,Group Joiner - 'Pinky_Malaysia52' -  is active
12/1/2022 5:55,Pinky_Malaysia53,Group Joiner - 'Pinky_Malaysia53' -  is active
12/1/2022 5:55,Pinky_Malaysia54,Group Joiner - 'Pinky_Malaysia54' -  is active
12/1/2022 5:55,Pinky_Malaysia55,Group Joiner - 'Pinky_Malaysia55' -  is active
12/1/2022 5:55,Pinky_Malaysia56,Group Joiner - 'Pinky_Malaysia56' -  is active
12/1/2022 5:55,Pinky_Malaysia57,Group Joiner - 'Pinky_Malaysia57' -  is active
12/1/2022 5:55,Pinky_Malaysia58,Group Joiner - 'Pinky_Malaysia58' -  is active
12/1/2022 5:55,Pinky_Malaysia59,Group Joiner - 'Pinky_Malaysia59' -  is active
12/1/2022 5:55,Pinky_Malaysia60,Group Joiner - 'Pinky_Malaysia60' -  is active
12/1/2022 5:55,Pinky_Malaysia61,Group Joiner - 'Pinky_Malaysia61' -  is active
12/1/2022 5:55,Pinky_Malaysia62,Group Joiner - 'Pinky_Malaysia62' -  is active
12/1/2022 5:55,Pinky_Malaysia63,Group Joiner - 'Pinky_Malaysia63' -  is active
12/1/2022 5:55,Pinky_Malaysia64,Group Joiner - 'Pinky_Malaysia64' -  is active
12/1/2022 5:55,Pinky_Malaysia65,Group Joiner - 'Pinky_Malaysia65' -  is active
12/1/2022 5:55,Pinky_Malaysia66,Group Joiner - 'Pinky_Malaysia66' -  is active
12/1/2022 5:55,Pinky_Malaysia67,Group Joiner - 'Pinky_Malaysia67' -  is active
12/1/2022 5:55,Pinky_Malaysia68,Group Joiner - 'Pinky_Malaysia68' -  is active
12/1/2022 5:55,Pinky_Malaysia69,Group Joiner - 'Pinky_Malaysia69' -  is active
12/1/2022 5:55,Pinky_Malaysia70,Group Joiner - 'Pinky_Malaysia70' -  is active
12/1/2022 5:55,Pinky_Malaysia24,Group Joiner - 'Pinky_Malaysia24' -  is active
12/1/2022 5:56,Pinky_Malaysia1,Group Joiner - Pinky_Malaysia1 - Finished operation
12/1/2022 6:17,Pinky_Malaysia1,Group Joiner - 'Pinky_Malaysia1' - Executing using 'https://www.facebook.com/groups/619487189661079'
12/1/2022 6:18,Pinky_Malaysia1,Group Joiner - Pinky_Malaysia1 - Finished operation
12/1/2022 6:44,Pinky_Malaysia1,Group Joiner - 'Pinky_Malaysia1' - Executing using 'https://www.facebook.com/groups/5646866088722297'
12/1/2022 6:44,Pinky_Malaysia1,Group Joiner - Pinky_Malaysia1 - Finished operation
12/1/2022 7:00,Pinky_Malaysia1,Group Joiner - 'Pinky_Malaysia1' - Executing using 'https://www.facebook.com/groups/513992560177139'
12/1/2022 7:00,Pinky_Malaysia1,Group Joiner - Pinky_Malaysia1 - Finished operation
12/1/2022 7:22,Pinky_Malaysia1,Group Joiner - 'Pinky_Malaysia1' - Executing using 'https://www.facebook.com/groups/478072124277063'
12/1/2022 7:23,Pinky_Malaysia1,Group Joiner - Pinky_Malaysia1 - Finished operation
12/1/2022 7:49,Pinky_Malaysia1,Group Joiner - 'Pinky_Malaysia1' - Executing using 'https://www.facebook.com/groups/416063824057495'
12/1/2022 7:50,Pinky_Malaysia1,Group Joiner - Pinky_Malaysia1 - Finished operation
12/1/2022 8:14,Pinky_Malaysia1,Group Joiner - 'Pinky_Malaysia1' - Executing using 'https://www.facebook.com/groups/605843741270804'
12/1/2022 8:15,Pinky_Malaysia1,Group Joiner - Pinky_Malaysia1 - Finished operation
