Date,Account,Status
9/2/2022 1:23,,Jarvee 3.3.1.1 is now active
9/2/2022 2:00,,Jarvee 3.3.1.1 is now active
9/2/2022 4:29,,Jarvee 3.3.1.1 is now active
9/2/2022 4:52,,Jarvee 3.3.1.1 is now active
9/2/2022 5:28,,Jarvee 3.3.1.1 is now active
9/2/2022 7:07,,Jarvee 3.3.1.1 is now active
9/2/2022 7:15,,Jarvee 3.3.1.1 is now active
9/2/2022 11:33,,Jarvee 3.3.1.1 is now active
9/3/2022 0:32,,Jarvee 3.3.1.1 is now active
9/3/2022 1:00,,Jarvee 3.3.1.1 is now active
9/5/2022 0:38,,Jarvee 3.3.1.1 is now active
9/6/2022 8:06,,Jarvee 3.3.1.1 is now active
9/7/2022 0:11,,Jarvee 3.3.1.1 is now active
9/7/2022 5:45,,Jarvee 3.3.1.1 is now active
9/7/2022 6:34,,Jarvee 3.3.1.1 is now active
11/25/2022 8:07,,Jarvee 3.3.1.1 is now active
11/25/2022 8:12,Leo_Malaysia1,Group Joiner - 'Leo_Malaysia1' -  is active
11/25/2022 8:12,Leo_Malaysia1,Group Joiner - 'Leo_Malaysia1' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/25/2022 8:12,Leo_Malaysia2,Group Joiner - 'Leo_Malaysia2' -  is active
11/25/2022 8:12,Leo_Malaysia3,Group Joiner - 'Leo_Malaysia3' -  is active
11/25/2022 8:12,Leo_Malaysia4,Group Joiner - 'Leo_Malaysia4' -  is active
11/25/2022 8:12,Leo_Malaysia5,Group Joiner - 'Leo_Malaysia5' -  is active
11/25/2022 8:12,Leo_Malaysia6,Group Joiner - 'Leo_Malaysia6' -  is active
11/25/2022 8:12,Leo_Malaysia7,Group Joiner - 'Leo_Malaysia7' -  is active
11/25/2022 8:12,Leo_Malaysia8,Group Joiner - 'Leo_Malaysia8' -  is active
11/25/2022 8:12,Leo_Malaysia9,Group Joiner - 'Leo_Malaysia9' -  is active
11/25/2022 8:12,Leo_Malaysia10,Group Joiner - 'Leo_Malaysia10' -  is active
11/25/2022 8:12,Leo_Malaysia11,Group Joiner - 'Leo_Malaysia11' -  is active
11/25/2022 8:12,Leo_Malaysia12,Group Joiner - 'Leo_Malaysia12' -  is active
11/25/2022 8:12,Leo_Malaysia13,Group Joiner - 'Leo_Malaysia13' -  is active
11/25/2022 8:12,Leo_Malaysia14,Group Joiner - 'Leo_Malaysia14' -  is active
11/25/2022 8:12,Leo_Malaysia15,Group Joiner - 'Leo_Malaysia15' -  is active
11/25/2022 8:12,Leo_Malaysia16,Group Joiner - 'Leo_Malaysia16' -  is active
11/25/2022 8:12,Leo_Malaysia17,Group Joiner - 'Leo_Malaysia17' -  is active
11/25/2022 8:12,Leo_Malaysia18,Group Joiner - 'Leo_Malaysia18' -  is active
11/25/2022 8:12,Leo_Malaysia19,Group Joiner - 'Leo_Malaysia19' -  is active
11/25/2022 8:12,Leo_Malaysia20,Group Joiner - 'Leo_Malaysia20' -  is active
11/25/2022 8:12,Leo_Malaysia21,Group Joiner - 'Leo_Malaysia21' -  is active
11/25/2022 8:12,Leo_Malaysia22,Group Joiner - 'Leo_Malaysia22' -  is active
11/25/2022 8:12,Leo_Malaysia23,Group Joiner - 'Leo_Malaysia23' -  is active
11/25/2022 8:12,Leo_Malaysia24,Group Joiner - 'Leo_Malaysia24' -  is active
11/25/2022 8:12,Leo_Malaysia25,Group Joiner - 'Leo_Malaysia25' -  is active
11/25/2022 8:12,Leo_Malaysia26,Group Joiner - 'Leo_Malaysia26' -  is active
11/25/2022 8:12,Leo_Malaysia27,Group Joiner - 'Leo_Malaysia27' -  is active
11/25/2022 8:12,Leo_Malaysia28,Group Joiner - 'Leo_Malaysia28' -  is active
11/25/2022 8:12,Leo_Malaysia29,Group Joiner - 'Leo_Malaysia29' -  is active
11/25/2022 8:12,Leo_Malaysia30,Group Joiner - 'Leo_Malaysia30' -  is active
11/25/2022 8:12,Leo_Malaysia31,Group Joiner - 'Leo_Malaysia31' -  is active
11/25/2022 8:12,Leo_Malaysia32,Group Joiner - 'Leo_Malaysia32' -  is active
11/25/2022 8:12,Leo_Malaysia33,Group Joiner - 'Leo_Malaysia33' -  is active
11/25/2022 8:12,Leo_Malaysia34,Group Joiner - 'Leo_Malaysia34' -  is active
11/25/2022 8:12,Leo_Malaysia35,Group Joiner - 'Leo_Malaysia35' -  is active
11/25/2022 8:12,Leo_Malaysia36,Group Joiner - 'Leo_Malaysia36' -  is active
11/25/2022 8:12,Leo_Malaysia37,Group Joiner - 'Leo_Malaysia37' -  is active
