Date,Account,Status
9/7/2022 1:52,,Jarvee 3.3.1.1 is now active
12/1/2022 6:06,,Jarvee 3.3.1.1 is now active
12/1/2022 6:10,Pinky_MALAYSIA1,Group Joiner - 'Pinky_MALAYSIA1' -  is active
12/1/2022 6:10,Pinky_MALAYSIA1,Group Joiner - 'Pinky_MALAYSIA1' - Executing using 'https://www.facebook.com/groups/460183919270756'
12/1/2022 6:10,Pinky_MALAYSIA2,Group Joiner - 'Pinky_MALAYSIA2' -  is active
12/1/2022 6:10,Pinky_MALAYSIA3,Group Joiner - 'Pinky_MALAYSIA3' -  is active
12/1/2022 6:10,Pinky_MALAYSIA4,Group Joiner - 'Pinky_MALAYSIA4' -  is active
12/1/2022 6:10,Pinky_MALAYSIA5,Group Joiner - 'Pinky_MALAYSIA5' -  is active
12/1/2022 6:10,Pinky_MALAYSIA6,Group Joiner - 'Pinky_MALAYSIA6' -  is active
12/1/2022 6:10,Pinky_MALAYSIA7,Group Joiner - 'Pinky_MALAYSIA7' -  is active
12/1/2022 6:10,Pinky_MALAYSIA8,Group Joiner - 'Pinky_MALAYSIA8' -  is active
12/1/2022 6:10,Pinky_MALAYSIA9,Group Joiner - 'Pinky_MALAYSIA9' -  is active
12/1/2022 6:10,Pinky_MALAYSIA10,Group Joiner - 'Pinky_MALAYSIA10' -  is active
12/1/2022 6:10,Pinky_MALAYSIA11,Group Joiner - 'Pinky_MALAYSIA11' -  is active
12/1/2022 6:10,Pinky_MALAYSIA12,Group Joiner - 'Pinky_MALAYSIA12' -  is active
12/1/2022 6:10,Pinky_MALAYSIA13,Group Joiner - 'Pinky_MALAYSIA13' -  is active
12/1/2022 6:10,Pinky_MALAYSIA14,Group Joiner - 'Pinky_MALAYSIA14' -  is active
12/1/2022 6:10,Pinky_MALAYSIA15,Group Joiner - 'Pinky_MALAYSIA15' -  is active
12/1/2022 6:10,Pinky_MALAYSIA16,Group Joiner - 'Pinky_MALAYSIA16' -  is active
12/1/2022 6:10,Pinky_MALAYSIA17,Group Joiner - 'Pinky_MALAYSIA17' -  is active
12/1/2022 6:10,Pinky_MALAYSIA18,Group Joiner - 'Pinky_MALAYSIA18' -  is active
12/1/2022 6:10,Pinky_MALAYSIA19,Group Joiner - 'Pinky_MALAYSIA19' -  is active
12/1/2022 6:10,Pinky_MALAYSIA20,Group Joiner - 'Pinky_MALAYSIA20' -  is active
12/1/2022 6:10,Pinky_MALAYSIA21,Group Joiner - 'Pinky_MALAYSIA21' -  is active
12/1/2022 6:10,Pinky_MALAYSIA22,Group Joiner - 'Pinky_MALAYSIA22' -  is active
12/1/2022 6:10,Pinky_MALAYSIA23,Group Joiner - 'Pinky_MALAYSIA23' -  is active
12/1/2022 6:10,Pinky_MALAYSIA24,Group Joiner - 'Pinky_MALAYSIA24' -  is active
12/1/2022 6:10,Pinky_MALAYSIA25,Group Joiner - 'Pinky_MALAYSIA25' -  is active
