 ,Account,Status
8/24/2022 0:21,,Jarvee 3.3.1.1 is now active
8/24/2022 4:40,,Jarvee 3.3.1.1 is now active
8/24/2022 9:38,,Jarvee 3.3.1.1 is now active
8/25/2022 3:38,,Jarvee 3.3.1.1 is now active
8/26/2022 1:02,,Jarvee 3.3.1.1 is now active
12/1/2022 6:15,,Jarvee 3.3.1.1 is now active
12/1/2022 6:18,Hank_Malaysia1,Group Joiner - 'Hank_Malaysia1' -  is active
12/1/2022 6:18,Hank_Malaysia1,Group Joiner - 'Hank_Malaysia1' - Executing using 'https://www.facebook.com/groups/460183919270756'
12/1/2022 6:18,Hank_Malaysia2,Group Joiner - 'Hank_Malaysia2' -  is active
12/1/2022 6:18,Hank_Malaysia3,Group Joiner - 'Hank_Malaysia3' -  is active
12/1/2022 6:18,Hank_Malaysia4,Group Joiner - 'Hank_Malaysia4' -  is active
12/1/2022 6:18,Hank_Malaysia5,Group Joiner - 'Hank_Malaysia5' -  is active
12/1/2022 6:18,Hank_Malaysia6,Group Joiner - 'Hank_Malaysia6' -  is active
12/1/2022 6:18,Hank_Malaysia7,Group Joiner - 'Hank_Malaysia7' -  is active
12/1/2022 6:18,Hank_Malaysia8,Group Joiner - 'Hank_Malaysia8' -  is active
12/1/2022 6:18,Hank_Malaysia9,Group Joiner - 'Hank_Malaysia9' -  is active
12/1/2022 6:18,Hank_Malaysia10,Group Joiner - 'Hank_Malaysia10' -  is active
12/1/2022 6:18,Hank_Malaysia11,Group Joiner - 'Hank_Malaysia11' -  is active
12/1/2022 6:18,Hank_Malaysia12,Group Joiner - 'Hank_Malaysia12' -  is active
12/1/2022 6:18,Hank_Malaysia13,Group Joiner - 'Hank_Malaysia13' -  is active
12/1/2022 6:18,Hank_Malaysia14,Group Joiner - 'Hank_Malaysia14' -  is active
12/1/2022 6:18,Hank_Malaysia15,Group Joiner - 'Hank_Malaysia15' -  is active
12/1/2022 6:18,Hank_Malaysia16,Group Joiner - 'Hank_Malaysia16' -  is active
12/1/2022 6:18,Hank_Malaysia17,Group Joiner - 'Hank_Malaysia17' -  is active
12/1/2022 6:18,Hank_Malaysia18,Group Joiner - 'Hank_Malaysia18' -  is active
12/1/2022 6:18,Hank_Malaysia19,Group Joiner - 'Hank_Malaysia19' -  is active
12/1/2022 6:18,Hank_Malaysia20,Group Joiner - 'Hank_Malaysia20' -  is active
12/1/2022 6:18,Hank_Malaysia21,Group Joiner - 'Hank_Malaysia21' -  is active
12/1/2022 6:18,Hank_Malaysia22,Group Joiner - 'Hank_Malaysia22' -  is active
12/1/2022 6:18,Hank_Malaysia23,Group Joiner - 'Hank_Malaysia23' -  is active
12/1/2022 6:18,Hank_Malaysia24,Group Joiner - 'Hank_Malaysia24' -  is active
12/1/2022 6:18,Hank_Malaysia25,Group Joiner - 'Hank_Malaysia25' -  is active
12/1/2022 6:18,Hank_Malaysia26,Group Joiner - 'Hank_Malaysia26' -  is active
12/1/2022 6:18,Hank_Malaysia27,Group Joiner - 'Hank_Malaysia27' -  is active
12/1/2022 6:18,Hank_Malaysia28,Group Joiner - 'Hank_Malaysia28' -  is active
12/1/2022 6:18,Hank_Malaysia29,Group Joiner - 'Hank_Malaysia29' -  is active
12/1/2022 6:18,Hank_Malaysia30,Group Joiner - 'Hank_Malaysia30' -  is active
12/1/2022 6:18,Hank_Malaysia31,Group Joiner - 'Hank_Malaysia31' -  is active
12/1/2022 6:18,Hank_Malaysia32,Group Joiner - 'Hank_Malaysia32' -  is active
12/1/2022 6:18,Hank_Malaysia33,Group Joiner - 'Hank_Malaysia33' -  is active
12/1/2022 6:18,Hank_Malaysia34,Group Joiner - 'Hank_Malaysia34' -  is active
