Date,Account,Status
07/28/2022 01:51:38,,Jarvee 3.3.1.1 is now active
07/28/2022 04:50:15,,Jarvee 3.3.1.1 is now active
07/30/2022 05:24:37,,Jarvee 3.3.1.1 is now active
08/05/2022 00:39:09,,Jarvee 3.3.1.1 is now active
08/09/2022 01:01:55,,Jarvee 3.3.1.1 is now active
08/11/2022 00:26:42,,Jarvee 3.3.1.1 is now active
08/11/2022 01:33:55,Rinz_Malaysia1,Group Joiner - 'Rinz_Malaysia1' -  is active
08/11/2022 01:33:57,Rinz_Malaysia1,Group Joiner - 'Rinz_Malaysia1' - Executing using 'https://www.facebook.com/groups/1003964543092421'
08/11/2022 01:34:20,Rinz_Malaysia2,Group Joiner - 'Rinz_Malaysia2' -  is active
08/11/2022 01:34:20,Rinz_Malaysia4,Group Joiner - 'Rinz_Malaysia4' -  is active
08/11/2022 01:34:20,Rinz_Malaysia5,Group Joiner - 'Rinz_Malaysia5' -  is active
08/11/2022 01:34:20,Rinz_Malaysia6,Group Joiner - 'Rinz_Malaysia6' -  is active
08/11/2022 01:34:20,Rinz_Malaysia7,Group Joiner - 'Rinz_Malaysia7' -  is active
08/11/2022 01:34:20,Rinz_Malaysia8,Group Joiner - 'Rinz_Malaysia8' -  is active
08/11/2022 01:34:20,Rinz_Malaysia9,Group Joiner - 'Rinz_Malaysia9' -  is active
08/11/2022 01:34:20,Rinz_Malaysia10,Group Joiner - 'Rinz_Malaysia10' -  is active
08/11/2022 01:34:20,Rinz_Malaysia11,Group Joiner - 'Rinz_Malaysia11' -  is active
08/11/2022 01:34:20,Rinz_Malaysia12,Group Joiner - 'Rinz_Malaysia12' -  is active
08/11/2022 01:34:20,Rinz_Malaysia13,Group Joiner - 'Rinz_Malaysia13' -  is active
08/11/2022 01:34:20,Rinz_Malaysia15,Group Joiner - 'Rinz_Malaysia15' -  is active
08/11/2022 01:34:20,Rinz_Malaysia17,Group Joiner - 'Rinz_Malaysia17' -  is active
08/11/2022 01:34:20,Rinz_Malaysia18,Group Joiner - 'Rinz_Malaysia18' -  is active
08/11/2022 01:34:20,Rinz_Malaysia20,Group Joiner - 'Rinz_Malaysia20' -  is active
08/11/2022 01:34:20,Rinz_Malaysia21,Group Joiner - 'Rinz_Malaysia21' -  is active
08/11/2022 01:34:20,Rinz_Malaysia22,Group Joiner - 'Rinz_Malaysia22' -  is active
08/11/2022 01:34:20,Rinz_Malaysia23,Group Joiner - 'Rinz_Malaysia23' -  is active
08/11/2022 01:34:20,Rinz_Malaysia24,Group Joiner - 'Rinz_Malaysia24' -  is active
08/11/2022 01:34:20,Rinz_Malaysia26,Group Joiner - 'Rinz_Malaysia26' -  is active
08/11/2022 01:34:20,Rinz_Malaysia29,Group Joiner - 'Rinz_Malaysia29' -  is active
08/11/2022 01:34:20,Rinz_Malaysia30,Group Joiner - 'Rinz_Malaysia30' -  is active
08/11/2022 01:34:20,Rinz_Malaysia31,Group Joiner - 'Rinz_Malaysia31' -  is active
08/11/2022 01:34:20,Rinz_Malaysia32,Group Joiner - 'Rinz_Malaysia32' -  is active
08/11/2022 01:34:20,Rinz_Malaysia33,Group Joiner - 'Rinz_Malaysia33' -  is active
08/11/2022 01:34:20,Rinz_Malaysia34,Group Joiner - 'Rinz_Malaysia34' -  is active
08/11/2022 01:34:20,Rinz_Malaysia35,Group Joiner - 'Rinz_Malaysia35' -  is active
08/11/2022 01:34:20,Rinz_Malaysia37,Group Joiner - 'Rinz_Malaysia37' -  is active
08/11/2022 01:34:20,Rinz_Malaysia38,Group Joiner - 'Rinz_Malaysia38' -  is active
08/11/2022 01:34:20,Rinz_Malaysia39,Group Joiner - 'Rinz_Malaysia39' -  is active
08/11/2022 01:34:20,Rinz_Malaysia40,Group Joiner - 'Rinz_Malaysia40' -  is active
08/11/2022 01:34:20,Rinz_Malaysia41,Group Joiner - 'Rinz_Malaysia41' -  is active
08/11/2022 01:34:20,Rinz_Malaysia42,Group Joiner - 'Rinz_Malaysia42' -  is active
08/11/2022 01:34:20,Rinz_Malaysia43,Group Joiner - 'Rinz_Malaysia43' -  is active
08/11/2022 01:34:20,Rinz_Malaysia45,Group Joiner - 'Rinz_Malaysia45' -  is active
08/11/2022 01:34:20,Rinz_Malaysia46,Group Joiner - 'Rinz_Malaysia46' -  is active
08/11/2022 01:34:20,Rinz_Malaysia47,Group Joiner - 'Rinz_Malaysia47' -  is active
08/11/2022 01:34:20,Rinz_Malaysia48,Group Joiner - 'Rinz_Malaysia48' -  is active
08/11/2022 01:34:20,Rinz_Malaysia51,Group Joiner - 'Rinz_Malaysia51' -  is active
08/11/2022 01:34:20,Rinz_Malaysia52,Group Joiner - 'Rinz_Malaysia52' -  is active
08/11/2022 01:34:20,Rinz_Malaysia53,Group Joiner - 'Rinz_Malaysia53' -  is active
08/11/2022 01:34:20,Rinz_Malaysia55,Group Joiner - 'Rinz_Malaysia55' -  is active
08/11/2022 01:34:20,Rinz_Malaysia58,Group Joiner - 'Rinz_Malaysia58' -  is active
08/11/2022 01:34:20,Rinz_Malaysia60,Group Joiner - 'Rinz_Malaysia60' -  is active
08/11/2022 01:34:20,Rinz_Malaysia62,Group Joiner - 'Rinz_Malaysia62' -  is active
08/11/2022 01:34:20,Rinz_Malaysia65,Group Joiner - 'Rinz_Malaysia65' -  is active
08/11/2022 01:34:20,Rinz_Malaysia66,Group Joiner - 'Rinz_Malaysia66' -  is active
08/11/2022 01:34:20,Rinz_Malaysia67,Group Joiner - 'Rinz_Malaysia67' -  is active
08/11/2022 01:34:20,Rinz_Malaysia68,Group Joiner - 'Rinz_Malaysia68' -  is active
