Date,Account,Status
07/20/2022 23:07:32,,Jarvee 3.3.1.1 is now active
07/20/2022 23:14:28,,Jarvee 3.3.1.1 is now active
07/21/2022 09:06:45,,Jarvee 3.3.1.1 is now active
07/23/2022 06:56:27,,Jarvee 3.3.1.1 is now active
07/23/2022 08:32:42,,Jarvee 3.3.1.1 is now active
07/24/2022 23:20:50,,Jarvee 3.3.1.1 is now active
07/26/2022 09:34:05,,Jarvee 3.3.1.1 is now active
07/26/2022 23:25:48,Yerosen_Malaysia17,Change language to English - 'Yerosen_Malaysia17' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 23:25:51,Yerosen_Malaysia28,Change language to English - 'Yerosen_Malaysia28' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 23:25:51,Yerosen_Malaysia6,Change language to English - 'Yerosen_Malaysia6' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 23:25:51,Yerosen_Malaysia26,Change language to English - 'Yerosen_Malaysia26' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 23:25:51,Yerosen_Malaysia33,Change language to English - 'Yerosen_Malaysia33' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 23:26:19,Yerosen_Malaysia33,Change language to English - Error executing for the 'Yerosen_Malaysia33' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 23:26:19,Yerosen_Malaysia26,Change language to English - Error executing for the 'Yerosen_Malaysia26' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 23:26:20,Yerosen_Malaysia6,Change language to English - Error executing for the 'Yerosen_Malaysia6' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 23:26:22,Yerosen_Malaysia33,Synchronizing Pages for the 'Yerosen_Malaysia33' account.
07/26/2022 23:26:22,Yerosen_Malaysia26,Birthday Sync - for the 'Yerosen_Malaysia26' account URL: https://www.facebook.com/me
07/26/2022 23:26:29,Yerosen_Malaysia17,Change language to English - Error executing for the 'Yerosen_Malaysia17' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 23:26:31,Yerosen_Malaysia17,Synchronizing Pages for the 'Yerosen_Malaysia17' account.
07/26/2022 23:27:46,Yerosen_Malaysia39,Change language to English - 'Yerosen_Malaysia39' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 23:27:47,Yerosen_Malaysia26,Birthday Sync - Error executing for the 'Yerosen_Malaysia26' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
07/26/2022 23:27:49,Yerosen_Malaysia26,Checking restrictions for the 'Yerosen_Malaysia26' account
07/26/2022 23:28:24,Yerosen_Malaysia28,Change language to English - Yerosen_Malaysia28 - Finished operation
07/26/2022 23:28:27,Yerosen_Malaysia28,Synchronizing Pages for the 'Yerosen_Malaysia28' account.
07/26/2022 23:29:02,Yerosen_Malaysia17,Finalized pages synchronization for the 'Yerosen_Malaysia17' account.
07/26/2022 23:29:03,Yerosen_Malaysia17,Birthday Sync - for the 'Yerosen_Malaysia17' account URL: https://www.facebook.com/me
07/26/2022 23:29:03,Yerosen_Malaysia39,Change language to English - Error executing for the 'Yerosen_Malaysia39' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 23:29:06,Yerosen_Malaysia39,Synchronizing Pages for the 'Yerosen_Malaysia39' account.
07/26/2022 23:29:20,Yerosen_Malaysia17,Birthday Sync - Error executing for the 'Yerosen_Malaysia17' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/me
07/26/2022 23:29:22,Yerosen_Malaysia17,Checking restrictions for the 'Yerosen_Malaysia17' account
07/26/2022 23:29:37,Yerosen_Malaysia17,Checking restrictions for the 'Yerosen_Malaysia17' account done.
07/26/2022 23:29:38,Yerosen_Malaysia17,Synchronizing Number of Followers for the 'Yerosen_Malaysia17' account
