Date,Account,Status
07/04/2022 02:51:27,,Jarvee 3.3.1.1 is now active
07/04/2022 02:51:50,,Jarvee 3.3.1.1 is now active
07/05/2022 03:10:30,,Jarvee 3.3.1.1 is now active
07/05/2022 03:22:06,,Jarvee 3.3.1.1 is now active
07/05/2022 04:07:01,,Jarvee 3.3.1.1 is now active
07/06/2022 02:59:34,,Jarvee 3.3.1.1 is now active
07/06/2022 08:32:23,,Jarvee 3.3.1.1 is now active
07/09/2022 01:17:09,,Jarvee 3.3.1.1 is now active
07/09/2022 01:24:33,Mason_Malaysia_44,Change language to English - 'Mason_Malaysia_44' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 01:25:05,Mason_Malaysia_44,Change language to English - Mason_Malaysia_44 - Finished operation
07/09/2022 01:25:06,Mason_Malaysia_44,Synchronizing Groups for the 'Mason_Malaysia_44' account.
07/09/2022 01:27:20,Mason_Malaysia_44,Birthday Sync - for the 'Mason_Malaysia_44' account URL: https://www.facebook.com/me
07/09/2022 01:27:20,Mason_Malaysia_49,Change language to English - 'Mason_Malaysia_49' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 01:27:43,Mason_Malaysia_49,Change language to English - Error executing for the 'Mason_Malaysia_49' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/09/2022 01:27:44,Mason_Malaysia_49,Synchronizing Groups for the 'Mason_Malaysia_49' account.
07/09/2022 01:27:59,Mason_Malaysia_44,Checking restrictions for the 'Mason_Malaysia_44' account done. URL: https://www.facebook.com/me
07/09/2022 01:28:02,Mason_Malaysia_44,Checking restrictions for the 'Mason_Malaysia_44' account
07/09/2022 01:28:23,Mason_Malaysia_44,Checking restrictions for the 'Mason_Malaysia_44' account done.
07/09/2022 01:28:35,Mason_Malaysia_49,Birthday Sync - for the 'Mason_Malaysia_49' account URL: https://www.facebook.com/me
07/09/2022 01:28:35,Mason_Malaysia_25,Change language to English - 'Mason_Malaysia_25' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
