Date,Account,Status
07/27/2022 03:10:47,,Jarvee 3.3.1.1 is now active
08/04/2022 01:53:01,,Jarvee 3.3.1.1 is now active
08/04/2022 01:58:44,Rinz_Malaysia9,Change language to English - 'Rinz_Malaysia9' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/04/2022 01:58:44,Rinz_Malaysia1,Change language to English - 'Rinz_Malaysia1' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/04/2022 01:58:44,Rinz_Malaysia65,Change language to English - 'Rinz_Malaysia65' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/04/2022 01:58:44,Rinz_Malaysia20,Change language to English - 'Rinz_Malaysia20' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/04/2022 01:58:44,Rinz_Malaysia7,Change language to English - 'Rinz_Malaysia7' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/04/2022 01:59:09,Rinz_Malaysia7,Change language to English - Error executing for the 'Rinz_Malaysia7' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/04/2022 01:59:11,Rinz_Malaysia7,Synchronizing Pages for the 'Rinz_Malaysia7' account.
08/04/2022 01:59:12,Rinz_Malaysia9,Change language to English - Error executing for the 'Rinz_Malaysia9' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/04/2022 01:59:13,Rinz_Malaysia65,Change language to English - Error executing for the 'Rinz_Malaysia65' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/04/2022 01:59:16,Rinz_Malaysia20,Change language to English - Error executing for the 'Rinz_Malaysia20' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/04/2022 01:59:18,Rinz_Malaysia20,Synchronizing Pages for the 'Rinz_Malaysia20' account.
08/04/2022 01:59:21,Rinz_Malaysia1,Change language to English - Error executing for the 'Rinz_Malaysia1' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/04/2022 01:59:24,Rinz_Malaysia1,Birthday Sync - for the 'Rinz_Malaysia1' account URL: https://www.facebook.com/me
08/04/2022 01:59:57,Rinz_Malaysia64,Change language to English - 'Rinz_Malaysia64' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/04/2022 02:00:01,Rinz_Malaysia11,Change language to English - 'Rinz_Malaysia11' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/04/2022 02:00:15,Rinz_Malaysia1,Checking restrictions for the 'Rinz_Malaysia1' account done. URL: https://www.facebook.com/me
08/04/2022 02:00:16,Rinz_Malaysia1,Checking restrictions for the 'Rinz_Malaysia1' account
08/04/2022 02:00:23,Rinz_Malaysia7,Finalized pages synchronization for the 'Rinz_Malaysia7' account.
08/04/2022 02:00:23,Rinz_Malaysia11,Change language to English - Error executing for the 'Rinz_Malaysia11' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/04/2022 02:00:25,Rinz_Malaysia11,Synchronizing Pages for the 'Rinz_Malaysia11' account.
08/04/2022 02:00:27,Rinz_Malaysia64,Change language to English - Error executing for the 'Rinz_Malaysia64' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/04/2022 02:00:38,Rinz_Malaysia20,Finalized pages synchronization for the 'Rinz_Malaysia20' account.
08/04/2022 02:00:40,Rinz_Malaysia1,Checking restrictions for the 'Rinz_Malaysia1' account done.
08/04/2022 02:00:40,Rinz_Malaysia1,Synchronizing Number of Followers for the 'Rinz_Malaysia1' account
08/04/2022 02:00:40,Rinz_Malaysia20,Birthday Sync - for the 'Rinz_Malaysia20' account URL: https://www.facebook.com/me
08/04/2022 02:01:02,Rinz_Malaysia62,Change language to English - 'Rinz_Malaysia62' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/04/2022 02:01:03,Rinz_Malaysia1,Finalized Number of Followers synchronization for the 'Rinz_Malaysia1' account.
08/04/2022 02:01:05,Rinz_Malaysia1,Synchronizing Groups for the 'Rinz_Malaysia1' account.
08/04/2022 02:01:14,Rinz_Malaysia31,Change language to English - 'Rinz_Malaysia31' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/04/2022 02:01:32,Rinz_Malaysia62,Change language to English - Error executing for the 'Rinz_Malaysia62' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/04/2022 02:01:36,Rinz_Malaysia20,Checking restrictions for the 'Rinz_Malaysia20' account done. URL: https://www.facebook.com/me
08/04/2022 02:01:38,Rinz_Malaysia20,Checking restrictions for the 'Rinz_Malaysia20' account
