Date,Account,Status
09/09/2022 08:33:37,,Jarvee 3.3.1.1 is now active
11/05/2022 07:08:17,,Jarvee 3.3.1.1 is now active
11/05/2022 07:12:37,Wick_Malaysia_01,Group Joiner - 'Wick_Malaysia_01' -  is active
11/05/2022 07:12:40,Wick_Malaysia_01,Group Joiner - 'Wick_Malaysia_01' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/05/2022 07:12:45,Wick_Malaysia_02,Group Joiner - 'Wick_Malaysia_02' -  is active
11/05/2022 07:12:45,Wick_Malaysia_03,Group Joiner - 'Wick_Malaysia_03' -  is active
11/05/2022 07:12:45,Wick_Malaysia_04,Group Joiner - 'Wick_Malaysia_04' -  is active
11/05/2022 07:12:45,Wick_Malaysia_05,Group Joiner - 'Wick_Malaysia_05' -  is active
11/05/2022 07:12:45,Wick_Malaysia_06,Group Joiner - 'Wick_Malaysia_06' -  is active
11/05/2022 07:12:45,Wick_Malaysia_07,Group Joiner - 'Wick_Malaysia_07' -  is active
11/05/2022 07:12:45,Wick_Malaysia_08,Group Joiner - 'Wick_Malaysia_08' -  is active
11/05/2022 07:12:45,Wick_Malaysia_09,Group Joiner - 'Wick_Malaysia_09' -  is active
11/05/2022 07:12:45,Wick_Malaysia_10,Group Joiner - 'Wick_Malaysia_10' -  is active
11/05/2022 07:12:45,Wick_Malaysia_11,Group Joiner - 'Wick_Malaysia_11' -  is active
11/05/2022 07:12:45,Wick_Malaysia_12,Group Joiner - 'Wick_Malaysia_12' -  is active
11/05/2022 07:12:45,Wick_Malaysia_13,Group Joiner - 'Wick_Malaysia_13' -  is active
11/05/2022 07:12:45,Wick_Malaysia_14,Group Joiner - 'Wick_Malaysia_14' -  is active
11/05/2022 07:12:45,Wick_Malaysia_15,Group Joiner - 'Wick_Malaysia_15' -  is active
11/05/2022 07:12:45,Wick_Malaysia_16,Group Joiner - 'Wick_Malaysia_16' -  is active
11/05/2022 07:12:45,Wick_Malaysia_17,Group Joiner - 'Wick_Malaysia_17' -  is active
11/05/2022 07:12:45,Wick_Malaysia_18,Group Joiner - 'Wick_Malaysia_18' -  is active
11/05/2022 07:12:45,Wick_Malaysia_19,Group Joiner - 'Wick_Malaysia_19' -  is active
11/05/2022 07:12:45,Wick_Malaysia_20,Group Joiner - 'Wick_Malaysia_20' -  is active
11/05/2022 07:12:45,Wick_Malaysia_21,Group Joiner - 'Wick_Malaysia_21' -  is active
11/05/2022 07:12:45,Wick_Malaysia_22,Group Joiner - 'Wick_Malaysia_22' -  is active
11/05/2022 07:12:45,Wick_Malaysia_23,Group Joiner - 'Wick_Malaysia_23' -  is active
11/05/2022 07:12:45,Wick_Malaysia_24,Group Joiner - 'Wick_Malaysia_24' -  is active
11/05/2022 07:12:45,Wick_Malaysia_25,Group Joiner - 'Wick_Malaysia_25' -  is active
11/05/2022 07:12:45,Wick_Malaysia_26,Group Joiner - 'Wick_Malaysia_26' -  is active
11/05/2022 07:12:45,Wick_Malaysia_27,Group Joiner - 'Wick_Malaysia_27' -  is active
11/05/2022 07:12:45,Wick_Malaysia_28,Group Joiner - 'Wick_Malaysia_28' -  is active
11/05/2022 07:12:45,Wick_Malaysia_29,Group Joiner - 'Wick_Malaysia_29' -  is active
11/05/2022 07:12:45,Wick_Malaysia_30,Group Joiner - 'Wick_Malaysia_30' -  is active
11/05/2022 07:12:45,Wick_Malaysia_31,Group Joiner - 'Wick_Malaysia_31' -  is active
11/05/2022 07:12:45,Wick_Malaysia_32,Group Joiner - 'Wick_Malaysia_32' -  is active
11/05/2022 07:12:45,Wick_Malaysia_33,Group Joiner - 'Wick_Malaysia_33' -  is active
11/05/2022 07:12:45,Wick_Malaysia_34,Group Joiner - 'Wick_Malaysia_34' -  is active
11/05/2022 07:12:45,Wick_Malaysia_35,Group Joiner - 'Wick_Malaysia_35' -  is active
11/05/2022 07:12:45,Wick_Malaysia_36,Group Joiner - 'Wick_Malaysia_36' -  is active
11/05/2022 07:12:45,Wick_Malaysia_37,Group Joiner - 'Wick_Malaysia_37' -  is active
11/05/2022 07:12:45,Wick_Malaysia_38,Group Joiner - 'Wick_Malaysia_38' -  is active
11/05/2022 07:12:45,Wick_Malaysia_39,Group Joiner - 'Wick_Malaysia_39' -  is active
11/05/2022 07:12:45,Wick_Malaysia_40,Group Joiner - 'Wick_Malaysia_40' -  is active
11/05/2022 07:12:45,Wick_Malaysia_41,Group Joiner - 'Wick_Malaysia_41' -  is active
11/05/2022 07:12:45,Wick_Malaysia_42,Group Joiner - 'Wick_Malaysia_42' -  is active
11/05/2022 07:12:45,Wick_Malaysia_43,Group Joiner - 'Wick_Malaysia_43' -  is active
11/05/2022 07:12:45,Wick_Malaysia_44,Group Joiner - 'Wick_Malaysia_44' -  is active
11/05/2022 07:12:45,Wick_Malaysia_45,Group Joiner - 'Wick_Malaysia_45' -  is active
11/05/2022 07:12:45,Wick_Malaysia_46,Group Joiner - 'Wick_Malaysia_46' -  is active
