Date,Account,Status
07/15/2022 22:50:21,,Jarvee 3.3.1.1 is now active
07/15/2022 22:52:55,,Jarvee 3.3.1.1 is now active
07/17/2022 05:23:13,,Jarvee 3.3.1.1 is now active
07/20/2022 09:25:14,,Jarvee 3.3.1.1 is now active
08/06/2022 05:10:19,,Jarvee 3.3.1.1 is now active
08/06/2022 05:15:21,Noah_Malaysia_454,Change language to English - 'Noah_Malaysia_454' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:15:21,Noah_Malaysia_438,Change language to English - 'Noah_Malaysia_438' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:15:21,Noah_Malaysia_449,Change language to English - 'Noah_Malaysia_449' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:15:21,Noah_Malaysia_441,Change language to English - 'Noah_Malaysia_441' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:15:53,Noah_Malaysia_454,Change language to English - Error executing for the 'Noah_Malaysia_454' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:15:55,Noah_Malaysia_454,Birthday Sync - for the 'Noah_Malaysia_454' account URL: https://www.facebook.com/me
08/06/2022 05:16:05,Noah_Malaysia_441,Change language to English - Error executing for the 'Noah_Malaysia_441' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:16:07,Noah_Malaysia_441,Synchronizing Pages for the 'Noah_Malaysia_441' account.
08/06/2022 05:16:19,Noah_Malaysia_450,Change language to English - 'Noah_Malaysia_450' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:16:46,Noah_Malaysia_454,Birthday Sync - Error executing for the 'Noah_Malaysia_454' account. : code  44  - About tag not found URL: https://www.facebook.com/me
08/06/2022 05:16:47,Noah_Malaysia_454,Checking restrictions for the 'Noah_Malaysia_454' account
08/06/2022 05:17:07,Noah_Malaysia_454,Checking restrictions for the 'Noah_Malaysia_454' account done.
08/06/2022 05:17:08,Noah_Malaysia_454,Synchronizing Number of Followers for the 'Noah_Malaysia_454' account
08/06/2022 05:17:23,Noah_Malaysia_441,Finalized pages synchronization for the 'Noah_Malaysia_441' account.
08/06/2022 05:17:23,Noah_Malaysia_441,Synchronizing Groups for the 'Noah_Malaysia_441' account.
08/06/2022 05:17:34,Noah_Malaysia_454,Finalized Number of Followers synchronization for the 'Noah_Malaysia_454' account.
08/06/2022 05:18:21,Noah_Malaysia_479,Change language to English - 'Noah_Malaysia_479' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:18:23,Noah_Malaysia_449,Change language to English - Error executing for the 'Noah_Malaysia_449' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:18:24,Noah_Malaysia_449,Birthday Sync - for the 'Noah_Malaysia_449' account URL: https://www.facebook.com/me
08/06/2022 05:18:25,Noah_Malaysia_438,Change language to English - Error executing for the 'Noah_Malaysia_438' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:18:27,Noah_Malaysia_438,Birthday Sync - for the 'Noah_Malaysia_438' account URL: https://www.facebook.com/me
08/06/2022 05:18:36,Noah_Malaysia_450,Change language to English - Error executing for the 'Noah_Malaysia_450' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:18:37,Noah_Malaysia_450,Synchronizing Pages for the 'Noah_Malaysia_450' account.
08/06/2022 05:19:00,Noah_Malaysia_479,Change language to English - Error executing for the 'Noah_Malaysia_479' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:19:21,Noah_Malaysia_449,Checking restrictions for the 'Noah_Malaysia_449' account done. URL: https://www.facebook.com/me
08/06/2022 05:19:22,Noah_Malaysia_449,Checking restrictions for the 'Noah_Malaysia_449' account
08/06/2022 05:19:45,Noah_Malaysia_449,Checking restrictions for the 'Noah_Malaysia_449' account done.
08/06/2022 05:19:46,Noah_Malaysia_449,Synchronizing Number of Followers for the 'Noah_Malaysia_449' account
08/06/2022 05:19:49,Noah_Malaysia_475,Change language to English - 'Noah_Malaysia_475' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:20:02,Noah_Malaysia_483,Change language to English - 'Noah_Malaysia_483' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:20:24,Noah_Malaysia_449,Finalized Number of Followers synchronization for the 'Noah_Malaysia_449' account.
08/06/2022 05:20:27,Noah_Malaysia_449,Synchronizing Groups for the 'Noah_Malaysia_449' account.
08/06/2022 05:20:27,Noah_Malaysia_475,Change language to English - Error executing for the 'Noah_Malaysia_475' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:20:30,Noah_Malaysia_475,Synchronizing Groups for the 'Noah_Malaysia_475' account.
08/06/2022 05:20:32,Noah_Malaysia_483,Change language to English - Error executing for the 'Noah_Malaysia_483' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:20:33,Noah_Malaysia_483,Synchronizing Groups for the 'Noah_Malaysia_483' account.
08/06/2022 05:20:56,Noah_Malaysia_450,Error synchronizing pages for the 'Noah_Malaysia_450' account. : code  3  - Not logged in Facebook.
08/06/2022 05:20:57,Noah_Malaysia_450,Executing a Login operation for the 'Noah_Malaysia_450' account.
08/06/2022 05:20:57,Noah_Malaysia_439,Change language to English - 'Noah_Malaysia_439' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:21:22,Noah_Malaysia_438,Birthday Sync - Error executing for the 'Noah_Malaysia_438' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/me
08/06/2022 05:21:25,Noah_Malaysia_438,Checking restrictions for the 'Noah_Malaysia_438' account
08/06/2022 05:21:31,Noah_Malaysia_439,Change language to English - Error executing for the 'Noah_Malaysia_439' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:21:58,Noah_Malaysia_449,Synchronizing Pages for the 'Noah_Malaysia_449' account.
08/06/2022 05:21:58,Noah_Malaysia_475,Synchronizing Pages for the 'Noah_Malaysia_475' account.
08/06/2022 05:22:02,Noah_Malaysia_483,Birthday Sync - for the 'Noah_Malaysia_483' account URL: https://www.facebook.com/me
08/06/2022 05:22:08,Noah_Malaysia_423,Change language to English - 'Noah_Malaysia_423' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:22:48,Noah_Malaysia_423,Change language to English - Noah_Malaysia_423 - Finished operation
08/06/2022 05:22:48,Noah_Malaysia_483,Birthday Sync - Error executing for the 'Noah_Malaysia_483' account. : code  44  - About tag not found URL: https://www.facebook.com/me
08/06/2022 05:22:50,Noah_Malaysia_423,Birthday Sync - for the 'Noah_Malaysia_423' account URL: https://www.facebook.com/me
08/06/2022 05:22:50,Noah_Malaysia_483,Checking restrictions for the 'Noah_Malaysia_483' account
08/06/2022 05:23:12,Noah_Malaysia_475,Finalized pages synchronization for the 'Noah_Malaysia_475' account.
08/06/2022 05:23:14,Noah_Malaysia_475,Birthday Sync - for the 'Noah_Malaysia_475' account URL: https://www.facebook.com/me
08/06/2022 05:23:15,Noah_Malaysia_483,Checking restrictions for the 'Noah_Malaysia_483' account done.
08/06/2022 05:23:18,Noah_Malaysia_483,Synchronizing Number of Followers for the 'Noah_Malaysia_483' account
08/06/2022 05:23:18,Noah_Malaysia_449,Finalized pages synchronization for the 'Noah_Malaysia_449' account.
08/06/2022 05:23:43,Noah_Malaysia_483,Finalized Number of Followers synchronization for the 'Noah_Malaysia_483' account.
08/06/2022 05:23:48,Noah_Malaysia_423,Checking restrictions for the 'Noah_Malaysia_423' account done. URL: https://www.facebook.com/me
08/06/2022 05:23:51,Noah_Malaysia_423,Checking restrictions for the 'Noah_Malaysia_423' account
08/06/2022 05:23:53,Noah_Malaysia_450,Error executing Login Operation for 'Noah_Malaysia_450': code  581  - Proxy error - Check proxy settings. Will try again in one minute.
08/06/2022 05:23:58,Noah_Malaysia_475,Birthday Sync - Error executing for the 'Noah_Malaysia_475' account. : code  44  - About tag not found URL: https://www.facebook.com/me
08/06/2022 05:24:00,Noah_Malaysia_475,Checking restrictions for the 'Noah_Malaysia_475' account
08/06/2022 05:24:09,Noah_Malaysia_447,Change language to English - 'Noah_Malaysia_447' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:24:18,Noah_Malaysia_423,Checking restrictions for the 'Noah_Malaysia_423' account done.
08/06/2022 05:24:19,Noah_Malaysia_423,Synchronizing Number of Followers for the 'Noah_Malaysia_423' account
08/06/2022 05:24:20,Noah_Malaysia_438,Checking restrictions - Error executing for the 'Noah_Malaysia_438' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/support/
08/06/2022 05:24:22,Noah_Malaysia_438,Synchronizing Number of Followers for the 'Noah_Malaysia_438' account
08/06/2022 05:24:25,Noah_Malaysia_475,Checking restrictions for the 'Noah_Malaysia_475' account done.
08/06/2022 05:24:25,Noah_Malaysia_426,Change language to English - 'Noah_Malaysia_426' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:24:25,Noah_Malaysia_475,Synchronizing Number of Followers for the 'Noah_Malaysia_475' account
08/06/2022 05:24:46,Noah_Malaysia_447,Change language to English - Error executing for the 'Noah_Malaysia_447' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:24:46,Noah_Malaysia_447,Synchronizing Groups for the 'Noah_Malaysia_447' account.
08/06/2022 05:24:52,Noah_Malaysia_475,Finalized Number of Followers synchronization for the 'Noah_Malaysia_475' account.
08/06/2022 05:24:54,Noah_Malaysia_426,Change language to English - Error executing for the 'Noah_Malaysia_426' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:24:55,Noah_Malaysia_426,Synchronizing Pages for the 'Noah_Malaysia_426' account.
08/06/2022 05:24:59,Noah_Malaysia_423,Finalized Number of Followers synchronization for the 'Noah_Malaysia_423' account.
08/06/2022 05:25:41,Noah_Malaysia_465,Change language to English - 'Noah_Malaysia_465' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:25:41,Noah_Malaysia_490,Change language to English - 'Noah_Malaysia_490' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:26:06,Noah_Malaysia_426,Finalized pages synchronization for the 'Noah_Malaysia_426' account.
08/06/2022 05:26:09,Noah_Malaysia_426,Birthday Sync - for the 'Noah_Malaysia_426' account URL: https://www.facebook.com/me
08/06/2022 05:26:16,Noah_Malaysia_490,Change language to English - Error executing for the 'Noah_Malaysia_490' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:26:18,Noah_Malaysia_490,Synchronizing Pages for the 'Noah_Malaysia_490' account.
08/06/2022 05:27:01,Noah_Malaysia_426,Checking restrictions for the 'Noah_Malaysia_426' account done. URL: https://www.facebook.com/me
08/06/2022 05:27:04,Noah_Malaysia_426,Checking restrictions for the 'Noah_Malaysia_426' account
08/06/2022 05:27:10,Noah_Malaysia_430,Change language to English - 'Noah_Malaysia_430' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:27:16,Noah_Malaysia_438,Error synchronizing Number of Followers for the 'Noah_Malaysia_438' account. : code  581  - Proxy error - Check proxy settings. URL: https://www.facebook.com/me
08/06/2022 05:27:19,Noah_Malaysia_424,Change language to English - 'Noah_Malaysia_424' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:27:25,Noah_Malaysia_426,Checking restrictions for the 'Noah_Malaysia_426' account done.
08/06/2022 05:27:28,Noah_Malaysia_426,Synchronizing Number of Followers for the 'Noah_Malaysia_426' account
08/06/2022 05:27:30,Noah_Malaysia_490,Finalized pages synchronization for the 'Noah_Malaysia_490' account.
08/06/2022 05:27:42,Noah_Malaysia_430,Change language to English - Error executing for the 'Noah_Malaysia_430' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:27:43,Noah_Malaysia_430,Synchronizing Groups for the 'Noah_Malaysia_430' account.
08/06/2022 05:27:52,Noah_Malaysia_424,Change language to English - Error executing for the 'Noah_Malaysia_424' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:27:52,Noah_Malaysia_426,Finalized Number of Followers synchronization for the 'Noah_Malaysia_426' account.
08/06/2022 05:27:52,Noah_Malaysia_424,Birthday Sync - for the 'Noah_Malaysia_424' account URL: https://www.facebook.com/me
08/06/2022 05:27:55,Noah_Malaysia_436,Change language to English - 'Noah_Malaysia_436' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:28:16,Noah_Malaysia_481,Change language to English - 'Noah_Malaysia_481' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:28:38,Noah_Malaysia_436,Change language to English - Noah_Malaysia_436 - Finished operation
08/06/2022 05:28:39,Noah_Malaysia_465,Change language to English - Error executing for the 'Noah_Malaysia_465' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:28:39,Noah_Malaysia_424,Birthday Sync - Error executing for the 'Noah_Malaysia_424' account. : code  44  - About tag not found URL: https://www.facebook.com/me
08/06/2022 05:28:41,Noah_Malaysia_465,Synchronizing Pages for the 'Noah_Malaysia_465' account.
08/06/2022 05:28:41,Noah_Malaysia_424,Checking restrictions for the 'Noah_Malaysia_424' account
08/06/2022 05:28:42,Noah_Malaysia_481,Change language to English - Error executing for the 'Noah_Malaysia_481' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:28:44,Noah_Malaysia_481,Synchronizing Pages for the 'Noah_Malaysia_481' account.
08/06/2022 05:29:04,Noah_Malaysia_424,Checking restrictions for the 'Noah_Malaysia_424' account done.
08/06/2022 05:29:05,Noah_Malaysia_424,Synchronizing Number of Followers for the 'Noah_Malaysia_424' account
08/06/2022 05:29:21,Noah_Malaysia_430,Synchronizing Pages for the 'Noah_Malaysia_430' account.
08/06/2022 05:29:30,Noah_Malaysia_452,Change language to English - 'Noah_Malaysia_452' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:29:39,Noah_Malaysia_424,Finalized Number of Followers synchronization for the 'Noah_Malaysia_424' account.
08/06/2022 05:29:46,Noah_Malaysia_481,Finalized pages synchronization for the 'Noah_Malaysia_481' account.
08/06/2022 05:29:48,Noah_Malaysia_481,Birthday Sync - for the 'Noah_Malaysia_481' account URL: https://www.facebook.com/me
08/06/2022 05:30:06,Noah_Malaysia_452,Change language to English - Noah_Malaysia_452 - Finished operation
08/06/2022 05:30:06,Noah_Malaysia_452,Birthday Sync - for the 'Noah_Malaysia_452' account URL: https://www.facebook.com/me
08/06/2022 05:30:22,Noah_Malaysia_456,Change language to English - 'Noah_Malaysia_456' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:30:24,Noah_Malaysia_465,Error synchronizing pages for the 'Noah_Malaysia_465' account. : code  3  - Not logged in Facebook.
08/06/2022 05:30:28,Noah_Malaysia_446,Change language to English - 'Noah_Malaysia_446' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:30:28,Noah_Malaysia_465,Executing a Login operation for the 'Noah_Malaysia_465' account.
08/06/2022 05:30:28,Noah_Malaysia_430,Finalized pages synchronization for the 'Noah_Malaysia_430' account.
08/06/2022 05:30:31,Noah_Malaysia_430,Birthday Sync - for the 'Noah_Malaysia_430' account URL: https://www.facebook.com/me
08/06/2022 05:30:50,Noah_Malaysia_452,Birthday Sync - Error executing for the 'Noah_Malaysia_452' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
08/06/2022 05:30:52,Noah_Malaysia_452,Checking restrictions for the 'Noah_Malaysia_452' account
08/06/2022 05:31:00,Noah_Malaysia_456,Change language to English - Error executing for the 'Noah_Malaysia_456' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:31:05,Noah_Malaysia_446,Change language to English - Error executing for the 'Noah_Malaysia_446' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:31:08,Noah_Malaysia_452,Checking restrictions for the 'Noah_Malaysia_452' account done.
08/06/2022 05:31:11,Noah_Malaysia_452,Synchronizing Number of Followers for the 'Noah_Malaysia_452' account
08/06/2022 05:31:21,Noah_Malaysia_430,Checking restrictions for the 'Noah_Malaysia_430' account done. URL: https://www.facebook.com/me
08/06/2022 05:31:23,Noah_Malaysia_430,Checking restrictions for the 'Noah_Malaysia_430' account
08/06/2022 05:31:28,Noah_Malaysia_452,Finalized Number of Followers synchronization for the 'Noah_Malaysia_452' account.
08/06/2022 05:31:29,Noah_Malaysia_452,Synchronizing Groups for the 'Noah_Malaysia_452' account.
08/06/2022 05:31:41,Noah_Malaysia_457,Change language to English - 'Noah_Malaysia_457' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:31:45,Noah_Malaysia_430,Checking restrictions for the 'Noah_Malaysia_430' account done.
08/06/2022 05:31:47,Noah_Malaysia_430,Synchronizing Number of Followers for the 'Noah_Malaysia_430' account
08/06/2022 05:31:56,Noah_Malaysia_462,Change language to English - 'Noah_Malaysia_462' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:32:13,Noah_Malaysia_430,Finalized Number of Followers synchronization for the 'Noah_Malaysia_430' account.
08/06/2022 05:32:15,Noah_Malaysia_457,Change language to English - Error executing for the 'Noah_Malaysia_457' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:32:18,Noah_Malaysia_457,Synchronizing Groups for the 'Noah_Malaysia_457' account.
08/06/2022 05:32:33,Noah_Malaysia_462,Change language to English - Error executing for the 'Noah_Malaysia_462' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:32:33,Noah_Malaysia_462,Birthday Sync - for the 'Noah_Malaysia_462' account URL: https://www.facebook.com/me
08/06/2022 05:32:54,Noah_Malaysia_455,Change language to English - 'Noah_Malaysia_455' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:33:14,Noah_Malaysia_481,Birthday Sync - Error executing for the 'Noah_Malaysia_481' account. : code  168  - Timeout occured. URL: https://www.facebook.com/me
08/06/2022 05:33:15,Noah_Malaysia_481,Checking restrictions for the 'Noah_Malaysia_481' account
08/06/2022 05:33:24,Noah_Malaysia_462,Checking restrictions for the 'Noah_Malaysia_462' account done. URL: https://www.facebook.com/me
08/06/2022 05:33:24,Noah_Malaysia_462,Checking restrictions for the 'Noah_Malaysia_462' account
08/06/2022 05:33:25,Noah_Malaysia_465,Error executing Login Operation for 'Noah_Malaysia_465': code  581  - Proxy error - Check proxy settings. Will try again in one minute.
08/06/2022 05:33:28,Noah_Malaysia_461,Change language to English - 'Noah_Malaysia_461' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:33:33,Noah_Malaysia_455,Change language to English - Error executing for the 'Noah_Malaysia_455' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:33:34,Noah_Malaysia_455,Birthday Sync - for the 'Noah_Malaysia_455' account URL: https://www.facebook.com/me
08/06/2022 05:33:45,Noah_Malaysia_462,Checking restrictions for the 'Noah_Malaysia_462' account done.
08/06/2022 05:33:46,Noah_Malaysia_462,Synchronizing Number of Followers for the 'Noah_Malaysia_462' account
08/06/2022 05:33:50,Noah_Malaysia_481,Checking restrictions for the 'Noah_Malaysia_481' account done.
08/06/2022 05:33:52,Noah_Malaysia_481,Synchronizing Number of Followers for the 'Noah_Malaysia_481' account
08/06/2022 05:33:58,Noah_Malaysia_457,Birthday Sync - for the 'Noah_Malaysia_457' account URL: https://www.facebook.com/me
08/06/2022 05:34:05,Noah_Malaysia_461,Change language to English - Error executing for the 'Noah_Malaysia_461' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 05:34:07,Noah_Malaysia_461,Synchronizing Groups for the 'Noah_Malaysia_461' account.
08/06/2022 05:34:15,Noah_Malaysia_462,Finalized Number of Followers synchronization for the 'Noah_Malaysia_462' account.
08/06/2022 05:34:16,Noah_Malaysia_462,Synchronizing Pages for the 'Noah_Malaysia_462' account.
08/06/2022 05:34:24,Noah_Malaysia_481,Finalized Number of Followers synchronization for the 'Noah_Malaysia_481' account.
08/06/2022 05:34:27,Noah_Malaysia_455,Birthday Sync - Error executing for the 'Noah_Malaysia_455' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
08/06/2022 05:34:29,Noah_Malaysia_455,Checking restrictions for the 'Noah_Malaysia_455' account
08/06/2022 05:34:47,Noah_Malaysia_455,Checking restrictions for the 'Noah_Malaysia_455' account done.
08/06/2022 05:34:47,Noah_Malaysia_455,Synchronizing Number of Followers for the 'Noah_Malaysia_455' account
08/06/2022 05:34:50,Noah_Malaysia_457,Checking restrictions for the 'Noah_Malaysia_457' account done. URL: https://www.facebook.com/me
08/06/2022 05:34:50,Noah_Malaysia_457,Checking restrictions for the 'Noah_Malaysia_457' account
08/06/2022 05:35:09,Noah_Malaysia_463,Change language to English - 'Noah_Malaysia_463' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 05:35:09,Noah_Malaysia_457,Checking restrictions for the 'Noah_Malaysia_457' account done.
08/06/2022 05:35:10,Noah_Malaysia_455,Finalized Number of Followers synchronization for the 'Noah_Malaysia_455' account.
08/06/2022 05:35:12,Noah_Malaysia_457,Synchronizing Number of Followers for the 'Noah_Malaysia_457' account
08/06/2022 05:35:12,Noah_Malaysia_455,Synchronizing Pages for the 'Noah_Malaysia_455' account.
08/06/2022 05:35:31,Noah_Malaysia_462,Finalized pages synchronization for the 'Noah_Malaysia_462' account.
08/06/2022 05:35:33,Noah_Malaysia_462,Synchronizing Groups for the 'Noah_Malaysia_462' account.
08/06/2022 05:35:45,Noah_Malaysia_457,Finalized Number of Followers synchronization for the 'Noah_Malaysia_457' account.
