Date,Account,Status
08/16/2022 05:30:27,,Jarvee 3.3.1.1 is now active
08/17/2022 01:29:45,,Jarvee 3.3.1.1 is now active
08/20/2022 09:35:51,,Jarvee 3.3.1.1 is now active
10/20/2022 05:59:19,,Jarvee 3.3.1.1 is now active
10/20/2022 06:55:11,Noah_Malaysia_2904,Checking restrictions for the 'Noah_Malaysia_2904' account
10/20/2022 06:55:43,Noah_Malaysia_2904,Checking restrictions for the 'Noah_Malaysia_2904' account done.
10/20/2022 06:55:45,Noah_Malaysia_2904,Synchronizing Groups for the 'Noah_Malaysia_2904' account.
10/20/2022 06:56:59,Noah_Malaysia_2904,Finalized group synchronization for the 'Noah_Malaysia_2904' account.
10/20/2022 06:57:00,Noah_Malaysia_2891,Checking restrictions for the 'Noah_Malaysia_2891' account
10/20/2022 06:57:00,Noah_Malaysia_2904,Birthday Sync - for the 'Noah_Malaysia_2904' account URL: https://www.facebook.com/me
10/20/2022 06:57:34,Noah_Malaysia_2891,Checking restrictions for the 'Noah_Malaysia_2891' account done.
10/20/2022 06:57:34,Noah_Malaysia_2891,Synchronizing Groups for the 'Noah_Malaysia_2891' account.
10/20/2022 06:57:40,Noah_Malaysia_2904,Checking restrictions for the 'Noah_Malaysia_2904' account done. URL: https://www.facebook.com/me
10/20/2022 06:58:47,Noah_Malaysia_2891,Finalized group synchronization for the 'Noah_Malaysia_2891' account.
10/20/2022 06:58:49,Noah_Malaysia_2891,Birthday Sync - for the 'Noah_Malaysia_2891' account URL: https://www.facebook.com/me
10/20/2022 06:58:49,Noah_Malaysia_2929,Checking restrictions for the 'Noah_Malaysia_2929' account
10/20/2022 06:59:25,Noah_Malaysia_2929,Checking restrictions for the 'Noah_Malaysia_2929' account done.
10/20/2022 06:59:26,Noah_Malaysia_2929,Synchronizing Groups for the 'Noah_Malaysia_2929' account.
10/20/2022 06:59:30,Noah_Malaysia_2891,Checking restrictions for the 'Noah_Malaysia_2891' account done. URL: https://www.facebook.com/me
10/20/2022 07:00:24,Noah_Malaysia_2929,Finalized group synchronization for the 'Noah_Malaysia_2929' account.
10/20/2022 07:00:26,Noah_Malaysia_2879,Checking restrictions for the 'Noah_Malaysia_2879' account
10/20/2022 07:00:26,Noah_Malaysia_2929,Birthday Sync - for the 'Noah_Malaysia_2929' account URL: https://www.facebook.com/me
10/20/2022 07:00:55,Noah_Malaysia_2879,Checking restrictions for the 'Noah_Malaysia_2879' account done.
10/20/2022 07:00:57,Noah_Malaysia_2879,Synchronizing Groups for the 'Noah_Malaysia_2879' account.
10/20/2022 07:01:00,Noah_Malaysia_2929,Birthday Sync - Error executing for the 'Noah_Malaysia_2929' account. : code  44  - About tag not found URL: https://www.facebook.com/me
10/20/2022 07:01:45,Noah_Malaysia_2879,Finalized group synchronization for the 'Noah_Malaysia_2879' account.
10/20/2022 07:01:45,Noah_Malaysia_2879,Birthday Sync - for the 'Noah_Malaysia_2879' account URL: https://www.facebook.com/me
10/20/2022 07:01:48,Noah_Malaysia_2871,Synchronizing Groups for the 'Noah_Malaysia_2871' account.
10/20/2022 07:02:27,Noah_Malaysia_2879,Checking restrictions for the 'Noah_Malaysia_2879' account done. URL: https://www.facebook.com/me
10/20/2022 07:03:08,Noah_Malaysia_2871,Finalized group synchronization for the 'Noah_Malaysia_2871' account.
10/20/2022 07:03:10,Noah_Malaysia_2871,Birthday Sync - for the 'Noah_Malaysia_2871' account URL: https://www.facebook.com/me
10/20/2022 07:03:10,Noah_Malaysia_2915,Checking restrictions for the 'Noah_Malaysia_2915' account
10/20/2022 07:03:43,Noah_Malaysia_2915,Checking restrictions for the 'Noah_Malaysia_2915' account done.
10/20/2022 07:03:46,Noah_Malaysia_2915,Synchronizing Groups for the 'Noah_Malaysia_2915' account.
10/20/2022 07:03:48,Noah_Malaysia_2871,Birthday Sync - Error executing for the 'Noah_Malaysia_2871' account. : code  44  - About tag not found URL: https://www.facebook.com/me
10/20/2022 07:03:49,Noah_Malaysia_2871,Checking restrictions for the 'Noah_Malaysia_2871' account
10/20/2022 07:04:19,Noah_Malaysia_2871,Checking restrictions for the 'Noah_Malaysia_2871' account done.
10/20/2022 07:05:02,Noah_Malaysia_2915,Finalized group synchronization for the 'Noah_Malaysia_2915' account.
10/20/2022 07:05:02,Noah_Malaysia_2915,Birthday Sync - for the 'Noah_Malaysia_2915' account URL: https://www.facebook.com/me
10/20/2022 07:05:05,Noah_Malaysia_2918,Synchronizing Groups for the 'Noah_Malaysia_2918' account.
10/20/2022 07:05:41,Noah_Malaysia_2915,Checking restrictions for the 'Noah_Malaysia_2915' account done. URL: https://www.facebook.com/me
10/20/2022 07:06:27,Noah_Malaysia_2918,Finalized group synchronization for the 'Noah_Malaysia_2918' account.
10/20/2022 07:06:30,Noah_Malaysia_2907,Checking restrictions for the 'Noah_Malaysia_2907' account
10/20/2022 07:06:30,Noah_Malaysia_2918,Birthday Sync - for the 'Noah_Malaysia_2918' account URL: https://www.facebook.com/me
10/20/2022 07:07:01,Noah_Malaysia_2907,Checking restrictions for the 'Noah_Malaysia_2907' account done.
10/20/2022 07:07:03,Noah_Malaysia_2907,Synchronizing Groups for the 'Noah_Malaysia_2907' account.
10/20/2022 07:07:12,Noah_Malaysia_2918,Checking restrictions for the 'Noah_Malaysia_2918' account done. URL: https://www.facebook.com/me
10/20/2022 07:07:12,Noah_Malaysia_2918,Checking restrictions for the 'Noah_Malaysia_2918' account
10/20/2022 07:07:38,Noah_Malaysia_2918,Checking restrictions for the 'Noah_Malaysia_2918' account done.
10/20/2022 07:08:22,Noah_Malaysia_2907,Finalized group synchronization for the 'Noah_Malaysia_2907' account.
10/20/2022 07:08:22,Noah_Malaysia_2907,Birthday Sync - for the 'Noah_Malaysia_2907' account URL: https://www.facebook.com/me
10/20/2022 07:08:25,Noah_Malaysia_2917,Checking restrictions for the 'Noah_Malaysia_2917' account
10/20/2022 07:08:56,Noah_Malaysia_2917,Checking restrictions for the 'Noah_Malaysia_2917' account done.
10/20/2022 07:08:57,Noah_Malaysia_2907,Birthday Sync - Error executing for the 'Noah_Malaysia_2907' account. : code  44  - About tag not found URL: https://www.facebook.com/me
10/20/2022 07:08:58,Noah_Malaysia_2917,Synchronizing Groups for the 'Noah_Malaysia_2917' account.
10/20/2022 07:10:08,Noah_Malaysia_2917,Finalized group synchronization for the 'Noah_Malaysia_2917' account.
10/20/2022 07:10:08,Noah_Malaysia_2921,Checking restrictions for the 'Noah_Malaysia_2921' account
10/20/2022 07:10:08,Noah_Malaysia_2917,Birthday Sync - for the 'Noah_Malaysia_2917' account URL: https://www.facebook.com/me
10/20/2022 07:10:43,Noah_Malaysia_2921,Checking restrictions for the 'Noah_Malaysia_2921' account done.
10/20/2022 07:10:44,Noah_Malaysia_2921,Synchronizing Groups for the 'Noah_Malaysia_2921' account.
10/20/2022 07:10:48,Noah_Malaysia_2917,Checking restrictions for the 'Noah_Malaysia_2917' account done. URL: https://www.facebook.com/me
10/20/2022 07:11:37,Noah_Malaysia_2921,Finalized group synchronization for the 'Noah_Malaysia_2921' account.
10/20/2022 07:11:39,Noah_Malaysia_2925,Checking restrictions for the 'Noah_Malaysia_2925' account
10/20/2022 07:11:39,Noah_Malaysia_2921,Birthday Sync - for the 'Noah_Malaysia_2921' account URL: https://www.facebook.com/me
10/20/2022 07:12:12,Noah_Malaysia_2925,Checking restrictions for the 'Noah_Malaysia_2925' account done.
10/20/2022 07:12:12,Noah_Malaysia_2925,Synchronizing Groups for the 'Noah_Malaysia_2925' account.
10/20/2022 07:12:22,Noah_Malaysia_2921,Checking restrictions for the 'Noah_Malaysia_2921' account done. URL: https://www.facebook.com/me
10/20/2022 07:13:20,Noah_Malaysia_2925,Finalized group synchronization for the 'Noah_Malaysia_2925' account.
10/20/2022 07:13:22,Noah_Malaysia_2877,Synchronizing Groups for the 'Noah_Malaysia_2877' account.
10/20/2022 07:13:22,Noah_Malaysia_2925,Birthday Sync - for the 'Noah_Malaysia_2925' account URL: https://www.facebook.com/me
10/20/2022 07:13:58,Noah_Malaysia_2925,Birthday Sync - Error executing for the 'Noah_Malaysia_2925' account. : code  44  - About tag not found URL: https://www.facebook.com/me
10/20/2022 07:14:33,Noah_Malaysia_2877,Finalized group synchronization for the 'Noah_Malaysia_2877' account.
10/20/2022 07:14:35,Noah_Malaysia_2877,Birthday Sync - for the 'Noah_Malaysia_2877' account URL: https://www.facebook.com/me
10/20/2022 07:14:35,Noah_Malaysia_2914,Synchronizing Groups for the 'Noah_Malaysia_2914' account.
10/20/2022 07:15:12,Noah_Malaysia_2877,Birthday Sync - Error executing for the 'Noah_Malaysia_2877' account. : code  44  - About tag not found URL: https://www.facebook.com/me
10/20/2022 07:15:14,Noah_Malaysia_2877,Checking restrictions for the 'Noah_Malaysia_2877' account
10/20/2022 07:15:43,Noah_Malaysia_2877,Checking restrictions for the 'Noah_Malaysia_2877' account done.
10/20/2022 07:15:54,Noah_Malaysia_2914,Finalized group synchronization for the 'Noah_Malaysia_2914' account.
10/20/2022 07:15:57,Noah_Malaysia_2914,Birthday Sync - for the 'Noah_Malaysia_2914' account URL: https://www.facebook.com/me
10/20/2022 07:15:57,Noah_Malaysia_2874,Synchronizing Groups for the 'Noah_Malaysia_2874' account.
10/20/2022 07:16:37,Noah_Malaysia_2914,Checking restrictions for the 'Noah_Malaysia_2914' account done. URL: https://www.facebook.com/me
10/20/2022 07:16:39,Noah_Malaysia_2914,Checking restrictions for the 'Noah_Malaysia_2914' account
10/20/2022 07:16:55,Noah_Malaysia_2874,Finalized group synchronization for the 'Noah_Malaysia_2874' account.
10/20/2022 07:16:57,Noah_Malaysia_2911,Synchronizing Groups for the 'Noah_Malaysia_2911' account.
10/20/2022 07:16:57,Noah_Malaysia_2874,Birthday Sync - for the 'Noah_Malaysia_2874' account URL: https://www.facebook.com/me
10/20/2022 07:17:09,Noah_Malaysia_2914,Checking restrictions for the 'Noah_Malaysia_2914' account done.
10/20/2022 07:17:39,Noah_Malaysia_2874,Checking restrictions for the 'Noah_Malaysia_2874' account done. URL: https://www.facebook.com/me
10/20/2022 07:17:40,Noah_Malaysia_2874,Checking restrictions for the 'Noah_Malaysia_2874' account
10/20/2022 07:18:08,Noah_Malaysia_2874,Checking restrictions for the 'Noah_Malaysia_2874' account done.
10/20/2022 07:18:14,Noah_Malaysia_2911,Finalized group synchronization for the 'Noah_Malaysia_2911' account.
10/20/2022 07:18:16,Noah_Malaysia_2884,Synchronizing Groups for the 'Noah_Malaysia_2884' account.
10/20/2022 07:18:16,Noah_Malaysia_2911,Birthday Sync - for the 'Noah_Malaysia_2911' account URL: https://www.facebook.com/me
10/20/2022 07:18:57,Noah_Malaysia_2911,Checking restrictions for the 'Noah_Malaysia_2911' account done. URL: https://www.facebook.com/me
10/20/2022 07:18:59,Noah_Malaysia_2911,Checking restrictions for the 'Noah_Malaysia_2911' account
10/20/2022 07:19:29,Noah_Malaysia_2911,Checking restrictions for the 'Noah_Malaysia_2911' account done.
10/20/2022 07:19:32,Noah_Malaysia_2884,Finalized group synchronization for the 'Noah_Malaysia_2884' account.
10/20/2022 07:19:32,Noah_Malaysia_2883,Synchronizing Groups for the 'Noah_Malaysia_2883' account.
10/20/2022 07:19:32,Noah_Malaysia_2884,Birthday Sync - for the 'Noah_Malaysia_2884' account URL: https://www.facebook.com/me
10/20/2022 07:20:14,Noah_Malaysia_2884,Checking restrictions for the 'Noah_Malaysia_2884' account done. URL: https://www.facebook.com/me
10/20/2022 07:20:15,Noah_Malaysia_2884,Checking restrictions for the 'Noah_Malaysia_2884' account
10/20/2022 07:20:27,Noah_Malaysia_2905,Synchronizing Groups for the 'Noah_Malaysia_2905' account.
10/20/2022 07:20:27,Noah_Malaysia_2883,Birthday Sync - for the 'Noah_Malaysia_2883' account URL: https://www.facebook.com/me
10/20/2022 07:20:43,Noah_Malaysia_2884,Checking restrictions for the 'Noah_Malaysia_2884' account done.
10/20/2022 07:21:10,Noah_Malaysia_2883,Checking restrictions for the 'Noah_Malaysia_2883' account done. URL: https://www.facebook.com/me
10/20/2022 07:21:12,Noah_Malaysia_2883,Checking restrictions for the 'Noah_Malaysia_2883' account
10/20/2022 07:21:40,Noah_Malaysia_2883,Checking restrictions for the 'Noah_Malaysia_2883' account done.
10/20/2022 07:21:49,Noah_Malaysia_2905,Finalized group synchronization for the 'Noah_Malaysia_2905' account.
10/20/2022 07:21:52,Noah_Malaysia_2913,Checking restrictions for the 'Noah_Malaysia_2913' account
10/20/2022 07:21:52,Noah_Malaysia_2905,Birthday Sync - for the 'Noah_Malaysia_2905' account URL: https://www.facebook.com/me
10/20/2022 07:22:23,Noah_Malaysia_2913,Checking restrictions for the 'Noah_Malaysia_2913' account done.
10/20/2022 07:22:25,Noah_Malaysia_2913,Synchronizing Groups for the 'Noah_Malaysia_2913' account.
10/20/2022 07:22:33,Noah_Malaysia_2905,Checking restrictions for the 'Noah_Malaysia_2905' account done. URL: https://www.facebook.com/me
10/20/2022 07:22:34,Noah_Malaysia_2905,Checking restrictions for the 'Noah_Malaysia_2905' account
10/20/2022 07:23:02,Noah_Malaysia_2905,Checking restrictions for the 'Noah_Malaysia_2905' account done.
10/20/2022 07:23:42,Noah_Malaysia_2913,Finalized group synchronization for the 'Noah_Malaysia_2913' account.
10/20/2022 07:23:44,Noah_Malaysia_2901,Synchronizing Groups for the 'Noah_Malaysia_2901' account.
10/20/2022 07:23:44,Noah_Malaysia_2913,Birthday Sync - for the 'Noah_Malaysia_2913' account URL: https://www.facebook.com/me
10/20/2022 07:24:27,Noah_Malaysia_2913,Checking restrictions for the 'Noah_Malaysia_2913' account done. URL: https://www.facebook.com/me
10/20/2022 07:25:03,Noah_Malaysia_2892,Synchronizing Groups for the 'Noah_Malaysia_2892' account.
10/20/2022 07:25:03,Noah_Malaysia_2901,Birthday Sync - for the 'Noah_Malaysia_2901' account URL: https://www.facebook.com/me
10/20/2022 07:25:42,Noah_Malaysia_2901,Birthday Sync - Error executing for the 'Noah_Malaysia_2901' account. : code  44  - About tag not found URL: https://www.facebook.com/me
10/20/2022 07:25:42,Noah_Malaysia_2901,Checking restrictions for the 'Noah_Malaysia_2901' account
10/20/2022 07:26:11,Noah_Malaysia_2901,Checking restrictions for the 'Noah_Malaysia_2901' account done.
10/20/2022 07:26:18,Noah_Malaysia_2892,Finalized group synchronization for the 'Noah_Malaysia_2892' account.
10/20/2022 07:26:19,Noah_Malaysia_2892,Birthday Sync - for the 'Noah_Malaysia_2892' account URL: https://www.facebook.com/me
10/20/2022 07:26:22,Noah_Malaysia_2882,Synchronizing Groups for the 'Noah_Malaysia_2882' account.
10/20/2022 07:26:56,Noah_Malaysia_2892,Birthday Sync - Error executing for the 'Noah_Malaysia_2892' account. : code  44  - About tag not found URL: https://www.facebook.com/me
10/20/2022 07:26:58,Noah_Malaysia_2892,Checking restrictions for the 'Noah_Malaysia_2892' account
10/20/2022 07:27:26,Noah_Malaysia_2882,Finalized group synchronization for the 'Noah_Malaysia_2882' account.
10/20/2022 07:27:27,Noah_Malaysia_2892,Checking restrictions for the 'Noah_Malaysia_2892' account done.
10/20/2022 07:27:28,Noah_Malaysia_2882,Birthday Sync - for the 'Noah_Malaysia_2882' account URL: https://www.facebook.com/me
10/20/2022 07:27:28,Noah_Malaysia_2928,Synchronizing Groups for the 'Noah_Malaysia_2928' account.
10/20/2022 07:28:10,Noah_Malaysia_2882,Checking restrictions for the 'Noah_Malaysia_2882' account done. URL: https://www.facebook.com/me
10/20/2022 07:28:11,Noah_Malaysia_2882,Checking restrictions for the 'Noah_Malaysia_2882' account
10/20/2022 07:28:38,Noah_Malaysia_2882,Checking restrictions for the 'Noah_Malaysia_2882' account done.
10/20/2022 07:28:55,Noah_Malaysia_2928,Finalized group synchronization for the 'Noah_Malaysia_2928' account.
10/20/2022 07:28:56,Noah_Malaysia_2889,Synchronizing Groups for the 'Noah_Malaysia_2889' account.
10/20/2022 07:28:56,Noah_Malaysia_2928,Birthday Sync - for the 'Noah_Malaysia_2928' account URL: https://www.facebook.com/me
10/20/2022 07:29:33,Noah_Malaysia_2928,Birthday Sync - Error executing for the 'Noah_Malaysia_2928' account. : code  44  - About tag not found URL: https://www.facebook.com/me
10/20/2022 07:29:33,Noah_Malaysia_2928,Checking restrictions for the 'Noah_Malaysia_2928' account
10/20/2022 07:29:55,Noah_Malaysia_2889,Finalized group synchronization for the 'Noah_Malaysia_2889' account.
10/20/2022 07:29:57,Noah_Malaysia_2908,Checking restrictions for the 'Noah_Malaysia_2908' account
10/20/2022 07:29:57,Noah_Malaysia_2889,Birthday Sync - for the 'Noah_Malaysia_2889' account URL: https://www.facebook.com/me
10/20/2022 07:30:02,Noah_Malaysia_2928,Checking restrictions for the 'Noah_Malaysia_2928' account done.
10/20/2022 07:30:30,Noah_Malaysia_2908,Checking restrictions for the 'Noah_Malaysia_2908' account done.
10/20/2022 07:30:30,Noah_Malaysia_2908,Synchronizing Groups for the 'Noah_Malaysia_2908' account.
10/20/2022 07:30:39,Noah_Malaysia_2889,Checking restrictions for the 'Noah_Malaysia_2889' account done. URL: https://www.facebook.com/me
10/20/2022 07:30:39,Noah_Malaysia_2889,Checking restrictions for the 'Noah_Malaysia_2889' account
10/20/2022 07:31:07,Noah_Malaysia_2889,Checking restrictions for the 'Noah_Malaysia_2889' account done.
10/20/2022 07:31:50,Noah_Malaysia_2908,Finalized group synchronization for the 'Noah_Malaysia_2908' account.
10/20/2022 07:31:52,Noah_Malaysia_2908,Birthday Sync - for the 'Noah_Malaysia_2908' account URL: https://www.facebook.com/me
10/20/2022 07:31:52,Noah_Malaysia_2935,Checking restrictions for the 'Noah_Malaysia_2935' account
10/20/2022 07:32:23,Noah_Malaysia_2935,Checking restrictions for the 'Noah_Malaysia_2935' account done.
10/20/2022 07:32:23,Noah_Malaysia_2935,Synchronizing Groups for the 'Noah_Malaysia_2935' account.
10/20/2022 07:32:32,Noah_Malaysia_2908,Checking restrictions for the 'Noah_Malaysia_2908' account done. URL: https://www.facebook.com/me
10/20/2022 07:33:43,Noah_Malaysia_2935,Finalized group synchronization for the 'Noah_Malaysia_2935' account.
10/20/2022 07:33:44,Noah_Malaysia_2935,Birthday Sync - for the 'Noah_Malaysia_2935' account URL: https://www.facebook.com/me
10/20/2022 07:33:44,Noah_Malaysia_2934,Checking restrictions for the 'Noah_Malaysia_2934' account
10/20/2022 07:34:14,Noah_Malaysia_2934,Checking restrictions for the 'Noah_Malaysia_2934' account done.
10/20/2022 07:34:15,Noah_Malaysia_2934,Synchronizing Groups for the 'Noah_Malaysia_2934' account.
10/20/2022 07:34:23,Noah_Malaysia_2935,Checking restrictions for the 'Noah_Malaysia_2935' account done. URL: https://www.facebook.com/me
10/20/2022 07:35:31,Noah_Malaysia_2934,Finalized group synchronization for the 'Noah_Malaysia_2934' account.
10/20/2022 07:35:34,Noah_Malaysia_2926,Synchronizing Groups for the 'Noah_Malaysia_2926' account.
10/20/2022 07:35:34,Noah_Malaysia_2934,Birthday Sync - for the 'Noah_Malaysia_2934' account URL: https://www.facebook.com/me
10/20/2022 07:36:15,Noah_Malaysia_2934,Checking restrictions for the 'Noah_Malaysia_2934' account done. URL: https://www.facebook.com/me
10/20/2022 07:36:45,Noah_Malaysia_2926,Finalized group synchronization for the 'Noah_Malaysia_2926' account.
10/20/2022 07:36:46,Noah_Malaysia_2940,Checking restrictions for the 'Noah_Malaysia_2940' account
10/20/2022 07:36:46,Noah_Malaysia_2926,Birthday Sync - for the 'Noah_Malaysia_2926' account URL: https://www.facebook.com/me
10/20/2022 07:37:18,Noah_Malaysia_2940,Checking restrictions for the 'Noah_Malaysia_2940' account done.
10/20/2022 07:37:20,Noah_Malaysia_2940,Synchronizing Groups for the 'Noah_Malaysia_2940' account.
10/20/2022 07:37:27,Noah_Malaysia_2926,Checking restrictions for the 'Noah_Malaysia_2926' account done. URL: https://www.facebook.com/me
10/20/2022 07:37:29,Noah_Malaysia_2926,Checking restrictions for the 'Noah_Malaysia_2926' account
