Date,Account,Status
07/23/2022 07:03:34,,Jarvee 3.3.1.1 is now active
07/23/2022 07:08:26,Kim_Malaysia59,Change language to English - 'Kim_Malaysia59' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:08:57,Kim_Malaysia59,Change language to English - Error executing for the 'Kim_Malaysia59' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:09:00,Kim_Malaysia59,Synchronizing Groups for the 'Kim_Malaysia59' account.
07/23/2022 07:09:24,Kim_Malaysia10,Change language to English - 'Kim_Malaysia10' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:09:24,Kim_Malaysia41,Change language to English - 'Kim_Malaysia41' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:09:24,Kim_Malaysia51,Change language to English - 'Kim_Malaysia51' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:09:25,Kim_Malaysia59,https://www.facebook.com/groups/?category=groups
07/23/2022 07:09:27,Kim_Malaysia59,Executing a Login operation for the 'Kim_Malaysia59' account.
07/23/2022 07:09:53,Kim_Malaysia51,Change language to English - Kim_Malaysia51 - Finished operation
07/23/2022 07:09:55,Kim_Malaysia41,Change language to English - Error executing for the 'Kim_Malaysia41' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:09:58,Kim_Malaysia41,Synchronizing Pages for the 'Kim_Malaysia41' account.
07/23/2022 07:10:02,Kim_Malaysia10,Change language to English - Kim_Malaysia10 - Finished operation
07/23/2022 07:10:03,Kim_Malaysia59,The Login operation for the 'Kim_Malaysia59' account is finalized.
07/23/2022 07:10:04,Kim_Malaysia10,Synchronizing Groups for the 'Kim_Malaysia10' account.
07/23/2022 07:10:10,Kim_Malaysia59,Executing a Check Login operation for the 'Kim_Malaysia59' account.
07/23/2022 07:10:25,Kim_Malaysia56,Change language to English - 'Kim_Malaysia56' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:10:25,Kim_Malaysia30,Change language to English - 'Kim_Malaysia30' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:10:30,Kim_Malaysia59,Finalized a Check Login operation for the 'Kim_Malaysia59' account.
07/23/2022 07:10:52,Kim_Malaysia30,Change language to English - Error executing for the 'Kim_Malaysia30' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:10:53,Kim_Malaysia30,Synchronizing Groups for the 'Kim_Malaysia30' account.
07/23/2022 07:11:13,Kim_Malaysia41,Finalized pages synchronization for the 'Kim_Malaysia41' account.
07/23/2022 07:11:15,Kim_Malaysia41,Birthday Sync - for the 'Kim_Malaysia41' account URL: https://www.facebook.com/me
07/23/2022 07:11:17,Kim_Malaysia56,Change language to English - Error executing for the 'Kim_Malaysia56' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:11:18,Kim_Malaysia56,Synchronizing Groups for the 'Kim_Malaysia56' account.
07/23/2022 07:11:20,Kim_Malaysia30,https://www.facebook.com/groups/?category=groups
07/23/2022 07:11:21,Kim_Malaysia10,Synchronizing Pages for the 'Kim_Malaysia10' account.
07/23/2022 07:11:21,Kim_Malaysia30,Executing a Login operation for the 'Kim_Malaysia30' account.
07/23/2022 07:11:24,Kim_Malaysia68,Change language to English - 'Kim_Malaysia68' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:11:24,Kim_Malaysia53,Change language to English - 'Kim_Malaysia53' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:11:55,Kim_Malaysia30,The Login operation for the 'Kim_Malaysia30' account is finalized.
07/23/2022 07:11:55,Kim_Malaysia53,Change language to English - Error executing for the 'Kim_Malaysia53' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:11:57,Kim_Malaysia53,Synchronizing Pages for the 'Kim_Malaysia53' account.
07/23/2022 07:11:59,Kim_Malaysia41,Birthday Sync - Error executing for the 'Kim_Malaysia41' account. : code  44  - About tag not found URL: https://www.facebook.com/me
07/23/2022 07:12:01,Kim_Malaysia41,Checking restrictions for the 'Kim_Malaysia41' account
07/23/2022 07:12:01,Kim_Malaysia30,Executing a Check Login operation for the 'Kim_Malaysia30' account.
07/23/2022 07:12:07,Kim_Malaysia68,Change language to English - Error executing for the 'Kim_Malaysia68' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:12:14,Kim_Malaysia30,Finalized a Check Login operation for the 'Kim_Malaysia30' account.
07/23/2022 07:12:27,Kim_Malaysia41,Checking restrictions for the 'Kim_Malaysia41' account done.
07/23/2022 07:12:28,Kim_Malaysia41,Synchronizing Number of Followers for the 'Kim_Malaysia41' account
07/23/2022 07:12:35,Kim_Malaysia10,Finalized pages synchronization for the 'Kim_Malaysia10' account.
07/23/2022 07:12:37,Kim_Malaysia10,Birthday Sync - for the 'Kim_Malaysia10' account URL: https://www.facebook.com/me
07/23/2022 07:13:05,Kim_Malaysia68,Synchronizing Events for the 'Kim_Malaysia68' account.
07/23/2022 07:13:07,Kim_Malaysia41,Finalized Number of Followers synchronization for the 'Kim_Malaysia41' account.
07/23/2022 07:13:08,Kim_Malaysia41,Synchronizing Groups for the 'Kim_Malaysia41' account.
07/23/2022 07:13:32,Kim_Malaysia53,Finalized pages synchronization for the 'Kim_Malaysia53' account.
07/23/2022 07:13:35,Kim_Malaysia53,Synchronizing Groups for the 'Kim_Malaysia53' account.
07/23/2022 07:13:47,Kim_Malaysia10,Checking restrictions for the 'Kim_Malaysia10' account done. URL: https://www.facebook.com/me
07/23/2022 07:13:47,Kim_Malaysia10,Checking restrictions for the 'Kim_Malaysia10' account
07/23/2022 07:14:02,Kim_Malaysia46,Change language to English - 'Kim_Malaysia46' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:14:25,Kim_Malaysia10,Checking restrictions for the 'Kim_Malaysia10' account done.
07/23/2022 07:14:27,Kim_Malaysia10,Synchronizing Number of Followers for the 'Kim_Malaysia10' account
07/23/2022 07:14:36,Kim_Malaysia53,Birthday Sync - for the 'Kim_Malaysia53' account URL: https://www.facebook.com/me
07/23/2022 07:14:56,Kim_Malaysia46,Change language to English - Kim_Malaysia46 - Finished operation
07/23/2022 07:14:58,Kim_Malaysia46,Synchronizing Pages for the 'Kim_Malaysia46' account.
07/23/2022 07:14:59,Kim_Malaysia10,Finalized Number of Followers synchronization for the 'Kim_Malaysia10' account.
07/23/2022 07:15:30,Kim_Malaysia53,Birthday Sync - Error executing for the 'Kim_Malaysia53' account. : code  44  - About tag not found URL: https://www.facebook.com/me
07/23/2022 07:15:31,Kim_Malaysia53,Checking restrictions for the 'Kim_Malaysia53' account
07/23/2022 07:15:38,Kim_Malaysia68,Finalized events synchronization for the 'Kim_Malaysia68' account.
07/23/2022 07:15:40,Kim_Malaysia68,Birthday Sync - for the 'Kim_Malaysia68' account URL: https://www.facebook.com/me
07/23/2022 07:15:43,Kim_Malaysia11,Change language to English - 'Kim_Malaysia11' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:15:52,Kim_Malaysia63,Change language to English - 'Kim_Malaysia63' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:16:02,Kim_Malaysia53,Checking restrictions for the 'Kim_Malaysia53' account done.
07/23/2022 07:16:05,Kim_Malaysia53,Synchronizing Number of Followers for the 'Kim_Malaysia53' account
07/23/2022 07:16:32,Kim_Malaysia11,Change language to English - Kim_Malaysia11 - Finished operation
07/23/2022 07:16:33,Kim_Malaysia11,Synchronizing Groups for the 'Kim_Malaysia11' account.
07/23/2022 07:16:54,Kim_Malaysia46,Finalized pages synchronization for the 'Kim_Malaysia46' account.
07/23/2022 07:16:55,Kim_Malaysia63,Change language to English - Error executing for the 'Kim_Malaysia63' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:16:55,Kim_Malaysia68,Birthday Sync - Error executing for the 'Kim_Malaysia68' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
07/23/2022 07:16:56,Kim_Malaysia68,Checking restrictions for the 'Kim_Malaysia68' account
07/23/2022 07:16:56,Kim_Malaysia63,Synchronizing Pages for the 'Kim_Malaysia63' account.
07/23/2022 07:17:07,Kim_Malaysia53,Finalized Number of Followers synchronization for the 'Kim_Malaysia53' account.
07/23/2022 07:17:43,Kim_Malaysia68,Checking restrictions for the 'Kim_Malaysia68' account done.
07/23/2022 07:17:43,Kim_Malaysia68,Synchronizing Number of Followers for the 'Kim_Malaysia68' account
07/23/2022 07:17:52,Kim_Malaysia21,Change language to English - 'Kim_Malaysia21' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:18:07,Kim_Malaysia16,Change language to English - 'Kim_Malaysia16' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:18:22,Kim_Malaysia68,Finalized Number of Followers synchronization for the 'Kim_Malaysia68' account.
07/23/2022 07:18:22,Kim_Malaysia63,Finalized pages synchronization for the 'Kim_Malaysia63' account.
07/23/2022 07:18:23,Kim_Malaysia68,Synchronizing Groups for the 'Kim_Malaysia68' account.
07/23/2022 07:18:24,Kim_Malaysia21,Change language to English - Error executing for the 'Kim_Malaysia21' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:18:45,Kim_Malaysia16,Change language to English - Kim_Malaysia16 - Finished operation
07/23/2022 07:18:47,Kim_Malaysia16,Birthday Sync - for the 'Kim_Malaysia16' account URL: https://www.facebook.com/me
07/23/2022 07:18:50,Kim_Malaysia2,Change language to English - 'Kim_Malaysia2' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:19:02,Kim_Malaysia7,Change language to English - 'Kim_Malaysia7' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:19:23,Kim_Malaysia2,Change language to English - Error executing for the 'Kim_Malaysia2' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:19:24,Kim_Malaysia2,Synchronizing Groups for the 'Kim_Malaysia2' account.
07/23/2022 07:19:40,Kim_Malaysia7,Change language to English - Error executing for the 'Kim_Malaysia7' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:19:42,Kim_Malaysia7,Birthday Sync - for the 'Kim_Malaysia7' account URL: https://www.facebook.com/me
07/23/2022 07:19:45,Kim_Malaysia27,Change language to English - 'Kim_Malaysia27' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:20:20,Kim_Malaysia27,Change language to English - Error executing for the 'Kim_Malaysia27' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:20:21,Kim_Malaysia27,Synchronizing Pages for the 'Kim_Malaysia27' account.
07/23/2022 07:20:34,Kim_Malaysia2,Synchronizing Pages for the 'Kim_Malaysia2' account.
07/23/2022 07:20:36,Kim_Malaysia7,Checking restrictions for the 'Kim_Malaysia7' account done. URL: https://www.facebook.com/me
07/23/2022 07:20:37,Kim_Malaysia7,Checking restrictions for the 'Kim_Malaysia7' account
07/23/2022 07:20:58,Kim_Malaysia7,Checking restrictions for the 'Kim_Malaysia7' account done.
07/23/2022 07:20:58,Kim_Malaysia7,Synchronizing Number of Followers for the 'Kim_Malaysia7' account
07/23/2022 07:21:01,Kim_Malaysia68,Synchronizing Pages for the 'Kim_Malaysia68' account.
07/23/2022 07:21:41,Kim_Malaysia27,Finalized pages synchronization for the 'Kim_Malaysia27' account.
07/23/2022 07:21:51,Kim_Malaysia16,Birthday Sync - Error executing for the 'Kim_Malaysia16' account. : code  168  - Timeout occured. URL: https://www.facebook.com/me
07/23/2022 07:21:54,Kim_Malaysia16,Checking restrictions for the 'Kim_Malaysia16' account
07/23/2022 07:21:55,Kim_Malaysia7,Finalized Number of Followers synchronization for the 'Kim_Malaysia7' account.
07/23/2022 07:21:57,Kim_Malaysia7,Synchronizing Groups for the 'Kim_Malaysia7' account.
07/23/2022 07:21:58,Kim_Malaysia2,Finalized pages synchronization for the 'Kim_Malaysia2' account.
07/23/2022 07:22:24,Kim_Malaysia16,Checking restrictions for the 'Kim_Malaysia16' account done.
07/23/2022 07:22:24,Kim_Malaysia16,Synchronizing Number of Followers for the 'Kim_Malaysia16' account
07/23/2022 07:22:30,Kim_Malaysia55,Change language to English - 'Kim_Malaysia55' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:22:31,Kim_Malaysia13,Change language to English - 'Kim_Malaysia13' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:22:46,Kim_Malaysia16,Finalized Number of Followers synchronization for the 'Kim_Malaysia16' account.
07/23/2022 07:22:46,Kim_Malaysia16,Synchronizing Pages for the 'Kim_Malaysia16' account.
07/23/2022 07:22:49,Kim_Malaysia68,Finalized pages synchronization for the 'Kim_Malaysia68' account.
07/23/2022 07:22:52,Kim_Malaysia57,Change language to English - 'Kim_Malaysia57' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:23:08,Kim_Malaysia13,Change language to English - Kim_Malaysia13 - Finished operation
07/23/2022 07:23:10,Kim_Malaysia13,Birthday Sync - for the 'Kim_Malaysia13' account URL: https://www.facebook.com/me
07/23/2022 07:23:11,Kim_Malaysia55,Change language to English - Error executing for the 'Kim_Malaysia55' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:23:16,Kim_Malaysia57,Change language to English - Error executing for the 'Kim_Malaysia57' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:23:17,Kim_Malaysia7,Synchronizing Pages for the 'Kim_Malaysia7' account.
07/23/2022 07:23:51,Kim_Malaysia16,Finalized pages synchronization for the 'Kim_Malaysia16' account.
07/23/2022 07:23:53,Kim_Malaysia58,Change language to English - 'Kim_Malaysia58' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:24:01,Kim_Malaysia13,Checking restrictions for the 'Kim_Malaysia13' account done. URL: https://www.facebook.com/me
07/23/2022 07:24:02,Kim_Malaysia45,Change language to English - 'Kim_Malaysia45' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:24:02,Kim_Malaysia13,Checking restrictions for the 'Kim_Malaysia13' account
07/23/2022 07:24:24,Kim_Malaysia49,Change language to English - 'Kim_Malaysia49' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:24:24,Kim_Malaysia7,Finalized pages synchronization for the 'Kim_Malaysia7' account.
07/23/2022 07:24:25,Kim_Malaysia13,Checking restrictions for the 'Kim_Malaysia13' account done.
07/23/2022 07:24:27,Kim_Malaysia13,Synchronizing Number of Followers for the 'Kim_Malaysia13' account
07/23/2022 07:24:27,Kim_Malaysia58,Change language to English - Error executing for the 'Kim_Malaysia58' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:24:30,Kim_Malaysia58,Synchronizing Pages for the 'Kim_Malaysia58' account.
07/23/2022 07:24:48,Kim_Malaysia45,Change language to English - Error executing for the 'Kim_Malaysia45' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:24:48,Kim_Malaysia7,Synchronizing Events for the 'Kim_Malaysia7' account.
07/23/2022 07:24:48,Kim_Malaysia45,Synchronizing Pages for the 'Kim_Malaysia45' account.
07/23/2022 07:24:56,Kim_Malaysia13,Finalized Number of Followers synchronization for the 'Kim_Malaysia13' account.
07/23/2022 07:24:57,Kim_Malaysia13,Synchronizing Pages for the 'Kim_Malaysia13' account.
07/23/2022 07:25:04,Kim_Malaysia49,Change language to English - Error executing for the 'Kim_Malaysia49' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:25:39,Kim_Malaysia58,Finalized pages synchronization for the 'Kim_Malaysia58' account.
07/23/2022 07:25:40,Kim_Malaysia58,Birthday Sync - for the 'Kim_Malaysia58' account URL: https://www.facebook.com/me
07/23/2022 07:25:43,Kim_Malaysia29,Change language to English - 'Kim_Malaysia29' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/23/2022 07:26:08,Kim_Malaysia29,Change language to English - Error executing for the 'Kim_Malaysia29' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/23/2022 07:26:10,Kim_Malaysia29,Birthday Sync - for the 'Kim_Malaysia29' account URL: https://www.facebook.com/me
07/23/2022 07:26:17,Kim_Malaysia45,Finalized pages synchronization for the 'Kim_Malaysia45' account.
07/23/2022 07:26:19,Kim_Malaysia45,Birthday Sync - for the 'Kim_Malaysia45' account URL: https://www.facebook.com/me
07/23/2022 07:26:26,Kim_Malaysia13,Finalized pages synchronization for the 'Kim_Malaysia13' account.
07/23/2022 07:26:28,Kim_Malaysia13,Synchronizing Groups for the 'Kim_Malaysia13' account.
