Date,Account,Status
07/27/2022 01:50:32,,Jarvee 3.3.1.1 is now active
07/27/2022 08:55:55,,Jarvee 3.3.1.1 is now active
07/28/2022 05:31:48,,Jarvee 3.3.1.1 is now active
07/28/2022 05:38:51,,Jarvee 3.3.1.1 is now active
07/28/2022 05:44:22,,Jarvee 3.3.1.1 is now active
07/28/2022 06:23:54,,Jarvee 3.3.1.1 is now active
08/01/2022 06:34:05,,Jarvee 3.3.1.1 is now active
08/01/2022 06:39:05,Moeed_Malaysia1,Change language to English - 'Moeed_Malaysia1' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:39:48,Moeed_Malaysia1,Change language to English - Error executing for the 'Moeed_Malaysia1' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:39:50,Moeed_Malaysia1,Synchronizing Pages for the 'Moeed_Malaysia1' account.
08/01/2022 06:40:02,Moeed_Malaysia56,Change language to English - 'Moeed_Malaysia56' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:40:02,Moeed_Malaysia34,Change language to English - 'Moeed_Malaysia34' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:40:02,Moeed_Malaysia35,Change language to English - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:40:40,Moeed_Malaysia34,Change language to English - Error executing for the 'Moeed_Malaysia34' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:40:42,Moeed_Malaysia34,Synchronizing Groups for the 'Moeed_Malaysia34' account.
08/01/2022 06:40:44,Moeed_Malaysia35,Change language to English - Error executing for the 'Moeed_Malaysia35' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:40:46,Moeed_Malaysia56,Change language to English - Error executing for the 'Moeed_Malaysia56' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:40:48,Moeed_Malaysia56,Synchronizing Groups for the 'Moeed_Malaysia56' account.
08/01/2022 06:41:04,Moeed_Malaysia70,Change language to English - 'Moeed_Malaysia70' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:41:20,Moeed_Malaysia1,Finalized pages synchronization for the 'Moeed_Malaysia1' account.
08/01/2022 06:41:32,Moeed_Malaysia34,Synchronizing Pages for the 'Moeed_Malaysia34' account.
08/01/2022 06:41:35,Moeed_Malaysia47,Change language to English - 'Moeed_Malaysia47' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:42:03,Moeed_Malaysia19,Change language to English - 'Moeed_Malaysia19' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:42:18,Moeed_Malaysia56,Synchronizing Pages for the 'Moeed_Malaysia56' account.
08/01/2022 06:42:23,Moeed_Malaysia34,Error synchronizing pages for the 'Moeed_Malaysia34' account. : code  208  - account locked..
08/01/2022 06:42:24,Moeed_Malaysia64,Change language to English - 'Moeed_Malaysia64' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:42:35,Moeed_Malaysia19,Change language to English - Error executing for the 'Moeed_Malaysia19' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:42:36,Moeed_Malaysia19,Synchronizing Pages for the 'Moeed_Malaysia19' account.
08/01/2022 06:42:53,Moeed_Malaysia64,Change language to English - Error executing for the 'Moeed_Malaysia64' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:42:55,Moeed_Malaysia64,Synchronizing Groups for the 'Moeed_Malaysia64' account.
08/01/2022 06:43:03,Moeed_Malaysia70,Change language to English - Error executing for the 'Moeed_Malaysia70' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:43:12,Moeed_Malaysia47,Change language to English - Error executing for the 'Moeed_Malaysia47' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:43:36,Moeed_Malaysia56,Finalized pages synchronization for the 'Moeed_Malaysia56' account.
08/01/2022 06:43:38,Moeed_Malaysia56,Birthday Sync - for the 'Moeed_Malaysia56' account URL: https://www.facebook.com/me
08/01/2022 06:43:57,Moeed_Malaysia19,Finalized pages synchronization for the 'Moeed_Malaysia19' account.
08/01/2022 06:43:59,Moeed_Malaysia19,Birthday Sync - for the 'Moeed_Malaysia19' account URL: https://www.facebook.com/me
08/01/2022 06:44:02,Moeed_Malaysia7,Change language to English - 'Moeed_Malaysia7' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:44:37,Moeed_Malaysia56,Checking restrictions for the 'Moeed_Malaysia56' account done. URL: https://www.facebook.com/me
08/01/2022 06:44:39,Moeed_Malaysia56,Checking restrictions for the 'Moeed_Malaysia56' account
08/01/2022 06:44:48,Moeed_Malaysia7,Change language to English - Error executing for the 'Moeed_Malaysia7' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:44:51,Moeed_Malaysia7,Synchronizing Pages for the 'Moeed_Malaysia7' account.
08/01/2022 06:45:03,Moeed_Malaysia56,Checking restrictions for the 'Moeed_Malaysia56' account done.
08/01/2022 06:45:03,Moeed_Malaysia56,Synchronizing Number of Followers for the 'Moeed_Malaysia56' account
08/01/2022 06:45:39,Moeed_Malaysia56,Finalized Number of Followers synchronization for the 'Moeed_Malaysia56' account.
08/01/2022 06:45:43,Moeed_Malaysia25,Change language to English - 'Moeed_Malaysia25' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:46:07,Moeed_Malaysia10,Change language to English - 'Moeed_Malaysia10' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:46:17,Moeed_Malaysia7,Finalized pages synchronization for the 'Moeed_Malaysia7' account.
08/01/2022 06:46:22,Moeed_Malaysia25,Change language to English - Error executing for the 'Moeed_Malaysia25' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:46:23,Moeed_Malaysia25,Synchronizing Groups for the 'Moeed_Malaysia25' account.
08/01/2022 06:46:39,Moeed_Malaysia10,Change language to English - Error executing for the 'Moeed_Malaysia10' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:46:41,Moeed_Malaysia62,Change language to English - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:47:06,Moeed_Malaysia22,Change language to English - 'Moeed_Malaysia22' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:47:22,Moeed_Malaysia62,Change language to English - Error executing for the 'Moeed_Malaysia62' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:47:24,Moeed_Malaysia62,Synchronizing Pages for the 'Moeed_Malaysia62' account.
08/01/2022 06:47:33,Moeed_Malaysia31,Change language to English - 'Moeed_Malaysia31' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:47:37,Moeed_Malaysia22,Change language to English - Error executing for the 'Moeed_Malaysia22' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:47:40,Moeed_Malaysia22,Synchronizing Pages for the 'Moeed_Malaysia22' account.
08/01/2022 06:47:41,Moeed_Malaysia19,Birthday Sync - Error executing for the 'Moeed_Malaysia19' account. : code  168  - Timeout occured. URL: https://www.facebook.com/me
08/01/2022 06:47:43,Moeed_Malaysia19,Checking restrictions for the 'Moeed_Malaysia19' account
08/01/2022 06:48:03,Moeed_Malaysia31,Change language to English - Error executing for the 'Moeed_Malaysia31' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:48:04,Moeed_Malaysia31,Synchronizing Pages for the 'Moeed_Malaysia31' account.
08/01/2022 06:48:06,Moeed_Malaysia19,Checking restrictions for the 'Moeed_Malaysia19' account done.
08/01/2022 06:48:07,Moeed_Malaysia19,Synchronizing Number of Followers for the 'Moeed_Malaysia19' account
08/01/2022 06:48:37,Moeed_Malaysia62,Finalized pages synchronization for the 'Moeed_Malaysia62' account.
08/01/2022 06:48:42,Moeed_Malaysia19,Finalized Number of Followers synchronization for the 'Moeed_Malaysia19' account.
08/01/2022 06:48:43,Moeed_Malaysia19,Synchronizing Groups for the 'Moeed_Malaysia19' account.
08/01/2022 06:48:57,Moeed_Malaysia22,Finalized pages synchronization for the 'Moeed_Malaysia22' account.
08/01/2022 06:49:21,Moeed_Malaysia31,Finalized pages synchronization for the 'Moeed_Malaysia31' account.
08/01/2022 06:49:23,Moeed_Malaysia31,Synchronizing Groups for the 'Moeed_Malaysia31' account.
08/01/2022 06:49:29,Moeed_Malaysia49,Change language to English - 'Moeed_Malaysia49' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:49:44,Moeed_Malaysia17,Change language to English - 'Moeed_Malaysia17' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:50:01,Moeed_Malaysia49,Change language to English - Error executing for the 'Moeed_Malaysia49' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:50:22,Moeed_Malaysia17,Change language to English - Error executing for the 'Moeed_Malaysia17' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:50:24,Moeed_Malaysia17,Synchronizing Pages for the 'Moeed_Malaysia17' account.
08/01/2022 06:50:48,Moeed_Malaysia11,Change language to English - 'Moeed_Malaysia11' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:50:54,Moeed_Malaysia57,Change language to English - 'Moeed_Malaysia57' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:50:54,Moeed_Malaysia20,Change language to English - 'Moeed_Malaysia20' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:51:20,Moeed_Malaysia57,Change language to English - Error executing for the 'Moeed_Malaysia57' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:51:24,Moeed_Malaysia20,Change language to English - Error executing for the 'Moeed_Malaysia20' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:51:35,Moeed_Malaysia11,Change language to English - Error executing for the 'Moeed_Malaysia11' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:51:38,Moeed_Malaysia17,Finalized pages synchronization for the 'Moeed_Malaysia17' account.
08/01/2022 06:51:40,Moeed_Malaysia17,Birthday Sync - for the 'Moeed_Malaysia17' account URL: https://www.facebook.com/me
08/01/2022 06:51:55,Moeed_Malaysia9,Change language to English - 'Moeed_Malaysia9' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:52:10,Moeed_Malaysia2,Change language to English - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:52:10,Moeed_Malaysia15,Change language to English - 'Moeed_Malaysia15' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:52:50,Moeed_Malaysia2,Change language to English - Error executing for the 'Moeed_Malaysia2' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:52:53,Moeed_Malaysia2,Birthday Sync - for the 'Moeed_Malaysia2' account URL: https://www.facebook.com/me
08/01/2022 06:52:54,Moeed_Malaysia15,Change language to English - Error executing for the 'Moeed_Malaysia15' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:52:57,Moeed_Malaysia15,Birthday Sync - for the 'Moeed_Malaysia15' account URL: https://www.facebook.com/me
08/01/2022 06:53:09,Moeed_Malaysia55,Change language to English - 'Moeed_Malaysia55' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:53:29,Moeed_Malaysia2,Birthday Sync - Error executing for the 'Moeed_Malaysia2' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/me
08/01/2022 06:53:31,Moeed_Malaysia2,Checking restrictions for the 'Moeed_Malaysia2' account
08/01/2022 06:53:46,Moeed_Malaysia55,Change language to English - Error executing for the 'Moeed_Malaysia55' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:53:46,Moeed_Malaysia55,Synchronizing Groups for the 'Moeed_Malaysia55' account.
08/01/2022 06:53:55,Moeed_Malaysia2,Checking restrictions for the 'Moeed_Malaysia2' account done.
08/01/2022 06:53:56,Moeed_Malaysia2,Synchronizing Number of Followers for the 'Moeed_Malaysia2' account
08/01/2022 06:53:59,Moeed_Malaysia15,Checking restrictions for the 'Moeed_Malaysia15' account done. URL: https://www.facebook.com/me
08/01/2022 06:54:02,Moeed_Malaysia15,Checking restrictions for the 'Moeed_Malaysia15' account
08/01/2022 06:54:23,Moeed_Malaysia15,Checking restrictions for the 'Moeed_Malaysia15' account done.
08/01/2022 06:54:26,Moeed_Malaysia15,Synchronizing Number of Followers for the 'Moeed_Malaysia15' account
08/01/2022 06:54:30,Moeed_Malaysia2,Finalized Number of Followers synchronization for the 'Moeed_Malaysia2' account.
08/01/2022 06:54:32,Moeed_Malaysia2,Synchronizing Pages for the 'Moeed_Malaysia2' account.
08/01/2022 06:54:52,Moeed_Malaysia9,Change language to English - Error executing for the 'Moeed_Malaysia9' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:54:54,Moeed_Malaysia9,Synchronizing Groups for the 'Moeed_Malaysia9' account.
08/01/2022 06:55:00,Moeed_Malaysia15,Finalized Number of Followers synchronization for the 'Moeed_Malaysia15' account.
08/01/2022 06:55:01,Moeed_Malaysia17,Birthday Sync - Error executing for the 'Moeed_Malaysia17' account. : code  168  - Timeout occured. URL: https://www.facebook.com/me
08/01/2022 06:55:03,Moeed_Malaysia15,Synchronizing Groups for the 'Moeed_Malaysia15' account.
08/01/2022 06:55:03,Moeed_Malaysia17,Checking restrictions for the 'Moeed_Malaysia17' account
08/01/2022 06:55:06,Moeed_Malaysia55,Synchronizing Pages for the 'Moeed_Malaysia55' account.
08/01/2022 06:55:24,Moeed_Malaysia17,Checking restrictions for the 'Moeed_Malaysia17' account done.
08/01/2022 06:55:24,Moeed_Malaysia17,Synchronizing Number of Followers for the 'Moeed_Malaysia17' account
08/01/2022 06:55:46,Moeed_Malaysia2,Finalized pages synchronization for the 'Moeed_Malaysia2' account.
08/01/2022 06:55:59,Moeed_Malaysia17,Finalized Number of Followers synchronization for the 'Moeed_Malaysia17' account.
08/01/2022 06:56:01,Moeed_Malaysia17,Synchronizing Groups for the 'Moeed_Malaysia17' account.
08/01/2022 06:56:21,Moeed_Malaysia55,Finalized pages synchronization for the 'Moeed_Malaysia55' account.
08/01/2022 06:56:22,Moeed_Malaysia55,Birthday Sync - for the 'Moeed_Malaysia55' account URL: https://www.facebook.com/me
08/01/2022 06:56:22,Moeed_Malaysia15,Synchronizing Pages for the 'Moeed_Malaysia15' account.
08/01/2022 06:56:28,Moeed_Malaysia13,Change language to English - 'Moeed_Malaysia13' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:57:08,Moeed_Malaysia13,Change language to English - Error executing for the 'Moeed_Malaysia13' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:57:16,Moeed_Malaysia55,Checking restrictions for the 'Moeed_Malaysia55' account done. URL: https://www.facebook.com/me
08/01/2022 06:57:17,Moeed_Malaysia55,Checking restrictions for the 'Moeed_Malaysia55' account
08/01/2022 06:57:30,Moeed_Malaysia15,Finalized pages synchronization for the 'Moeed_Malaysia15' account.
08/01/2022 06:57:48,Moeed_Malaysia55,Checking restrictions for the 'Moeed_Malaysia55' account done.
08/01/2022 06:57:50,Moeed_Malaysia55,Synchronizing Number of Followers for the 'Moeed_Malaysia55' account
08/01/2022 06:57:51,Moeed_Malaysia9,https://www.facebook.com/groups/?category=groups
08/01/2022 06:57:53,Moeed_Malaysia8,Change language to English - 'Moeed_Malaysia8' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:57:57,Moeed_Malaysia41,Change language to English - 'Moeed_Malaysia41' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:58:12,Moeed_Malaysia12,Change language to English - 'Moeed_Malaysia12' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:58:23,Moeed_Malaysia55,Finalized Number of Followers synchronization for the 'Moeed_Malaysia55' account.
08/01/2022 06:58:29,Moeed_Malaysia8,Change language to English - Error executing for the 'Moeed_Malaysia8' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:58:30,Moeed_Malaysia8,Birthday Sync - for the 'Moeed_Malaysia8' account URL: https://www.facebook.com/me
08/01/2022 06:58:37,Moeed_Malaysia41,Change language to English - Error executing for the 'Moeed_Malaysia41' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:58:52,Moeed_Malaysia12,Change language to English - Error executing for the 'Moeed_Malaysia12' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 06:58:55,Moeed_Malaysia12,Synchronizing Groups for the 'Moeed_Malaysia12' account.
08/01/2022 06:59:07,Moeed_Malaysia66,Change language to English - 'Moeed_Malaysia66' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:59:13,Moeed_Malaysia27,Change language to English - 'Moeed_Malaysia27' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 06:59:22,Moeed_Malaysia42,Change language to English - 'Moeed_Malaysia42' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
