Date,Account,Status
09/20/2022 06:44:33,,Jarvee 3.3.1.1 is now active
09/20/2022 08:59:17,,Jarvee 3.3.1.1 is now active
09/20/2022 09:05:55,,Jarvee 3.3.1.1 is now active
09/21/2022 03:39:34,,Jarvee 3.3.1.1 is now active
09/21/2022 06:17:39,,Jarvee 3.3.1.1 is now active
09/21/2022 09:13:08,,Jarvee 3.3.1.1 is now active
09/21/2022 11:32:12,,Jarvee 3.3.1.1 is now active
11/22/2022 04:49:46,,Jarvee 3.3.1.1 is now active
11/22/2022 04:51:43,Cia_Malaysia_601,Cookies successfully imported for 'Cia_Malaysia_601'.
11/22/2022 04:51:45,Cia_Malaysia_602,Cookies successfully imported for 'Cia_Malaysia_602'.
11/22/2022 04:51:47,Cia_Malaysia_598,Cookies successfully imported for 'Cia_Malaysia_598'.
11/22/2022 04:51:50,Cia_Malaysia_587,Cookies successfully imported for 'Cia_Malaysia_587'.
11/22/2022 04:51:52,Cia_Malaysia_590,Cookies successfully imported for 'Cia_Malaysia_590'.
11/22/2022 04:51:54,Cia_Malaysia_585,Cookies successfully imported for 'Cia_Malaysia_585'.
11/22/2022 04:51:56,Cia_Malaysia_589,Cookies successfully imported for 'Cia_Malaysia_589'.
11/22/2022 04:51:58,Cia_Malaysia_594,Cookies successfully imported for 'Cia_Malaysia_594'.
11/22/2022 04:52:00,Cia_Malaysia_599,Cookies successfully imported for 'Cia_Malaysia_599'.
11/22/2022 04:52:02,Cia_Malaysia_600,Cookies successfully imported for 'Cia_Malaysia_600'.
11/22/2022 04:52:04,Cia_Malaysia_606,Cookies successfully imported for 'Cia_Malaysia_606'.
11/22/2022 04:52:07,Cia_Malaysia_597,Cookies successfully imported for 'Cia_Malaysia_597'.
11/22/2022 04:52:09,Cia_Malaysia_573,Cookies successfully imported for 'Cia_Malaysia_573'.
11/22/2022 04:52:11,Cia_Malaysia_596,Cookies successfully imported for 'Cia_Malaysia_596'.
11/22/2022 04:52:13,Cia_Malaysia_592,Cookies successfully imported for 'Cia_Malaysia_592'.
11/22/2022 04:52:15,Cia_Malaysia_588,Cookies successfully imported for 'Cia_Malaysia_588'.
11/22/2022 04:52:17,Cia_Malaysia_591,Cookies successfully imported for 'Cia_Malaysia_591'.
11/22/2022 04:52:19,Cia_Malaysia_595,Cookies successfully imported for 'Cia_Malaysia_595'.
11/22/2022 04:52:21,Cia_Malaysia_586,Cookies successfully imported for 'Cia_Malaysia_586'.
11/22/2022 04:52:23,Cia_Malaysia_566,Cookies successfully imported for 'Cia_Malaysia_566'.
11/22/2022 04:52:26,Cia_Malaysia_567,Cookies successfully imported for 'Cia_Malaysia_567'.
11/22/2022 04:52:28,Cia_Malaysia_564,Cookies successfully imported for 'Cia_Malaysia_564'.
11/22/2022 04:52:30,Cia_Malaysia_565,Cookies successfully imported for 'Cia_Malaysia_565'.
11/22/2022 04:52:32,Cia_Malaysia_605,Cookies successfully imported for 'Cia_Malaysia_605'.
11/22/2022 04:52:35,Cia_Malaysia_621,Cookies successfully imported for 'Cia_Malaysia_621'.
11/22/2022 04:52:37,Cia_Malaysia_629,Cookies successfully imported for 'Cia_Malaysia_629'.
11/22/2022 04:52:40,Cia_Malaysia_623,Cookies successfully imported for 'Cia_Malaysia_623'.
11/22/2022 04:52:42,Cia_Malaysia_616,Cookies successfully imported for 'Cia_Malaysia_616'.
11/22/2022 04:52:46,Cia_Malaysia_617,Cookies successfully imported for 'Cia_Malaysia_617'.
11/22/2022 04:52:49,Cia_Malaysia_618,Cookies successfully imported for 'Cia_Malaysia_618'.
11/22/2022 04:52:52,Cia_Malaysia_614,Cookies successfully imported for 'Cia_Malaysia_614'.
11/22/2022 04:52:55,Cia_Malaysia_626,Cookies successfully imported for 'Cia_Malaysia_626'.
11/22/2022 04:52:58,Cia_Malaysia_624,Cookies successfully imported for 'Cia_Malaysia_624'.
11/22/2022 04:53:02,Cia_Malaysia_612,Cookies successfully imported for 'Cia_Malaysia_612'.
11/22/2022 04:53:05,Cia_Malaysia_609,Cookies successfully imported for 'Cia_Malaysia_609'.
11/22/2022 04:53:08,Cia_Malaysia_625,Cookies successfully imported for 'Cia_Malaysia_625'.
11/22/2022 04:53:11,Cia_Malaysia_610,Cookies successfully imported for 'Cia_Malaysia_610'.
11/22/2022 04:53:14,Cia_Malaysia_620,Cookies successfully imported for 'Cia_Malaysia_620'.
11/22/2022 04:53:17,Cia_Malaysia_615,Cookies successfully imported for 'Cia_Malaysia_615'.
11/22/2022 04:53:20,Cia_Malaysia_608,Cookies successfully imported for 'Cia_Malaysia_608'.
11/22/2022 04:53:24,Cia_Malaysia_619,Cookies successfully imported for 'Cia_Malaysia_619'.
11/22/2022 04:53:27,Cia_Malaysia_571,Cookies successfully imported for 'Cia_Malaysia_571'.
11/22/2022 04:53:30,Cia_Malaysia_568,Cookies successfully imported for 'Cia_Malaysia_568'.
11/22/2022 04:53:32,Cia_Malaysia_611,Cookies successfully imported for 'Cia_Malaysia_611'.
11/22/2022 04:53:35,Cia_Malaysia_603,Cookies successfully imported for 'Cia_Malaysia_603'.
11/22/2022 04:53:38,Cia_Malaysia_570,Cookies successfully imported for 'Cia_Malaysia_570'.
11/22/2022 04:53:40,Cia_Malaysia_577,Cookies successfully imported for 'Cia_Malaysia_577'.
11/22/2022 04:53:42,Cia_Malaysia_572,Cookies successfully imported for 'Cia_Malaysia_572'.
11/22/2022 04:53:45,Cia_Malaysia_576,Cookies successfully imported for 'Cia_Malaysia_576'.
11/22/2022 04:53:48,Cia_Malaysia_569,Cookies successfully imported for 'Cia_Malaysia_569'.
11/22/2022 04:53:51,Cia_Malaysia_581,Cookies successfully imported for 'Cia_Malaysia_581'.
11/22/2022 04:53:53,Cia_Malaysia_622,Cookies successfully imported for 'Cia_Malaysia_622'.
11/22/2022 04:53:55,Cia_Malaysia_574,Cookies successfully imported for 'Cia_Malaysia_574'.
11/22/2022 04:53:57,Cia_Malaysia_613,Cookies successfully imported for 'Cia_Malaysia_613'.
11/22/2022 04:53:59,Cia_Malaysia_583,Cookies successfully imported for 'Cia_Malaysia_583'.
11/22/2022 04:54:02,Cia_Malaysia_578,Cookies successfully imported for 'Cia_Malaysia_578'.
11/22/2022 04:54:05,Cia_Malaysia_579,Cookies successfully imported for 'Cia_Malaysia_579'.
11/22/2022 04:54:07,Cia_Malaysia_580,Cookies successfully imported for 'Cia_Malaysia_580'.
11/22/2022 04:54:11,Cia_Malaysia_575,Cookies successfully imported for 'Cia_Malaysia_575'.
11/22/2022 04:54:14,Cia_Malaysia_582,Cookies successfully imported for 'Cia_Malaysia_582'.
11/22/2022 04:54:17,Cia_Malaysia_584,Cookies successfully imported for 'Cia_Malaysia_584'.
11/22/2022 04:54:19,Cia_Malaysia_604,Cookies successfully imported for 'Cia_Malaysia_604'.
11/22/2022 04:54:22,Cia_Malaysia_627,Cookies successfully imported for 'Cia_Malaysia_627'.
11/22/2022 04:54:25,Cia_Malaysia_563,Cookies successfully imported for 'Cia_Malaysia_563'.
11/22/2022 04:54:28,Cia_Malaysia_561,Cookies successfully imported for 'Cia_Malaysia_561'.
11/22/2022 04:54:32,Cia_Malaysia_562,Cookies successfully imported for 'Cia_Malaysia_562'.
11/22/2022 04:54:34,Cia_Malaysia_628,Cookies successfully imported for 'Cia_Malaysia_628'.
11/22/2022 04:54:36,Cia_Malaysia_630,Cookies successfully imported for 'Cia_Malaysia_630'.
11/22/2022 04:54:39,Cia_Malaysia_607,Cookies successfully imported for 'Cia_Malaysia_607'.
11/22/2022 04:54:42,Cia_Malaysia_593,Cookies successfully imported for 'Cia_Malaysia_593'.
11/22/2022 06:25:03,Cia_Malaysia_573,Group Joiner - 'Cia_Malaysia_573' -  is active
11/22/2022 06:25:05,Cia_Malaysia_573,Group Joiner - 'Cia_Malaysia_573' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:25:17,Cia_Malaysia_561,Group Joiner - 'Cia_Malaysia_561' -  is active
11/22/2022 06:25:17,Cia_Malaysia_562,Group Joiner - 'Cia_Malaysia_562' -  is active
11/22/2022 06:25:17,Cia_Malaysia_563,Group Joiner - 'Cia_Malaysia_563' -  is active
11/22/2022 06:25:17,Cia_Malaysia_564,Group Joiner - 'Cia_Malaysia_564' -  is active
11/22/2022 06:25:17,Cia_Malaysia_565,Group Joiner - 'Cia_Malaysia_565' -  is active
11/22/2022 06:25:17,Cia_Malaysia_566,Group Joiner - 'Cia_Malaysia_566' -  is active
11/22/2022 06:25:17,Cia_Malaysia_567,Group Joiner - 'Cia_Malaysia_567' -  is active
11/22/2022 06:25:17,Cia_Malaysia_568,Group Joiner - 'Cia_Malaysia_568' -  is active
11/22/2022 06:25:17,Cia_Malaysia_569,Group Joiner - 'Cia_Malaysia_569' -  is active
11/22/2022 06:25:17,Cia_Malaysia_570,Group Joiner - 'Cia_Malaysia_570' -  is active
11/22/2022 06:25:17,Cia_Malaysia_571,Group Joiner - 'Cia_Malaysia_571' -  is active
11/22/2022 06:25:17,Cia_Malaysia_572,Group Joiner - 'Cia_Malaysia_572' -  is active
11/22/2022 06:25:17,Cia_Malaysia_574,Group Joiner - 'Cia_Malaysia_574' -  is active
11/22/2022 06:25:17,Cia_Malaysia_575,Group Joiner - 'Cia_Malaysia_575' -  is active
11/22/2022 06:25:17,Cia_Malaysia_576,Group Joiner - 'Cia_Malaysia_576' -  is active
11/22/2022 06:25:17,Cia_Malaysia_577,Group Joiner - 'Cia_Malaysia_577' -  is active
11/22/2022 06:25:17,Cia_Malaysia_578,Group Joiner - 'Cia_Malaysia_578' -  is active
11/22/2022 06:25:17,Cia_Malaysia_579,Group Joiner - 'Cia_Malaysia_579' -  is active
11/22/2022 06:25:17,Cia_Malaysia_580,Group Joiner - 'Cia_Malaysia_580' -  is active
11/22/2022 06:25:17,Cia_Malaysia_581,Group Joiner - 'Cia_Malaysia_581' -  is active
11/22/2022 06:25:17,Cia_Malaysia_582,Group Joiner - 'Cia_Malaysia_582' -  is active
11/22/2022 06:25:17,Cia_Malaysia_583,Group Joiner - 'Cia_Malaysia_583' -  is active
11/22/2022 06:25:17,Cia_Malaysia_584,Group Joiner - 'Cia_Malaysia_584' -  is active
11/22/2022 06:25:17,Cia_Malaysia_585,Group Joiner - 'Cia_Malaysia_585' -  is active
11/22/2022 06:25:17,Cia_Malaysia_586,Group Joiner - 'Cia_Malaysia_586' -  is active
11/22/2022 06:25:17,Cia_Malaysia_587,Group Joiner - 'Cia_Malaysia_587' -  is active
11/22/2022 06:25:17,Cia_Malaysia_588,Group Joiner - 'Cia_Malaysia_588' -  is active
11/22/2022 06:25:17,Cia_Malaysia_589,Group Joiner - 'Cia_Malaysia_589' -  is active
11/22/2022 06:25:17,Cia_Malaysia_590,Group Joiner - 'Cia_Malaysia_590' -  is active
11/22/2022 06:25:17,Cia_Malaysia_591,Group Joiner - 'Cia_Malaysia_591' -  is active
11/22/2022 06:25:17,Cia_Malaysia_592,Group Joiner - 'Cia_Malaysia_592' -  is active
11/22/2022 06:25:17,Cia_Malaysia_593,Group Joiner - 'Cia_Malaysia_593' -  is active
11/22/2022 06:25:17,Cia_Malaysia_594,Group Joiner - 'Cia_Malaysia_594' -  is active
11/22/2022 06:25:17,Cia_Malaysia_595,Group Joiner - 'Cia_Malaysia_595' -  is active
11/22/2022 06:25:17,Cia_Malaysia_596,Group Joiner - 'Cia_Malaysia_596' -  is active
11/22/2022 06:25:17,Cia_Malaysia_597,Group Joiner - 'Cia_Malaysia_597' -  is active
11/22/2022 06:25:17,Cia_Malaysia_598,Group Joiner - 'Cia_Malaysia_598' -  is active
11/22/2022 06:25:17,Cia_Malaysia_599,Group Joiner - 'Cia_Malaysia_599' -  is active
11/22/2022 06:25:17,Cia_Malaysia_600,Group Joiner - 'Cia_Malaysia_600' -  is active
11/22/2022 06:25:17,Cia_Malaysia_601,Group Joiner - 'Cia_Malaysia_601' -  is active
11/22/2022 06:25:17,Cia_Malaysia_602,Group Joiner - 'Cia_Malaysia_602' -  is active
11/22/2022 06:25:17,Cia_Malaysia_603,Group Joiner - 'Cia_Malaysia_603' -  is active
11/22/2022 06:25:17,Cia_Malaysia_604,Group Joiner - 'Cia_Malaysia_604' -  is active
11/22/2022 06:25:17,Cia_Malaysia_605,Group Joiner - 'Cia_Malaysia_605' -  is active
11/22/2022 06:25:17,Cia_Malaysia_606,Group Joiner - 'Cia_Malaysia_606' -  is active
11/22/2022 06:25:17,Cia_Malaysia_607,Group Joiner - 'Cia_Malaysia_607' -  is active
11/22/2022 06:25:17,Cia_Malaysia_608,Group Joiner - 'Cia_Malaysia_608' -  is active
11/22/2022 06:25:17,Cia_Malaysia_609,Group Joiner - 'Cia_Malaysia_609' -  is active
11/22/2022 06:25:17,Cia_Malaysia_610,Group Joiner - 'Cia_Malaysia_610' -  is active
11/22/2022 06:25:17,Cia_Malaysia_611,Group Joiner - 'Cia_Malaysia_611' -  is active
11/22/2022 06:25:17,Cia_Malaysia_612,Group Joiner - 'Cia_Malaysia_612' -  is active
11/22/2022 06:25:17,Cia_Malaysia_613,Group Joiner - 'Cia_Malaysia_613' -  is active
11/22/2022 06:25:17,Cia_Malaysia_614,Group Joiner - 'Cia_Malaysia_614' -  is active
11/22/2022 06:25:17,Cia_Malaysia_615,Group Joiner - 'Cia_Malaysia_615' -  is active
11/22/2022 06:25:17,Cia_Malaysia_616,Group Joiner - 'Cia_Malaysia_616' -  is active
11/22/2022 06:25:17,Cia_Malaysia_617,Group Joiner - 'Cia_Malaysia_617' -  is active
11/22/2022 06:25:17,Cia_Malaysia_618,Group Joiner - 'Cia_Malaysia_618' -  is active
11/22/2022 06:25:17,Cia_Malaysia_619,Group Joiner - 'Cia_Malaysia_619' -  is active
11/22/2022 06:25:17,Cia_Malaysia_620,Group Joiner - 'Cia_Malaysia_620' -  is active
11/22/2022 06:25:17,Cia_Malaysia_621,Group Joiner - 'Cia_Malaysia_621' -  is active
11/22/2022 06:25:17,Cia_Malaysia_622,Group Joiner - 'Cia_Malaysia_622' -  is active
11/22/2022 06:25:17,Cia_Malaysia_623,Group Joiner - 'Cia_Malaysia_623' -  is active
11/22/2022 06:25:17,Cia_Malaysia_624,Group Joiner - 'Cia_Malaysia_624' -  is active
11/22/2022 06:25:17,Cia_Malaysia_625,Group Joiner - 'Cia_Malaysia_625' -  is active
11/22/2022 06:25:17,Cia_Malaysia_626,Group Joiner - 'Cia_Malaysia_626' -  is active
11/22/2022 06:25:17,Cia_Malaysia_627,Group Joiner - 'Cia_Malaysia_627' -  is active
11/22/2022 06:25:17,Cia_Malaysia_629,Group Joiner - 'Cia_Malaysia_629' -  is active
11/22/2022 06:25:17,Cia_Malaysia_630,Group Joiner - 'Cia_Malaysia_630' -  is active
11/22/2022 06:25:17,Cia_Malaysia_628,Group Joiner - 'Cia_Malaysia_628' -  is active
11/22/2022 06:25:20,Cia_Malaysia_564,Group Joiner - 'Cia_Malaysia_564' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:25:20,Cia_Malaysia_572,Group Joiner - 'Cia_Malaysia_572' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:25:20,Cia_Malaysia_625,Group Joiner - 'Cia_Malaysia_625' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:25:20,Cia_Malaysia_562,Group Joiner - 'Cia_Malaysia_562' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:25:20,Cia_Malaysia_622,Group Joiner - 'Cia_Malaysia_622' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:25:38,Cia_Malaysia_610,Group Joiner - 'Cia_Malaysia_610' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:25:50,Cia_Malaysia_629,Group Joiner - 'Cia_Malaysia_629' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:25:50,Cia_Malaysia_612,Group Joiner - 'Cia_Malaysia_612' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:25:50,Cia_Malaysia_575,Group Joiner - 'Cia_Malaysia_575' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:26:17,Cia_Malaysia_594,Group Joiner - 'Cia_Malaysia_594' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/22/2022 06:26:21,Cia_Malaysia_622,Group Joiner - Cia_Malaysia_622 - Finished operation
