Date,Account,Status
07/20/2022 01:27:58,,Jarvee 3.3.1.1 is now active
07/20/2022 01:40:22,Kim_Malaysia44,Change language to English - 'Kim_Malaysia44' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/20/2022 01:40:22,Kim_Malaysia2,Change language to English - 'Kim_Malaysia2' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/20/2022 01:40:22,Kim_Malaysia38,Change language to English - 'Kim_Malaysia38' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/20/2022 01:40:22,Kim_Malaysia25,Change language to English - 'Kim_Malaysia25' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/20/2022 01:40:22,Kim_Malaysia31,Change language to English - 'Kim_Malaysia31' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/20/2022 01:40:44,Kim_Malaysia31,Change language to English - Error executing for the 'Kim_Malaysia31' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/20/2022 01:40:44,Kim_Malaysia25,Change language to English - Error executing for the 'Kim_Malaysia25' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/20/2022 01:40:44,Kim_Malaysia38,Change language to English - Error executing for the 'Kim_Malaysia38' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/20/2022 01:40:44,Kim_Malaysia44,Change language to English - Error executing for the 'Kim_Malaysia44' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/20/2022 01:40:45,Kim_Malaysia2,Change language to English - Error executing for the 'Kim_Malaysia2' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/20/2022 01:40:46,Kim_Malaysia44,Birthday Sync - for the 'Kim_Malaysia44' account URL: https://www.facebook.com/me
07/20/2022 01:40:46,Kim_Malaysia2,Synchronizing Groups for the 'Kim_Malaysia2' account.
07/20/2022 01:40:46,Kim_Malaysia31,Birthday Sync - for the 'Kim_Malaysia31' account URL: https://www.facebook.com/me
07/20/2022 01:41:17,Kim_Malaysia36,Change language to English - 'Kim_Malaysia36' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/20/2022 01:41:17,Kim_Malaysia7,Change language to English - 'Kim_Malaysia7' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/20/2022 01:41:25,Kim_Malaysia31,Birthday Sync - Error executing for the 'Kim_Malaysia31' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
07/20/2022 01:41:27,Kim_Malaysia31,Checking restrictions for the 'Kim_Malaysia31' account
07/20/2022 01:41:29,Kim_Malaysia44,Checking restrictions for the 'Kim_Malaysia44' account done. URL: https://www.facebook.com/me
07/20/2022 01:41:30,Kim_Malaysia44,Checking restrictions for the 'Kim_Malaysia44' account
07/20/2022 01:41:43,Kim_Malaysia7,Change language to English - Error executing for the 'Kim_Malaysia7' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/20/2022 01:41:46,Kim_Malaysia31,Checking restrictions for the 'Kim_Malaysia31' account done.
07/20/2022 01:41:49,Kim_Malaysia31,Synchronizing Number of Followers for the 'Kim_Malaysia31' account
07/20/2022 01:41:49,Kim_Malaysia36,Change language to English - Error executing for the 'Kim_Malaysia36' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/20/2022 01:41:50,Kim_Malaysia44,Checking restrictions for the 'Kim_Malaysia44' account done.
07/20/2022 01:41:52,Kim_Malaysia44,Synchronizing Number of Followers for the 'Kim_Malaysia44' account
