Date,Account,Status
06/24/2022 23:12:37,,Jarvee 3.3.1.1 is now active
06/25/2022 07:52:35,,Jarvee 3.3.1.1 is now active
06/25/2022 07:53:57,,Jarvee 3.3.1.1 is now active
06/28/2022 19:54:44,,Jarvee 3.3.1.1 is now active
06/28/2022 20:04:33,Chase_France_54,Change language to English - 'Chase_France_54' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
06/28/2022 20:04:33,Chase_France_47,Change language to English - 'Chase_France_47' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
06/28/2022 20:04:33,Chase_France_45,Change language to English - 'Chase_France_45' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
06/28/2022 20:04:33,Chase_France_15,Change language to English - 'Chase_France_15' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
06/28/2022 20:04:33,Chase_Malaysia_4,Change language to English - 'Chase_Malaysia_4' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
06/28/2022 20:05:01,Chase_Malaysia_4,Change language to English - Error executing for the 'Chase_Malaysia_4' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
06/28/2022 20:05:02,Chase_France_15,Change language to English - Error executing for the 'Chase_France_15' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
06/28/2022 20:05:02,Chase_France_54,Change language to English - Error executing for the 'Chase_France_54' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
06/28/2022 20:05:02,Chase_France_45,Change language to English - Error executing for the 'Chase_France_45' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
06/28/2022 20:05:02,Chase_France_47,Change language to English - Error executing for the 'Chase_France_47' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
06/28/2022 20:05:03,Chase_France_54,Synchronizing Groups for the 'Chase_France_54' account.
06/28/2022 20:05:03,Chase_France_47,Birthday Sync - for the 'Chase_France_47' account URL: https://www.facebook.com/me
06/28/2022 20:05:03,Chase_Malaysia_4,Birthday Sync - for the 'Chase_Malaysia_4' account URL: https://www.facebook.com/me
06/28/2022 20:05:03,Chase_France_15,Synchronizing Groups for the 'Chase_France_15' account.
06/28/2022 20:05:26,Chase_France_54,https://www.facebook.com/groups/?category=groups
06/28/2022 20:05:26,Chase_France_15,https://www.facebook.com/groups/?category=groups
06/28/2022 20:05:27,Chase_France_54,Executing a Login operation for the 'Chase_France_54' account.
06/28/2022 20:05:27,Chase_France_34,Change language to English - 'Chase_France_34' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
06/28/2022 20:05:27,Chase_Malaysia_14,Change language to English - 'Chase_Malaysia_14' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
06/28/2022 20:05:27,Chase_France_15,Executing a Login operation for the 'Chase_France_15' account.
06/28/2022 20:05:30,Chase_Malaysia_4,Birthday Sync - Error executing for the 'Chase_Malaysia_4' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/me
06/28/2022 20:05:31,Chase_France_47,Birthday Sync - Error executing for the 'Chase_France_47' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/me
06/28/2022 20:05:33,Chase_France_47,Checking restrictions for the 'Chase_France_47' account
06/28/2022 20:05:33,Chase_Malaysia_1,Change language to English - 'Chase_Malaysia_1' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
06/28/2022 20:05:33,Chase_Malaysia_4,Checking restrictions for the 'Chase_Malaysia_4' account
06/28/2022 20:05:54,Chase_France_15,The Login operation for the 'Chase_France_15' account is finalized.
06/28/2022 20:05:55,Chase_France_54,The Login operation for the 'Chase_France_54' account is finalized.
06/28/2022 20:05:57,Chase_Malaysia_14,Change language to English - Error executing for the 'Chase_Malaysia_14' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
06/28/2022 20:05:58,Chase_Malaysia_14,Birthday Sync - for the 'Chase_Malaysia_14' account URL: https://www.facebook.com/me
06/28/2022 20:05:58,Chase_France_34,Change language to English - Error executing for the 'Chase_France_34' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
06/28/2022 20:05:58,Chase_France_47,Checking restrictions - Error executing for the 'Chase_France_47' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/support/
06/28/2022 20:05:58,Chase_Malaysia_4,Checking restrictions - Error executing for the 'Chase_Malaysia_4' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/support/
06/28/2022 20:06:01,Chase_France_34,Synchronizing Pages for the 'Chase_France_34' account.
06/28/2022 20:06:01,Chase_France_54,Executing a Check Login operation for the 'Chase_France_54' account.
06/28/2022 20:06:01,Chase_Malaysia_4,Executing a Login operation for the 'Chase_Malaysia_4' account.
06/28/2022 20:06:01,Chase_France_15,Executing a Check Login operation for the 'Chase_France_15' account.
06/28/2022 20:06:01,Chase_France_47,Executing a Login operation for the 'Chase_France_47' account.
06/28/2022 20:06:02,Chase_Malaysia_1,Change language to English - Error executing for the 'Chase_Malaysia_1' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
06/28/2022 20:06:04,Chase_Malaysia_1,Birthday Sync - for the 'Chase_Malaysia_1' account URL: https://www.facebook.com/me
06/28/2022 20:06:16,Chase_France_15,Finalized a Check Login operation for the 'Chase_France_15' account.
06/28/2022 20:06:16,Chase_France_15,Error executing Check Login Operation for 'Chase_France_15':  code 2  - Facebook Invalid Credentials
06/28/2022 20:06:21,Chase_France_54,Finalized a Check Login operation for the 'Chase_France_54' account.
06/28/2022 20:06:21,Chase_France_54,Error executing Check Login Operation for 'Chase_France_54':  code 2  - Facebook Invalid Credentials
06/28/2022 20:06:26,Chase_Malaysia_14,Birthday Sync - Error executing for the 'Chase_Malaysia_14' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/me
06/28/2022 20:06:28,Chase_Malaysia_14,Checking restrictions for the 'Chase_Malaysia_14' account
