Date,Account,Status
09/09/2022 10:17:34,,Jarvee 3.3.1.1 is now active
09/11/2022 00:12:58,,Jarvee 3.3.1.1 is now active
09/12/2022 00:34:55,,Jarvee 3.3.1.1 is now active
09/12/2022 08:37:02,,Jarvee 3.3.1.1 is now active
09/12/2022 11:15:19,,Jarvee 3.3.1.1 is now active
09/13/2022 08:07:09,,Jarvee 3.3.1.1 is now active
09/14/2022 12:27:44,,Jarvee 3.3.1.1 is now active
09/15/2022 06:20:12,Ethel_Malaysia7,Executing a Login operation for the 'Ethel_Malaysia7' account.
09/15/2022 06:20:37,Ethel_Malaysia7,The Login operation for the 'Ethel_Malaysia7' account is finalized.
09/15/2022 06:20:43,Ethel_Malaysia7,Executing a Check Login operation for the 'Ethel_Malaysia7' account.
09/15/2022 06:20:58,Ethel_Malaysia7,Finalized a Check Login operation for the 'Ethel_Malaysia7' account.
09/15/2022 06:20:58,Ethel_Malaysia7,Error executing Check Login Operation for 'Ethel_Malaysia7':  code 2  - Facebook Invalid Credentials
09/16/2022 04:11:01,,Jarvee 3.3.1.1 is now active
09/20/2022 01:28:24,,Jarvee 3.3.1.1 is now active
11/12/2022 02:01:21,,Jarvee 3.3.1.1 is now active
11/12/2022 02:04:11,Ethel_Malaysia67,Cookies successfully imported for 'Ethel_Malaysia67'.
11/12/2022 02:04:18,Ethel_Malaysia66,Cookies successfully imported for 'Ethel_Malaysia66'.
11/12/2022 02:04:26,Ethel_Malaysia9,Cookies successfully imported for 'Ethel_Malaysia9'.
11/12/2022 02:04:32,Ethel_Malaysia61,Cookies successfully imported for 'Ethel_Malaysia61'.
11/12/2022 02:04:40,Ethel_Malaysia64,Cookies successfully imported for 'Ethel_Malaysia64'.
11/12/2022 02:04:46,Ethel_Malaysia24,Cookies successfully imported for 'Ethel_Malaysia24'.
11/12/2022 02:04:54,Ethel_Malaysia17,Cookies successfully imported for 'Ethel_Malaysia17'.
11/12/2022 02:05:01,Ethel_Malaysia25,Cookies successfully imported for 'Ethel_Malaysia25'.
11/12/2022 02:05:08,Ethel_Malaysia21,Cookies successfully imported for 'Ethel_Malaysia21'.
11/12/2022 02:05:16,Ethel_Malaysia20,Cookies successfully imported for 'Ethel_Malaysia20'.
11/12/2022 02:05:23,Ethel_Malaysia23,Cookies successfully imported for 'Ethel_Malaysia23'.
11/12/2022 02:05:31,Ethel_Malaysia12,Cookies successfully imported for 'Ethel_Malaysia12'.
11/12/2022 02:05:38,Ethel_Malaysia65,Cookies successfully imported for 'Ethel_Malaysia65'.
11/12/2022 02:05:46,Ethel_Malaysia50,Cookies successfully imported for 'Ethel_Malaysia50'.
11/12/2022 02:05:47,Ethel_Malaysia1,Group Joiner - 'Ethel_Malaysia1' -  is active
11/12/2022 02:05:54,Ethel_Malaysia51,Cookies successfully imported for 'Ethel_Malaysia51'.
11/12/2022 02:05:56,Ethel_Malaysia2,Group Joiner - 'Ethel_Malaysia2' -  is active
11/12/2022 02:05:56,Ethel_Malaysia3,Group Joiner - 'Ethel_Malaysia3' -  is active
11/12/2022 02:05:56,Ethel_Malaysia4,Group Joiner - 'Ethel_Malaysia4' -  is active
11/12/2022 02:05:56,Ethel_Malaysia5,Group Joiner - 'Ethel_Malaysia5' -  is active
11/12/2022 02:05:56,Ethel_Malaysia6,Group Joiner - 'Ethel_Malaysia6' -  is active
11/12/2022 02:05:56,Ethel_Malaysia7,Group Joiner - 'Ethel_Malaysia7' -  is active
11/12/2022 02:05:56,Ethel_Malaysia8,Group Joiner - 'Ethel_Malaysia8' -  is active
11/12/2022 02:05:56,Ethel_Malaysia9,Group Joiner - 'Ethel_Malaysia9' -  is active
11/12/2022 02:05:56,Ethel_Malaysia10,Group Joiner - 'Ethel_Malaysia10' -  is active
11/12/2022 02:05:56,Ethel_Malaysia11,Group Joiner - 'Ethel_Malaysia11' -  is active
11/12/2022 02:05:56,Ethel_Malaysia12,Group Joiner - 'Ethel_Malaysia12' -  is active
11/12/2022 02:05:56,Ethel_Malaysia13,Group Joiner - 'Ethel_Malaysia13' -  is active
11/12/2022 02:05:56,Ethel_Malaysia14,Group Joiner - 'Ethel_Malaysia14' -  is active
11/12/2022 02:05:56,Ethel_Malaysia15,Group Joiner - 'Ethel_Malaysia15' -  is active
11/12/2022 02:05:56,Ethel_Malaysia16,Group Joiner - 'Ethel_Malaysia16' -  is active
11/12/2022 02:05:56,Ethel_Malaysia17,Group Joiner - 'Ethel_Malaysia17' -  is active
11/12/2022 02:05:56,Ethel_Malaysia18,Group Joiner - 'Ethel_Malaysia18' -  is active
11/12/2022 02:05:56,Ethel_Malaysia20,Group Joiner - 'Ethel_Malaysia20' -  is active
11/12/2022 02:05:56,Ethel_Malaysia21,Group Joiner - 'Ethel_Malaysia21' -  is active
11/12/2022 02:05:56,Ethel_Malaysia22,Group Joiner - 'Ethel_Malaysia22' -  is active
11/12/2022 02:05:56,Ethel_Malaysia23,Group Joiner - 'Ethel_Malaysia23' -  is active
11/12/2022 02:05:56,Ethel_Malaysia24,Group Joiner - 'Ethel_Malaysia24' -  is active
11/12/2022 02:05:56,Ethel_Malaysia25,Group Joiner - 'Ethel_Malaysia25' -  is active
11/12/2022 02:05:56,Ethel_Malaysia26,Group Joiner - 'Ethel_Malaysia26' -  is active
11/12/2022 02:05:56,Ethel_Malaysia27,Group Joiner - 'Ethel_Malaysia27' -  is active
11/12/2022 02:05:56,Ethel_Malaysia28,Group Joiner - 'Ethel_Malaysia28' -  is active
11/12/2022 02:05:56,Ethel_Malaysia29,Group Joiner - 'Ethel_Malaysia29' -  is active
11/12/2022 02:05:56,Ethel_Malaysia30,Group Joiner - 'Ethel_Malaysia30' -  is active
11/12/2022 02:05:56,Ethel_Malaysia31,Group Joiner - 'Ethel_Malaysia31' -  is active
11/12/2022 02:05:56,Ethel_Malaysia32,Group Joiner - 'Ethel_Malaysia32' -  is active
11/12/2022 02:05:56,Ethel_Malaysia33,Group Joiner - 'Ethel_Malaysia33' -  is active
11/12/2022 02:05:56,Ethel_Malaysia34,Group Joiner - 'Ethel_Malaysia34' -  is active
11/12/2022 02:05:56,Ethel_Malaysia35,Group Joiner - 'Ethel_Malaysia35' -  is active
11/12/2022 02:05:56,Ethel_Malaysia36,Group Joiner - 'Ethel_Malaysia36' -  is active
11/12/2022 02:05:56,Ethel_Malaysia37,Group Joiner - 'Ethel_Malaysia37' -  is active
11/12/2022 02:05:56,Ethel_Malaysia38,Group Joiner - 'Ethel_Malaysia38' -  is active
11/12/2022 02:05:56,Ethel_Malaysia39,Group Joiner - 'Ethel_Malaysia39' -  is active
11/12/2022 02:05:56,Ethel_Malaysia40,Group Joiner - 'Ethel_Malaysia40' -  is active
11/12/2022 02:05:56,Ethel_Malaysia41,Group Joiner - 'Ethel_Malaysia41' -  is active
11/12/2022 02:05:56,Ethel_Malaysia42,Group Joiner - 'Ethel_Malaysia42' -  is active
11/12/2022 02:05:56,Ethel_Malaysia43,Group Joiner - 'Ethel_Malaysia43' -  is active
11/12/2022 02:05:56,Ethel_Malaysia44,Group Joiner - 'Ethel_Malaysia44' -  is active
11/12/2022 02:05:56,Ethel_Malaysia45,Group Joiner - 'Ethel_Malaysia45' -  is active
11/12/2022 02:05:56,Ethel_Malaysia46,Group Joiner - 'Ethel_Malaysia46' -  is active
11/12/2022 02:05:56,Ethel_Malaysia47,Group Joiner - 'Ethel_Malaysia47' -  is active
11/12/2022 02:05:56,Ethel_Malaysia48,Group Joiner - 'Ethel_Malaysia48' -  is active
11/12/2022 02:05:56,Ethel_Malaysia49,Group Joiner - 'Ethel_Malaysia49' -  is active
11/12/2022 02:05:56,Ethel_Malaysia50,Group Joiner - 'Ethel_Malaysia50' -  is active
11/12/2022 02:05:56,Ethel_Malaysia51,Group Joiner - 'Ethel_Malaysia51' -  is active
11/12/2022 02:05:56,Ethel_Malaysia52,Group Joiner - 'Ethel_Malaysia52' -  is active
11/12/2022 02:05:56,Ethel_Malaysia53,Group Joiner - 'Ethel_Malaysia53' -  is active
11/12/2022 02:05:56,Ethel_Malaysia54,Group Joiner - 'Ethel_Malaysia54' -  is active
11/12/2022 02:05:56,Ethel_Malaysia55,Group Joiner - 'Ethel_Malaysia55' -  is active
11/12/2022 02:05:56,Ethel_Malaysia56,Group Joiner - 'Ethel_Malaysia56' -  is active
11/12/2022 02:05:56,Ethel_Malaysia57,Group Joiner - 'Ethel_Malaysia57' -  is active
11/12/2022 02:05:56,Ethel_Malaysia58,Group Joiner - 'Ethel_Malaysia58' -  is active
11/12/2022 02:05:56,Ethel_Malaysia59,Group Joiner - 'Ethel_Malaysia59' -  is active
11/12/2022 02:05:56,Ethel_Malaysia60,Group Joiner - 'Ethel_Malaysia60' -  is active
11/12/2022 02:05:56,Ethel_Malaysia61,Group Joiner - 'Ethel_Malaysia61' -  is active
11/12/2022 02:05:56,Ethel_Malaysia62,Group Joiner - 'Ethel_Malaysia62' -  is active
11/12/2022 02:05:56,Ethel_Malaysia63,Group Joiner - 'Ethel_Malaysia63' -  is active
11/12/2022 02:05:56,Ethel_Malaysia64,Group Joiner - 'Ethel_Malaysia64' -  is active
11/12/2022 02:05:56,Ethel_Malaysia65,Group Joiner - 'Ethel_Malaysia65' -  is active
11/12/2022 02:05:56,Ethel_Malaysia66,Group Joiner - 'Ethel_Malaysia66' -  is active
11/12/2022 02:05:56,Ethel_Malaysia67,Group Joiner - 'Ethel_Malaysia67' -  is active
11/12/2022 02:05:56,Ethel_Malaysia69,Group Joiner - 'Ethel_Malaysia69' -  is active
11/12/2022 02:05:56,Ethel_Malaysia70,Group Joiner - 'Ethel_Malaysia70' -  is active
11/12/2022 02:05:56,Ethel_Malaysia19,Group Joiner - 'Ethel_Malaysia19' -  is active
11/12/2022 02:05:56,Ethel_Malaysia68,Group Joiner - 'Ethel_Malaysia68' -  is active
11/12/2022 02:05:57,Ethel_Malaysia21,Group Joiner - 'Ethel_Malaysia21' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/12/2022 02:05:57,Ethel_Malaysia25,Group Joiner - 'Ethel_Malaysia25' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/12/2022 02:05:57,Ethel_Malaysia65,Group Joiner - 'Ethel_Malaysia65' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/12/2022 02:05:57,Ethel_Malaysia51,Group Joiner - 'Ethel_Malaysia51' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/12/2022 02:05:57,Ethel_Malaysia50,Group Joiner - 'Ethel_Malaysia50' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/12/2022 02:06:01,Ethel_Malaysia62,Cookies successfully imported for 'Ethel_Malaysia62'.
11/12/2022 02:06:12,Ethel_Malaysia63,Cookies successfully imported for 'Ethel_Malaysia63'.
11/12/2022 02:06:25,Ethel_Malaysia38,Cookies successfully imported for 'Ethel_Malaysia38'.
11/12/2022 02:06:37,Ethel_Malaysia53,Cookies successfully imported for 'Ethel_Malaysia53'.
11/12/2022 02:06:44,Ethel_Malaysia49,Cookies successfully imported for 'Ethel_Malaysia49'.
11/12/2022 02:06:52,Ethel_Malaysia56,Cookies successfully imported for 'Ethel_Malaysia56'.
11/12/2022 02:07:01,Ethel_Malaysia39,Cookies successfully imported for 'Ethel_Malaysia39'.
11/12/2022 02:07:01,Ethel_Malaysia1,Comment&Like - 'Ethel_Malaysia1' is active
11/12/2022 02:07:04,Ethel_Malaysia65,Group Joiner - Ethel_Malaysia65 - Finished operation
11/12/2022 02:07:05,Ethel_Malaysia50,Group Joiner - Ethel_Malaysia50 - Finished operation
11/12/2022 02:07:07,Ethel_Malaysia49,Group Joiner - 'Ethel_Malaysia49' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/12/2022 02:07:07,Ethel_Malaysia63,Group Joiner - 'Ethel_Malaysia63' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/12/2022 02:07:07,Ethel_Malaysia25,Group Joiner - Ethel_Malaysia25 - Finished operation
11/12/2022 02:07:07,Ethel_Malaysia21,Group Joiner - Ethel_Malaysia21 - Finished operation
11/12/2022 02:07:08,Ethel_Malaysia2,Comment&Like - 'Ethel_Malaysia2' is active
11/12/2022 02:07:08,Ethel_Malaysia3,Comment&Like - 'Ethel_Malaysia3' is active
11/12/2022 02:07:08,Ethel_Malaysia4,Comment&Like - 'Ethel_Malaysia4' is active
11/12/2022 02:07:08,Ethel_Malaysia5,Comment&Like - 'Ethel_Malaysia5' is active
11/12/2022 02:07:08,Ethel_Malaysia6,Comment&Like - 'Ethel_Malaysia6' is active
11/12/2022 02:07:08,Ethel_Malaysia7,Comment&Like - 'Ethel_Malaysia7' is active
11/12/2022 02:07:08,Ethel_Malaysia8,Comment&Like - 'Ethel_Malaysia8' is active
11/12/2022 02:07:08,Ethel_Malaysia9,Comment&Like - 'Ethel_Malaysia9' is active
11/12/2022 02:07:08,Ethel_Malaysia10,Comment&Like - 'Ethel_Malaysia10' is active
11/12/2022 02:07:08,Ethel_Malaysia11,Comment&Like - 'Ethel_Malaysia11' is active
11/12/2022 02:07:08,Ethel_Malaysia12,Comment&Like - 'Ethel_Malaysia12' is active
11/12/2022 02:07:08,Ethel_Malaysia13,Comment&Like - 'Ethel_Malaysia13' is active
11/12/2022 02:07:08,Ethel_Malaysia14,Comment&Like - 'Ethel_Malaysia14' is active
11/12/2022 02:07:08,Ethel_Malaysia15,Comment&Like - 'Ethel_Malaysia15' is active
11/12/2022 02:07:08,Ethel_Malaysia16,Comment&Like - 'Ethel_Malaysia16' is active
11/12/2022 02:07:08,Ethel_Malaysia17,Comment&Like - 'Ethel_Malaysia17' is active
11/12/2022 02:07:08,Ethel_Malaysia18,Comment&Like - 'Ethel_Malaysia18' is active
11/12/2022 02:07:08,Ethel_Malaysia20,Comment&Like - 'Ethel_Malaysia20' is active
11/12/2022 02:07:08,Ethel_Malaysia21,Comment&Like - 'Ethel_Malaysia21' is active
11/12/2022 02:07:08,Ethel_Malaysia22,Comment&Like - 'Ethel_Malaysia22' is active
11/12/2022 02:07:08,Ethel_Malaysia23,Comment&Like - 'Ethel_Malaysia23' is active
11/12/2022 02:07:08,Ethel_Malaysia24,Comment&Like - 'Ethel_Malaysia24' is active
11/12/2022 02:07:08,Ethel_Malaysia25,Comment&Like - 'Ethel_Malaysia25' is active
11/12/2022 02:07:08,Ethel_Malaysia26,Comment&Like - 'Ethel_Malaysia26' is active
11/12/2022 02:07:08,Ethel_Malaysia27,Comment&Like - 'Ethel_Malaysia27' is active
11/12/2022 02:07:08,Ethel_Malaysia28,Comment&Like - 'Ethel_Malaysia28' is active
11/12/2022 02:07:08,Ethel_Malaysia29,Comment&Like - 'Ethel_Malaysia29' is active
11/12/2022 02:07:08,Ethel_Malaysia30,Comment&Like - 'Ethel_Malaysia30' is active
11/12/2022 02:07:08,Ethel_Malaysia31,Comment&Like - 'Ethel_Malaysia31' is active
11/12/2022 02:07:08,Ethel_Malaysia32,Comment&Like - 'Ethel_Malaysia32' is active
11/12/2022 02:07:08,Ethel_Malaysia33,Comment&Like - 'Ethel_Malaysia33' is active
11/12/2022 02:07:08,Ethel_Malaysia34,Comment&Like - 'Ethel_Malaysia34' is active
11/12/2022 02:07:08,Ethel_Malaysia35,Comment&Like - 'Ethel_Malaysia35' is active
11/12/2022 02:07:08,Ethel_Malaysia36,Comment&Like - 'Ethel_Malaysia36' is active
11/12/2022 02:07:08,Ethel_Malaysia37,Comment&Like - 'Ethel_Malaysia37' is active
11/12/2022 02:07:08,Ethel_Malaysia38,Comment&Like - 'Ethel_Malaysia38' is active
11/12/2022 02:07:08,Ethel_Malaysia39,Comment&Like - 'Ethel_Malaysia39' is active
11/12/2022 02:07:08,Ethel_Malaysia40,Comment&Like - 'Ethel_Malaysia40' is active
11/12/2022 02:07:08,Ethel_Malaysia41,Comment&Like - 'Ethel_Malaysia41' is active
11/12/2022 02:07:08,Ethel_Malaysia42,Comment&Like - 'Ethel_Malaysia42' is active
11/12/2022 02:07:08,Ethel_Malaysia43,Comment&Like - 'Ethel_Malaysia43' is active
11/12/2022 02:07:08,Ethel_Malaysia44,Comment&Like - 'Ethel_Malaysia44' is active
11/12/2022 02:07:08,Ethel_Malaysia45,Comment&Like - 'Ethel_Malaysia45' is active
11/12/2022 02:07:08,Ethel_Malaysia46,Comment&Like - 'Ethel_Malaysia46' is active
11/12/2022 02:07:08,Ethel_Malaysia47,Comment&Like - 'Ethel_Malaysia47' is active
11/12/2022 02:07:08,Ethel_Malaysia48,Comment&Like - 'Ethel_Malaysia48' is active
11/12/2022 02:07:08,Ethel_Malaysia49,Comment&Like - 'Ethel_Malaysia49' is active
11/12/2022 02:07:08,Ethel_Malaysia50,Comment&Like - 'Ethel_Malaysia50' is active
11/12/2022 02:07:08,Ethel_Malaysia51,Comment&Like - 'Ethel_Malaysia51' is active
11/12/2022 02:07:08,Ethel_Malaysia52,Comment&Like - 'Ethel_Malaysia52' is active
11/12/2022 02:07:08,Ethel_Malaysia53,Comment&Like - 'Ethel_Malaysia53' is active
11/12/2022 02:07:08,Ethel_Malaysia54,Comment&Like - 'Ethel_Malaysia54' is active
11/12/2022 02:07:08,Ethel_Malaysia55,Comment&Like - 'Ethel_Malaysia55' is active
11/12/2022 02:07:08,Ethel_Malaysia56,Comment&Like - 'Ethel_Malaysia56' is active
11/12/2022 02:07:08,Ethel_Malaysia57,Comment&Like - 'Ethel_Malaysia57' is active
11/12/2022 02:07:09,Ethel_Malaysia58,Comment&Like - 'Ethel_Malaysia58' is active
11/12/2022 02:07:09,Ethel_Malaysia59,Comment&Like - 'Ethel_Malaysia59' is active
11/12/2022 02:07:09,Ethel_Malaysia60,Comment&Like - 'Ethel_Malaysia60' is active
11/12/2022 02:07:09,Ethel_Malaysia61,Comment&Like - 'Ethel_Malaysia61' is active
11/12/2022 02:07:09,Ethel_Malaysia62,Comment&Like - 'Ethel_Malaysia62' is active
11/12/2022 02:07:09,Ethel_Malaysia63,Comment&Like - 'Ethel_Malaysia63' is active
11/12/2022 02:07:09,Ethel_Malaysia64,Comment&Like - 'Ethel_Malaysia64' is active
11/12/2022 02:07:09,Ethel_Malaysia65,Comment&Like - 'Ethel_Malaysia65' is active
11/12/2022 02:07:09,Ethel_Malaysia66,Comment&Like - 'Ethel_Malaysia66' is active
11/12/2022 02:07:09,Ethel_Malaysia67,Comment&Like - 'Ethel_Malaysia67' is active
11/12/2022 02:07:09,Ethel_Malaysia69,Comment&Like - 'Ethel_Malaysia69' is active
