Date,Account,Status
07/14/2022 02:41:34,,Jarvee 3.3.1.1 is now active
07/14/2022 09:55:34,,Jarvee 3.3.1.1 is now active
07/14/2022 23:12:33,,Jarvee 3.3.1.1 is now active
07/15/2022 00:53:34,,Jarvee 3.3.1.1 is now active
07/15/2022 09:19:59,,Jarvee 3.3.1.1 is now active
10/24/2022 09:26:39,,Jarvee 3.3.1.1 is now active
10/24/2022 09:28:25,Gen_Malaysia18,Cookies successfully imported for 'Gen_Malaysia18'.
10/24/2022 09:28:30,Gen_Malaysia28,Cookies successfully imported for 'Gen_Malaysia28'.
10/24/2022 09:28:34,Gen_Malaysia32,Cookies successfully imported for 'Gen_Malaysia32'.
10/24/2022 09:28:38,Gen_Malaysia49,Cookies successfully imported for 'Gen_Malaysia49'.
10/24/2022 09:28:43,Gen_Malaysia23,Cookies successfully imported for 'Gen_Malaysia23'.
10/24/2022 09:28:47,Gen_Malaysia22,Cookies successfully imported for 'Gen_Malaysia22'.
10/24/2022 09:28:53,Gen_Malaysia47,Cookies successfully imported for 'Gen_Malaysia47'.
10/24/2022 09:28:57,Gen_Malaysia40,Cookies successfully imported for 'Gen_Malaysia40'.
10/24/2022 09:29:01,Gen_Malaysia30,Cookies successfully imported for 'Gen_Malaysia30'.
10/24/2022 09:29:06,Gen_Malaysia25,Cookies successfully imported for 'Gen_Malaysia25'.
10/24/2022 09:29:10,Gen_Malaysia5,Cookies successfully imported for 'Gen_Malaysia5'.
10/24/2022 09:29:14,Gen_Malaysia44,Cookies successfully imported for 'Gen_Malaysia44'.
10/24/2022 09:29:19,Gen_Malaysia19,Cookies successfully imported for 'Gen_Malaysia19'.
10/24/2022 09:30:39,Gen_Malaysia1,Group Joiner - 'Gen_Malaysia1' -  is active
10/24/2022 09:30:42,Gen_Malaysia1,Group Joiner - 'Gen_Malaysia1' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/24/2022 09:30:49,Gen_Malaysia2,Group Joiner - 'Gen_Malaysia2' -  is active
10/24/2022 09:30:49,Gen_Malaysia3,Group Joiner - 'Gen_Malaysia3' -  is active
10/24/2022 09:30:49,Gen_Malaysia4,Group Joiner - 'Gen_Malaysia4' -  is active
10/24/2022 09:30:49,Gen_Malaysia5,Group Joiner - 'Gen_Malaysia5' -  is active
10/24/2022 09:30:49,Gen_Malaysia6,Group Joiner - 'Gen_Malaysia6' -  is active
10/24/2022 09:30:49,Gen_Malaysia7,Group Joiner - 'Gen_Malaysia7' -  is active
10/24/2022 09:30:49,Gen_Malaysia8,Group Joiner - 'Gen_Malaysia8' -  is active
10/24/2022 09:30:49,Gen_Malaysia9,Group Joiner - 'Gen_Malaysia9' -  is active
10/24/2022 09:30:49,Gen_Malaysia10,Group Joiner - 'Gen_Malaysia10' -  is active
10/24/2022 09:30:49,Gen_Malaysia11,Group Joiner - 'Gen_Malaysia11' -  is active
10/24/2022 09:30:49,Gen_Malaysia12,Group Joiner - 'Gen_Malaysia12' -  is active
10/24/2022 09:30:49,Gen_Malaysia13,Group Joiner - 'Gen_Malaysia13' -  is active
10/24/2022 09:30:49,Gen_Malaysia14,Group Joiner - 'Gen_Malaysia14' -  is active
10/24/2022 09:30:49,Gen_Malaysia15,Group Joiner - 'Gen_Malaysia15' -  is active
10/24/2022 09:30:49,Gen_Malaysia16,Group Joiner - 'Gen_Malaysia16' -  is active
10/24/2022 09:30:49,Gen_Malaysia17,Group Joiner - 'Gen_Malaysia17' -  is active
10/24/2022 09:30:49,Gen_Malaysia18,Group Joiner - 'Gen_Malaysia18' -  is active
10/24/2022 09:30:49,Gen_Malaysia19,Group Joiner - 'Gen_Malaysia19' -  is active
10/24/2022 09:30:49,Gen_Malaysia20,Group Joiner - 'Gen_Malaysia20' -  is active
10/24/2022 09:30:49,Gen_Malaysia21,Group Joiner - 'Gen_Malaysia21' -  is active
10/24/2022 09:30:49,Gen_Malaysia22,Group Joiner - 'Gen_Malaysia22' -  is active
10/24/2022 09:30:49,Gen_Malaysia23,Group Joiner - 'Gen_Malaysia23' -  is active
10/24/2022 09:30:49,Gen_Malaysia24,Group Joiner - 'Gen_Malaysia24' -  is active
10/24/2022 09:30:49,Gen_Malaysia25,Group Joiner - 'Gen_Malaysia25' -  is active
10/24/2022 09:30:49,Gen_Malaysia26,Group Joiner - 'Gen_Malaysia26' -  is active
10/24/2022 09:30:49,Gen_Malaysia27,Group Joiner - 'Gen_Malaysia27' -  is active
10/24/2022 09:30:49,Gen_Malaysia28,Group Joiner - 'Gen_Malaysia28' -  is active
10/24/2022 09:30:49,Gen_Malaysia29,Group Joiner - 'Gen_Malaysia29' -  is active
10/24/2022 09:30:49,Gen_Malaysia30,Group Joiner - 'Gen_Malaysia30' -  is active
10/24/2022 09:30:50,Gen_Malaysia31,Group Joiner - 'Gen_Malaysia31' -  is active
10/24/2022 09:30:50,Gen_Malaysia32,Group Joiner - 'Gen_Malaysia32' -  is active
10/24/2022 09:30:50,Gen_Malaysia34,Group Joiner - 'Gen_Malaysia34' -  is active
10/24/2022 09:30:50,Gen_Malaysia35,Group Joiner - 'Gen_Malaysia35' -  is active
10/24/2022 09:30:50,Gen_Malaysia36,Group Joiner - 'Gen_Malaysia36' -  is active
10/24/2022 09:30:50,Gen_Malaysia37,Group Joiner - 'Gen_Malaysia37' -  is active
10/24/2022 09:30:50,Gen_Malaysia38,Group Joiner - 'Gen_Malaysia38' -  is active
10/24/2022 09:30:50,Gen_Malaysia39,Group Joiner - 'Gen_Malaysia39' -  is active
10/24/2022 09:30:50,Gen_Malaysia40,Group Joiner - 'Gen_Malaysia40' -  is active
10/24/2022 09:30:50,Gen_Malaysia41,Group Joiner - 'Gen_Malaysia41' -  is active
10/24/2022 09:30:50,Gen_Malaysia42,Group Joiner - 'Gen_Malaysia42' -  is active
10/24/2022 09:30:50,Gen_Malaysia43,Group Joiner - 'Gen_Malaysia43' -  is active
10/24/2022 09:30:50,Gen_Malaysia44,Group Joiner - 'Gen_Malaysia44' -  is active
10/24/2022 09:30:50,Gen_Malaysia45,Group Joiner - 'Gen_Malaysia45' -  is active
10/24/2022 09:30:50,Gen_Malaysia46,Group Joiner - 'Gen_Malaysia46' -  is active
10/24/2022 09:30:50,Gen_Malaysia47,Group Joiner - 'Gen_Malaysia47' -  is active
10/24/2022 09:30:50,Gen_Malaysia48,Group Joiner - 'Gen_Malaysia48' -  is active
10/24/2022 09:30:50,Gen_Malaysia49,Group Joiner - 'Gen_Malaysia49' -  is active
10/24/2022 09:30:50,Gen_Malaysia50,Group Joiner - 'Gen_Malaysia50' -  is active
10/24/2022 09:30:50,Gen_Malaysia51,Group Joiner - 'Gen_Malaysia51' -  is active
10/24/2022 09:30:50,Gen_Malaysia52,Group Joiner - 'Gen_Malaysia52' -  is active
10/24/2022 09:30:50,Gen_Malaysia53,Group Joiner - 'Gen_Malaysia53' -  is active
10/24/2022 09:30:50,Gen_Malaysia54,Group Joiner - 'Gen_Malaysia54' -  is active
10/24/2022 09:30:50,Gen_Malaysia55,Group Joiner - 'Gen_Malaysia55' -  is active
10/24/2022 09:30:50,Gen_Malaysia56,Group Joiner - 'Gen_Malaysia56' -  is active
10/24/2022 09:30:50,Gen_Malaysia57,Group Joiner - 'Gen_Malaysia57' -  is active
10/24/2022 09:30:50,Gen_Malaysia58,Group Joiner - 'Gen_Malaysia58' -  is active
10/24/2022 09:30:50,Gen_Malaysia59,Group Joiner - 'Gen_Malaysia59' -  is active
10/24/2022 09:30:50,Gen_Malaysia60,Group Joiner - 'Gen_Malaysia60' -  is active
10/24/2022 09:30:50,Gen_Malaysia61,Group Joiner - 'Gen_Malaysia61' -  is active
10/24/2022 09:30:50,Gen_Malaysia62,Group Joiner - 'Gen_Malaysia62' -  is active
10/24/2022 09:30:50,Gen_Malaysia63,Group Joiner - 'Gen_Malaysia63' -  is active
10/24/2022 09:30:50,Gen_Malaysia64,Group Joiner - 'Gen_Malaysia64' -  is active
10/24/2022 09:30:50,Gen_Malaysia65,Group Joiner - 'Gen_Malaysia65' -  is active
10/24/2022 09:30:50,Gen_Malaysia66,Group Joiner - 'Gen_Malaysia66' -  is active
10/24/2022 09:30:50,Gen_Malaysia67,Group Joiner - 'Gen_Malaysia67' -  is active
10/24/2022 09:30:50,Gen_Malaysia68,Group Joiner - 'Gen_Malaysia68' -  is active
10/24/2022 09:30:50,Gen_Malaysia69,Group Joiner - 'Gen_Malaysia69' -  is active
10/24/2022 09:30:50,Gen_Malaysia70,Group Joiner - 'Gen_Malaysia70' -  is active
10/24/2022 09:30:50,Gen_Malaysia33,Group Joiner - 'Gen_Malaysia33' -  is active
10/24/2022 09:31:06,Gen_Malaysia1,Account Actions -  'Gen_Malaysia1' is active
10/24/2022 09:31:12,Gen_Malaysia2,Account Actions -  'Gen_Malaysia2' is active
10/24/2022 09:31:12,Gen_Malaysia3,Account Actions -  'Gen_Malaysia3' is active
10/24/2022 09:31:12,Gen_Malaysia4,Account Actions -  'Gen_Malaysia4' is active
10/24/2022 09:31:12,Gen_Malaysia5,Account Actions -  'Gen_Malaysia5' is active
10/24/2022 09:31:12,Gen_Malaysia6,Account Actions -  'Gen_Malaysia6' is active
