Date,Account,Status
08/18/2022 05:34:39,F196,Group UnJoiner - 'F196' - Finalized unjoin operation
08/18/2022 05:34:44,F193,Group UnJoiner - 'F193' - UnJoining https://www.facebook.com/groups/386036755110471
08/18/2022 05:34:46,F169,Group UnJoiner - 'F169' - Finalized unjoin operation
08/18/2022 05:34:47,F188,Group UnJoiner - 'F188' - Finalized unjoin operation
08/18/2022 05:35:08,F184,Executing extraction from Notification section for F184 account.
08/18/2022 05:35:11,summer-ph114,Executing extraction from Notification section for summer-ph114 account.
08/18/2022 05:35:45,F193,Group UnJoiner - 'F193' - Finalized unjoin operation
08/18/2022 05:35:48,F161,Extracted 3 posts from Notifications for F161 account.
08/18/2022 05:35:51,F161,Group UnJoiner - 'F161' - UnJoining https://www.facebook.com/groups/1097803126924799
08/18/2022 05:36:30,F169,Executing extraction from Notification section for F169 account.
08/18/2022 05:37:15,F184,Group UnJoiner - 'F184' - UnJoining https://www.facebook.com/marketplace
08/18/2022 05:37:22,summer-ph127,Group UnJoiner - 'summer-ph127' - UnJoining https://www.facebook.com/groups/1288182554546138
08/18/2022 05:37:25,F186,Group UnJoiner - 'F186' - UnJoining https://www.facebook.com/groups/899392106794203
08/18/2022 05:37:34,summer-ph114,Group UnJoiner - 'summer-ph114' - UnJoining https://www.facebook.com/groups/1797968966982746
08/18/2022 05:37:54,F184,Group UnJoiner - Error unjoining group for the 'F184' account. : code  107  - More button not found URL: https://www.facebook.com/marketplace
08/18/2022 05:37:59,F169,Extracted 8 posts from Notifications for F169 account.
08/18/2022 05:38:15,F186,Group UnJoiner - 'F186' - Finalized unjoin operation
08/18/2022 05:38:23,summer-ph150,Group UnJoiner - 'summer-ph150' - UnJoining https://www.facebook.com/groups/372855247365218
08/18/2022 05:38:32,summer-ph145,Group UnJoiner - 'summer-ph145' - UnJoining https://www.facebook.com/groups/1819115281667872
08/18/2022 05:38:32,F196,Group UnJoiner - 'F196' - UnJoining https://www.facebook.com/groups/448194216126938
08/18/2022 05:38:44,F169,Group UnJoiner - 'F169' - UnJoining https://www.facebook.com/groups/1716947638520483
08/18/2022 05:39:06,summer-ph150,Group UnJoiner - 'summer-ph150' - Finalized unjoin operation
08/18/2022 05:39:14,summer-ph134,Group UnJoiner - 'summer-ph134' - UnJoining https://www.facebook.com/groups/1726716914307400
08/18/2022 05:39:19,summer-ph114,Group UnJoiner - 'summer-ph114' - Finalized unjoin operation
08/18/2022 05:39:20,summer-ph136,Group UnJoiner - 'summer-ph136' - UnJoining https://www.facebook.com/groups/1330474310436803
08/18/2022 05:39:29,F161,Group UnJoiner - Error unjoining group for the 'F161' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/1097803126924799
08/18/2022 05:39:33,summer-ph145,Group UnJoiner - 'summer-ph145' - Finalized unjoin operation
08/18/2022 05:39:43,F169,Group UnJoiner - 'F169' - Finalized unjoin operation
08/18/2022 05:39:44,F188,Group UnJoiner - 'F188' - UnJoining https://www.facebook.com/groups/201465126555221
08/18/2022 05:39:53,F193,Group UnJoiner - 'F193' - UnJoining https://www.facebook.com/groups/342242237484159
08/18/2022 05:40:05,summer-ph136,Group UnJoiner - 'summer-ph136' - Finalized unjoin operation
08/18/2022 05:40:06,summer-ph134,Group UnJoiner - 'summer-ph134' - Finalized unjoin operation
08/18/2022 05:40:56,summer-ph127,Group UnJoiner - Error unjoining group for the 'summer-ph127' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/1288182554546138
08/18/2022 05:41:12,F161,Group UnJoiner - 'F161' - UnJoining https://www.facebook.com/groups/1066137633545249
08/18/2022 05:41:13,F193,Group UnJoiner - 'F193' - Finalized unjoin operation
08/18/2022 05:41:15,summer-ph134,Executing extraction from Notification section for summer-ph134 account.
08/18/2022 05:42:11,F196,Group UnJoiner - Error unjoining group for the 'F196' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/448194216126938
08/18/2022 05:42:23,F161,Group UnJoiner - 'F161' - Finalized unjoin operation
08/18/2022 05:42:31,summer-ph127,Group UnJoiner - 'summer-ph127' - UnJoining https://www.facebook.com/groups/938850593410616
08/18/2022 05:42:40,summer-ph114,Group UnJoiner - 'summer-ph114' - UnJoining https://www.facebook.com/groups/1514685978685882
08/18/2022 05:42:58,F184,Group UnJoiner - 'F184' - UnJoining https://www.facebook.com/marketplace
08/18/2022 05:43:04,F186,Group UnJoiner - 'F186' - UnJoining https://www.facebook.com/groups/880970209067219
08/18/2022 05:43:14,summer-ph127,Group UnJoiner - 'summer-ph127' - Finalized unjoin operation
08/18/2022 05:43:24,summer-ph114,Group UnJoiner - 'summer-ph114' - Finalized unjoin operation
08/18/2022 05:43:25,F188,Group UnJoiner - Error unjoining group for the 'F188' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/201465126555221
08/18/2022 05:44:13,summer-ph145,Group UnJoiner - 'summer-ph145' - UnJoining https://www.facebook.com/groups/1611903482392133
08/18/2022 05:44:16,summer-ph150,Group UnJoiner - 'summer-ph150' - UnJoining https://www.facebook.com/groups/333447503483633
08/18/2022 05:44:19,F196,Group UnJoiner - 'F196' - UnJoining https://www.facebook.com/groups/420518495271411
08/18/2022 05:44:25,F169,Group UnJoiner - 'F169' - UnJoining https://www.facebook.com/groups/1610637078987058
08/18/2022 05:44:26,summer-ph136,Group UnJoiner - 'summer-ph136' - UnJoining https://www.facebook.com/groups/1276160115826866
08/18/2022 05:44:50,summer-ph134,Group UnJoiner - 'summer-ph134' - UnJoining https://www.facebook.com/groups/1725534600835960
08/18/2022 05:44:56,summer-ph145,Group UnJoiner - 'summer-ph145' - Finalized unjoin operation
08/18/2022 05:45:10,summer-ph136,Group UnJoiner - 'summer-ph136' - Finalized unjoin operation
08/18/2022 05:45:10,F196,Group UnJoiner - 'F196' - Finalized unjoin operation
08/18/2022 05:45:15,summer-ph150,Group UnJoiner - 'summer-ph150' - Finalized unjoin operation
08/18/2022 05:45:20,summer-ph150,Executing extraction from Notification section for summer-ph150 account.
08/18/2022 05:45:20,summer-ph164,Executing extraction from Notification section for summer-ph164 account.
08/18/2022 05:45:23,F188,Group UnJoiner - 'F188' - UnJoining https://www.facebook.com/groups/167692136622975
08/18/2022 05:45:29,F193,Group UnJoiner - 'F193' - UnJoining https://www.facebook.com/groups/323627858973201
08/18/2022 05:45:36,summer-ph134,Group UnJoiner - 'summer-ph134' - Finalized unjoin operation
08/18/2022 05:46:29,F193,Group UnJoiner - 'F193' - Finalized unjoin operation
08/18/2022 05:46:34,F169,Group UnJoiner - 'F169' - Finalized unjoin operation
08/18/2022 05:46:34,F184,Group UnJoiner - Error unjoining group for the 'F184' account. : code  168  - Timeout occured. URL: https://www.facebook.com/marketplace
08/18/2022 05:46:37,F186,Group UnJoiner - Error unjoining group for the 'F186' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/880970209067219
08/18/2022 05:46:39,F188,Group UnJoiner - 'F188' - Finalized unjoin operation
08/18/2022 05:46:42,F161,Group UnJoiner - 'F161' - UnJoining https://www.facebook.com/groups/1050403938406448
08/18/2022 05:47:37,F161,Group UnJoiner - 'F161' - Finalized unjoin operation
08/18/2022 05:47:43,summer-ph127,Group UnJoiner - 'summer-ph127' - UnJoining https://www.facebook.com/groups/853162342078178
08/18/2022 05:48:07,F188,Executing extraction from Notification section for F188 account.
08/18/2022 05:48:29,summer-ph127,Group UnJoiner - 'summer-ph127' - Finalized unjoin operation
08/18/2022 05:48:34,summer-ph114,Group UnJoiner - 'summer-ph114' - UnJoining https://www.facebook.com/groups/1041481666752123
08/18/2022 05:48:46,F184,Group UnJoiner - 'F184' - UnJoining https://www.facebook.com/marketplace
08/18/2022 05:48:55,F186,Group UnJoiner - 'F186' - UnJoining https://www.facebook.com/groups/798922284014825
08/18/2022 05:49:07,summer-ph127,Executing extraction from Notification section for summer-ph127 account.
08/18/2022 05:49:19,summer-ph114,Group UnJoiner - 'summer-ph114' - Finalized unjoin operation
08/18/2022 05:49:25,F184,Group UnJoiner - Error unjoining group for the 'F184' account. : code  107  - More button not found URL: https://www.facebook.com/marketplace
08/18/2022 05:49:37,F169,Group UnJoiner - 'F169' - UnJoining https://www.facebook.com/groups/1547641965450383
08/18/2022 05:49:41,F196,Group UnJoiner - 'F196' - UnJoining https://www.facebook.com/groups/415306181995030
08/18/2022 05:49:42,F186,Group UnJoiner - 'F186' - Finalized unjoin operation
08/18/2022 05:49:44,summer-ph136,Group UnJoiner - 'summer-ph136' - UnJoining https://www.facebook.com/groups/1218533271562626
08/18/2022 05:49:59,summer-ph150,Group UnJoiner - 'summer-ph150' - UnJoining https://www.facebook.com/groups/307314155976395
08/18/2022 05:50:02,summer-ph145,Group UnJoiner - 'summer-ph145' - UnJoining https://www.facebook.com/groups/1321161318385300
08/18/2022 05:50:28,summer-ph136,Group UnJoiner - 'summer-ph136' - Finalized unjoin operation
08/18/2022 05:50:38,summer-ph134,Group UnJoiner - 'summer-ph134' - UnJoining https://www.facebook.com/groups/1666528867013153
08/18/2022 05:50:44,F193,Group UnJoiner - 'F193' - UnJoining https://www.facebook.com/groups/296246501028422
08/18/2022 05:50:44,F196,Group UnJoiner - 'F196' - Finalized unjoin operation
08/18/2022 05:50:48,summer-ph145,Group UnJoiner - 'summer-ph145' - Finalized unjoin operation
08/18/2022 05:50:50,F188,Group UnJoiner - 'F188' - UnJoining https://www.facebook.com/groups/135490973177270
08/18/2022 05:51:32,summer-ph134,Group UnJoiner - 'summer-ph134' - Finalized unjoin operation
08/18/2022 05:51:39,F193,Group UnJoiner - 'F193' - Finalized unjoin operation
08/18/2022 05:52:00,F188,Group UnJoiner - 'F188' - Finalized unjoin operation
08/18/2022 05:52:33,F161,Group UnJoiner - 'F161' - UnJoining https://www.facebook.com/groups/942212559217247
08/18/2022 05:53:20,F169,Group UnJoiner - Error unjoining group for the 'F169' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/1547641965450383
08/18/2022 05:53:24,summer-ph127,Group UnJoiner - 'summer-ph127' - UnJoining https://www.facebook.com/groups/851369065672697
08/18/2022 05:53:32,F161,Group UnJoiner - 'F161' - Finalized unjoin operation
08/18/2022 05:53:42,summer-ph150,Group UnJoiner - Error unjoining group for the 'summer-ph150' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/307314155976395
08/18/2022 05:54:00,summer-ph114,Group UnJoiner - 'summer-ph114' - UnJoining https://www.facebook.com/groups/482759335892022
08/18/2022 05:54:03,F186,Group UnJoiner - 'F186' - UnJoining https://www.facebook.com/groups/640099320053669
08/18/2022 05:54:09,F184,Group UnJoiner - 'F184' - UnJoining https://www.facebook.com/marketplace
08/18/2022 05:54:19,summer-ph127,Group UnJoiner - 'summer-ph127' - Finalized unjoin operation
08/18/2022 05:54:52,F184,Group UnJoiner - Error unjoining group for the 'F184' account. : code  107  - More button not found URL: https://www.facebook.com/marketplace
08/18/2022 05:54:53,F186,Group UnJoiner - 'F186' - Finalized unjoin operation
08/18/2022 05:54:53,summer-ph114,Group UnJoiner - 'summer-ph114' - Finalized unjoin operation
08/18/2022 05:55:16,F169,Group UnJoiner - 'F169' - UnJoining https://www.facebook.com/groups/1522030448040047
08/18/2022 05:55:16,summer-ph145,Group UnJoiner - 'summer-ph145' - UnJoining https://www.facebook.com/groups/1248909011977783
08/18/2022 05:55:19,summer-ph150,Group UnJoiner - 'summer-ph150' - UnJoining https://www.facebook.com/groups/981301918710589
08/18/2022 05:55:31,summer-ph136,Group UnJoiner - 'summer-ph136' - UnJoining https://www.facebook.com/groups/1007949399659450
08/18/2022 05:55:34,F196,Group UnJoiner - 'F196' - UnJoining https://www.facebook.com/groups/385367324807000
08/18/2022 05:56:01,F193,Group UnJoiner - 'F193' - UnJoining https://www.facebook.com/groups/271566820004056
08/18/2022 05:56:04,summer-ph145,Group UnJoiner - 'summer-ph145' - Finalized unjoin operation
08/18/2022 05:56:09,F169,Group UnJoiner - 'F169' - Finalized unjoin operation
08/18/2022 05:56:13,summer-ph136,Group UnJoiner - 'summer-ph136' - Finalized unjoin operation
08/18/2022 05:56:14,summer-ph150,Group UnJoiner - 'summer-ph150' - Finalized unjoin operation
08/18/2022 05:56:19,F188,Group UnJoiner - 'F188' - UnJoining https://www.facebook.com/marketplace
08/18/2022 05:56:28,summer-ph134,Group UnJoiner - 'summer-ph134' - UnJoining https://www.facebook.com/groups/1661115307563169
