Date,Account,Status
08/04/2022 04:16:11,,Jarvee 3.3.1.1 is now active
08/09/2022 22:40:52,,Jarvee 3.3.1.1 is now active
08/10/2022 08:47:40,,Jarvee 3.3.1.1 is now active
08/12/2022 09:21:27,,Jarvee 3.3.1.1 is now active
08/12/2022 09:53:01,,Jarvee 3.3.1.1 is now active
08/19/2022 00:04:38,,Jarvee 3.3.1.1 is now active
10/28/2022 07:20:59,,Jarvee 3.3.1.1 is now active
10/28/2022 07:26:25,Oliver_Malaysia_1192,Group Joiner - 'Oliver_Malaysia_1192' -  is active
10/28/2022 07:26:28,Oliver_Malaysia_1192,Group Joiner - 'Oliver_Malaysia_1192' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/28/2022 07:26:32,Oliver_Malaysia_1193,Group Joiner - 'Oliver_Malaysia_1193' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1194,Group Joiner - 'Oliver_Malaysia_1194' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1196,Group Joiner - 'Oliver_Malaysia_1196' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1197,Group Joiner - 'Oliver_Malaysia_1197' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1198,Group Joiner - 'Oliver_Malaysia_1198' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1199,Group Joiner - 'Oliver_Malaysia_1199' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1200,Group Joiner - 'Oliver_Malaysia_1200' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1201,Group Joiner - 'Oliver_Malaysia_1201' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1202,Group Joiner - 'Oliver_Malaysia_1202' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1204,Group Joiner - 'Oliver_Malaysia_1204' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1206,Group Joiner - 'Oliver_Malaysia_1206' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1208,Group Joiner - 'Oliver_Malaysia_1208' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1209,Group Joiner - 'Oliver_Malaysia_1209' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1210,Group Joiner - 'Oliver_Malaysia_1210' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1211,Group Joiner - 'Oliver_Malaysia_1211' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1212,Group Joiner - 'Oliver_Malaysia_1212' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1213,Group Joiner - 'Oliver_Malaysia_1213' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1214,Group Joiner - 'Oliver_Malaysia_1214' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1215,Group Joiner - 'Oliver_Malaysia_1215' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1216,Group Joiner - 'Oliver_Malaysia_1216' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1217,Group Joiner - 'Oliver_Malaysia_1217' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1219,Group Joiner - 'Oliver_Malaysia_1219' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1220,Group Joiner - 'Oliver_Malaysia_1220' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1221,Group Joiner - 'Oliver_Malaysia_1221' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1222,Group Joiner - 'Oliver_Malaysia_1222' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1223,Group Joiner - 'Oliver_Malaysia_1223' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1224,Group Joiner - 'Oliver_Malaysia_1224' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1225,Group Joiner - 'Oliver_Malaysia_1225' -  is active
10/28/2022 07:26:32,Oliver_Malaysia_1226,Group Joiner - 'Oliver_Malaysia_1226' -  is active
