Date,Account,Status
08/02/2022 08:45:07,,Jarvee 3.3.1.1 is now active
08/02/2022 23:14:04,,Jarvee 3.3.1.1 is now active
08/03/2022 01:55:17,,Jarvee 3.3.1.1 is now active
08/03/2022 02:55:47,,Jarvee 3.3.1.1 is now active
08/03/2022 03:07:02,,Jarvee 3.3.1.1 is now active
08/03/2022 04:30:35,,Jarvee 3.3.1.1 is now active
08/04/2022 07:52:09,,Jarvee 3.3.1.1 is now active
08/04/2022 08:59:06,,Jarvee 3.3.1.1 is now active
08/05/2022 04:36:58,,Jarvee 3.3.1.1 is now active
08/06/2022 05:36:10,,Jarvee 3.3.1.1 is now active
08/06/2022 05:52:14,Moeed_Malaysia47,Synchronizing Number of Followers for the 'Moeed_Malaysia47' account
08/06/2022 05:55:11,Moeed_Malaysia47,Error synchronizing Number of Followers for the 'Moeed_Malaysia47' account. : code  581  - Proxy error - Check proxy settings. URL: https://www.facebook.com/me
08/06/2022 05:55:13,Moeed_Malaysia47,Birthday Sync - for the 'Moeed_Malaysia47' account URL: https://www.facebook.com/me
08/06/2022 05:55:13,Moeed_Malaysia18,Synchronizing Number of Followers for the 'Moeed_Malaysia18' account
08/06/2022 05:55:44,Moeed_Malaysia18,Finalized Number of Followers synchronization for the 'Moeed_Malaysia18' account.
08/06/2022 05:56:25,Moeed_Malaysia12,Synchronizing Pages for the 'Moeed_Malaysia12' account.
08/06/2022 05:56:26,Moeed_Malaysia18,Birthday Sync - for the 'Moeed_Malaysia18' account URL: https://www.facebook.com/me
08/06/2022 05:57:03,Moeed_Malaysia18,Birthday Sync - Error executing for the 'Moeed_Malaysia18' account. : code  44  - About tag not found URL: https://www.facebook.com/me
08/06/2022 05:57:35,Moeed_Malaysia12,Finalized pages synchronization for the 'Moeed_Malaysia12' account.
08/06/2022 05:57:36,Moeed_Malaysia18,Checking restrictions for the 'Moeed_Malaysia18' account
08/06/2022 05:57:58,Moeed_Malaysia18,Checking restrictions for the 'Moeed_Malaysia18' account done.
08/06/2022 05:58:10,Moeed_Malaysia47,Birthday Sync - Error executing for the 'Moeed_Malaysia47' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/me
08/06/2022 05:58:12,Moeed_Malaysia47,Checking restrictions for the 'Moeed_Malaysia47' account
08/06/2022 05:58:15,Moeed_Malaysia58,Synchronizing Number of Followers for the 'Moeed_Malaysia58' account
08/06/2022 05:58:49,Moeed_Malaysia58,Finalized Number of Followers synchronization for the 'Moeed_Malaysia58' account.
08/06/2022 05:58:52,Moeed_Malaysia58,Synchronizing Pages for the 'Moeed_Malaysia58' account.
08/06/2022 06:00:06,Moeed_Malaysia58,Finalized pages synchronization for the 'Moeed_Malaysia58' account.
08/06/2022 06:00:08,Moeed_Malaysia58,Synchronizing Groups for the 'Moeed_Malaysia58' account.
08/06/2022 06:01:10,Moeed_Malaysia47,Checking restrictions - Error executing for the 'Moeed_Malaysia47' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/support/
08/06/2022 06:02:14,Moeed_Malaysia58,Birthday Sync - for the 'Moeed_Malaysia58' account URL: https://www.facebook.com/me
08/06/2022 06:02:14,Moeed_Malaysia62,Synchronizing Pages for the 'Moeed_Malaysia62' account.
08/06/2022 06:03:06,Moeed_Malaysia58,Checking restrictions for the 'Moeed_Malaysia58' account done. URL: https://www.facebook.com/me
08/06/2022 06:03:06,Moeed_Malaysia58,Checking restrictions for the 'Moeed_Malaysia58' account
08/06/2022 06:03:33,Moeed_Malaysia58,Checking restrictions for the 'Moeed_Malaysia58' account done.
08/06/2022 06:03:33,Moeed_Malaysia62,Finalized pages synchronization for the 'Moeed_Malaysia62' account.
08/06/2022 06:03:34,Moeed_Malaysia62,Synchronizing Groups for the 'Moeed_Malaysia62' account.
08/06/2022 06:05:52,Moeed_Malaysia26,Synchronizing Groups for the 'Moeed_Malaysia26' account.
08/06/2022 06:07:29,Moeed_Malaysia28,Synchronizing Groups for the 'Moeed_Malaysia28' account.
08/06/2022 06:08:57,Moeed_Malaysia28,Synchronizing Pages for the 'Moeed_Malaysia28' account.
08/06/2022 06:10:11,Moeed_Malaysia28,Finalized pages synchronization for the 'Moeed_Malaysia28' account.
08/06/2022 06:10:14,Moeed_Malaysia28,Birthday Sync - for the 'Moeed_Malaysia28' account URL: https://www.facebook.com/me
08/06/2022 06:11:02,Moeed_Malaysia28,Checking restrictions for the 'Moeed_Malaysia28' account done. URL: https://www.facebook.com/me
08/06/2022 06:11:02,Moeed_Malaysia28,Checking restrictions for the 'Moeed_Malaysia28' account
08/06/2022 06:11:25,Moeed_Malaysia28,Checking restrictions for the 'Moeed_Malaysia28' account done.
08/06/2022 06:11:26,Moeed_Malaysia28,Synchronizing Number of Followers for the 'Moeed_Malaysia28' account
08/06/2022 06:11:51,Moeed_Malaysia28,Finalized Number of Followers synchronization for the 'Moeed_Malaysia28' account.
08/06/2022 06:13:13,Moeed_Malaysia27,Synchronizing Number of Followers for the 'Moeed_Malaysia27' account
08/06/2022 06:13:48,Moeed_Malaysia27,Finalized Number of Followers synchronization for the 'Moeed_Malaysia27' account.
