Date,Account,Status
08/30/2022 05:44:22,,Jarvee 3.3.1.1 is now active
08/30/2022 05:58:10,,Jarvee 3.3.1.1 is now active
08/30/2022 06:03:30,,Jarvee 3.3.1.1 is now active
08/30/2022 06:44:35,,Jarvee 3.3.1.1 is now active
08/30/2022 23:56:28,,Jarvee 3.3.1.1 is now active
08/31/2022 00:10:12,,Jarvee 3.3.1.1 is now active
08/31/2022 01:31:55,,Jarvee 3.3.1.1 is now active
09/01/2022 11:19:17,,Jarvee 3.3.1.1 is now active
10/26/2022 08:46:15,,Jarvee 3.3.1.1 is now active
10/26/2022 08:53:14,Noah_Malaysia_281,Group Joiner - 'Noah_Malaysia_281' -  is active
10/26/2022 08:53:22,Noah_Malaysia_282,Group Joiner - 'Noah_Malaysia_282' -  is active
10/26/2022 08:53:22,Noah_Malaysia_283,Group Joiner - 'Noah_Malaysia_283' -  is active
10/26/2022 08:53:22,Noah_Malaysia_284,Group Joiner - 'Noah_Malaysia_284' -  is active
10/26/2022 08:53:22,Noah_Malaysia_285,Group Joiner - 'Noah_Malaysia_285' -  is active
10/26/2022 08:53:22,Noah_Malaysia_286,Group Joiner - 'Noah_Malaysia_286' -  is active
10/26/2022 08:53:22,Noah_Malaysia_287,Group Joiner - 'Noah_Malaysia_287' -  is active
10/26/2022 08:53:22,Noah_Malaysia_288,Group Joiner - 'Noah_Malaysia_288' -  is active
10/26/2022 08:53:22,Noah_Malaysia_289,Group Joiner - 'Noah_Malaysia_289' -  is active
10/26/2022 08:53:22,Noah_Malaysia_290,Group Joiner - 'Noah_Malaysia_290' -  is active
10/26/2022 08:53:22,Noah_Malaysia_291,Group Joiner - 'Noah_Malaysia_291' -  is active
10/26/2022 08:53:22,Noah_Malaysia_292,Group Joiner - 'Noah_Malaysia_292' -  is active
10/26/2022 08:53:22,Noah_Malaysia_293,Group Joiner - 'Noah_Malaysia_293' -  is active
10/26/2022 08:53:22,Noah_Malaysia_294,Group Joiner - 'Noah_Malaysia_294' -  is active
10/26/2022 08:53:22,Noah_Malaysia_295,Group Joiner - 'Noah_Malaysia_295' -  is active
10/26/2022 08:53:22,Noah_Malaysia_296,Group Joiner - 'Noah_Malaysia_296' -  is active
10/26/2022 08:53:22,Noah_Malaysia_297,Group Joiner - 'Noah_Malaysia_297' -  is active
10/26/2022 08:53:22,Noah_Malaysia_298,Group Joiner - 'Noah_Malaysia_298' -  is active
10/26/2022 08:53:22,Noah_Malaysia_299,Group Joiner - 'Noah_Malaysia_299' -  is active
10/26/2022 08:53:22,Noah_Malaysia_300,Group Joiner - 'Noah_Malaysia_300' -  is active
10/26/2022 08:53:22,Noah_Malaysia_301,Group Joiner - 'Noah_Malaysia_301' -  is active
10/26/2022 08:53:22,Noah_Malaysia_302,Group Joiner - 'Noah_Malaysia_302' -  is active
10/26/2022 08:53:22,Noah_Malaysia_303,Group Joiner - 'Noah_Malaysia_303' -  is active
10/26/2022 08:53:22,Noah_Malaysia_304,Group Joiner - 'Noah_Malaysia_304' -  is active
10/26/2022 08:53:22,Noah_Malaysia_305,Group Joiner - 'Noah_Malaysia_305' -  is active
10/26/2022 08:53:22,Noah_Malaysia_306,Group Joiner - 'Noah_Malaysia_306' -  is active
10/26/2022 08:53:22,Noah_Malaysia_307,Group Joiner - 'Noah_Malaysia_307' -  is active
10/26/2022 08:53:22,Noah_Malaysia_308,Group Joiner - 'Noah_Malaysia_308' -  is active
10/26/2022 08:53:22,Noah_Malaysia_309,Group Joiner - 'Noah_Malaysia_309' -  is active
10/26/2022 08:53:22,Noah_Malaysia_310,Group Joiner - 'Noah_Malaysia_310' -  is active
10/26/2022 08:53:22,Noah_Malaysia_311,Group Joiner - 'Noah_Malaysia_311' -  is active
10/26/2022 08:53:22,Noah_Malaysia_312,Group Joiner - 'Noah_Malaysia_312' -  is active
10/26/2022 08:53:22,Noah_Malaysia_313,Group Joiner - 'Noah_Malaysia_313' -  is active
10/26/2022 08:53:22,Noah_Malaysia_314,Group Joiner - 'Noah_Malaysia_314' -  is active
10/26/2022 08:53:22,Noah_Malaysia_315,Group Joiner - 'Noah_Malaysia_315' -  is active
10/26/2022 08:53:22,Noah_Malaysia_316,Group Joiner - 'Noah_Malaysia_316' -  is active
10/26/2022 08:53:22,Noah_Malaysia_317,Group Joiner - 'Noah_Malaysia_317' -  is active
10/26/2022 08:53:22,Noah_Malaysia_318,Group Joiner - 'Noah_Malaysia_318' -  is active
10/26/2022 08:53:22,Noah_Malaysia_319,Group Joiner - 'Noah_Malaysia_319' -  is active
10/26/2022 08:53:22,Noah_Malaysia_320,Group Joiner - 'Noah_Malaysia_320' -  is active
10/26/2022 08:53:22,Noah_Malaysia_321,Group Joiner - 'Noah_Malaysia_321' -  is active
10/26/2022 08:53:22,Noah_Malaysia_322,Group Joiner - 'Noah_Malaysia_322' -  is active
10/26/2022 08:53:22,Noah_Malaysia_323,Group Joiner - 'Noah_Malaysia_323' -  is active
10/26/2022 08:53:22,Noah_Malaysia_324,Group Joiner - 'Noah_Malaysia_324' -  is active
10/26/2022 08:53:22,Noah_Malaysia_325,Group Joiner - 'Noah_Malaysia_325' -  is active
10/26/2022 08:53:22,Noah_Malaysia_326,Group Joiner - 'Noah_Malaysia_326' -  is active
10/26/2022 08:53:22,Noah_Malaysia_327,Group Joiner - 'Noah_Malaysia_327' -  is active
10/26/2022 08:53:22,Noah_Malaysia_328,Group Joiner - 'Noah_Malaysia_328' -  is active
10/26/2022 08:53:22,Noah_Malaysia_329,Group Joiner - 'Noah_Malaysia_329' -  is active
10/26/2022 08:53:22,Noah_Malaysia_330,Group Joiner - 'Noah_Malaysia_330' -  is active
10/26/2022 08:53:22,Noah_Malaysia_331,Group Joiner - 'Noah_Malaysia_331' -  is active
10/26/2022 08:53:22,Noah_Malaysia_332,Group Joiner - 'Noah_Malaysia_332' -  is active
10/26/2022 08:53:22,Noah_Malaysia_333,Group Joiner - 'Noah_Malaysia_333' -  is active
10/26/2022 08:53:22,Noah_Malaysia_334,Group Joiner - 'Noah_Malaysia_334' -  is active
10/26/2022 08:53:22,Noah_Malaysia_335,Group Joiner - 'Noah_Malaysia_335' -  is active
10/26/2022 08:53:22,Noah_Malaysia_336,Group Joiner - 'Noah_Malaysia_336' -  is active
10/26/2022 08:53:22,Noah_Malaysia_337,Group Joiner - 'Noah_Malaysia_337' -  is active
10/26/2022 08:53:22,Noah_Malaysia_338,Group Joiner - 'Noah_Malaysia_338' -  is active
10/26/2022 08:53:22,Noah_Malaysia_339,Group Joiner - 'Noah_Malaysia_339' -  is active
10/26/2022 08:53:22,Noah_Malaysia_340,Group Joiner - 'Noah_Malaysia_340' -  is active
10/26/2022 08:53:22,Noah_Malaysia_341,Group Joiner - 'Noah_Malaysia_341' -  is active
10/26/2022 08:53:22,Noah_Malaysia_342,Group Joiner - 'Noah_Malaysia_342' -  is active
10/26/2022 08:53:22,Noah_Malaysia_343,Group Joiner - 'Noah_Malaysia_343' -  is active
10/26/2022 08:53:22,Noah_Malaysia_344,Group Joiner - 'Noah_Malaysia_344' -  is active
10/26/2022 08:53:22,Noah_Malaysia_345,Group Joiner - 'Noah_Malaysia_345' -  is active
10/26/2022 08:53:22,Noah_Malaysia_346,Group Joiner - 'Noah_Malaysia_346' -  is active
10/26/2022 08:53:22,Noah_Malaysia_347,Group Joiner - 'Noah_Malaysia_347' -  is active
10/26/2022 08:53:22,Noah_Malaysia_348,Group Joiner - 'Noah_Malaysia_348' -  is active
10/26/2022 08:53:22,Noah_Malaysia_349,Group Joiner - 'Noah_Malaysia_349' -  is active
10/26/2022 08:53:22,Noah_Malaysia_350,Group Joiner - 'Noah_Malaysia_350' -  is active
10/26/2022 08:53:34,Noah_Malaysia_281,Group Joiner - 'Noah_Malaysia_281' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/26/2022 08:53:34,Noah_Malaysia_309,Change language to English - 'Noah_Malaysia_309' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
10/26/2022 08:54:05,Noah_Malaysia_309,Change language to English - Error executing for the 'Noah_Malaysia_309' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
10/26/2022 08:54:08,Noah_Malaysia_309,Birthday Sync - for the 'Noah_Malaysia_309' account URL: https://www.facebook.com/me
10/26/2022 08:54:45,Noah_Malaysia_281,Group Joiner - Noah_Malaysia_281 - Finished operation
10/26/2022 08:54:50,Noah_Malaysia_309,Checking restrictions for the 'Noah_Malaysia_309' account done. URL: https://www.facebook.com/me
10/26/2022 08:54:53,Noah_Malaysia_309,Checking restrictions for the 'Noah_Malaysia_309' account
10/26/2022 08:55:21,Noah_Malaysia_309,Checking restrictions for the 'Noah_Malaysia_309' account done.
10/26/2022 08:55:23,Noah_Malaysia_309,Synchronizing Number of Followers for the 'Noah_Malaysia_309' account
10/26/2022 08:55:46,Noah_Malaysia_309,Finalized Number of Followers synchronization for the 'Noah_Malaysia_309' account.
10/26/2022 08:55:48,Noah_Malaysia_309,Synchronizing Groups for the 'Noah_Malaysia_309' account.
10/26/2022 08:58:14,Noah_Malaysia_309,Finalized group synchronization for the 'Noah_Malaysia_309' account.
