Date,Account,Status
08/16/2022 07:19:34,,Jarvee 3.3.1.1 is now active
08/17/2022 08:03:33,,Jarvee 3.3.1.1 is now active
08/19/2022 00:32:32,,Jarvee 3.3.1.1 is now active
08/22/2022 10:25:06,,Jarvee 3.3.1.1 is now active
08/23/2022 00:16:24,,Jarvee 3.3.1.1 is now active
08/23/2022 05:41:18,,Jarvee 3.3.1.1 is now active
08/23/2022 06:15:44,,Jarvee 3.3.1.1 is now active
10/29/2022 09:27:16,,Jarvee 3.3.1.1 is now active
10/29/2022 09:30:45,Oliver_Malaysia_1611,Group Joiner - 'Oliver_Malaysia_1611' -  is active
10/29/2022 09:30:47,Oliver_Malaysia_1611,Group Joiner - 'Oliver_Malaysia_1611' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/29/2022 09:30:52,Oliver_Malaysia_1612,Group Joiner - 'Oliver_Malaysia_1612' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1613,Group Joiner - 'Oliver_Malaysia_1613' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1614,Group Joiner - 'Oliver_Malaysia_1614' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1615,Group Joiner - 'Oliver_Malaysia_1615' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1616,Group Joiner - 'Oliver_Malaysia_1616' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1617,Group Joiner - 'Oliver_Malaysia_1617' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1618,Group Joiner - 'Oliver_Malaysia_1618' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1619,Group Joiner - 'Oliver_Malaysia_1619' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1620,Group Joiner - 'Oliver_Malaysia_1620' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1621,Group Joiner - 'Oliver_Malaysia_1621' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1622,Group Joiner - 'Oliver_Malaysia_1622' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1623,Group Joiner - 'Oliver_Malaysia_1623' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1624,Group Joiner - 'Oliver_Malaysia_1624' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1625,Group Joiner - 'Oliver_Malaysia_1625' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1626,Group Joiner - 'Oliver_Malaysia_1626' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1627,Group Joiner - 'Oliver_Malaysia_1627' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1628,Group Joiner - 'Oliver_Malaysia_1628' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1629,Group Joiner - 'Oliver_Malaysia_1629' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1631,Group Joiner - 'Oliver_Malaysia_1631' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1632,Group Joiner - 'Oliver_Malaysia_1632' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1634,Group Joiner - 'Oliver_Malaysia_1634' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1636,Group Joiner - 'Oliver_Malaysia_1636' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1638,Group Joiner - 'Oliver_Malaysia_1638' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1653,Group Joiner - 'Oliver_Malaysia_1653' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1654,Group Joiner - 'Oliver_Malaysia_1654' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1661,Group Joiner - 'Oliver_Malaysia_1661' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1663,Group Joiner - 'Oliver_Malaysia_1663' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1664,Group Joiner - 'Oliver_Malaysia_1664' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1665,Group Joiner - 'Oliver_Malaysia_1665' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1671,Group Joiner - 'Oliver_Malaysia_1671' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1672,Group Joiner - 'Oliver_Malaysia_1672' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1673,Group Joiner - 'Oliver_Malaysia_1673' -  is active
10/29/2022 09:30:52,Oliver_Malaysia_1676,Group Joiner - 'Oliver_Malaysia_1676' -  is active
