Date,Account,Status
07/05/2022 10:20:56,Anna-Malaysia027,Birthday Sync - for the 'Anna-Malaysia027' account URL: https://www.facebook.com/me
07/05/2022 10:21:27,Anna-Malaysia027,Birthday Sync - Error executing for the 'Anna-Malaysia027' account. : code  44  - About tag not found URL: https://www.facebook.com/me
07/05/2022 10:21:29,Anna-Malaysia027,Checking restrictions for the 'Anna-Malaysia027' account
07/05/2022 10:21:34,Anna-Malaysia038,Finalized group synchronization for the 'Anna-Malaysia038' account.
07/05/2022 10:21:48,Anna-Malaysia027,Checking restrictions for the 'Anna-Malaysia027' account done.
07/05/2022 10:21:50,Anna-Malaysia027,Synchronizing Number of Followers for the 'Anna-Malaysia027' account
07/05/2022 10:21:56,Anna-Malaysia038,Synchronizing Events for the 'Anna-Malaysia038' account.
07/05/2022 10:22:09,Anna-Malaysia027,Finalized Number of Followers synchronization for the 'Anna-Malaysia027' account.
07/05/2022 10:22:27,Anna-Malaysia027,Synchronizing Events for the 'Anna-Malaysia027' account.
07/05/2022 10:22:39,Anna-Malaysia054,Synchronizing Events for the 'Anna-Malaysia054' account.
07/05/2022 10:23:49,Anna-Malaysia027,Finalized events synchronization for the 'Anna-Malaysia027' account.
07/05/2022 10:23:53,Anna-Malaysia038,Finalized events synchronization for the 'Anna-Malaysia038' account.
07/05/2022 10:23:54,Anna-Malaysia038,Synchronizing Number of Followers for the 'Anna-Malaysia038' account
07/05/2022 10:24:13,Anna-Malaysia038,Finalized Number of Followers synchronization for the 'Anna-Malaysia038' account.
07/05/2022 10:24:23,Anna-Malaysia054,Finalized events synchronization for the 'Anna-Malaysia054' account.
07/05/2022 10:24:25,Anna-Malaysia054,Synchronizing Groups for the 'Anna-Malaysia054' account.
07/05/2022 10:26:11,Anna-Malaysia070,Group Joiner - 'Anna-Malaysia070' - Executing using 'https://www.facebook.com/groups/2204882094'
07/05/2022 10:26:40,Anna-Malaysia054,Finalized group synchronization for the 'Anna-Malaysia054' account.
07/05/2022 10:26:41,Anna-Malaysia054,Synchronizing Pages for the 'Anna-Malaysia054' account.
07/05/2022 10:27:15,Anna-Malaysia070,Group Joiner - Error executing for the 'Anna-Malaysia070' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/2204882094
07/05/2022 10:27:38,Anna-Malaysia054,Finalized pages synchronization for the 'Anna-Malaysia054' account.
07/05/2022 10:27:39,Anna-Malaysia054,Synchronizing Number of Followers for the 'Anna-Malaysia054' account
07/05/2022 10:28:00,Anna-Malaysia054,Finalized Number of Followers synchronization for the 'Anna-Malaysia054' account.
07/05/2022 10:33:55,Anna-Malaysia043,Group Joiner - 'Anna-Malaysia043' - Executing using 'https://www.facebook.com/groups/661596240710785'
07/05/2022 10:34:38,Anna-Malaysia043,Group Joiner - Anna-Malaysia043 - Finished operation
07/05/2022 10:35:13,Anna-Malaysia004,Synchronizing Pages for the 'Anna-Malaysia004' account.
07/05/2022 10:35:59,Anna-Malaysia007,Synchronizing Pages for the 'Anna-Malaysia007' account.
07/05/2022 10:36:10,Anna-Malaysia004,Finalized pages synchronization for the 'Anna-Malaysia004' account.
07/05/2022 10:36:11,Anna-Malaysia004,Synchronizing Groups for the 'Anna-Malaysia004' account.
07/05/2022 10:36:14,Anna-Malaysia065,Change language to English - 'Anna-Malaysia065' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/05/2022 10:36:36,Anna-Malaysia065,Change language to English - Error executing for the 'Anna-Malaysia065' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/05/2022 10:36:39,Anna-Malaysia065,Synchronizing Pages for the 'Anna-Malaysia065' account.
07/05/2022 10:36:57,Anna-Malaysia007,Finalized pages synchronization for the 'Anna-Malaysia007' account.
07/05/2022 10:37:00,Anna-Malaysia007,Synchronizing Groups for the 'Anna-Malaysia007' account.
07/05/2022 10:37:38,Anna-Malaysia065,Finalized pages synchronization for the 'Anna-Malaysia065' account.
07/05/2022 10:37:39,Anna-Malaysia065,Synchronizing Number of Followers for the 'Anna-Malaysia065' account
07/05/2022 10:38:00,Anna-Malaysia065,Finalized Number of Followers synchronization for the 'Anna-Malaysia065' account.
07/05/2022 10:38:00,Anna-Malaysia065,Synchronizing Groups for the 'Anna-Malaysia065' account.
