Date,Account,Status
07/03/2022 22:09:24,Anna-Malaysia070,Synchronizing Number of Followers for the 'Anna-Malaysia070' account
07/03/2022 22:09:45,Anna-Malaysia070,Finalized Number of Followers synchronization for the 'Anna-Malaysia070' account.
07/03/2022 22:09:48,Anna-Malaysia070,Synchronizing Pages for the 'Anna-Malaysia070' account.
07/03/2022 22:10:44,Anna-Malaysia070,Finalized pages synchronization for the 'Anna-Malaysia070' account.
07/03/2022 22:10:45,Anna-Malaysia070,Synchronizing Groups for the 'Anna-Malaysia070' account.
07/03/2022 22:11:10,Anna-Malaysia062,Synchronizing Number of Followers for the 'Anna-Malaysia062' account
07/03/2022 22:11:30,Anna-Malaysia062,Finalized Number of Followers synchronization for the 'Anna-Malaysia062' account.
07/03/2022 22:11:31,Anna-Malaysia062,Synchronizing Pages for the 'Anna-Malaysia062' account.
07/03/2022 22:12:25,Anna-Malaysia062,Finalized pages synchronization for the 'Anna-Malaysia062' account.
07/03/2022 22:12:28,Anna-Malaysia062,Synchronizing Groups for the 'Anna-Malaysia062' account.
07/03/2022 22:12:40,Anna-Malaysia032,Change language to English - 'Anna-Malaysia032' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/03/2022 22:13:05,Anna-Malaysia032,Change language to English - Error executing for the 'Anna-Malaysia032' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/03/2022 22:13:07,Anna-Malaysia070,Finalized group synchronization for the 'Anna-Malaysia070' account.
07/03/2022 22:13:08,Anna-Malaysia070,Birthday Sync - for the 'Anna-Malaysia070' account URL: https://www.facebook.com/me
07/03/2022 22:13:08,Anna-Malaysia032,Birthday Sync - for the 'Anna-Malaysia032' account URL: https://www.facebook.com/me
07/03/2022 22:13:11,Anna-Malaysia062,Birthday Sync - for the 'Anna-Malaysia062' account URL: https://www.facebook.com/me
07/03/2022 22:13:39,Anna-Malaysia032,Birthday Sync - Error executing for the 'Anna-Malaysia032' account. : code  44  - About tag not found URL: https://www.facebook.com/me
07/03/2022 22:13:41,Anna-Malaysia032,Synchronizing Number of Followers for the 'Anna-Malaysia032' account
07/03/2022 22:13:46,Anna-Malaysia062,Checking restrictions for the 'Anna-Malaysia062' account done. URL: https://www.facebook.com/me
07/03/2022 22:13:48,Anna-Malaysia070,Checking restrictions for the 'Anna-Malaysia070' account done. URL: https://www.facebook.com/me
07/03/2022 22:15:49,Anna-Malaysia015,Synchronizing Number of Followers for the 'Anna-Malaysia015' account
07/03/2022 22:16:07,Anna-Malaysia047,Executing a Login operation for the 'Anna-Malaysia047' account.
07/03/2022 22:16:09,Anna-Malaysia015,Finalized Number of Followers synchronization for the 'Anna-Malaysia015' account.
07/03/2022 22:16:10,Anna-Malaysia006,Executing a Login operation for the 'Anna-Malaysia006' account.
07/03/2022 22:16:10,Anna-Malaysia015,Synchronizing Groups for the 'Anna-Malaysia015' account.
07/03/2022 22:16:24,Anna-Malaysia047,Error executing Login Operation for 'Anna-Malaysia047': code  1  - #email is missing from the page!. Will try again in one minute.
07/03/2022 22:16:28,Anna-Malaysia006,Error executing Login Operation for 'Anna-Malaysia006': code  1  - #email is missing from the page!. Will try again in one minute.
07/03/2022 22:16:52,Anna-Malaysia032,Error synchronizing Number of Followers for the 'Anna-Malaysia032' account. : code  168  - Timeout occured.. URL: https://www.facebook.com/me
07/03/2022 22:16:52,Anna-Malaysia032,Synchronizing Pages for the 'Anna-Malaysia032' account.
07/03/2022 22:17:47,Anna-Malaysia032,Finalized pages synchronization for the 'Anna-Malaysia032' account.
07/03/2022 22:17:50,Anna-Malaysia032,Synchronizing Groups for the 'Anna-Malaysia032' account.
07/03/2022 22:18:43,Anna-Malaysia015,Finalized group synchronization for the 'Anna-Malaysia015' account.
07/03/2022 22:18:44,Anna-Malaysia015,Synchronizing Pages for the 'Anna-Malaysia015' account.
07/03/2022 22:19:37,Anna-Malaysia015,Finalized pages synchronization for the 'Anna-Malaysia015' account.
07/03/2022 22:19:39,Anna-Malaysia015,Checking restrictions for the 'Anna-Malaysia015' account
07/03/2022 22:19:59,Anna-Malaysia015,Checking restrictions for the 'Anna-Malaysia015' account done.
07/03/2022 22:26:26,Anna-Malaysia047,Executing a Login operation for the 'Anna-Malaysia047' account.
