Date,Account,Status
06/29/2022 08:19:24,,Jarvee 3.3.1.1 is now active
06/29/2022 09:48:41,,Jarvee 3.3.1.1 is now active
06/29/2022 09:49:38,,Jarvee 3.3.1.1 is now active
06/30/2022 05:25:38,,Jarvee 3.3.1.1 is now active
07/16/2022 02:25:22,,Jarvee 3.3.1.1 is now active
07/16/2022 03:12:02,,Jarvee 3.3.1.1 is now active
07/16/2022 03:13:25,,Jarvee 3.3.1.1 is now active
07/26/2022 06:12:27,,Jarvee 3.3.1.1 is now active
07/26/2022 06:14:31,Chase_France_15,Cookies successfully imported for 'Chase_France_15'.
07/26/2022 06:14:33,Chase_France_42,Cookies successfully imported for 'Chase_France_42'.
07/26/2022 06:14:35,Chase_France_60,Cookies successfully imported for 'Chase_France_60'.
07/26/2022 06:14:37,Chase_France_44,Cookies successfully imported for 'Chase_France_44'.
07/26/2022 06:14:39,Chase_France_54,Cookies successfully imported for 'Chase_France_54'.
07/26/2022 06:14:41,Chase_France_67,Cookies successfully imported for 'Chase_France_67'.
07/26/2022 06:14:44,Chase_France_21,Cookies successfully imported for 'Chase_France_21'.
07/26/2022 06:14:47,Chase_France_59,Cookies successfully imported for 'Chase_France_59'.
07/26/2022 06:14:49,Chase_France_66,Cookies successfully imported for 'Chase_France_66'.
07/26/2022 06:14:52,Chase_France_45,Cookies successfully imported for 'Chase_France_45'.
07/26/2022 06:14:54,Chase_France_22,Cookies successfully imported for 'Chase_France_22'.
07/26/2022 06:14:56,Chase_France_46,Cookies successfully imported for 'Chase_France_46'.
07/26/2022 06:14:58,Chase_France_63,Cookies successfully imported for 'Chase_France_63'.
07/26/2022 06:15:01,Chase_France_50,Cookies successfully imported for 'Chase_France_50'.
07/26/2022 06:15:04,Chase_France_10,Cookies successfully imported for 'Chase_France_10'.
07/26/2022 06:15:07,Chase_France_37,Cookies successfully imported for 'Chase_France_37'.
07/26/2022 06:15:10,Chase_France_3,Cookies successfully imported for 'Chase_France_3'.
07/26/2022 06:15:13,Chase_France_1,Cookies successfully imported for 'Chase_France_1'.
07/26/2022 06:15:16,Chase_France_25,Cookies successfully imported for 'Chase_France_25'.
07/26/2022 06:15:19,Chase_France_14,Cookies successfully imported for 'Chase_France_14'.
07/26/2022 06:15:22,Chase_France_41,Cookies successfully imported for 'Chase_France_41'.
07/26/2022 06:15:25,Chase_France_68,Cookies successfully imported for 'Chase_France_68'.
07/26/2022 06:15:29,Chase_France_43,Cookies successfully imported for 'Chase_France_43'.
07/26/2022 06:15:32,Chase_France_58,Cookies successfully imported for 'Chase_France_58'.
07/26/2022 06:15:35,Chase_France_38,Cookies successfully imported for 'Chase_France_38'.
07/26/2022 06:15:38,Chase_France_62,Cookies successfully imported for 'Chase_France_62'.
07/26/2022 06:15:41,Chase_France_16,Cookies successfully imported for 'Chase_France_16'.
07/26/2022 06:15:45,Chase_France_20,Cookies successfully imported for 'Chase_France_20'.
07/26/2022 06:15:49,Chase_France_4,Cookies successfully imported for 'Chase_France_4'.
07/26/2022 06:15:52,Chase_France_7,Cookies successfully imported for 'Chase_France_7'.
07/26/2022 06:15:56,Chase_France_52,Cookies successfully imported for 'Chase_France_52'.
07/26/2022 06:16:00,Chase_France_57,Cookies successfully imported for 'Chase_France_57'.
07/26/2022 06:16:03,Chase_France_70,Cookies successfully imported for 'Chase_France_70'.
07/26/2022 06:16:06,Chase_France_29,Cookies successfully imported for 'Chase_France_29'.
07/26/2022 06:16:09,Chase_France_5,Cookies successfully imported for 'Chase_France_5'.
07/26/2022 06:16:13,Chase_France_6,Cookies successfully imported for 'Chase_France_6'.
07/26/2022 06:16:16,Chase_France_34,Cookies successfully imported for 'Chase_France_34'.
07/26/2022 06:16:19,Chase_France_39,Cookies successfully imported for 'Chase_France_39'.
07/26/2022 06:16:22,Chase_France_26,Cookies successfully imported for 'Chase_France_26'.
07/26/2022 06:16:25,Chase_France_49,Cookies successfully imported for 'Chase_France_49'.
07/26/2022 06:16:28,Chase_France_47,Cookies successfully imported for 'Chase_France_47'.
07/26/2022 06:16:32,Chase_France_11,Cookies successfully imported for 'Chase_France_11'.
07/26/2022 06:16:35,Chase_France_36,Cookies successfully imported for 'Chase_France_36'.
07/26/2022 06:16:38,Chase_France_48,Cookies successfully imported for 'Chase_France_48'.
07/26/2022 06:16:41,Chase_France_51,Cookies successfully imported for 'Chase_France_51'.
07/26/2022 06:16:44,Chase_France_31,Cookies successfully imported for 'Chase_France_31'.
07/26/2022 06:16:48,Chase_France_65,Cookies successfully imported for 'Chase_France_65'.
07/26/2022 06:16:51,Chase_France_64,Cookies successfully imported for 'Chase_France_64'.
07/26/2022 06:16:54,Chase_France_2,Cookies successfully imported for 'Chase_France_2'.
07/26/2022 06:16:56,Chase_France_30,Cookies successfully imported for 'Chase_France_30'.
07/26/2022 06:16:58,Chase_France_18,Cookies successfully imported for 'Chase_France_18'.
07/26/2022 06:17:01,Chase_France_56,Cookies successfully imported for 'Chase_France_56'.
07/26/2022 06:17:03,Chase_France_55,Cookies successfully imported for 'Chase_France_55'.
07/26/2022 06:17:05,Chase_France_23,Cookies successfully imported for 'Chase_France_23'.
07/26/2022 06:17:07,Chase_France_61,Cookies successfully imported for 'Chase_France_61'.
07/26/2022 06:17:09,Chase_France_13,Cookies successfully imported for 'Chase_France_13'.
07/26/2022 06:17:12,Chase_France_9,Cookies successfully imported for 'Chase_France_9'.
07/26/2022 06:17:14,Chase_France_28,Cookies successfully imported for 'Chase_France_28'.
07/26/2022 06:17:16,Chase_France_53,Cookies successfully imported for 'Chase_France_53'.
07/26/2022 06:17:19,Chase_France_69,Cookies successfully imported for 'Chase_France_69'.
07/26/2022 06:17:21,Chase_France_24,Cookies successfully imported for 'Chase_France_24'.
07/26/2022 06:17:24,Chase_France_8,Cookies successfully imported for 'Chase_France_8'.
07/26/2022 06:27:42,Chase_France_42,Change language to English - 'Chase_France_42' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 06:27:42,Chase_France_45,Change language to English - 'Chase_France_45' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 06:27:42,Chase_France_43,Change language to English - 'Chase_France_43' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 06:28:10,Chase_France_43,Change language to English - Error executing for the 'Chase_France_43' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 06:28:12,Chase_France_43,Synchronizing Groups for the 'Chase_France_43' account.
07/26/2022 06:28:14,Chase_France_45,Change language to English - Error executing for the 'Chase_France_45' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 06:28:18,Chase_France_42,Change language to English - Chase_France_42 - Finished operation
07/26/2022 06:28:18,Chase_France_42,Synchronizing Groups for the 'Chase_France_42' account.
07/26/2022 06:28:27,Chase_France_52,Change language to English - 'Chase_France_52' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 06:28:28,Chase_France_69,Change language to English - 'Chase_France_69' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 06:28:46,Chase_France_5,Change language to English - 'Chase_France_5' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 06:29:00,Chase_France_52,Change language to English - Error executing for the 'Chase_France_52' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 06:29:02,Chase_France_52,Synchronizing Pages for the 'Chase_France_52' account.
07/26/2022 06:29:07,Chase_France_69,Change language to English - Chase_France_69 - Finished operation
07/26/2022 06:29:08,Chase_France_69,Birthday Sync - for the 'Chase_France_69' account URL: https://www.facebook.com/me
07/26/2022 06:29:11,Chase_France_5,Change language to English - Error executing for the 'Chase_France_5' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 06:29:14,Chase_France_5,Birthday Sync - for the 'Chase_France_5' account URL: https://www.facebook.com/me
07/26/2022 06:29:54,Chase_France_5,Birthday Sync - Error executing for the 'Chase_France_5' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/me
07/26/2022 06:29:54,Chase_France_69,Birthday Sync - Error executing for the 'Chase_France_69' account. : code  44  - About tag not found URL: https://www.facebook.com/me
07/26/2022 06:29:54,Chase_France_5,Checking restrictions for the 'Chase_France_5' account
07/26/2022 06:29:55,Chase_France_69,Checking restrictions for the 'Chase_France_69' account
07/26/2022 06:30:36,Chase_France_5,Checking restrictions - Error executing for the 'Chase_France_5' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/support/
07/26/2022 06:30:36,Chase_France_69,Checking restrictions for the 'Chase_France_69' account done.
07/26/2022 06:30:37,Chase_France_52,Finalized pages synchronization for the 'Chase_France_52' account.
07/26/2022 06:30:39,Chase_France_69,Synchronizing Number of Followers for the 'Chase_France_69' account
07/26/2022 06:30:39,Chase_France_52,Birthday Sync - for the 'Chase_France_52' account URL: https://www.facebook.com/me
07/26/2022 06:30:39,Chase_France_5,Executing a Login operation for the 'Chase_France_5' account.
07/26/2022 06:30:52,Chase_France_23,Change language to English - 'Chase_France_23' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 06:31:03,Chase_France_5,The Login operation for the 'Chase_France_5' account is finalized.
07/26/2022 06:31:10,Chase_France_5,Executing a Check Login operation for the 'Chase_France_5' account.
07/26/2022 06:31:23,Chase_France_23,Change language to English - Error executing for the 'Chase_France_23' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 06:31:23,Chase_France_23,Synchronizing Groups for the 'Chase_France_23' account.
07/26/2022 06:31:26,Chase_France_37,Change language to English - 'Chase_France_37' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 06:31:27,Chase_France_52,Birthday Sync - Error executing for the 'Chase_France_52' account. : code  44  - About tag not found URL: https://www.facebook.com/me
07/26/2022 06:31:28,Chase_France_5,Finalized a Check Login operation for the 'Chase_France_5' account.
07/26/2022 06:31:28,Chase_France_5,Error executing Check Login Operation for 'Chase_France_5':  code 2  - Facebook Invalid Credentials
07/26/2022 06:31:29,Chase_France_52,Checking restrictions for the 'Chase_France_52' account
07/26/2022 06:31:46,Chase_France_52,Checking restrictions for the 'Chase_France_52' account done.
07/26/2022 06:31:48,Chase_France_52,Synchronizing Number of Followers for the 'Chase_France_52' account
07/26/2022 06:32:06,Chase_France_37,Change language to English - Chase_France_37 - Finished operation
07/26/2022 06:32:12,Chase_France_52,Finalized Number of Followers synchronization for the 'Chase_France_52' account.
07/26/2022 06:32:13,Chase_France_52,Synchronizing Groups for the 'Chase_France_52' account.
07/26/2022 06:32:40,Chase_France_34,Change language to English - 'Chase_France_34' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 06:34:07,Chase_France_69,Error synchronizing Number of Followers for the 'Chase_France_69' account. : code  168  - Timeout occured.. URL: https://www.facebook.com/me
07/26/2022 06:34:08,Chase_France_69,Synchronizing Groups for the 'Chase_France_69' account.
07/26/2022 06:34:08,Chase_France_34,Change language to English - Chase_France_34 - Finished operation
07/26/2022 06:34:11,Chase_France_34,Birthday Sync - for the 'Chase_France_34' account URL: https://www.facebook.com/me
07/26/2022 06:34:45,Chase_France_69,Synchronizing Pages for the 'Chase_France_69' account.
07/26/2022 06:34:46,Chase_France_34,Birthday Sync - Error executing for the 'Chase_France_34' account. : code  44  - About tag not found URL: https://www.facebook.com/me
07/26/2022 06:34:48,Chase_France_34,Checking restrictions for the 'Chase_France_34' account
