Date,Account,Status
08/24/2022 00:46:14,,Jarvee 3.3.1.1 is now active
09/30/2022 06:34:31,,Jarvee 3.3.1.1 is now active
10/01/2022 09:04:07,,Jarvee 3.3.1.1 is now active
10/01/2022 09:40:32,Kim_Malaysia1,Group Joiner - 'Kim_Malaysia1' -  is active
10/01/2022 09:40:35,Kim_Malaysia1,Group Joiner - 'Kim_Malaysia1' - Executing using 'https://www.facebook.com/groups/325155546180764'
10/01/2022 09:40:41,Kim_Malaysia2,Group Joiner - 'Kim_Malaysia2' -  is active
10/01/2022 09:40:41,Kim_Malaysia3,Group Joiner - 'Kim_Malaysia3' -  is active
10/01/2022 09:40:41,Kim_Malaysia4,Group Joiner - 'Kim_Malaysia4' -  is active
10/01/2022 09:40:41,Kim_Malaysia5,Group Joiner - 'Kim_Malaysia5' -  is active
10/01/2022 09:40:41,Kim_Malaysia6,Group Joiner - 'Kim_Malaysia6' -  is active
10/01/2022 09:40:41,Kim_Malaysia7,Group Joiner - 'Kim_Malaysia7' -  is active
10/01/2022 09:40:41,Kim_Malaysia8,Group Joiner - 'Kim_Malaysia8' -  is active
10/01/2022 09:40:41,Kim_Malaysia9,Group Joiner - 'Kim_Malaysia9' -  is active
10/01/2022 09:40:41,Kim_Malaysia10,Group Joiner - 'Kim_Malaysia10' -  is active
10/01/2022 09:40:41,Kim_Malaysia11,Group Joiner - 'Kim_Malaysia11' -  is active
10/01/2022 09:40:41,Kim_Malaysia12,Group Joiner - 'Kim_Malaysia12' -  is active
10/01/2022 09:40:41,Kim_Malaysia13,Group Joiner - 'Kim_Malaysia13' -  is active
10/01/2022 09:40:41,Kim_Malaysia14,Group Joiner - 'Kim_Malaysia14' -  is active
10/01/2022 09:40:41,Kim_Malaysia15,Group Joiner - 'Kim_Malaysia15' -  is active
10/01/2022 09:40:41,Kim_Malaysia16,Group Joiner - 'Kim_Malaysia16' -  is active
10/01/2022 09:40:41,Kim_Malaysia17,Group Joiner - 'Kim_Malaysia17' -  is active
10/01/2022 09:40:41,Kim_Malaysia18,Group Joiner - 'Kim_Malaysia18' -  is active
10/01/2022 09:40:41,Kim_Malaysia19,Group Joiner - 'Kim_Malaysia19' -  is active
10/01/2022 09:40:41,Kim_Malaysia20,Group Joiner - 'Kim_Malaysia20' -  is active
10/01/2022 09:40:41,Kim_Malaysia21,Group Joiner - 'Kim_Malaysia21' -  is active
10/01/2022 09:40:41,Kim_Malaysia22,Group Joiner - 'Kim_Malaysia22' -  is active
10/01/2022 09:40:41,Kim_Malaysia23,Group Joiner - 'Kim_Malaysia23' -  is active
10/01/2022 09:40:41,Kim_Malaysia24,Group Joiner - 'Kim_Malaysia24' -  is active
10/01/2022 09:40:41,Kim_Malaysia25,Group Joiner - 'Kim_Malaysia25' -  is active
10/01/2022 09:40:41,Kim_Malaysia26,Group Joiner - 'Kim_Malaysia26' -  is active
10/01/2022 09:40:41,Kim_Malaysia27,Group Joiner - 'Kim_Malaysia27' -  is active
10/01/2022 09:40:41,Kim_Malaysia28,Group Joiner - 'Kim_Malaysia28' -  is active
10/01/2022 09:40:41,Kim_Malaysia29,Group Joiner - 'Kim_Malaysia29' -  is active
10/01/2022 09:40:41,Kim_Malaysia30,Group Joiner - 'Kim_Malaysia30' -  is active
10/01/2022 09:40:41,Kim_Malaysia31,Group Joiner - 'Kim_Malaysia31' -  is active
10/01/2022 09:40:41,Kim_Malaysia32,Group Joiner - 'Kim_Malaysia32' -  is active
10/01/2022 09:40:41,Kim_Malaysia33,Group Joiner - 'Kim_Malaysia33' -  is active
10/01/2022 09:40:41,Kim_Malaysia34,Group Joiner - 'Kim_Malaysia34' -  is active
10/01/2022 09:40:41,Kim_Malaysia35,Group Joiner - 'Kim_Malaysia35' -  is active
10/01/2022 09:40:41,Kim_Malaysia36,Group Joiner - 'Kim_Malaysia36' -  is active
10/01/2022 09:40:41,Kim_Malaysia37,Group Joiner - 'Kim_Malaysia37' -  is active
10/01/2022 09:40:41,Kim_Malaysia38,Group Joiner - 'Kim_Malaysia38' -  is active
10/01/2022 09:40:41,Kim_Malaysia39,Group Joiner - 'Kim_Malaysia39' -  is active
10/01/2022 09:40:41,Kim_Malaysia40,Group Joiner - 'Kim_Malaysia40' -  is active
10/01/2022 09:40:41,Kim_Malaysia41,Group Joiner - 'Kim_Malaysia41' -  is active
10/01/2022 09:40:41,Kim_Malaysia42,Group Joiner - 'Kim_Malaysia42' -  is active
10/01/2022 09:40:41,Kim_Malaysia43,Group Joiner - 'Kim_Malaysia43' -  is active
10/01/2022 09:40:41,Kim_Malaysia44,Group Joiner - 'Kim_Malaysia44' -  is active
10/01/2022 09:40:41,Kim_Malaysia45,Group Joiner - 'Kim_Malaysia45' -  is active
10/01/2022 09:40:41,Kim_Malaysia46,Group Joiner - 'Kim_Malaysia46' -  is active
10/01/2022 09:40:41,Kim_Malaysia47,Group Joiner - 'Kim_Malaysia47' -  is active
10/01/2022 09:40:41,Kim_Malaysia48,Group Joiner - 'Kim_Malaysia48' -  is active
10/01/2022 09:40:41,Kim_Malaysia49,Group Joiner - 'Kim_Malaysia49' -  is active
10/01/2022 09:40:41,Kim_Malaysia50,Group Joiner - 'Kim_Malaysia50' -  is active
10/01/2022 09:40:41,Kim_Malaysia51,Group Joiner - 'Kim_Malaysia51' -  is active
10/01/2022 09:40:41,Kim_Malaysia52,Group Joiner - 'Kim_Malaysia52' -  is active
10/01/2022 09:40:41,Kim_Malaysia53,Group Joiner - 'Kim_Malaysia53' -  is active
10/01/2022 09:40:41,Kim_Malaysia54,Group Joiner - 'Kim_Malaysia54' -  is active
10/01/2022 09:40:41,Kim_Malaysia55,Group Joiner - 'Kim_Malaysia55' -  is active
10/01/2022 09:40:41,Kim_Malaysia56,Group Joiner - 'Kim_Malaysia56' -  is active
10/01/2022 09:40:41,Kim_Malaysia57,Group Joiner - 'Kim_Malaysia57' -  is active
10/01/2022 09:40:41,Kim_Malaysia58,Group Joiner - 'Kim_Malaysia58' -  is active
10/01/2022 09:40:41,Kim_Malaysia59,Group Joiner - 'Kim_Malaysia59' -  is active
10/01/2022 09:40:41,Kim_Malaysia60,Group Joiner - 'Kim_Malaysia60' -  is active
10/01/2022 09:40:41,Kim_Malaysia61,Group Joiner - 'Kim_Malaysia61' -  is active
10/01/2022 09:40:41,Kim_Malaysia62,Group Joiner - 'Kim_Malaysia62' -  is active
10/01/2022 09:40:41,Kim_Malaysia63,Group Joiner - 'Kim_Malaysia63' -  is active
10/01/2022 09:40:41,Kim_Malaysia64,Group Joiner - 'Kim_Malaysia64' -  is active
10/01/2022 09:40:41,Kim_Malaysia65,Group Joiner - 'Kim_Malaysia65' -  is active
10/01/2022 09:40:41,Kim_Malaysia66,Group Joiner - 'Kim_Malaysia66' -  is active
10/01/2022 09:40:41,Kim_Malaysia67,Group Joiner - 'Kim_Malaysia67' -  is active
10/01/2022 09:40:41,Kim_Malaysia68,Group Joiner - 'Kim_Malaysia68' -  is active
10/01/2022 09:40:41,Kim_Malaysia69,Group Joiner - 'Kim_Malaysia69' -  is active
10/01/2022 09:40:41,Kim_Malaysia70,Group Joiner - 'Kim_Malaysia70' -  is active
10/01/2022 09:41:18,Kim_Malaysia1,Account Actions -  'Kim_Malaysia1' is active
10/01/2022 09:41:22,Kim_Malaysia2,Account Actions -  'Kim_Malaysia2' is active
10/01/2022 09:41:22,Kim_Malaysia3,Account Actions -  'Kim_Malaysia3' is active
10/01/2022 09:41:22,Kim_Malaysia4,Account Actions -  'Kim_Malaysia4' is active
10/01/2022 09:41:22,Kim_Malaysia5,Account Actions -  'Kim_Malaysia5' is active
10/01/2022 09:41:22,Kim_Malaysia6,Account Actions -  'Kim_Malaysia6' is active
10/01/2022 09:41:22,Kim_Malaysia7,Account Actions -  'Kim_Malaysia7' is active
10/01/2022 09:41:22,Kim_Malaysia8,Account Actions -  'Kim_Malaysia8' is active
10/01/2022 09:41:22,Kim_Malaysia9,Account Actions -  'Kim_Malaysia9' is active
10/01/2022 09:41:22,Kim_Malaysia10,Account Actions -  'Kim_Malaysia10' is active
10/01/2022 09:41:22,Kim_Malaysia11,Account Actions -  'Kim_Malaysia11' is active
10/01/2022 09:41:22,Kim_Malaysia12,Account Actions -  'Kim_Malaysia12' is active
10/01/2022 09:41:22,Kim_Malaysia13,Account Actions -  'Kim_Malaysia13' is active
10/01/2022 09:41:22,Kim_Malaysia14,Account Actions -  'Kim_Malaysia14' is active
10/01/2022 09:41:22,Kim_Malaysia15,Account Actions -  'Kim_Malaysia15' is active
10/01/2022 09:41:22,Kim_Malaysia16,Account Actions -  'Kim_Malaysia16' is active
10/01/2022 09:41:22,Kim_Malaysia17,Account Actions -  'Kim_Malaysia17' is active
10/01/2022 09:41:22,Kim_Malaysia18,Account Actions -  'Kim_Malaysia18' is active
10/01/2022 09:41:22,Kim_Malaysia19,Account Actions -  'Kim_Malaysia19' is active
10/01/2022 09:41:22,Kim_Malaysia20,Account Actions -  'Kim_Malaysia20' is active
10/01/2022 09:41:22,Kim_Malaysia21,Account Actions -  'Kim_Malaysia21' is active
10/01/2022 09:41:22,Kim_Malaysia22,Account Actions -  'Kim_Malaysia22' is active
