Date,Account,Status
09/05/2022 01:28:46,,Jarvee 3.3.1.1 is now active
09/05/2022 23:14:06,,Jarvee 3.3.1.1 is now active
09/06/2022 03:16:37,,Jarvee 3.3.1.1 is now active
09/06/2022 23:30:57,,Jarvee 3.3.1.1 is now active
09/07/2022 06:28:56,,Jarvee 3.3.1.1 is now active
09/07/2022 09:32:05,,Jarvee 3.3.1.1 is now active
09/07/2022 23:15:24,,Jarvee 3.3.1.1 is now active
09/08/2022 00:29:48,,Jarvee 3.3.1.1 is now active
09/08/2022 03:27:50,,Jarvee 3.3.1.1 is now active
09/20/2022 00:24:34,,Jarvee 3.3.1.1 is now active
09/20/2022 00:25:21,Mudha_Indonesia57,Change language to English - 'Mudha_Indonesia57' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/20/2022 00:25:42,Mudha_Indonesia57,Change language to English - Error executing for the 'Mudha_Indonesia57' account. : code  0  - The embedded browser got stuck during operations. URL: https://www.facebook.com/settings?tab=language&section=account&view
11/11/2022 04:58:59,,Jarvee 3.3.1.1 is now active
11/11/2022 04:59:14,Mudha_Indonesia55,Change language to English - 'Mudha_Indonesia55' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
11/11/2022 05:02:17,Mudha_Indonesia55,Change language to English - Error executing for the 'Mudha_Indonesia55' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/settings?tab=language&section=account&view
11/11/2022 05:02:19,Mudha_Indonesia55,Synchronizing Groups for the 'Mudha_Indonesia55' account.
11/11/2022 05:05:20,Mudha_Indonesia55,https://www.facebook.com/groups/?category=groups
11/11/2022 05:05:21,Mudha_Indonesia59,Change language to English - 'Mudha_Indonesia59' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
11/11/2022 05:07:54,Mudha_Indonesia59,Change language to English - Error executing for the 'Mudha_Indonesia59' account. : code  0  - The embedded browser got stuck during operations. URL: https://www.facebook.com/settings?tab=language&section=account&view
11/11/2022 05:07:55,Mudha_Indonesia59,Synchronizing Pages for the 'Mudha_Indonesia59' account.
11/11/2022 05:09:07,Mudha_Indonesia59,Finalized pages synchronization for the 'Mudha_Indonesia59' account.
11/11/2022 05:09:08,Mudha_Indonesia59,Birthday Sync - for the 'Mudha_Indonesia59' account URL: https://www.facebook.com/me
11/11/2022 05:13:09,Mudha_Indonesia59,Checking restrictions for the 'Mudha_Indonesia59' account done. URL: https://www.facebook.com/me
11/11/2022 05:13:10,Mudha_Indonesia59,Checking restrictions for the 'Mudha_Indonesia59' account
11/11/2022 05:13:41,Mudha_Indonesia59,Checking restrictions for the 'Mudha_Indonesia59' account done.
11/11/2022 05:13:43,Mudha_Indonesia59,Synchronizing Number of Followers for the 'Mudha_Indonesia59' account
11/11/2022 05:14:17,Mudha_Indonesia59,Finalized Number of Followers synchronization for the 'Mudha_Indonesia59' account.
11/11/2022 05:19:12,,Jarvee 3.3.1.1 is now active
11/11/2022 05:23:07,Mudha_Malaysia6,Cookies successfully imported for 'Mudha_Malaysia6'.
11/11/2022 05:23:11,Mudha_Indonesia56,Synchronizing Pages for the 'Mudha_Indonesia56' account.
11/11/2022 05:23:13,Mudha_Malaysia5,Cookies successfully imported for 'Mudha_Malaysia5'.
11/11/2022 05:23:18,Mudha_Malaysia8,Cookies successfully imported for 'Mudha_Malaysia8'.
11/11/2022 05:23:24,Mudha_Malaysia2,Cookies successfully imported for 'Mudha_Malaysia2'.
11/11/2022 05:23:29,Mudha_Malaysia4,Cookies successfully imported for 'Mudha_Malaysia4'.
11/11/2022 05:23:34,Mudha_Malaysia3,Cookies successfully imported for 'Mudha_Malaysia3'.
11/11/2022 05:23:38,Mudha_Malaysia10,Cookies successfully imported for 'Mudha_Malaysia10'.
11/11/2022 05:23:43,Mudha_Indonesia70,Cookies successfully imported for 'Mudha_Indonesia70'.
11/11/2022 05:23:49,Mudha_Malaysia60,Cookies successfully imported for 'Mudha_Malaysia60'.
11/11/2022 05:23:54,Mudha_Indonesia53,Cookies successfully imported for 'Mudha_Indonesia53'.
11/11/2022 05:24:02,Mudha_Indonesia67,Cookies successfully imported for 'Mudha_Indonesia67'.
11/11/2022 05:24:07,Mudha_Indonesia48,Cookies successfully imported for 'Mudha_Indonesia48'.
11/11/2022 05:24:12,Mudha_Malaysia7,Cookies successfully imported for 'Mudha_Malaysia7'.
11/11/2022 05:24:17,Mudha_Indonesia65,Cookies successfully imported for 'Mudha_Indonesia65'.
11/11/2022 05:24:22,Mudha_Indonesia66,Cookies successfully imported for 'Mudha_Indonesia66'.
11/11/2022 05:24:24,Mudha_Indonesia56,Finalized pages synchronization for the 'Mudha_Indonesia56' account.
11/11/2022 05:24:27,Mudha_Malaysia39,Cookies successfully imported for 'Mudha_Malaysia39'.
11/11/2022 05:24:34,Mudha_Indonesia50,Cookies successfully imported for 'Mudha_Indonesia50'.
11/11/2022 05:24:39,Mudha_Indonesia69,Cookies successfully imported for 'Mudha_Indonesia69'.
11/11/2022 05:24:44,Mudha_Indonesia54,Cookies successfully imported for 'Mudha_Indonesia54'.
11/11/2022 05:24:49,Mudha_Indonesia68,Cookies successfully imported for 'Mudha_Indonesia68'.
11/11/2022 05:24:54,Mudha_Malaysia1,Cookies successfully imported for 'Mudha_Malaysia1'.
11/11/2022 05:24:59,Mudha_Indonesia18,Cookies successfully imported for 'Mudha_Indonesia18'.
