Date,Account,Status
08/12/2022 23:48:51,,Jarvee 3.3.1.1 is now active
08/13/2022 06:28:03,,Jarvee 3.3.1.1 is now active
08/13/2022 08:29:50,,Jarvee 3.3.1.1 is now active
08/13/2022 08:35:49,,Jarvee 3.3.1.1 is now active
08/14/2022 07:02:04,,Jarvee 3.3.1.1 is now active
08/14/2022 11:29:00,,Jarvee 3.3.1.1 is now active
08/18/2022 14:43:42,,Jarvee 3.3.1.1 is now active
08/25/2022 07:15:16,,Jarvee 3.3.1.1 is now active
08/25/2022 10:50:15,,Jarvee 3.3.1.1 is now active
08/25/2022 11:23:29,,Jarvee 3.3.1.1 is now active
10/07/2022 05:04:04,,Jarvee 3.3.1.1 is now active
10/15/2022 04:17:51,,Jarvee 3.3.1.1 is now active
10/20/2022 08:36:01,Mudha_Malaysia1,Group Joiner - 'Mudha_Malaysia1' -  is active
10/20/2022 08:36:02,Mudha_Malaysia1,Group Joiner - 'Mudha_Malaysia1' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/20/2022 08:36:11,Mudha_Malaysia2,Group Joiner - 'Mudha_Malaysia2' -  is active
10/20/2022 08:36:11,Mudha_Malaysia4,Group Joiner - 'Mudha_Malaysia4' -  is active
10/20/2022 08:36:11,Mudha_Malaysia5,Group Joiner - 'Mudha_Malaysia5' -  is active
10/20/2022 08:36:11,Mudha_Malaysia6,Group Joiner - 'Mudha_Malaysia6' -  is active
10/20/2022 08:36:11,Mudha_Malaysia7,Group Joiner - 'Mudha_Malaysia7' -  is active
10/20/2022 08:36:11,Mudha_Malaysia8,Group Joiner - 'Mudha_Malaysia8' -  is active
10/20/2022 08:36:11,Mudha_Malaysia9,Group Joiner - 'Mudha_Malaysia9' -  is active
10/20/2022 08:36:11,Mudha_Malaysia10,Group Joiner - 'Mudha_Malaysia10' -  is active
10/20/2022 08:36:11,Mudha_Malaysia11,Group Joiner - 'Mudha_Malaysia11' -  is active
10/20/2022 08:36:11,Mudha_Malaysia12,Group Joiner - 'Mudha_Malaysia12' -  is active
10/20/2022 08:36:11,Mudha_Malaysia13,Group Joiner - 'Mudha_Malaysia13' -  is active
10/20/2022 08:36:11,Mudha_Malaysia14,Group Joiner - 'Mudha_Malaysia14' -  is active
