Date,Account,Status
07/13/2022 03:14:08,,Jarvee 3.3.1.1 is now active
07/13/2022 03:54:20,,Jarvee 3.3.1.1 is now active
07/13/2022 07:51:42,,Jarvee 3.3.1.1 is now active
07/14/2022 04:53:20,,Jarvee 3.3.1.1 is now active
07/18/2022 00:08:42,,Jarvee 3.3.1.1 is now active
07/18/2022 01:06:39,,Jarvee 3.3.1.1 is now active
07/18/2022 06:13:09,,Jarvee 3.3.1.1 is now active
07/20/2022 23:08:43,,Jarvee 3.3.1.1 is now active
07/20/2022 23:11:42,,Jarvee 3.3.1.1 is now active
07/20/2022 23:31:28,,Jarvee 3.3.1.1 is now active
07/25/2022 23:34:45,,Jarvee 3.3.1.1 is now active
07/25/2022 23:54:37,Chase_MALAYSIA6,Change language to English - 'Chase_MALAYSIA6' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:54:37,Chase_MALAYSIA12,Change language to English - 'Chase_MALAYSIA12' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:54:37,Chase_MALAYSIA4,Change language to English - 'Chase_MALAYSIA4' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:54:37,Chase_MALAYSIA14,Change language to English - 'Chase_MALAYSIA14' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:54:37,Chase_MALAYSIA2,Change language to English - 'Chase_MALAYSIA2' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:55:03,Chase_MALAYSIA6,Change language to English - Error executing for the 'Chase_MALAYSIA6' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/25/2022 23:55:04,Chase_MALAYSIA2,Change language to English - Error executing for the 'Chase_MALAYSIA2' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/25/2022 23:55:04,Chase_MALAYSIA4,Change language to English - Error executing for the 'Chase_MALAYSIA4' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/25/2022 23:55:05,Chase_MALAYSIA2,Birthday Sync - for the 'Chase_MALAYSIA2' account URL: https://www.facebook.com/me
07/25/2022 23:55:08,Chase_MALAYSIA14,Change language to English - Error executing for the 'Chase_MALAYSIA14' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/25/2022 23:55:11,Chase_MALAYSIA12,Change language to English - Chase_MALAYSIA12 - Finished operation
07/25/2022 23:55:11,Chase_MALAYSIA14,Synchronizing Pages for the 'Chase_MALAYSIA14' account.
07/25/2022 23:55:35,Chase_MALAYSIA42,Change language to English - 'Chase_MALAYSIA42' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:55:41,Chase_MALAYSIA50,Change language to English - 'Chase_MALAYSIA50' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:55:45,Chase_MALAYSIA62,Change language to English - 'Chase_MALAYSIA62' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:55:53,Chase_MALAYSIA2,Checking restrictions for the 'Chase_MALAYSIA2' account done. URL: https://www.facebook.com/me
07/25/2022 23:55:57,Chase_MALAYSIA2,Checking restrictions for the 'Chase_MALAYSIA2' account
07/25/2022 23:56:01,Chase_MALAYSIA42,Change language to English - Error executing for the 'Chase_MALAYSIA42' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/25/2022 23:56:10,Chase_MALAYSIA50,Change language to English - Error executing for the 'Chase_MALAYSIA50' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/25/2022 23:56:10,Chase_MALAYSIA14,Finalized pages synchronization for the 'Chase_MALAYSIA14' account.
07/25/2022 23:56:11,Chase_MALAYSIA62,Change language to English - Error executing for the 'Chase_MALAYSIA62' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/25/2022 23:56:12,Chase_MALAYSIA50,Synchronizing Pages for the 'Chase_MALAYSIA50' account.
07/25/2022 23:56:12,Chase_MALAYSIA62,Synchronizing Pages for the 'Chase_MALAYSIA62' account.
07/25/2022 23:56:12,Chase_MALAYSIA14,Synchronizing Groups for the 'Chase_MALAYSIA14' account.
07/25/2022 23:56:16,Chase_MALAYSIA2,Checking restrictions for the 'Chase_MALAYSIA2' account done.
07/25/2022 23:56:18,Chase_MALAYSIA2,Synchronizing Number of Followers for the 'Chase_MALAYSIA2' account
07/25/2022 23:56:36,Chase_MALAYSIA69,Change language to English - 'Chase_MALAYSIA69' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:56:51,Chase_MALAYSIA2,Finalized Number of Followers synchronization for the 'Chase_MALAYSIA2' account.
07/25/2022 23:56:52,Chase_MALAYSIA2,Synchronizing Groups for the 'Chase_MALAYSIA2' account.
07/25/2022 23:57:07,Chase_MALAYSIA69,Change language to English - Error executing for the 'Chase_MALAYSIA69' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/25/2022 23:57:10,Chase_MALAYSIA69,Synchronizing Pages for the 'Chase_MALAYSIA69' account.
07/25/2022 23:57:19,Chase_MALAYSIA62,Finalized pages synchronization for the 'Chase_MALAYSIA62' account.
07/25/2022 23:57:27,Chase_MALAYSIA50,Finalized pages synchronization for the 'Chase_MALAYSIA50' account.
07/25/2022 23:57:29,Chase_MALAYSIA50,Synchronizing Groups for the 'Chase_MALAYSIA50' account.
07/25/2022 23:57:38,Chase_MALAYSIA33,Change language to English - 'Chase_MALAYSIA33' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:57:56,Chase_MALAYSIA48,Change language to English - 'Chase_MALAYSIA48' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:58:08,Chase_MALAYSIA33,Change language to English - Error executing for the 'Chase_MALAYSIA33' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/25/2022 23:58:16,Chase_MALAYSIA69,Finalized pages synchronization for the 'Chase_MALAYSIA69' account.
07/25/2022 23:58:17,Chase_MALAYSIA69,Synchronizing Groups for the 'Chase_MALAYSIA69' account.
07/25/2022 23:58:42,Chase_MALAYSIA48,Change language to English - Chase_MALAYSIA48 - Finished operation
07/25/2022 23:58:42,Chase_MALAYSIA48,Synchronizing Pages for the 'Chase_MALAYSIA48' account.
07/25/2022 23:58:45,Chase_MALAYSIA52,Change language to English - 'Chase_MALAYSIA52' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:58:55,Chase_MALAYSIA5,Change language to English - 'Chase_MALAYSIA5' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/25/2022 23:59:20,Chase_MALAYSIA52,Change language to English - Error executing for the 'Chase_MALAYSIA52' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/25/2022 23:59:22,Chase_MALAYSIA52,Birthday Sync - for the 'Chase_MALAYSIA52' account URL: https://www.facebook.com/me
07/25/2022 23:59:26,Chase_MALAYSIA69,Birthday Sync - for the 'Chase_MALAYSIA69' account URL: https://www.facebook.com/me
07/25/2022 23:59:49,Chase_MALAYSIA5,Change language to English - Chase_MALAYSIA5 - Finished operation
07/25/2022 23:59:51,Chase_MALAYSIA5,Synchronizing Groups for the 'Chase_MALAYSIA5' account.
07/26/2022 00:00:11,Chase_MALAYSIA52,Checking restrictions for the 'Chase_MALAYSIA52' account done. URL: https://www.facebook.com/me
07/26/2022 00:00:12,Chase_MALAYSIA52,Checking restrictions for the 'Chase_MALAYSIA52' account
07/26/2022 00:00:19,Chase_MALAYSIA69,Checking restrictions for the 'Chase_MALAYSIA69' account done. URL: https://www.facebook.com/me
07/26/2022 00:00:21,Chase_MALAYSIA48,Finalized pages synchronization for the 'Chase_MALAYSIA48' account.
07/26/2022 00:00:22,Chase_MALAYSIA69,Checking restrictions for the 'Chase_MALAYSIA69' account
07/26/2022 00:00:31,Chase_MALAYSIA40,Change language to English - 'Chase_MALAYSIA40' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 00:00:35,Chase_MALAYSIA52,Checking restrictions for the 'Chase_MALAYSIA52' account done.
07/26/2022 00:00:37,Chase_MALAYSIA52,Synchronizing Number of Followers for the 'Chase_MALAYSIA52' account
07/26/2022 00:00:45,Chase_MALAYSIA69,Checking restrictions for the 'Chase_MALAYSIA69' account done.
07/26/2022 00:00:47,Chase_MALAYSIA69,Synchronizing Number of Followers for the 'Chase_MALAYSIA69' account
07/26/2022 00:00:53,Chase_MALAYSIA30,Change language to English - 'Chase_MALAYSIA30' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 00:00:55,Chase_MALAYSIA40,Change language to English - Error executing for the 'Chase_MALAYSIA40' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 00:01:02,Chase_MALAYSIA52,Finalized Number of Followers synchronization for the 'Chase_MALAYSIA52' account.
07/26/2022 00:01:02,Chase_MALAYSIA52,Synchronizing Groups for the 'Chase_MALAYSIA52' account.
07/26/2022 00:01:12,Chase_MALAYSIA69,Finalized Number of Followers synchronization for the 'Chase_MALAYSIA69' account.
07/26/2022 00:01:16,Chase_MALAYSIA30,Change language to English - Error executing for the 'Chase_MALAYSIA30' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 00:01:21,Chase_MALAYSIA5,Synchronizing Pages for the 'Chase_MALAYSIA5' account.
07/26/2022 00:01:27,Chase_MALAYSIA64,Change language to English - 'Chase_MALAYSIA64' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 00:01:48,Chase_MALAYSIA9,Change language to English - 'Chase_MALAYSIA9' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 00:01:51,Chase_MALAYSIA47,Change language to English - 'Chase_MALAYSIA47' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 00:01:52,Chase_MALAYSIA64,Change language to English - Error executing for the 'Chase_MALAYSIA64' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 00:02:14,Chase_MALAYSIA47,Change language to English - Error executing for the 'Chase_MALAYSIA47' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/26/2022 00:02:16,Chase_MALAYSIA47,Birthday Sync - for the 'Chase_MALAYSIA47' account URL: https://www.facebook.com/me
07/26/2022 00:02:24,Chase_MALAYSIA9,Change language to English - Chase_MALAYSIA9 - Finished operation
07/26/2022 00:02:24,Chase_MALAYSIA5,Finalized pages synchronization for the 'Chase_MALAYSIA5' account.
07/26/2022 00:02:25,Chase_MALAYSIA9,Birthday Sync - for the 'Chase_MALAYSIA9' account URL: https://www.facebook.com/me
07/26/2022 00:02:28,Chase_MALAYSIA61,Change language to English - 'Chase_MALAYSIA61' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/26/2022 00:02:46,Chase_MALAYSIA54,Change language to English - 'Chase_MALAYSIA54' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
