Date,Account,Status
10/25/2022 02:04:17,ellen_Malaysia_63,Group Joiner - 'ellen_Malaysia_63' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:04:26,ellen_Malaysia_15,Group Joiner - ellen_Malaysia_15 - Finished operation
10/25/2022 02:04:33,ellen_Malaysia_31,Comment&Like - 'ellen_Malaysia_31' - Liking by using https://www.facebook.com/groups/478072124277063
10/25/2022 02:04:39,ellen_Malaysia_11,Comment&Like - ellen_Malaysia_11 - Finished operation
10/25/2022 02:04:48,ellen_Malaysia_3,Group Joiner - 'ellen_Malaysia_3' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:04:54,ellen_Malaysia_67,Group Joiner - 'ellen_Malaysia_67' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:04:57,ellen_Malaysia_19,Group Joiner - 'ellen_Malaysia_19' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:05:14,ellen_Malaysia_63,Group Joiner - ellen_Malaysia_63 - Finished operation
10/25/2022 02:05:15,ellen_Malaysia_16,Comment&Like - ellen_Malaysia_16 - Finished operation
10/25/2022 02:05:30,ellen_Malaysia_47,Group Joiner - 'ellen_Malaysia_47' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:05:32,ellen_Malaysia_31,Comment&Like - ellen_Malaysia_31 - Finished operation
10/25/2022 02:05:44,ellen_Malaysia_3,Group Joiner - ellen_Malaysia_3 - Finished operation
10/25/2022 02:05:51,ellen_Malaysia_23,Group Joiner - 'ellen_Malaysia_23' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:05:52,ellen_Malaysia_67,Group Joiner - ellen_Malaysia_67 - Finished operation
10/25/2022 02:05:53,ellen_Malaysia_19,Group Joiner - ellen_Malaysia_19 - Finished operation
10/25/2022 02:06:00,ellen_Malaysia_45,Comment&Like - 'ellen_Malaysia_45' - Liking by using https://www.facebook.com/groups/3070737906558681
10/25/2022 02:06:05,ellen_Malaysia_47,Group Joiner - ellen_Malaysia_47 - Finished operation
10/25/2022 02:06:15,ellen_Malaysia_46,Group Joiner - 'ellen_Malaysia_46' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:06:31,ellen_Malaysia_31,Group Joiner - 'ellen_Malaysia_31' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:06:48,ellen_Malaysia_23,Group Joiner - ellen_Malaysia_23 - Finished operation
10/25/2022 02:07:06,ellen_Malaysia_31,Group Joiner - ellen_Malaysia_31 - Finished operation
10/25/2022 02:07:07,ellen_Malaysia_35,Group Joiner - 'ellen_Malaysia_35' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:07:10,ellen_Malaysia_45,Comment&Like - ellen_Malaysia_45 - Finished operation
10/25/2022 02:07:13,ellen_Malaysia_46,Group Joiner - ellen_Malaysia_46 - Finished operation
10/25/2022 02:07:49,ellen_Malaysia_10,Group Joiner - 'ellen_Malaysia_10' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:07:58,ellen_Malaysia_27,Group Joiner - 'ellen_Malaysia_27' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:08:05,ellen_Malaysia_35,Group Joiner - ellen_Malaysia_35 - Finished operation
10/25/2022 02:08:46,ellen_Malaysia_10,Group Joiner - ellen_Malaysia_10 - Finished operation
10/25/2022 02:08:55,ellen_Malaysia_27,Group Joiner - ellen_Malaysia_27 - Finished operation
10/25/2022 02:09:14,ellen_Malaysia_21,Group Joiner - 'ellen_Malaysia_21' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:09:23,ellen_Malaysia_4,Group Joiner - 'ellen_Malaysia_4' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:09:41,ellen_Malaysia_61,Group Joiner - 'ellen_Malaysia_61' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:09:47,ellen_Malaysia_51,Group Joiner - 'ellen_Malaysia_51' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:10:08,ellen_Malaysia_36,Group Joiner - 'ellen_Malaysia_36' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:10:08,ellen_Malaysia_54,Group Joiner - 'ellen_Malaysia_54' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:10:11,ellen_Malaysia_21,Group Joiner - ellen_Malaysia_21 - Finished operation
10/25/2022 02:10:20,ellen_Malaysia_4,Group Joiner - ellen_Malaysia_4 - Finished operation
10/25/2022 02:10:21,ellen_Malaysia_40,Comment&Like - 'ellen_Malaysia_40' - Liking by using https://www.facebook.com/groups/492319909620920
10/25/2022 02:10:41,ellen_Malaysia_61,Group Joiner - ellen_Malaysia_61 - Finished operation
10/25/2022 02:10:44,ellen_Malaysia_51,Group Joiner - ellen_Malaysia_51 - Finished operation
10/25/2022 02:10:57,ellen_Malaysia_30,Group Joiner - 'ellen_Malaysia_30' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:11:03,ellen_Malaysia_29,Group Joiner - 'ellen_Malaysia_29' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:11:05,ellen_Malaysia_36,Group Joiner - ellen_Malaysia_36 - Finished operation
10/25/2022 02:11:06,ellen_Malaysia_54,Group Joiner - ellen_Malaysia_54 - Finished operation
10/25/2022 02:11:23,ellen_Malaysia_40,Comment&Like - ellen_Malaysia_40 - Finished operation
10/25/2022 02:11:56,ellen_Malaysia_30,Group Joiner - ellen_Malaysia_30 - Finished operation
10/25/2022 02:12:01,ellen_Malaysia_29,Group Joiner - ellen_Malaysia_29 - Finished operation
10/25/2022 02:13:01,ellen_Malaysia_34,Comment&Like - 'ellen_Malaysia_34' - Liking by using https://www.facebook.com/groups/619487189661079
10/25/2022 02:13:19,ellen_Malaysia_4,Comment&Like - 'ellen_Malaysia_4' - Liking by using https://www.facebook.com/groups/476335227849169
10/25/2022 02:13:52,ellen_Malaysia_44,Comment&Like - 'ellen_Malaysia_44' - Liking by using https://www.facebook.com/groups/627810285725361
10/25/2022 02:13:52,ellen_Malaysia_12,Group Joiner - 'ellen_Malaysia_12' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:14:14,ellen_Malaysia_34,Comment&Like - ellen_Malaysia_34 - Finished operation
10/25/2022 02:14:18,ellen_Malaysia_4,Comment&Like - Error executing for the 'ellen_Malaysia_4' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/476335227849169
10/25/2022 02:14:49,ellen_Malaysia_12,Group Joiner - ellen_Malaysia_12 - Finished operation
10/25/2022 02:15:32,ellen_Malaysia_25,Group Joiner - 'ellen_Malaysia_25' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:16:05,ellen_Malaysia_6,Comment&Like - 'ellen_Malaysia_6' - Liking by using https://www.facebook.com/groups/416063824057495
10/25/2022 02:16:12,ellen_Malaysia_25,Group Joiner - ellen_Malaysia_25 - Finished operation
10/25/2022 02:16:24,ellen_Malaysia_4,Comment&Like - ellen_Malaysia_4 - Finished operation
10/25/2022 02:16:43,ellen_Malaysia_44,Comment&Like - ellen_Malaysia_44 - Finished operation
10/25/2022 02:16:57,ellen_Malaysia_9,Group Joiner - 'ellen_Malaysia_9' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:17:03,ellen_Malaysia_69,Group Joiner - 'ellen_Malaysia_69' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:17:03,ellen_Malaysia_47,Comment&Like - 'ellen_Malaysia_47' - Liking by using https://www.facebook.com/groups/5769754779751375
10/25/2022 02:17:14,ellen_Malaysia_6,Comment&Like - ellen_Malaysia_6 - Finished operation
10/25/2022 02:17:21, ellen_malaysia_73,Group Joiner - ' ellen_malaysia_73' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:17:54,ellen_Malaysia_9,Group Joiner - ellen_Malaysia_9 - Finished operation
10/25/2022 02:17:58,ellen_Malaysia_69,Group Joiner - ellen_Malaysia_69 - Finished operation
10/25/2022 02:18:03,ellen_Malaysia_47,Comment&Like - Error executing for the 'ellen_Malaysia_47' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/5769754779751375
10/25/2022 02:18:18, ellen_malaysia_73,Group Joiner -  ellen_malaysia_73 - Finished operation
10/25/2022 02:18:22,ellen_Malaysia_49,Comment&Like - 'ellen_Malaysia_49' - Liking by using https://www.facebook.com/groups/5106606936106939
10/25/2022 02:18:40,ellen_Malaysia_9,Comment&Like - 'ellen_Malaysia_9' - Liking by using https://www.facebook.com/groups/1431949353999966
10/25/2022 02:19:26,ellen_Malaysia_47,Comment&Like - ellen_Malaysia_47 - Finished operation
10/25/2022 02:19:35,ellen_Malaysia_49,Comment&Like - ellen_Malaysia_49 - Finished operation
10/25/2022 02:19:37,ellen_Malaysia_52,Comment&Like - 'ellen_Malaysia_52' - Liking by using https://www.facebook.com/groups/471878828235426
10/25/2022 02:19:48,ellen_Malaysia_9,Comment&Like - ellen_Malaysia_9 - Finished operation
10/25/2022 02:20:01,ellen_Malaysia_64,Comment&Like - 'ellen_Malaysia_64' - Liking by using https://www.facebook.com/groups/431887672302308
10/25/2022 02:20:39,ellen_Malaysia_52,Comment&Like - ellen_Malaysia_52 - Finished operation
10/25/2022 02:21:06,ellen_Malaysia_64,Comment&Like - ellen_Malaysia_64 - Finished operation
10/25/2022 02:21:35,ellen_Malaysia_14,Comment&Like - 'ellen_Malaysia_14' - Liking by using https://www.facebook.com/groups/1145357409405618
10/25/2022 02:22:24,ellen_Malaysia_35,Comment&Like - 'ellen_Malaysia_35' - Liking by using https://www.facebook.com/groups/5480564762061522
10/25/2022 02:22:27,ellen_Malaysia_39,Group Joiner - 'ellen_Malaysia_39' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:22:43,ellen_Malaysia_14,Comment&Like - ellen_Malaysia_14 - Finished operation
10/25/2022 02:23:15,ellen_Malaysia_22,Comment&Like - 'ellen_Malaysia_22' - Liking by using https://www.facebook.com/groups/511640393799618
10/25/2022 02:23:22,ellen_Malaysia_39,Group Joiner - ellen_Malaysia_39 - Finished operation
10/25/2022 02:23:39, ellen_malaysia_71,Comment&Like - ' ellen_malaysia_71' - Liking by using https://www.facebook.com/groups/619487189661079
10/25/2022 02:23:41,ellen_Malaysia_35,Comment&Like - ellen_Malaysia_35 - Finished operation
10/25/2022 02:24:03,ellen_Malaysia_1,Group Joiner - 'ellen_Malaysia_1' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/25/2022 02:24:13,ellen_Malaysia_40,Group Joiner - 'ellen_Malaysia_40' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/25/2022 02:24:29,ellen_Malaysia_22,Comment&Like - ellen_Malaysia_22 - Finished operation
10/25/2022 02:24:46, ellen_malaysia_71,Comment&Like -  ellen_malaysia_71 - Finished operation
10/25/2022 02:25:01,ellen_Malaysia_1,Group Joiner - ellen_Malaysia_1 - Finished operation
10/25/2022 02:25:09,ellen_Malaysia_40,Group Joiner - ellen_Malaysia_40 - Finished operation
10/25/2022 02:25:16,ellen_Malaysia_36,Comment&Like - 'ellen_Malaysia_36' - Liking by using https://www.facebook.com/groups/1487781145028710
10/25/2022 02:26:11,ellen_Malaysia_26,Comment&Like - 'ellen_Malaysia_26' - Liking by using https://www.facebook.com/groups/511640393799618
10/25/2022 02:26:17,ellen_Malaysia_36,Comment&Like - ellen_Malaysia_36 - Finished operation
10/25/2022 02:26:32,ellen_Malaysia_44,Group Joiner - 'ellen_Malaysia_44' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/25/2022 02:27:28,ellen_Malaysia_26,Comment&Like - ellen_Malaysia_26 - Finished operation
10/25/2022 02:27:30,ellen_Malaysia_44,Group Joiner - ellen_Malaysia_44 - Finished operation
10/25/2022 02:27:35,ellen_Malaysia_16,Group Joiner - 'ellen_Malaysia_16' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/25/2022 02:28:10,ellen_Malaysia_16,Group Joiner - ellen_Malaysia_16 - Finished operation
