Date,Account,Status
10/15/2022 6:45,Martin_Malaysia64,Group Joiner - 'Martin_Malaysia64' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:45,Martin_Malaysia27,Group Joiner - Martin_Malaysia27 - Finished operation
10/15/2022 6:45,Martin_Malaysia65,Group Joiner - 'Martin_Malaysia65' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:45,Martin_Malaysia56,Group Joiner - 'Martin_Malaysia56' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:45,Martin_Malaysia58,Group Joiner - 'Martin_Malaysia58' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:45,Martin_Malaysia25,Group Joiner - 'Martin_Malaysia25' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:45,Martin_Malaysia71,Comment&Like - 'Martin_Malaysia71' - Liking by using https://www.facebook.com/groups/511640393799618
10/15/2022 6:45,Martin_Malaysia73,Group Joiner - 'Martin_Malaysia73' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:45,Martin_Malaysia50,Group Joiner - 'Martin_Malaysia50' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:46,Martin_Malaysia36,Comment&Like - 'Martin_Malaysia36' - Liking by using https://www.facebook.com/groups/833087687822674
10/15/2022 6:46,Martin_Malaysia59,Comment&Like - 'Martin_Malaysia59' - Liking by using https://www.facebook.com/groups/833087687822674
10/15/2022 6:46,Martin_Malaysia64,Group Joiner - Martin_Malaysia64 - Finished operation
10/15/2022 6:46,Martin_Malaysia74,Group Joiner - 'Martin_Malaysia74' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:46,Martin_Malaysia37,Group Joiner - 'Martin_Malaysia37' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:46,Martin_Malaysia56,Group Joiner - Martin_Malaysia56 - Finished operation
10/15/2022 6:46,Martin_Malaysia34,Group Joiner - 'Martin_Malaysia34' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:46,Martin_Malaysia65,Group Joiner - Martin_Malaysia65 - Finished operation
10/15/2022 6:46,Martin_Malaysia58,Group Joiner - Martin_Malaysia58 - Finished operation
10/15/2022 6:46,Martin_Malaysia25,Group Joiner - Martin_Malaysia25 - Finished operation
10/15/2022 6:47,Martin_Malaysia50,Group Joiner - Martin_Malaysia50 - Finished operation
10/15/2022 6:47,Martin_Malaysia73,Group Joiner - Martin_Malaysia73 - Finished operation
10/15/2022 6:47,Martin_Malaysia37,Group Joiner - Martin_Malaysia37 - Finished operation
10/15/2022 6:47,Martin_Malaysia36,Comment&Like - Martin_Malaysia36 - Finished operation
10/15/2022 6:47,Martin_Malaysia71,Comment&Like - Martin_Malaysia71 - Finished operation
10/15/2022 6:47,Martin_Malaysia59,Comment&Like - Martin_Malaysia59 - Finished operation
10/15/2022 6:47,Martin_Malaysia74,Group Joiner - Martin_Malaysia74 - Finished operation
10/15/2022 6:47,Martin_Malaysia34,Group Joiner - Martin_Malaysia34 - Finished operation
10/15/2022 6:47,Martin_Malaysia2,Group Joiner - 'Martin_Malaysia2' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:48,Martin_Malaysia71,Group Joiner - 'Martin_Malaysia71' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:48,Martin_Malaysia3,Group Joiner - 'Martin_Malaysia3' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:48,Martin_Malaysia6,Group Joiner - 'Martin_Malaysia6' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:48,Martin_Malaysia55,Group Joiner - 'Martin_Malaysia55' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:48,Martin_Malaysia2,Group Joiner - Martin_Malaysia2 - Finished operation
10/15/2022 6:48,Martin_Malaysia54,Comment&Like - 'Martin_Malaysia54' - Liking by using https://www.facebook.com/groups/1208279456697093
10/15/2022 6:49,Martin_Malaysia42,Group Joiner - 'Martin_Malaysia42' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:49,Martin_Malaysia71,Group Joiner - Martin_Malaysia71 - Finished operation
10/15/2022 6:49,Martin_Malaysia5,Group Joiner - 'Martin_Malaysia5' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:49,Martin_Malaysia51,Comment&Like - 'Martin_Malaysia51' - Liking by using https://www.facebook.com/groups/651468046494962
10/15/2022 6:49,Martin_Malaysia24,Comment&Like - 'Martin_Malaysia24' - Liking by using https://www.facebook.com/groups/511640393799618
10/15/2022 6:49,Martin_Malaysia3,Group Joiner - Martin_Malaysia3 - Finished operation
10/15/2022 6:49,Martin_Malaysia55,Group Joiner - Martin_Malaysia55 - Finished operation
10/15/2022 6:49,Martin_Malaysia6,Group Joiner - Martin_Malaysia6 - Finished operation
10/15/2022 6:50,Martin_Malaysia54,Comment&Like - Error executing for the 'Martin_Malaysia54' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/1208279456697093
10/15/2022 6:50,Martin_Malaysia42,Group Joiner - Martin_Malaysia42 - Finished operation
10/15/2022 6:50,Martin_Malaysia5,Group Joiner - Martin_Malaysia5 - Finished operation
10/15/2022 6:50,Martin_Malaysia51,Comment&Like - Martin_Malaysia51 - Finished operation
10/15/2022 6:51,Martin_Malaysia24,Comment&Like - Martin_Malaysia24 - Finished operation
10/15/2022 6:51,Martin_Malaysia54,Comment&Like - Martin_Malaysia54 - Finished operation
10/15/2022 6:51,Martin_Malaysia1,Comment&Like - 'Martin_Malaysia1' - Liking by using https://www.facebook.com/groups/1208279456697093
10/15/2022 6:52,Martin_Malaysia45,Comment&Like - 'Martin_Malaysia45' - Liking by using https://www.facebook.com/groups/460183919270756
10/15/2022 6:52,Martin_Malaysia35,Comment&Like - 'Martin_Malaysia35' - Liking by using https://www.facebook.com/groups/1208279456697093
10/15/2022 6:52,Martin_Malaysia1,Comment&Like - Error executing for the 'Martin_Malaysia1' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/1208279456697093
10/15/2022 6:53,Martin_Malaysia63,Comment&Like - 'Martin_Malaysia63' - Liking by using https://www.facebook.com/groups/460183919270756
10/15/2022 6:53,Martin_Malaysia41,Comment&Like - 'Martin_Malaysia41' - Liking by using https://www.facebook.com/groups/1208279456697093
10/15/2022 6:53,Martin_Malaysia45,Comment&Like - Martin_Malaysia45 - Finished operation
10/15/2022 6:53,Martin_Malaysia35,Comment&Like - Error executing for the 'Martin_Malaysia35' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/1208279456697093
10/15/2022 6:53,Martin_Malaysia10,Comment&Like - 'Martin_Malaysia10' - Liking by using https://www.facebook.com/groups/833087687822674
10/15/2022 6:53,Martin_Malaysia28,Comment&Like - 'Martin_Malaysia28' - Liking by using https://www.facebook.com/groups/553820536427516
10/15/2022 6:54,Martin_Malaysia1,Comment&Like - Martin_Malaysia1 - Finished operation
10/15/2022 6:54,Martin_Malaysia41,Comment&Like - Error executing for the 'Martin_Malaysia41' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/1208279456697093
10/15/2022 6:54,Martin_Malaysia63,Comment&Like - Martin_Malaysia63 - Finished operation
10/15/2022 6:54,Martin_Malaysia10,Comment&Like - Martin_Malaysia10 - Finished operation
10/15/2022 6:54,Martin_Malaysia35,Comment&Like - Martin_Malaysia35 - Finished operation
10/15/2022 6:54,Martin_Malaysia45,Group Joiner - 'Martin_Malaysia45' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:55,Martin_Malaysia28,Comment&Like - Martin_Malaysia28 - Finished operation
10/15/2022 6:55,Martin_Malaysia41,Comment&Like - Martin_Malaysia41 - Finished operation
10/15/2022 6:55,Martin_Malaysia67,Comment&Like - 'Martin_Malaysia67' - Liking by using https://www.facebook.com/groups/460183919270756
10/15/2022 6:55,Martin_Malaysia45,Group Joiner - Martin_Malaysia45 - Finished operation
10/15/2022 6:56,Martin_Malaysia56,Comment&Like - 'Martin_Malaysia56' - Liking by using https://www.facebook.com/groups/429397949131253
10/15/2022 6:57,Martin_Malaysia67,Comment&Like - Martin_Malaysia67 - Finished operation
10/15/2022 6:57,Martin_Malaysia32,Group Joiner - 'Martin_Malaysia32' - Executing using 'https://www.facebook.com/groups/429397949131253'
10/15/2022 6:58,Martin_Malaysia68,Comment&Like - 'Martin_Malaysia68' - Liking by using https://www.facebook.com/groups/833087687822674
10/15/2022 6:58,Martin_Malaysia15,Comment&Like - 'Martin_Malaysia15' - Liking by using https://www.facebook.com/groups/660077308871811
10/15/2022 6:58,Martin_Malaysia32,Group Joiner - Martin_Malaysia32 - Finished operation
10/15/2022 6:58,Martin_Malaysia56,Comment&Like - Error executing for the 'Martin_Malaysia56' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/429397949131253
10/15/2022 6:59,Martin_Malaysia68,Comment&Like - Martin_Malaysia68 - Finished operation
10/15/2022 6:59,Martin_Malaysia15,Comment&Like - Martin_Malaysia15 - Finished operation
10/15/2022 6:59,Martin_Malaysia38,Comment&Like - 'Martin_Malaysia38' - Liking by using https://www.facebook.com/groups/429397949131253
10/15/2022 6:59,Martin_Malaysia56,Comment&Like - Martin_Malaysia56 - Finished operation
10/15/2022 7:00,Martin_Malaysia26,Comment&Like - 'Martin_Malaysia26' - Liking by using https://www.facebook.com/groups/511640393799618
10/15/2022 7:00,Martin_Malaysia37,Comment&Like - 'Martin_Malaysia37' - Liking by using https://www.facebook.com/groups/429397949131253
10/15/2022 7:00,Martin_Malaysia11,Comment&Like - 'Martin_Malaysia11' - Liking by using https://www.facebook.com/groups/1208279456697093
10/15/2022 7:00,Martin_Malaysia38,Comment&Like - Martin_Malaysia38 - Finished operation
10/15/2022 7:01,Martin_Malaysia11,Comment&Like - Error executing for the 'Martin_Malaysia11' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/1208279456697093
10/15/2022 7:01,Martin_Malaysia26,Comment&Like - Martin_Malaysia26 - Finished operation
10/15/2022 7:02,Martin_Malaysia37,Comment&Like - Error executing for the 'Martin_Malaysia37' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/429397949131253
10/15/2022 7:02,Martin_Malaysia32,Comment&Like - 'Martin_Malaysia32' - Liking by using https://www.facebook.com/groups/1208279456697093
10/15/2022 7:02,Martin_Malaysia11,Comment&Like - Martin_Malaysia11 - Finished operation
10/15/2022 7:03,Martin_Malaysia43,Comment&Like - 'Martin_Malaysia43' - Liking by using https://www.facebook.com/groups/660077308871811
10/15/2022 7:03,Martin_Malaysia52,Comment&Like - 'Martin_Malaysia52' - Liking by using https://www.facebook.com/groups/5106606936106939
10/15/2022 7:03,Martin_Malaysia37,Comment&Like - Martin_Malaysia37 - Finished operation
10/15/2022 7:03,Martin_Malaysia32,Comment&Like - Error executing for the 'Martin_Malaysia32' account. : code  66  - no valid post found URL: https://www.facebook.com/groups/1208279456697093
10/15/2022 7:03,Martin_Malaysia12,Comment&Like - 'Martin_Malaysia12' - Liking by using https://www.facebook.com/groups/460183919270756
10/15/2022 7:04,Martin_Malaysia43,Comment&Like - Martin_Malaysia43 - Finished operation
10/15/2022 7:04,Martin_Malaysia52,Comment&Like - Martin_Malaysia52 - Finished operation
