Date,Account,Status
10/18/2022 11:09:49,Martin_Malaysia69,Account Actions - Martin_Malaysia69 - Finished operation
10/18/2022 11:10:20,Martin_Malaysia8,Group Joiner - 'Martin_Malaysia8' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/18/2022 11:10:22,Martin_Malaysia19,Group Joiner - Martin_Malaysia19 - Finished operation
10/18/2022 11:10:38,Martin_Malaysia29,Group Joiner - 'Martin_Malaysia29' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/18/2022 11:11:20,Martin_Malaysia8,Group Joiner - Martin_Malaysia8 - Finished operation
10/18/2022 11:11:41,Martin_Malaysia29,Group Joiner - Martin_Malaysia29 - Finished operation
10/18/2022 11:12:27,Martin_Malaysia1,Account Actions - 'Martin_Malaysia1' - Executing
10/18/2022 11:14:03,Martin_Malaysia1,Account Actions - Martin_Malaysia1 - Finished operation
10/18/2022 11:18:22,Martin_Malaysia10,Account Actions - 'Martin_Malaysia10' - Executing
10/18/2022 11:20:02,Martin_Malaysia10,Account Actions - Martin_Malaysia10 - Finished operation
10/18/2022 11:22:28,Martin_Malaysia68,Account Actions - 'Martin_Malaysia68' - Executing
10/18/2022 11:23:49,Martin_Malaysia68,Account Actions - Martin_Malaysia68 - Finished operation
10/18/2022 11:24:23,Martin_Malaysia24,Comment&Like - 'Martin_Malaysia24' - Liking by using https://www.facebook.com/groups/478072124277063
10/18/2022 11:25:40,Martin_Malaysia24,Comment&Like - Martin_Malaysia24 - Finished operation
10/18/2022 11:27:29,Martin_Malaysia4,Group Joiner - 'Martin_Malaysia4' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/18/2022 11:28:28,Martin_Malaysia4,Group Joiner - Martin_Malaysia4 - Finished operation
10/18/2022 11:29:30,Martin_Malaysia14,Account Actions - 'Martin_Malaysia14' - Executing
10/18/2022 11:29:36,Martin_Malaysia63,Group Joiner - 'Martin_Malaysia63' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/18/2022 11:30:30,Martin_Malaysia52,Comment&Like - 'Martin_Malaysia52' - Liking by using https://www.facebook.com/groups/431887672302308
10/18/2022 11:30:30,Martin_Malaysia51,Account Actions - 'Martin_Malaysia51' - Executing
10/18/2022 11:30:37,Martin_Malaysia63,Group Joiner - Martin_Malaysia63 - Finished operation
10/18/2022 11:31:01,Martin_Malaysia27,Comment&Like - 'Martin_Malaysia27' - Liking by using https://www.facebook.com/groups/660077308871811
10/18/2022 11:31:11,Martin_Malaysia14,Account Actions - Martin_Malaysia14 - Finished operation
10/18/2022 11:31:34,Martin_Malaysia52,Comment&Like - Martin_Malaysia52 - Finished operation
10/18/2022 11:31:56,Martin_Malaysia30,Group Joiner - 'Martin_Malaysia30' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/18/2022 11:32:05,Martin_Malaysia27,Comment&Like - Martin_Malaysia27 - Finished operation
10/18/2022 11:32:11,Martin_Malaysia51,Account Actions - Martin_Malaysia51 - Finished operation
10/18/2022 11:32:14,Martin_Malaysia57,Comment&Like - 'Martin_Malaysia57' - Liking by using https://www.facebook.com/groups/553820536427516
10/18/2022 11:32:29,Martin_Malaysia29,Account Actions - 'Martin_Malaysia29' - Executing
10/18/2022 11:32:29,Martin_Malaysia42,Account Actions - 'Martin_Malaysia42' - Executing
10/18/2022 11:32:55,Martin_Malaysia30,Group Joiner - Martin_Malaysia30 - Finished operation
10/18/2022 11:33:16,Martin_Malaysia57,Comment&Like - Martin_Malaysia57 - Finished operation
10/18/2022 11:33:30,Martin_Malaysia25,Group Joiner - 'Martin_Malaysia25' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/18/2022 11:33:42,Martin_Malaysia2,Group Joiner - 'Martin_Malaysia2' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/18/2022 11:33:54,Martin_Malaysia10,Group Joiner - 'Martin_Malaysia10' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/18/2022 11:34:06,Martin_Malaysia29,Account Actions - Martin_Malaysia29 - Finished operation
10/18/2022 11:34:07,Martin_Malaysia42,Account Actions - Martin_Malaysia42 - Finished operation
10/18/2022 11:34:18,Martin_Malaysia67,Comment&Like - 'Martin_Malaysia67' - Liking by using https://www.facebook.com/groups/478072124277063
10/18/2022 11:34:30,Martin_Malaysia14,Comment&Like - 'Martin_Malaysia14' - Liking by using https://www.facebook.com/groups/511640393799618
10/18/2022 11:34:34,Martin_Malaysia25,Group Joiner - Martin_Malaysia25 - Finished operation
10/18/2022 11:34:42,Martin_Malaysia2,Group Joiner - Martin_Malaysia2 - Finished operation
10/18/2022 11:34:46,Martin_Malaysia34,Comment&Like - 'Martin_Malaysia34' - Liking by using https://www.facebook.com/groups/619487189661079
10/18/2022 11:34:57,Martin_Malaysia10,Group Joiner - Martin_Malaysia10 - Finished operation
10/18/2022 11:34:58,Martin_Malaysia64,Group Joiner - 'Martin_Malaysia64' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/18/2022 11:34:58,Martin_Malaysia35,Group Joiner - 'Martin_Malaysia35' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/18/2022 11:35:22,Martin_Malaysia42,Group Joiner - 'Martin_Malaysia42' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/18/2022 11:35:27,Martin_Malaysia64,Group Joiner - Error executing for the 'Martin_Malaysia64' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/groups/460183919270756
10/18/2022 11:35:28,Martin_Malaysia67,Comment&Like - Martin_Malaysia67 - Finished operation
10/18/2022 11:35:28,Martin_Malaysia21,Account Actions - 'Martin_Malaysia21' - Executing
10/18/2022 11:35:28,Martin_Malaysia59,Account Actions - 'Martin_Malaysia59' - Executing
10/18/2022 11:35:31,Martin_Malaysia60,Group Joiner - 'Martin_Malaysia60' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/18/2022 11:35:34,Martin_Malaysia35,Group Joiner - Martin_Malaysia35 - Finished operation
10/18/2022 11:35:48,Martin_Malaysia14,Comment&Like - Martin_Malaysia14 - Finished operation
10/18/2022 11:35:50,Martin_Malaysia34,Comment&Like - Martin_Malaysia34 - Finished operation
10/18/2022 11:35:52,Martin_Malaysia27,Group Joiner - 'Martin_Malaysia27' - Executing using 'https://www.facebook.com/groups/5106606936106939'
10/18/2022 11:35:55,Martin_Malaysia23,Comment&Like - 'Martin_Malaysia23' - Liking by using https://www.facebook.com/groups/3344076859208187
10/18/2022 11:36:24,Martin_Malaysia42,Group Joiner - Martin_Malaysia42 - Finished operation
