Date,Account,Status
07/18/2022 22:55:54,,Jarvee 3.3.1.1 is now active
07/18/2022 23:14:16,Martin_Malaysia3,Change language to English - 'Martin_Malaysia3' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/18/2022 23:15:03,Martin_Malaysia3,Change language to English - Martin_Malaysia3 - Finished operation
07/18/2022 23:27:35,Martin_Malaysia6,Change language to English - 'Martin_Malaysia6' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/18/2022 23:27:35,Martin_Malaysia5,Change language to English - 'Martin_Malaysia5' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/18/2022 23:28:09,Martin_Malaysia6,Change language to English - Martin_Malaysia6 - Finished operation
07/18/2022 23:28:18,Martin_Malaysia5,Change language to English - Martin_Malaysia5 - Finished operation
07/18/2022 23:46:56,Martin_Malaysia12,Change language to English - 'Martin_Malaysia12' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/18/2022 23:46:56,Martin_Malaysia10,Change language to English - 'Martin_Malaysia10' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/18/2022 23:46:56,Martin_Malaysia11,Change language to English - 'Martin_Malaysia11' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/18/2022 23:47:21,Martin_Malaysia12,Change language to English - Error executing for the 'Martin_Malaysia12' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/18/2022 23:47:25,Martin_Malaysia11,Change language to English - Error executing for the 'Martin_Malaysia11' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/18/2022 23:47:31,Martin_Malaysia10,Change language to English - Martin_Malaysia10 - Finished operation
07/18/2022 23:57:16,Martin_Malaysia13,Change language to English - 'Martin_Malaysia13' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/18/2022 23:57:16,Martin_Malaysia14,Change language to English - 'Martin_Malaysia14' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/18/2022 23:57:40,Martin_Malaysia13,Change language to English - Error executing for the 'Martin_Malaysia13' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/18/2022 23:57:48,Martin_Malaysia14,Change language to English - Martin_Malaysia14 - Finished operation
