Date,Account,Status
08/08/2022 02:37:36,Martin_Malaysia51,Group Joiner - Martin_Malaysia51 - Finished operation
08/08/2022 02:38:09,Martin_Malaysia14,Group Joiner - Martin_Malaysia14 - Finished operation
08/08/2022 02:40:52,Martin_Malaysia18,Group Joiner - 'Martin_Malaysia18' - Executing using 'https://www.facebook.com/groups/356273642647975'
08/08/2022 02:41:04,Martin_Malaysia57,Group Joiner - 'Martin_Malaysia57' - Executing using 'https://www.facebook.com/groups/3344636795766290'
08/08/2022 02:41:43,Martin_Malaysia29,Group Joiner - 'Martin_Malaysia29' - Executing using 'https://www.facebook.com/groups/345617856597368'
08/08/2022 02:42:00,Martin_Malaysia18,Group Joiner - Martin_Malaysia18 - Finished operation
08/08/2022 02:42:14,Martin_Malaysia57,Group Joiner - Error executing for the 'Martin_Malaysia57' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/3344636795766290
08/08/2022 02:42:41,Martin_Malaysia29,Group Joiner - Martin_Malaysia29 - Finished operation
08/08/2022 02:42:47,Martin_Malaysia38,Group Joiner - 'Martin_Malaysia38' - Executing using 'https://www.facebook.com/groups/342672135879177'
08/08/2022 02:43:11,Martin_Malaysia46,Group Joiner - 'Martin_Malaysia46' - Executing using 'https://www.facebook.com/groups/342731680840489'
08/08/2022 02:43:44,Martin_Malaysia46,Group Joiner - Error executing for the 'Martin_Malaysia46' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/groups/342731680840489
08/08/2022 02:43:50,Martin_Malaysia38,Group Joiner - Martin_Malaysia38 - Finished operation
08/08/2022 02:43:54,Martin_Malaysia3,Comment&Like - 'Martin_Malaysia3' - Commenting by using https://www.facebook.com/gamersmania009/?
08/08/2022 02:44:09,Martin_Malaysia45,Group Joiner - 'Martin_Malaysia45' - Executing using 'https://www.facebook.com/groups/351288778948827'
08/08/2022 02:44:21,Martin_Malaysia25,Group Joiner - 'Martin_Malaysia25' - Executing using 'https://www.facebook.com/groups/363457057610714'
08/08/2022 02:44:28,Martin_Malaysia3,Comment&Like - Error executing for the 'Martin_Malaysia3' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/gamersmania009/?
08/08/2022 02:45:03,Martin_Malaysia50,Group Joiner - 'Martin_Malaysia50' - Executing using 'https://www.facebook.com/groups/355314275433257'
08/08/2022 02:45:23,Martin_Malaysia45,Group Joiner - Martin_Malaysia45 - Finished operation
08/08/2022 02:45:35,Martin_Malaysia25,Group Joiner - Martin_Malaysia25 - Finished operation
08/08/2022 02:45:56,Martin_Malaysia13,Group Joiner - 'Martin_Malaysia13' - Executing using 'https://www.facebook.com/groups/318921633192198'
08/08/2022 02:46:02,Martin_Malaysia34,Group Joiner - 'Martin_Malaysia34' - Executing using 'https://www.facebook.com/groups/359878318038869'
08/08/2022 02:46:10,Martin_Malaysia50,Group Joiner - Martin_Malaysia50 - Finished operation
08/08/2022 02:47:07,Martin_Malaysia34,Group Joiner - Martin_Malaysia34 - Finished operation
08/08/2022 02:47:12,Martin_Malaysia13,Group Joiner - Error executing for the 'Martin_Malaysia13' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/318921633192198
08/08/2022 02:48:24,Martin_Malaysia53,Group Joiner - 'Martin_Malaysia53' - Executing using 'https://www.facebook.com/groups/357356691910987'
08/08/2022 02:48:33,Martin_Malaysia63,Comment&Like - 'Martin_Malaysia63' - Commenting by using https://www.facebook.com/gamersmania009/?
08/08/2022 02:49:03,Martin_Malaysia63,Comment&Like - Error executing for the 'Martin_Malaysia63' account. : code  202  - .jewelButton not present => incorrect Facebook page. URL: https://www.facebook.com/gamersmania009/?
08/08/2022 02:49:25,Martin_Malaysia64,Group Joiner - 'Martin_Malaysia64' - Executing using 'https://www.facebook.com/groups/341588236282545'
