Date,Account,Status
07/12/2022 04:29:57,,Jarvee 3.3.1.1 is now active
07/12/2022 23:07:54,,Jarvee 3.3.1.1 is now active
07/13/2022 02:58:39,,Jarvee 3.3.1.1 is now active
07/13/2022 13:07:27,,Jarvee 3.3.1.1 is now active
07/20/2022 01:17:30,,Jarvee 3.3.1.1 is now active
07/20/2022 02:40:42,Gen_Malaysia9,Synchronizing Pages for the 'Gen_Malaysia9' account.
07/20/2022 02:40:42,Gen_Malaysia23,Synchronizing Pages for the 'Gen_Malaysia23' account.
07/20/2022 02:40:42,Gen_Malaysia4,Synchronizing Pages for the 'Gen_Malaysia4' account.
07/20/2022 02:40:42,Gen_Malaysia46,Synchronizing Number of Followers for the 'Gen_Malaysia46' account
07/20/2022 02:41:08,Gen_Malaysia46,Finalized Number of Followers synchronization for the 'Gen_Malaysia46' account.
07/20/2022 02:41:09,Gen_Malaysia46,Synchronizing Groups for the 'Gen_Malaysia46' account.
07/20/2022 02:41:12,Gen_Malaysia54,Synchronizing Pages for the 'Gen_Malaysia54' account.
07/20/2022 02:41:39,Gen_Malaysia9,Finalized pages synchronization for the 'Gen_Malaysia9' account.
07/20/2022 02:41:39,Gen_Malaysia9,Synchronizing Groups for the 'Gen_Malaysia9' account.
07/20/2022 02:41:40,Gen_Malaysia4,Finalized pages synchronization for the 'Gen_Malaysia4' account.
07/20/2022 02:41:42,Gen_Malaysia4,Synchronizing Groups for the 'Gen_Malaysia4' account.
07/20/2022 02:41:45,Gen_Malaysia23,Finalized pages synchronization for the 'Gen_Malaysia23' account.
07/20/2022 02:41:46,Gen_Malaysia23,Birthday Sync - for the 'Gen_Malaysia23' account URL: https://www.facebook.com/me
07/20/2022 02:42:10,Gen_Malaysia54,Finalized pages synchronization for the 'Gen_Malaysia54' account.
07/20/2022 02:42:13,Gen_Malaysia54,Birthday Sync - for the 'Gen_Malaysia54' account URL: https://www.facebook.com/me
07/20/2022 02:42:24,Gen_Malaysia23,Checking restrictions for the 'Gen_Malaysia23' account done. URL: https://www.facebook.com/me
07/20/2022 02:42:25,Gen_Malaysia23,Checking restrictions for the 'Gen_Malaysia23' account
07/20/2022 02:42:37,Gen_Malaysia9,Birthday Sync - for the 'Gen_Malaysia9' account URL: https://www.facebook.com/me
07/20/2022 02:42:42,Gen_Malaysia23,Checking restrictions for the 'Gen_Malaysia23' account done.
07/20/2022 02:42:43,Gen_Malaysia23,Synchronizing Number of Followers for the 'Gen_Malaysia23' account
07/20/2022 02:42:50,Gen_Malaysia54,Checking restrictions for the 'Gen_Malaysia54' account done. URL: https://www.facebook.com/me
07/20/2022 02:42:52,Gen_Malaysia54,Checking restrictions for the 'Gen_Malaysia54' account
07/20/2022 02:42:55,Gen_Malaysia46,Birthday Sync - for the 'Gen_Malaysia46' account URL: https://www.facebook.com/me
07/20/2022 02:42:58,Gen_Malaysia47,Synchronizing Pages for the 'Gen_Malaysia47' account.
07/20/2022 02:43:01,Gen_Malaysia4,Birthday Sync - for the 'Gen_Malaysia4' account URL: https://www.facebook.com/me
07/20/2022 02:43:03,Gen_Malaysia23,Finalized Number of Followers synchronization for the 'Gen_Malaysia23' account.
07/20/2022 02:43:08,Gen_Malaysia54,Checking restrictions for the 'Gen_Malaysia54' account done.
07/20/2022 02:43:10,Gen_Malaysia54,Synchronizing Number of Followers for the 'Gen_Malaysia54' account
07/20/2022 02:43:15,Gen_Malaysia9,Checking restrictions for the 'Gen_Malaysia9' account done. URL: https://www.facebook.com/me
07/20/2022 02:43:16,Gen_Malaysia9,Checking restrictions for the 'Gen_Malaysia9' account
07/20/2022 02:43:29,Gen_Malaysia54,Finalized Number of Followers synchronization for the 'Gen_Malaysia54' account.
07/20/2022 02:43:32,Gen_Malaysia54,Synchronizing Groups for the 'Gen_Malaysia54' account.
07/20/2022 02:43:35,Gen_Malaysia46,Checking restrictions for the 'Gen_Malaysia46' account done. URL: https://www.facebook.com/me
07/20/2022 02:43:38,Gen_Malaysia46,Checking restrictions for the 'Gen_Malaysia46' account
07/20/2022 02:43:39,Gen_Malaysia4,Checking restrictions for the 'Gen_Malaysia4' account done. URL: https://www.facebook.com/me
07/20/2022 02:43:40,Gen_Malaysia9,Checking restrictions for the 'Gen_Malaysia9' account done.
07/20/2022 02:43:41,Gen_Malaysia4,Checking restrictions for the 'Gen_Malaysia4' account
07/20/2022 02:43:41,Gen_Malaysia9,Synchronizing Number of Followers for the 'Gen_Malaysia9' account
07/20/2022 02:43:56,Gen_Malaysia47,Finalized pages synchronization for the 'Gen_Malaysia47' account.
07/20/2022 02:43:56,Gen_Malaysia47,Birthday Sync - for the 'Gen_Malaysia47' account URL: https://www.facebook.com/me
07/20/2022 02:43:56,Gen_Malaysia4,Checking restrictions for the 'Gen_Malaysia4' account done.
07/20/2022 02:43:58,Gen_Malaysia46,Checking restrictions for the 'Gen_Malaysia46' account done.
07/20/2022 02:43:59,Gen_Malaysia4,Synchronizing Number of Followers for the 'Gen_Malaysia4' account
07/20/2022 02:44:00,Gen_Malaysia9,Finalized Number of Followers synchronization for the 'Gen_Malaysia9' account.
07/20/2022 02:44:19,Gen_Malaysia4,Finalized Number of Followers synchronization for the 'Gen_Malaysia4' account.
07/20/2022 02:44:35,Gen_Malaysia47,Checking restrictions for the 'Gen_Malaysia47' account done. URL: https://www.facebook.com/me
07/20/2022 02:44:35,Gen_Malaysia47,Checking restrictions for the 'Gen_Malaysia47' account
07/20/2022 02:44:52,Gen_Malaysia47,Checking restrictions for the 'Gen_Malaysia47' account done.
07/20/2022 02:44:53,Gen_Malaysia47,Synchronizing Number of Followers for the 'Gen_Malaysia47' account
07/20/2022 02:45:13,Gen_Malaysia47,Finalized Number of Followers synchronization for the 'Gen_Malaysia47' account.
07/20/2022 02:45:15,Gen_Malaysia47,Synchronizing Groups for the 'Gen_Malaysia47' account.
07/20/2022 22:00:01,,A restart was scheduled. Jarvee will automatically restart in 5 minute(s).
07/20/2022 22:05:21,,Jarvee 3.3.1.1 is now active
07/21/2022 22:00:01,,A restart was scheduled. Jarvee will automatically restart in 5 minute(s).
07/21/2022 22:05:20,,Jarvee 3.3.1.1 is now active
07/22/2022 22:00:00,,A restart was scheduled. Jarvee will automatically restart in 5 minute(s).
07/22/2022 22:05:20,,Jarvee 3.3.1.1 is now active
07/23/2022 22:00:00,,A restart was scheduled. Jarvee will automatically restart in 5 minute(s).
07/23/2022 22:05:20,,Jarvee 3.3.1.1 is now active
07/24/2022 22:00:01,,A restart was scheduled. Jarvee will automatically restart in 5 minute(s).
07/24/2022 22:05:20,,Jarvee 3.3.1.1 is now active
10/23/2022 07:31:25,,Jarvee 3.3.1.1 is now active
10/23/2022 22:00:01,,A restart was scheduled. Jarvee will automatically restart in 5 minute(s).
10/23/2022 22:05:21,,Jarvee 3.3.1.1 is now active
10/24/2022 00:21:53,Gen_Malaysia10,Group Joiner - 'Gen_Malaysia10' -  is active
10/24/2022 00:21:55,Gen_Malaysia10,Group Joiner - 'Gen_Malaysia10' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/24/2022 00:22:05,Gen_Malaysia1,Group Joiner - 'Gen_Malaysia1' -  is active
10/24/2022 00:22:05,Gen_Malaysia2,Group Joiner - 'Gen_Malaysia2' -  is active
10/24/2022 00:22:05,Gen_Malaysia3,Group Joiner - 'Gen_Malaysia3' -  is active
10/24/2022 00:22:05,Gen_Malaysia4,Group Joiner - 'Gen_Malaysia4' -  is active
10/24/2022 00:22:05,Gen_Malaysia5,Group Joiner - 'Gen_Malaysia5' -  is active
10/24/2022 00:22:05,Gen_Malaysia6,Group Joiner - 'Gen_Malaysia6' -  is active
10/24/2022 00:22:05,Gen_Malaysia7,Group Joiner - 'Gen_Malaysia7' -  is active
10/24/2022 00:22:05,Gen_Malaysia8,Group Joiner - 'Gen_Malaysia8' -  is active
10/24/2022 00:22:05,Gen_Malaysia9,Group Joiner - 'Gen_Malaysia9' -  is active
10/24/2022 00:22:05,Gen_Malaysia11,Group Joiner - 'Gen_Malaysia11' -  is active
10/24/2022 00:22:05,Gen_Malaysia12,Group Joiner - 'Gen_Malaysia12' -  is active
10/24/2022 00:22:05,Gen_Malaysia13,Group Joiner - 'Gen_Malaysia13' -  is active
10/24/2022 00:22:05,Gen_Malaysia14,Group Joiner - 'Gen_Malaysia14' -  is active
