Date,Account,Status
08/05/2022 00:43:59,,Jarvee 3.3.1.1 is now active
10/27/2022 04:23:31,,Jarvee 3.3.1.1 is now active
10/27/2022 04:27:08,Jane_Malaysia 3,Group Joiner - 'Jane_Malaysia 3' -  is active
10/27/2022 04:27:09,Jane_Malaysia 3,Group Joiner - 'Jane_Malaysia 3' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/27/2022 04:27:21,Jane_Malaysia 4,Group Joiner - 'Jane_Malaysia 4' -  is active
10/27/2022 04:27:21,Jane_Malaysia 5,Group Joiner - 'Jane_Malaysia 5' -  is active
10/27/2022 04:27:21,Jane_Malaysia 7,Group Joiner - 'Jane_Malaysia 7' -  is active
10/27/2022 04:27:21,Jane_Malaysia 8,Group Joiner - 'Jane_Malaysia 8' -  is active
10/27/2022 04:27:21,Jane_Malaysia 9,Group Joiner - 'Jane_Malaysia 9' -  is active
10/27/2022 04:27:21,Jane_Malaysia 10,Group Joiner - 'Jane_Malaysia 10' -  is active
10/27/2022 04:27:21,Jane_Malaysia 11,Group Joiner - 'Jane_Malaysia 11' -  is active
10/27/2022 04:27:21,Jane_Malaysia 12,Group Joiner - 'Jane_Malaysia 12' -  is active
10/27/2022 04:27:21,Jane_Malaysia 13,Group Joiner - 'Jane_Malaysia 13' -  is active
10/27/2022 04:27:21,Jane_Malaysia 14,Group Joiner - 'Jane_Malaysia 14' -  is active
10/27/2022 04:27:21,Jane_Malaysia 15,Group Joiner - 'Jane_Malaysia 15' -  is active
10/27/2022 04:27:21,Jane_Malaysia 16,Group Joiner - 'Jane_Malaysia 16' -  is active
10/27/2022 04:27:21,Jane_Malaysia 17,Group Joiner - 'Jane_Malaysia 17' -  is active
10/27/2022 04:27:21,Jane_Malaysia 18,Group Joiner - 'Jane_Malaysia 18' -  is active
10/27/2022 04:27:21,Jane_Malaysia 19,Group Joiner - 'Jane_Malaysia 19' -  is active
10/27/2022 04:27:21,Jane_Malaysia 20,Group Joiner - 'Jane_Malaysia 20' -  is active
10/27/2022 04:27:21,Jane_Malaysia 22,Group Joiner - 'Jane_Malaysia 22' -  is active
10/27/2022 04:27:21,Jane_Malaysia 24,Group Joiner - 'Jane_Malaysia 24' -  is active
10/27/2022 04:27:21,Jane_Malaysia 25,Group Joiner - 'Jane_Malaysia 25' -  is active
10/27/2022 04:27:21,Jane_Malaysia 26,Group Joiner - 'Jane_Malaysia 26' -  is active
10/27/2022 04:27:21,Jane_Malaysia 28,Group Joiner - 'Jane_Malaysia 28' -  is active
10/27/2022 04:27:21,Jane_Malaysia 29,Group Joiner - 'Jane_Malaysia 29' -  is active
10/27/2022 04:27:21,Jane_Malaysia 30,Group Joiner - 'Jane_Malaysia 30' -  is active
