Date,Account,Status
07/27/2022 23:28:37,,Jarvee 3.3.1.1 is now active
07/28/2022 01:42:11,,1 accounts have been queued for Remove Phone Numbers
07/28/2022 01:42:13,Martin_Malaysia26,Removing phone number for the Martin_Malaysia26 account.
07/28/2022 01:42:14,,1 accounts have been queued for Remove Phone Numbers
07/28/2022 01:42:17,Martin_Malaysia27,Removing phone number for the Martin_Malaysia27 account.
07/28/2022 01:42:34,Martin_Malaysia26,Failed to remove phone numbers for the Martin_Malaysia26 account: 0 - The embedded browser got stuck during operations. URL: https://www.facebook.com/settings?tab=mobile
07/28/2022 01:42:35,Martin_Malaysia27,Failed to remove phone numbers for the Martin_Malaysia27 account: 0 - The embedded browser got stuck during operations. URL: https://www.facebook.com/settings?tab=mobile
07/28/2022 02:17:35,,1 accounts have been queued for Remove Phone Numbers
07/28/2022 02:17:37,Martin_Malaysia35,Removing phone number for the Martin_Malaysia35 account.
07/28/2022 02:17:46,Martin_Malaysia35,Failed to remove phone numbers for the Martin_Malaysia35 account: 0 - The embedded browser got stuck during operations. URL: https://www.facebook.com/settings?tab=mobile
08/12/2022 09:44:06,,Jarvee 3.3.1.1 is now active
10/15/2022 01:42:23,,Jarvee 3.3.1.1 is now active
10/15/2022 02:00:49,Martin_Malaysia18,Group Joiner - 'Martin_Malaysia18' -  is active
10/15/2022 02:00:52,Martin_Malaysia18,Group Joiner - 'Martin_Malaysia18' - Executing using 'https://www.facebook.com/groups/511640393799618'
10/15/2022 02:00:58,Martin_Malaysia1,Group Joiner - 'Martin_Malaysia1' -  is active
10/15/2022 02:00:58,Martin_Malaysia2,Group Joiner - 'Martin_Malaysia2' -  is active
10/15/2022 02:00:58,Martin_Malaysia3,Group Joiner - 'Martin_Malaysia3' -  is active
10/15/2022 02:00:58,Martin_Malaysia4,Group Joiner - 'Martin_Malaysia4' -  is active
10/15/2022 02:00:58,Martin_Malaysia5,Group Joiner - 'Martin_Malaysia5' -  is active
10/15/2022 02:00:58,Martin_Malaysia6,Group Joiner - 'Martin_Malaysia6' -  is active
10/15/2022 02:00:58,Martin_Malaysia7,Group Joiner - 'Martin_Malaysia7' -  is active
10/15/2022 02:00:58,Martin_Malaysia8,Group Joiner - 'Martin_Malaysia8' -  is active
10/15/2022 02:00:58,Martin_Malaysia9,Group Joiner - 'Martin_Malaysia9' -  is active
10/15/2022 02:00:58,Martin_Malaysia10,Group Joiner - 'Martin_Malaysia10' -  is active
10/15/2022 02:00:58,Martin_Malaysia11,Group Joiner - 'Martin_Malaysia11' -  is active
10/15/2022 02:00:58,Martin_Malaysia12,Group Joiner - 'Martin_Malaysia12' -  is active
10/15/2022 02:00:58,Martin_Malaysia13,Group Joiner - 'Martin_Malaysia13' -  is active
10/15/2022 02:00:58,Martin_Malaysia14,Group Joiner - 'Martin_Malaysia14' -  is active
10/15/2022 02:00:58,Martin_Malaysia15,Group Joiner - 'Martin_Malaysia15' -  is active
10/15/2022 02:00:58,Martin_Malaysia16,Group Joiner - 'Martin_Malaysia16' -  is active
10/15/2022 02:00:58,Martin_Malaysia17,Group Joiner - 'Martin_Malaysia17' -  is active
10/15/2022 02:00:58,Martin_Malaysia19,Group Joiner - 'Martin_Malaysia19' -  is active
10/15/2022 02:00:58,Martin_Malaysia20,Group Joiner - 'Martin_Malaysia20' -  is active
10/15/2022 02:00:58,Martin_Malaysia21,Group Joiner - 'Martin_Malaysia21' -  is active
10/15/2022 02:00:58,Martin_Malaysia22,Group Joiner - 'Martin_Malaysia22' -  is active
10/15/2022 02:00:58,Martin_Malaysia23,Group Joiner - 'Martin_Malaysia23' -  is active
10/15/2022 02:00:59,Martin_Malaysia24,Group Joiner - 'Martin_Malaysia24' -  is active
10/15/2022 02:00:59,Martin_Malaysia25,Group Joiner - 'Martin_Malaysia25' -  is active
10/15/2022 02:00:59,Martin_Malaysia26,Group Joiner - 'Martin_Malaysia26' -  is active
10/15/2022 02:00:59,Martin_Malaysia27,Group Joiner - 'Martin_Malaysia27' -  is active
10/15/2022 02:00:59,Martin_Malaysia28,Group Joiner - 'Martin_Malaysia28' -  is active
10/15/2022 02:00:59,Martin_Malaysia29,Group Joiner - 'Martin_Malaysia29' -  is active
10/15/2022 02:00:59,Martin_Malaysia30,Group Joiner - 'Martin_Malaysia30' -  is active
10/15/2022 02:00:59,Martin_Malaysia31,Group Joiner - 'Martin_Malaysia31' -  is active
10/15/2022 02:00:59,Martin_Malaysia32,Group Joiner - 'Martin_Malaysia32' -  is active
10/15/2022 02:00:59,Martin_Malaysia33,Group Joiner - 'Martin_Malaysia33' -  is active
10/15/2022 02:00:59,Martin_Malaysia34,Group Joiner - 'Martin_Malaysia34' -  is active
10/15/2022 02:00:59,Martin_Malaysia35,Group Joiner - 'Martin_Malaysia35' -  is active
10/15/2022 02:00:59,Martin_Malaysia36,Group Joiner - 'Martin_Malaysia36' -  is active
10/15/2022 02:00:59,Martin_Malaysia37,Group Joiner - 'Martin_Malaysia37' -  is active
10/15/2022 02:00:59,Martin_Malaysia38,Group Joiner - 'Martin_Malaysia38' -  is active
10/15/2022 02:00:59,Martin_Malaysia39,Group Joiner - 'Martin_Malaysia39' -  is active
10/15/2022 02:00:59,Martin_Malaysia40,Group Joiner - 'Martin_Malaysia40' -  is active
10/15/2022 02:00:59,Martin_Malaysia41,Group Joiner - 'Martin_Malaysia41' -  is active
10/15/2022 02:00:59,Martin_Malaysia42,Group Joiner - 'Martin_Malaysia42' -  is active
10/15/2022 02:00:59,Martin_Malaysia43,Group Joiner - 'Martin_Malaysia43' -  is active
10/15/2022 02:00:59,Martin_Malaysia44,Group Joiner - 'Martin_Malaysia44' -  is active
10/15/2022 02:00:59,Martin_Malaysia45,Group Joiner - 'Martin_Malaysia45' -  is active
10/15/2022 02:00:59,Martin_Malaysia46,Group Joiner - 'Martin_Malaysia46' -  is active
10/15/2022 02:00:59,Martin_Malaysia47,Group Joiner - 'Martin_Malaysia47' -  is active
10/15/2022 02:00:59,Martin_Malaysia48,Group Joiner - 'Martin_Malaysia48' -  is active
10/15/2022 02:00:59,Martin_Malaysia49,Group Joiner - 'Martin_Malaysia49' -  is active
10/15/2022 02:00:59,Martin_Malaysia50,Group Joiner - 'Martin_Malaysia50' -  is active
10/15/2022 02:00:59,Martin_Malaysia51,Group Joiner - 'Martin_Malaysia51' -  is active
