Date,Account,Status
07/22/2022 03:58:15,,Jarvee 3.3.1.1 is now active
07/22/2022 23:19:24,,Jarvee 3.3.1.1 is now active
07/24/2022 01:27:53,,Jarvee 3.3.1.1 is now active
07/24/2022 13:29:01,,Jarvee 3.3.1.1 is now active
07/25/2022 05:06:29,,Jarvee 3.3.1.1 is now active
08/01/2022 01:06:26,,Jarvee 3.3.1.1 is now active
08/01/2022 01:11:25,Moeed_Malaysia36,Change language to English - 'Moeed_Malaysia36' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:11:25,Moeed_Malaysia59,Change language to English - 'Moeed_Malaysia59' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:11:25,Moeed_Malaysia47,Change language to English - 'Moeed_Malaysia47' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:11:54,Moeed_Malaysia47,Change language to English - Error executing for the 'Moeed_Malaysia47' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:12:02,Moeed_Malaysia36,Change language to English - Error executing for the 'Moeed_Malaysia36' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:12:04,Moeed_Malaysia59,Change language to English - Error executing for the 'Moeed_Malaysia59' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:12:04,Moeed_Malaysia36,Synchronizing Pages for the 'Moeed_Malaysia36' account.
08/01/2022 01:12:04,Moeed_Malaysia59,Synchronizing Pages for the 'Moeed_Malaysia59' account.
08/01/2022 01:12:26,Moeed_Malaysia60,Change language to English - 'Moeed_Malaysia60' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:12:26,Moeed_Malaysia46,Change language to English - 'Moeed_Malaysia46' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:12:41,Moeed_Malaysia20,Change language to English - 'Moeed_Malaysia20' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:12:58,Moeed_Malaysia60,Change language to English - Error executing for the 'Moeed_Malaysia60' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:12:59,Moeed_Malaysia60,Synchronizing Pages for the 'Moeed_Malaysia60' account.
08/01/2022 01:13:08,Moeed_Malaysia46,Change language to English - Error executing for the 'Moeed_Malaysia46' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:13:18,Moeed_Malaysia59,Finalized pages synchronization for the 'Moeed_Malaysia59' account.
08/01/2022 01:13:35,Moeed_Malaysia20,Change language to English - Error executing for the 'Moeed_Malaysia20' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:13:43,Moeed_Malaysia36,Finalized pages synchronization for the 'Moeed_Malaysia36' account.
08/01/2022 01:13:45,Moeed_Malaysia36,Birthday Sync - for the 'Moeed_Malaysia36' account URL: https://www.facebook.com/me
08/01/2022 01:13:54,Moeed_Malaysia40,Change language to English - 'Moeed_Malaysia40' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:13:57,Moeed_Malaysia55,Change language to English - 'Moeed_Malaysia55' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:14:13,Moeed_Malaysia60,Finalized pages synchronization for the 'Moeed_Malaysia60' account.
08/01/2022 01:14:15,Moeed_Malaysia60,Synchronizing Groups for the 'Moeed_Malaysia60' account.
08/01/2022 01:14:28,Moeed_Malaysia10,Change language to English - 'Moeed_Malaysia10' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:14:50,Moeed_Malaysia36,Birthday Sync - Error executing for the 'Moeed_Malaysia36' account. : code  44  - About tag not found URL: https://www.facebook.com/me
08/01/2022 01:14:51,Moeed_Malaysia55,Change language to English - Error executing for the 'Moeed_Malaysia55' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:14:53,Moeed_Malaysia36,Checking restrictions for the 'Moeed_Malaysia36' account
08/01/2022 01:15:30,Moeed_Malaysia36,Checking restrictions for the 'Moeed_Malaysia36' account done.
08/01/2022 01:15:32,Moeed_Malaysia36,Synchronizing Number of Followers for the 'Moeed_Malaysia36' account
08/01/2022 01:15:46,Moeed_Malaysia10,Change language to English - Moeed_Malaysia10 - Finished operation
08/01/2022 01:15:47,Moeed_Malaysia10,Birthday Sync - for the 'Moeed_Malaysia10' account URL: https://www.facebook.com/me
08/01/2022 01:16:12,Moeed_Malaysia4,Change language to English - 'Moeed_Malaysia4' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:16:23,Moeed_Malaysia36,Finalized Number of Followers synchronization for the 'Moeed_Malaysia36' account.
08/01/2022 01:16:25,Moeed_Malaysia36,Synchronizing Groups for the 'Moeed_Malaysia36' account.
08/01/2022 01:16:44,Moeed_Malaysia4,Change language to English - Error executing for the 'Moeed_Malaysia4' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:16:46,Moeed_Malaysia4,Synchronizing Pages for the 'Moeed_Malaysia4' account.
08/01/2022 01:16:53,Moeed_Malaysia40,Change language to English - Error executing for the 'Moeed_Malaysia40' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:16:53,Moeed_Malaysia61,Change language to English - 'Moeed_Malaysia61' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:16:56,Moeed_Malaysia40,Birthday Sync - for the 'Moeed_Malaysia40' account URL: https://www.facebook.com/me
08/01/2022 01:17:39,Moeed_Malaysia61,Change language to English - Error executing for the 'Moeed_Malaysia61' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:17:42,Moeed_Malaysia61,Birthday Sync - for the 'Moeed_Malaysia61' account URL: https://www.facebook.com/me
08/01/2022 01:18:01,Moeed_Malaysia4,Finalized pages synchronization for the 'Moeed_Malaysia4' account.
08/01/2022 01:18:03,Moeed_Malaysia4,Birthday Sync - for the 'Moeed_Malaysia4' account URL: https://www.facebook.com/me
08/01/2022 01:18:33,Moeed_Malaysia61,Birthday Sync - Error executing for the 'Moeed_Malaysia61' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
08/01/2022 01:18:34,Moeed_Malaysia61,Checking restrictions for the 'Moeed_Malaysia61' account
08/01/2022 01:18:55,Moeed_Malaysia4,Checking restrictions for the 'Moeed_Malaysia4' account done. URL: https://www.facebook.com/me
08/01/2022 01:18:56,Moeed_Malaysia4,Checking restrictions for the 'Moeed_Malaysia4' account
08/01/2022 01:19:02,Moeed_Malaysia61,Checking restrictions for the 'Moeed_Malaysia61' account done.
08/01/2022 01:19:02,Moeed_Malaysia61,Synchronizing Number of Followers for the 'Moeed_Malaysia61' account
08/01/2022 01:19:11,Moeed_Malaysia67,Change language to English - 'Moeed_Malaysia67' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:19:20,Moeed_Malaysia10,Birthday Sync - Error executing for the 'Moeed_Malaysia10' account. : code  168  - Timeout occured. URL: https://www.facebook.com/me
08/01/2022 01:19:21,Moeed_Malaysia4,Checking restrictions for the 'Moeed_Malaysia4' account done.
08/01/2022 01:19:21,Moeed_Malaysia10,Checking restrictions for the 'Moeed_Malaysia10' account
08/01/2022 01:19:21,Moeed_Malaysia4,Synchronizing Number of Followers for the 'Moeed_Malaysia4' account
08/01/2022 01:19:34,Moeed_Malaysia61,Finalized Number of Followers synchronization for the 'Moeed_Malaysia61' account.
08/01/2022 01:19:46,Moeed_Malaysia10,Checking restrictions for the 'Moeed_Malaysia10' account done.
08/01/2022 01:19:48,Moeed_Malaysia10,Synchronizing Number of Followers for the 'Moeed_Malaysia10' account
08/01/2022 01:19:52,Moeed_Malaysia67,Change language to English - Error executing for the 'Moeed_Malaysia67' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:19:54,Moeed_Malaysia4,Finalized Number of Followers synchronization for the 'Moeed_Malaysia4' account.
08/01/2022 01:19:55,Moeed_Malaysia4,Synchronizing Groups for the 'Moeed_Malaysia4' account.
08/01/2022 01:19:56,Moeed_Malaysia40,Birthday Sync - Error executing for the 'Moeed_Malaysia40' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/me
08/01/2022 01:19:58,Moeed_Malaysia40,Checking restrictions for the 'Moeed_Malaysia40' account
08/01/2022 01:20:19,Moeed_Malaysia3,Change language to English - 'Moeed_Malaysia3' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:20:21,Moeed_Malaysia10,Finalized Number of Followers synchronization for the 'Moeed_Malaysia10' account.
08/01/2022 01:20:22,Moeed_Malaysia10,Synchronizing Pages for the 'Moeed_Malaysia10' account.
08/01/2022 01:20:44,Moeed_Malaysia57,Change language to English - 'Moeed_Malaysia57' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/01/2022 01:20:47,Moeed_Malaysia3,Change language to English - Error executing for the 'Moeed_Malaysia3' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:20:50,Moeed_Malaysia3,Synchronizing Pages for the 'Moeed_Malaysia3' account.
08/01/2022 01:21:38,Moeed_Malaysia57,Change language to English - Error executing for the 'Moeed_Malaysia57' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/01/2022 01:21:42,Moeed_Malaysia10,Finalized pages synchronization for the 'Moeed_Malaysia10' account.
