Date,Account,Status
08/19/2022 04:40:45,,Jarvee 3.3.1.1 is now active
10/29/2022 08:42:43,,Jarvee 3.3.1.1 is now active
10/29/2022 08:48:40,Oliver_Malaysia_1471,Group Joiner - 'Oliver_Malaysia_1471' -  is active
10/29/2022 08:48:41,Oliver_Malaysia_1471,Group Joiner - 'Oliver_Malaysia_1471' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/29/2022 08:48:49,Oliver_Malaysia_1472,Group Joiner - 'Oliver_Malaysia_1472' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1473,Group Joiner - 'Oliver_Malaysia_1473' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1474,Group Joiner - 'Oliver_Malaysia_1474' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1475,Group Joiner - 'Oliver_Malaysia_1475' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1476,Group Joiner - 'Oliver_Malaysia_1476' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1477,Group Joiner - 'Oliver_Malaysia_1477' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1478,Group Joiner - 'Oliver_Malaysia_1478' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1479,Group Joiner - 'Oliver_Malaysia_1479' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1480,Group Joiner - 'Oliver_Malaysia_1480' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1481,Group Joiner - 'Oliver_Malaysia_1481' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1482,Group Joiner - 'Oliver_Malaysia_1482' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1483,Group Joiner - 'Oliver_Malaysia_1483' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1484,Group Joiner - 'Oliver_Malaysia_1484' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1485,Group Joiner - 'Oliver_Malaysia_1485' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1486,Group Joiner - 'Oliver_Malaysia_1486' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1487,Group Joiner - 'Oliver_Malaysia_1487' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1488,Group Joiner - 'Oliver_Malaysia_1488' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1489,Group Joiner - 'Oliver_Malaysia_1489' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1490,Group Joiner - 'Oliver_Malaysia_1490' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1491,Group Joiner - 'Oliver_Malaysia_1491' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1492,Group Joiner - 'Oliver_Malaysia_1492' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1493,Group Joiner - 'Oliver_Malaysia_1493' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1494,Group Joiner - 'Oliver_Malaysia_1494' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1495,Group Joiner - 'Oliver_Malaysia_1495' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1496,Group Joiner - 'Oliver_Malaysia_1496' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1497,Group Joiner - 'Oliver_Malaysia_1497' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1498,Group Joiner - 'Oliver_Malaysia_1498' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1499,Group Joiner - 'Oliver_Malaysia_1499' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1500,Group Joiner - 'Oliver_Malaysia_1500' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1501,Group Joiner - 'Oliver_Malaysia_1501' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1502,Group Joiner - 'Oliver_Malaysia_1502' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1503,Group Joiner - 'Oliver_Malaysia_1503' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1504,Group Joiner - 'Oliver_Malaysia_1504' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1505,Group Joiner - 'Oliver_Malaysia_1505' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1506,Group Joiner - 'Oliver_Malaysia_1506' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1507,Group Joiner - 'Oliver_Malaysia_1507' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1508,Group Joiner - 'Oliver_Malaysia_1508' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1509,Group Joiner - 'Oliver_Malaysia_1509' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1510,Group Joiner - 'Oliver_Malaysia_1510' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1511,Group Joiner - 'Oliver_Malaysia_1511' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1512,Group Joiner - 'Oliver_Malaysia_1512' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1513,Group Joiner - 'Oliver_Malaysia_1513' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1514,Group Joiner - 'Oliver_Malaysia_1514' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1515,Group Joiner - 'Oliver_Malaysia_1515' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1516,Group Joiner - 'Oliver_Malaysia_1516' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1517,Group Joiner - 'Oliver_Malaysia_1517' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1518,Group Joiner - 'Oliver_Malaysia_1518' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1519,Group Joiner - 'Oliver_Malaysia_1519' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1520,Group Joiner - 'Oliver_Malaysia_1520' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1521,Group Joiner - 'Oliver_Malaysia_1521' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1522,Group Joiner - 'Oliver_Malaysia_1522' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1523,Group Joiner - 'Oliver_Malaysia_1523' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1524,Group Joiner - 'Oliver_Malaysia_1524' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1525,Group Joiner - 'Oliver_Malaysia_1525' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1526,Group Joiner - 'Oliver_Malaysia_1526' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1527,Group Joiner - 'Oliver_Malaysia_1527' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1528,Group Joiner - 'Oliver_Malaysia_1528' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1529,Group Joiner - 'Oliver_Malaysia_1529' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1530,Group Joiner - 'Oliver_Malaysia_1530' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1531,Group Joiner - 'Oliver_Malaysia_1531' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1532,Group Joiner - 'Oliver_Malaysia_1532' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1533,Group Joiner - 'Oliver_Malaysia_1533' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1534,Group Joiner - 'Oliver_Malaysia_1534' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1535,Group Joiner - 'Oliver_Malaysia_1535' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1536,Group Joiner - 'Oliver_Malaysia_1536' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1537,Group Joiner - 'Oliver_Malaysia_1537' -  is active
10/29/2022 08:48:49,Oliver_Malaysia_1538,Group Joiner - 'Oliver_Malaysia_1538' -  is active
