Date,Account,Status
09/16/2022 07:28:45,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 07:29:20,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 07:30:06,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 07:39:40,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 07:41:02,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 07:44:28,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 07:45:51,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 07:47:35,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 07:47:48,Moeed_Malaysia37,Group Joiner - 'Moeed_Malaysia37' - Executing using 'https://www.facebook.com/groups/423535828072931'
09/16/2022 07:48:56,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 07:49:07,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 07:58:12,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 07:59:34,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 08:03:27,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 08:04:49,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 08:07:08,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 08:07:08,Moeed_Malaysia37,Group Joiner - 'Moeed_Malaysia37' - Executing using 'https://www.facebook.com/groups/423535828072931'
09/16/2022 08:08:28,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 08:08:29,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 08:17:44,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 08:19:09,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 08:22:45,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 08:24:07,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 08:25:10,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 08:26:28,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 08:27:02,Moeed_Malaysia37,Group Joiner - 'Moeed_Malaysia37' - Executing using 'https://www.facebook.com/groups/423535828072931'
09/16/2022 08:28:27,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 08:36:11,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 08:37:34,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 08:42:35,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 08:43:21,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 08:43:56,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 08:44:45,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 08:45:16,Moeed_Malaysia37,Group Joiner - 'Moeed_Malaysia37' - Executing using 'https://www.facebook.com/groups/423535828072931'
09/16/2022 08:46:35,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 08:54:30,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 08:55:54,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 09:00:41,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 09:02:02,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 09:02:04,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 09:03:25,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 09:04:01,Moeed_Malaysia37,Group Joiner - 'Moeed_Malaysia37' - Executing using 'https://www.facebook.com/groups/423535828072931'
09/16/2022 09:05:20,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 09:13:39,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 09:15:03,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 09:19:43,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 09:20:26,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 09:21:06,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 09:21:47,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 09:24:07,Moeed_Malaysia37,Group Joiner - 'Moeed_Malaysia37' - Executing using 'https://www.facebook.com/groups/423535828072931'
09/16/2022 09:25:27,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 09:32:18,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 09:33:48,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 09:38:31,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 09:39:40,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 09:39:53,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 09:41:02,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 09:42:45,Moeed_Malaysia37,Group Joiner - 'Moeed_Malaysia37' - Executing using 'https://www.facebook.com/groups/423535828072931'
09/16/2022 09:44:05,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 09:50:38,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 09:52:02,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 09:58:28,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 09:58:46,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 09:59:49,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 10:00:07,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 10:01:42,Moeed_Malaysia37,Group Joiner - 'Moeed_Malaysia37' - Executing using 'https://www.facebook.com/groups/423535828072931'
09/16/2022 10:03:02,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 10:10:20,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 10:11:43,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 10:16:57,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 10:18:17,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 10:18:28,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 10:19:50,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 10:20:47,Moeed_Malaysia37,Group Joiner - 'Moeed_Malaysia37' - Executing using 'https://www.facebook.com/groups/423535828072931'
09/16/2022 10:22:07,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 10:28:49,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 10:30:13,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 10:36:48,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 10:37:36,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 10:38:08,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
09/16/2022 10:38:57,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 10:40:11,Moeed_Malaysia37,Group Joiner - 'Moeed_Malaysia37' - Executing using 'https://www.facebook.com/groups/423535828072931'
09/16/2022 10:41:30,Moeed_Malaysia37,Group Joiner - Error executing for the 'Moeed_Malaysia37' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/423535828072931
09/16/2022 10:47:21,Moeed_Malaysia35,Group Joiner - 'Moeed_Malaysia35' - Executing using 'https://www.facebook.com/groups/praiselean'
09/16/2022 10:48:54,Moeed_Malaysia35,Group Joiner - Error executing for the 'Moeed_Malaysia35' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/praiselean
09/16/2022 10:55:47,Moeed_Malaysia2,Group Joiner - 'Moeed_Malaysia2' - Executing using 'https://www.facebook.com/groups/1416880525192815'
09/16/2022 10:56:53,Moeed_Malaysia62,Group Joiner - 'Moeed_Malaysia62' - Executing using 'https://www.facebook.com/groups/1498716187026637'
09/16/2022 10:57:08,Moeed_Malaysia2,Group Joiner - Error executing for the 'Moeed_Malaysia2' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1416880525192815
09/16/2022 10:58:19,Moeed_Malaysia62,Group Joiner - Error executing for the 'Moeed_Malaysia62' account. : code  34  - no change on group page URL: https://www.facebook.com/groups/1498716187026637
