Date,Account,Status
08/22/2022 06:48:51,,Jarvee 3.3.1.1 is now active
08/22/2022 08:27:49,,Jarvee 3.3.1.1 is now active
08/22/2022 08:57:54,,Jarvee 3.3.1.1 is now active
08/23/2022 09:32:33,,Jarvee 3.3.1.1 is now active
08/23/2022 09:37:32,Noah_Malaysia_3194,Change language to English - 'Noah_Malaysia_3194' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/23/2022 09:38:11,Noah_Malaysia_3194,Change language to English - Error executing for the 'Noah_Malaysia_3194' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/23/2022 09:38:12,Noah_Malaysia_3194,Birthday Sync - for the 'Noah_Malaysia_3194' account URL: https://www.facebook.com/me
08/23/2022 09:39:19,Noah_Malaysia_3194,Checking restrictions for the 'Noah_Malaysia_3194' account done. URL: https://www.facebook.com/me
08/23/2022 09:39:20,Noah_Malaysia_3194,Checking restrictions for the 'Noah_Malaysia_3194' account
08/23/2022 09:39:45,Noah_Malaysia_3194,Checking restrictions for the 'Noah_Malaysia_3194' account done.
08/23/2022 09:39:48,Noah_Malaysia_3194,Synchronizing Number of Followers for the 'Noah_Malaysia_3194' account
08/23/2022 09:40:23,Noah_Malaysia_3194,Finalized Number of Followers synchronization for the 'Noah_Malaysia_3194' account.
08/23/2022 09:40:24,Noah_Malaysia_3194,Synchronizing Groups for the 'Noah_Malaysia_3194' account.
08/23/2022 09:44:06,Noah_Malaysia_3178,Change language to English - 'Noah_Malaysia_3178' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/23/2022 09:44:34,Noah_Malaysia_3178,Change language to English - Error executing for the 'Noah_Malaysia_3178' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/23/2022 09:44:36,Noah_Malaysia_3178,Synchronizing Pages for the 'Noah_Malaysia_3178' account.
08/23/2022 09:46:44,Noah_Malaysia_3178,Finalized pages synchronization for the 'Noah_Malaysia_3178' account.
08/23/2022 09:47:17,Noah_Malaysia_3198,Change language to English - 'Noah_Malaysia_3198' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/23/2022 09:47:39,Noah_Malaysia_3198,Change language to English - Error executing for the 'Noah_Malaysia_3198' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/23/2022 09:48:12,Noah_Malaysia_3200,Change language to English - 'Noah_Malaysia_3200' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/23/2022 09:48:35,Noah_Malaysia_3200,Change language to English - Error executing for the 'Noah_Malaysia_3200' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/23/2022 09:48:36,Noah_Malaysia_3200,Synchronizing Pages for the 'Noah_Malaysia_3200' account.
08/23/2022 09:49:37,Noah_Malaysia_3200,Finalized pages synchronization for the 'Noah_Malaysia_3200' account.
08/23/2022 09:49:40,Noah_Malaysia_3200,Synchronizing Groups for the 'Noah_Malaysia_3200' account.
10/20/2022 09:51:56,,Jarvee 3.3.1.1 is now active
10/20/2022 23:44:09,Noah_Malaysia_3192,Synchronizing Groups for the 'Noah_Malaysia_3192' account.
10/20/2022 23:45:32,Noah_Malaysia_3192,Finalized group synchronization for the 'Noah_Malaysia_3192' account.
10/20/2022 23:45:34,Noah_Malaysia_3183,Checking restrictions for the 'Noah_Malaysia_3183' account
10/20/2022 23:45:34,Noah_Malaysia_3192,Birthday Sync - for the 'Noah_Malaysia_3192' account URL: https://www.facebook.com/me
10/20/2022 23:46:15,Noah_Malaysia_3183,Checking restrictions for the 'Noah_Malaysia_3183' account done.
10/20/2022 23:46:17,Noah_Malaysia_3183,Synchronizing Groups for the 'Noah_Malaysia_3183' account.
10/20/2022 23:46:24,Noah_Malaysia_3192,Checking restrictions for the 'Noah_Malaysia_3192' account done. URL: https://www.facebook.com/me
10/20/2022 23:46:26,Noah_Malaysia_3192,Checking restrictions for the 'Noah_Malaysia_3192' account
10/20/2022 23:47:02,Noah_Malaysia_3192,Checking restrictions for the 'Noah_Malaysia_3192' account done.
10/20/2022 23:48:43,Noah_Malaysia_3183,Finalized group synchronization for the 'Noah_Malaysia_3183' account.
10/20/2022 23:48:45,Noah_Malaysia_3183,Birthday Sync - for the 'Noah_Malaysia_3183' account URL: https://www.facebook.com/me
10/20/2022 23:48:45,Noah_Malaysia_3214,Checking restrictions for the 'Noah_Malaysia_3214' account
10/20/2022 23:49:25,Noah_Malaysia_3214,Checking restrictions for the 'Noah_Malaysia_3214' account done.
10/20/2022 23:49:28,Noah_Malaysia_3214,Synchronizing Groups for the 'Noah_Malaysia_3214' account.
10/20/2022 23:49:33,Noah_Malaysia_3183,Birthday Sync - Error executing for the 'Noah_Malaysia_3183' account. : code  44  - About tag not found URL: https://www.facebook.com/me
10/20/2022 23:50:38,Noah_Malaysia_3214,Finalized group synchronization for the 'Noah_Malaysia_3214' account.
10/20/2022 23:50:40,Noah_Malaysia_3214,Birthday Sync - for the 'Noah_Malaysia_3214' account URL: https://www.facebook.com/me
10/20/2022 23:50:40,Noah_Malaysia_3197,Checking restrictions for the 'Noah_Malaysia_3197' account
10/20/2022 23:51:23,Noah_Malaysia_3197,Checking restrictions for the 'Noah_Malaysia_3197' account done.
10/20/2022 23:51:26,Noah_Malaysia_3214,Birthday Sync - Error executing for the 'Noah_Malaysia_3214' account. : code  44  - About tag not found URL: https://www.facebook.com/me
10/20/2022 23:51:26,Noah_Malaysia_3197,Synchronizing Groups for the 'Noah_Malaysia_3197' account.
10/20/2022 23:53:45,Noah_Malaysia_3197,Finalized group synchronization for the 'Noah_Malaysia_3197' account.
10/20/2022 23:53:48,Noah_Malaysia_3208,Checking restrictions for the 'Noah_Malaysia_3208' account
10/20/2022 23:53:48,Noah_Malaysia_3197,Birthday Sync - for the 'Noah_Malaysia_3197' account URL: https://www.facebook.com/me
