Date,Account,Status
08/11/2022 08:24:04,Moeed_Malaysia51,Account Actions - 'Moeed_Malaysia51' - Executing
08/11/2022 08:24:04,Moeed_Malaysia46,Sharing a post for the '菲律宾分享' campaign and 'Moeed_Malaysia46' account.
08/11/2022 08:24:37,Moeed_Malaysia49,Sharing a post for the '菲律宾分享' campaign and 'Moeed_Malaysia49' account.
08/11/2022 08:24:44,Moeed_Malaysia57,Finalized a share for the '菲律宾分享' campaign and 'Moeed_Malaysia57' account.
08/11/2022 08:24:48,Moeed_Malaysia22,Finalized a share for the '菲律宾分享' campaign and 'Moeed_Malaysia22' account.
08/11/2022 08:24:56,Moeed_Malaysia28,Sharing a post for the '菲律宾分享' campaign and 'Moeed_Malaysia28' account.
08/11/2022 08:25:22,Moeed_Malaysia56,Sharing a post for the '菲律宾分享' campaign and 'Moeed_Malaysia56' account.
08/11/2022 08:25:29,Moeed_Malaysia4,Finalized a share for the '菲律宾分享' campaign and 'Moeed_Malaysia4' account.
08/11/2022 08:25:38,Moeed_Malaysia45,Sharing a post for the '菲律宾分享' campaign and 'Moeed_Malaysia45' account.
08/11/2022 08:25:59,Moeed_Malaysia22,Sharing a post for the '菲律宾分享' campaign and 'Moeed_Malaysia22' account.
08/11/2022 08:26:01,Moeed_Malaysia28,Finalized a share for the '菲律宾分享' campaign and 'Moeed_Malaysia28' account.
08/11/2022 08:26:01,Moeed_Malaysia28,Error publishing a Post for '菲律宾分享':  code 163  - Share on group menu item not found URL: https://www.facebook.com/gamerspheonix/videos/585003573124185
08/11/2022 08:26:02,Moeed_Malaysia51,Account Actions - Moeed_Malaysia51 - Finished operation
08/11/2022 08:26:03,Moeed_Malaysia51,Sharing a post for the '菲律宾分享' campaign and 'Moeed_Malaysia51' account.
08/11/2022 08:26:37,Moeed_Malaysia56,Finalized a share for the '菲律宾分享' campaign and 'Moeed_Malaysia56' account.
08/11/2022 08:26:37,Moeed_Malaysia56,Error publishing a Post for '菲律宾分享':  code 163  - Share on group menu item not found URL: https://www.facebook.com/gamerspheonix/videos/585003573124185
08/11/2022 08:26:46,Moeed_Malaysia4,Sharing a post for the '菲律宾分享' campaign and 'Moeed_Malaysia4' account.
08/11/2022 08:27:01,Moeed_Malaysia28,Sharing a post for the '菲律宾分享' campaign and 'Moeed_Malaysia28' account.
08/11/2022 08:27:26,Moeed_Malaysia45,Finalized a share for the '菲律宾分享' campaign and 'Moeed_Malaysia45' account.
08/11/2022 08:27:26,Moeed_Malaysia56,Sharing a post for the '菲律宾分享' campaign and 'Moeed_Malaysia56' account.
08/11/2022 08:27:42,Moeed_Malaysia22,Finalized a share for the '菲律宾分享' campaign and 'Moeed_Malaysia22' account.
