Date,Account,Status
07/28/2022 04:06:40,,Jarvee 3.3.1.1 is now active
07/28/2022 04:15:24,Gen_Malaysia70,Change language to English - 'Gen_Malaysia70' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/28/2022 04:15:24,Gen_Malaysia16,Change language to English - 'Gen_Malaysia16' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/28/2022 04:15:24,Gen_Malaysia59,Change language to English - 'Gen_Malaysia59' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/28/2022 04:15:24,Gen_Malaysia43,Change language to English - 'Gen_Malaysia43' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/28/2022 04:15:48,Gen_Malaysia16,Change language to English - Error executing for the 'Gen_Malaysia16' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/28/2022 04:15:48,Gen_Malaysia43,Change language to English - Error executing for the 'Gen_Malaysia43' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/28/2022 04:15:49,Gen_Malaysia70,Change language to English - Error executing for the 'Gen_Malaysia70' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/28/2022 04:15:49,Gen_Malaysia59,Change language to English - Error executing for the 'Gen_Malaysia59' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/28/2022 04:15:49,Gen_Malaysia16,Birthday Sync - for the 'Gen_Malaysia16' account URL: https://www.facebook.com/me
07/28/2022 04:15:49,Gen_Malaysia43,Birthday Sync - for the 'Gen_Malaysia43' account URL: https://www.facebook.com/me
07/28/2022 04:16:22,Gen_Malaysia61,Change language to English - 'Gen_Malaysia61' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/28/2022 04:16:22,Gen_Malaysia31,Change language to English - 'Gen_Malaysia31' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/28/2022 04:16:27,Gen_Malaysia43,Birthday Sync - Error executing for the 'Gen_Malaysia43' account. : code  44  - About tag not found URL: https://www.facebook.com/me
07/28/2022 04:16:28,Gen_Malaysia9,Change language to English - 'Gen_Malaysia9' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/28/2022 04:16:30,Gen_Malaysia16,Checking restrictions for the 'Gen_Malaysia16' account done. URL: https://www.facebook.com/me
07/28/2022 04:16:31,Gen_Malaysia16,Checking restrictions for the 'Gen_Malaysia16' account
07/28/2022 04:16:45,Gen_Malaysia61,Change language to English - Error executing for the 'Gen_Malaysia61' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/28/2022 04:16:46,Gen_Malaysia31,Change language to English - Error executing for the 'Gen_Malaysia31' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
