Date,Account,Status
08/08/2022 01:53:55,,Jarvee 3.3.1.1 is now active
08/14/2022 23:10:46,,Jarvee 3.3.1.1 is now active
08/14/2022 23:16:02,,Jarvee 3.3.1.1 is now active
08/14/2022 23:44:51,,Jarvee 3.3.1.1 is now active
08/15/2022 01:52:53,,Jarvee 3.3.1.1 is now active
08/16/2022 01:50:36,,Jarvee 3.3.1.1 is now active
10/17/2022 05:23:42,,Jarvee 3.3.1.1 is now active
11/11/2022 03:42:47,,Jarvee 3.3.1.1 is now active
11/11/2022 03:52:34,ML-R2-19,Group Joiner - 'ML-R2-19' -  is active
11/11/2022 03:52:36,ML-R2-19,Group Joiner - 'ML-R2-19' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:52:42,ML-R2-1,Group Joiner - 'ML-R2-1' -  is active
11/11/2022 03:52:42,ML-R2-2,Group Joiner - 'ML-R2-2' -  is active
11/11/2022 03:52:42,ML-R2-3,Group Joiner - 'ML-R2-3' -  is active
11/11/2022 03:52:42,ML-R2-4,Group Joiner - 'ML-R2-4' -  is active
11/11/2022 03:52:42,ML-R2-5,Group Joiner - 'ML-R2-5' -  is active
11/11/2022 03:52:42,ML-R2-6,Group Joiner - 'ML-R2-6' -  is active
11/11/2022 03:52:42,ML-R2-7,Group Joiner - 'ML-R2-7' -  is active
11/11/2022 03:52:42,ML-R2-8,Group Joiner - 'ML-R2-8' -  is active
11/11/2022 03:52:42,ML-R2-9,Group Joiner - 'ML-R2-9' -  is active
11/11/2022 03:52:42,ML-R2-10,Group Joiner - 'ML-R2-10' -  is active
11/11/2022 03:52:42,ML-R2-11,Group Joiner - 'ML-R2-11' -  is active
11/11/2022 03:52:42,ML-R2-12,Group Joiner - 'ML-R2-12' -  is active
11/11/2022 03:52:42,ML-R2-13,Group Joiner - 'ML-R2-13' -  is active
11/11/2022 03:52:42,ML-R2-14,Group Joiner - 'ML-R2-14' -  is active
11/11/2022 03:52:42,ML-R2-15,Group Joiner - 'ML-R2-15' -  is active
11/11/2022 03:52:42,ML-R2-17,Group Joiner - 'ML-R2-17' -  is active
11/11/2022 03:52:42,ML-R2-18,Group Joiner - 'ML-R2-18' -  is active
11/11/2022 03:52:42,ML-R2-20,Group Joiner - 'ML-R2-20' -  is active
11/11/2022 03:52:42,ML-R2-21,Group Joiner - 'ML-R2-21' -  is active
11/11/2022 03:52:42,ML-R2-23,Group Joiner - 'ML-R2-23' -  is active
11/11/2022 03:52:42,ML-R2-24,Group Joiner - 'ML-R2-24' -  is active
11/11/2022 03:52:42,ML-R2-26,Group Joiner - 'ML-R2-26' -  is active
11/11/2022 03:52:42,ML-R2-27,Group Joiner - 'ML-R2-27' -  is active
11/11/2022 03:52:42,ML-R2-28,Group Joiner - 'ML-R2-28' -  is active
11/11/2022 03:52:42,ML-R2-29,Group Joiner - 'ML-R2-29' -  is active
11/11/2022 03:52:42,ML-R2-30,Group Joiner - 'ML-R2-30' -  is active
11/11/2022 03:52:42,ML-R2-31,Group Joiner - 'ML-R2-31' -  is active
11/11/2022 03:52:42,ML-R2-32,Group Joiner - 'ML-R2-32' -  is active
11/11/2022 03:52:42,ML-R2-33,Group Joiner - 'ML-R2-33' -  is active
11/11/2022 03:52:42,ML-R2-34,Group Joiner - 'ML-R2-34' -  is active
11/11/2022 03:52:42,ML-R2-35,Group Joiner - 'ML-R2-35' -  is active
11/11/2022 03:52:42,ML-R2-36,Group Joiner - 'ML-R2-36' -  is active
11/11/2022 03:52:42,ML-R2-37,Group Joiner - 'ML-R2-37' -  is active
11/11/2022 03:52:42,ML-R2-40,Group Joiner - 'ML-R2-40' -  is active
11/11/2022 03:52:42,ML-R2-41,Group Joiner - 'ML-R2-41' -  is active
11/11/2022 03:52:42,ML-R2-42,Group Joiner - 'ML-R2-42' -  is active
11/11/2022 03:52:42,ML-R2-43,Group Joiner - 'ML-R2-43' -  is active
11/11/2022 03:52:42,ML-R2-44,Group Joiner - 'ML-R2-44' -  is active
11/11/2022 03:52:42,ML-R2-45,Group Joiner - 'ML-R2-45' -  is active
11/11/2022 03:52:42,ML-R2-46,Group Joiner - 'ML-R2-46' -  is active
11/11/2022 03:52:42,ML-R2-47,Group Joiner - 'ML-R2-47' -  is active
11/11/2022 03:52:42,ML-R2-48,Group Joiner - 'ML-R2-48' -  is active
11/11/2022 03:52:42,ML-R2-49,Group Joiner - 'ML-R2-49' -  is active
11/11/2022 03:52:42,ML-R2-50,Group Joiner - 'ML-R2-50' -  is active
11/11/2022 03:52:42,ML-R2-51,Group Joiner - 'ML-R2-51' -  is active
11/11/2022 03:52:42,ML-R2-53,Group Joiner - 'ML-R2-53' -  is active
11/11/2022 03:52:42,ML-R2-55,Group Joiner - 'ML-R2-55' -  is active
11/11/2022 03:52:42,ML-R2-56,Group Joiner - 'ML-R2-56' -  is active
11/11/2022 03:52:42,ML-R2-57,Group Joiner - 'ML-R2-57' -  is active
11/11/2022 03:52:42,ML-R2-58,Group Joiner - 'ML-R2-58' -  is active
11/11/2022 03:52:42,ML-R2-62,Group Joiner - 'ML-R2-62' -  is active
11/11/2022 03:52:42,ML-R2-64,Group Joiner - 'ML-R2-64' -  is active
11/11/2022 03:52:42,ML-R2-65,Group Joiner - 'ML-R2-65' -  is active
11/11/2022 03:52:42,ML-R2-66,Group Joiner - 'ML-R2-66' -  is active
11/11/2022 03:52:42,ML-R2-68,Group Joiner - 'ML-R2-68' -  is active
11/11/2022 03:52:42,ML-R2-69,Group Joiner - 'ML-R2-69' -  is active
11/11/2022 03:52:42,ML-R2-71,Group Joiner - 'ML-R2-71' -  is active
11/11/2022 03:52:42,ML-R2-72,Group Joiner - 'ML-R2-72' -  is active
11/11/2022 03:52:42,ML-R2-73,Group Joiner - 'ML-R2-73' -  is active
11/11/2022 03:52:42,ML-R2-74,Group Joiner - 'ML-R2-74' -  is active
11/11/2022 03:52:42,ML-R2-75,Group Joiner - 'ML-R2-75' -  is active
11/11/2022 03:52:42,ML-R2-76,Group Joiner - 'ML-R2-76' -  is active
11/11/2022 03:52:42,ML-R2-77,Group Joiner - 'ML-R2-77' -  is active
11/11/2022 03:52:42,ML-R2-78,Group Joiner - 'ML-R2-78' -  is active
11/11/2022 03:52:42,ML-R2-79,Group Joiner - 'ML-R2-79' -  is active
11/11/2022 03:52:43,ML-R2-80,Group Joiner - 'ML-R2-80' -  is active
11/11/2022 03:52:43,ML-R2-81,Group Joiner - 'ML-R2-81' -  is active
11/11/2022 03:52:43,ML-R2-82,Group Joiner - 'ML-R2-82' -  is active
11/11/2022 03:52:43,ML-R2-83,Group Joiner - 'ML-R2-83' -  is active
11/11/2022 03:52:45,ML-R2-48,Group Joiner - 'ML-R2-48' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:52:45,ML-R2-13,Group Joiner - 'ML-R2-13' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:52:45,ML-R2-17,Group Joiner - 'ML-R2-17' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:52:45,ML-R2-41,Group Joiner - 'ML-R2-41' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:52:45,ML-R2-10,Group Joiner - 'ML-R2-10' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:52:45,ML-R2-26,Group Joiner - 'ML-R2-26' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:52:45,ML-R2-23,Group Joiner - 'ML-R2-23' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:53:23,ML-R2-19,Comment&Like - 'ML-R2-19' is active
11/11/2022 03:53:30,ML-R2-1,Comment&Like - 'ML-R2-1' is active
11/11/2022 03:53:30,ML-R2-2,Comment&Like - 'ML-R2-2' is active
11/11/2022 03:53:30,ML-R2-3,Comment&Like - 'ML-R2-3' is active
11/11/2022 03:53:30,ML-R2-4,Comment&Like - 'ML-R2-4' is active
11/11/2022 03:53:30,ML-R2-5,Comment&Like - 'ML-R2-5' is active
11/11/2022 03:53:30,ML-R2-6,Comment&Like - 'ML-R2-6' is active
11/11/2022 03:53:30,ML-R2-7,Comment&Like - 'ML-R2-7' is active
11/11/2022 03:53:30,ML-R2-8,Comment&Like - 'ML-R2-8' is active
11/11/2022 03:53:30,ML-R2-9,Comment&Like - 'ML-R2-9' is active
11/11/2022 03:53:30,ML-R2-10,Comment&Like - 'ML-R2-10' is active
11/11/2022 03:53:30,ML-R2-11,Comment&Like - 'ML-R2-11' is active
11/11/2022 03:53:30,ML-R2-12,Comment&Like - 'ML-R2-12' is active
11/11/2022 03:53:30,ML-R2-13,Comment&Like - 'ML-R2-13' is active
11/11/2022 03:53:30,ML-R2-14,Comment&Like - 'ML-R2-14' is active
11/11/2022 03:53:30,ML-R2-15,Comment&Like - 'ML-R2-15' is active
11/11/2022 03:53:30,ML-R2-17,Comment&Like - 'ML-R2-17' is active
11/11/2022 03:53:30,ML-R2-18,Comment&Like - 'ML-R2-18' is active
11/11/2022 03:53:30,ML-R2-20,Comment&Like - 'ML-R2-20' is active
11/11/2022 03:53:30,ML-R2-21,Comment&Like - 'ML-R2-21' is active
11/11/2022 03:53:30,ML-R2-23,Comment&Like - 'ML-R2-23' is active
11/11/2022 03:53:30,ML-R2-24,Comment&Like - 'ML-R2-24' is active
11/11/2022 03:53:30,ML-R2-26,Comment&Like - 'ML-R2-26' is active
11/11/2022 03:53:30,ML-R2-27,Comment&Like - 'ML-R2-27' is active
11/11/2022 03:53:30,ML-R2-28,Comment&Like - 'ML-R2-28' is active
11/11/2022 03:53:30,ML-R2-29,Comment&Like - 'ML-R2-29' is active
11/11/2022 03:53:30,ML-R2-30,Comment&Like - 'ML-R2-30' is active
11/11/2022 03:53:30,ML-R2-31,Comment&Like - 'ML-R2-31' is active
11/11/2022 03:53:30,ML-R2-32,Comment&Like - 'ML-R2-32' is active
11/11/2022 03:53:30,ML-R2-33,Comment&Like - 'ML-R2-33' is active
11/11/2022 03:53:30,ML-R2-34,Comment&Like - 'ML-R2-34' is active
11/11/2022 03:53:30,ML-R2-35,Comment&Like - 'ML-R2-35' is active
11/11/2022 03:53:30,ML-R2-36,Comment&Like - 'ML-R2-36' is active
11/11/2022 03:53:30,ML-R2-37,Comment&Like - 'ML-R2-37' is active
11/11/2022 03:53:30,ML-R2-40,Comment&Like - 'ML-R2-40' is active
11/11/2022 03:53:30,ML-R2-41,Comment&Like - 'ML-R2-41' is active
11/11/2022 03:53:30,ML-R2-42,Comment&Like - 'ML-R2-42' is active
11/11/2022 03:53:30,ML-R2-43,Comment&Like - 'ML-R2-43' is active
11/11/2022 03:53:30,ML-R2-44,Comment&Like - 'ML-R2-44' is active
11/11/2022 03:53:30,ML-R2-45,Comment&Like - 'ML-R2-45' is active
11/11/2022 03:53:30,ML-R2-46,Comment&Like - 'ML-R2-46' is active
11/11/2022 03:53:30,ML-R2-47,Comment&Like - 'ML-R2-47' is active
11/11/2022 03:53:30,ML-R2-48,Comment&Like - 'ML-R2-48' is active
11/11/2022 03:53:30,ML-R2-49,Comment&Like - 'ML-R2-49' is active
11/11/2022 03:53:30,ML-R2-50,Comment&Like - 'ML-R2-50' is active
11/11/2022 03:53:30,ML-R2-51,Comment&Like - 'ML-R2-51' is active
11/11/2022 03:53:30,ML-R2-53,Comment&Like - 'ML-R2-53' is active
11/11/2022 03:53:30,ML-R2-55,Comment&Like - 'ML-R2-55' is active
11/11/2022 03:53:30,ML-R2-56,Comment&Like - 'ML-R2-56' is active
11/11/2022 03:53:30,ML-R2-57,Comment&Like - 'ML-R2-57' is active
11/11/2022 03:53:30,ML-R2-58,Comment&Like - 'ML-R2-58' is active
11/11/2022 03:53:30,ML-R2-62,Comment&Like - 'ML-R2-62' is active
11/11/2022 03:53:31,ML-R2-64,Comment&Like - 'ML-R2-64' is active
11/11/2022 03:53:31,ML-R2-65,Comment&Like - 'ML-R2-65' is active
11/11/2022 03:53:31,ML-R2-66,Comment&Like - 'ML-R2-66' is active
11/11/2022 03:53:31,ML-R2-68,Comment&Like - 'ML-R2-68' is active
11/11/2022 03:53:31,ML-R2-69,Comment&Like - 'ML-R2-69' is active
11/11/2022 03:53:31,ML-R2-71,Comment&Like - 'ML-R2-71' is active
11/11/2022 03:53:31,ML-R2-72,Comment&Like - 'ML-R2-72' is active
11/11/2022 03:53:31,ML-R2-73,Comment&Like - 'ML-R2-73' is active
11/11/2022 03:53:31,ML-R2-74,Comment&Like - 'ML-R2-74' is active
11/11/2022 03:53:31,ML-R2-75,Comment&Like - 'ML-R2-75' is active
11/11/2022 03:53:31,ML-R2-76,Comment&Like - 'ML-R2-76' is active
11/11/2022 03:53:31,ML-R2-77,Comment&Like - 'ML-R2-77' is active
11/11/2022 03:53:31,ML-R2-78,Comment&Like - 'ML-R2-78' is active
11/11/2022 03:53:31,ML-R2-79,Comment&Like - 'ML-R2-79' is active
11/11/2022 03:53:31,ML-R2-80,Comment&Like - 'ML-R2-80' is active
11/11/2022 03:53:31,ML-R2-81,Comment&Like - 'ML-R2-81' is active
11/11/2022 03:53:31,ML-R2-82,Comment&Like - 'ML-R2-82' is active
11/11/2022 03:53:31,ML-R2-83,Comment&Like - 'ML-R2-83' is active
11/11/2022 03:53:40,ML-R2-19,Group Joiner - ML-R2-19 - Finished operation
11/11/2022 03:53:42,ML-R2-6,Group Joiner - 'ML-R2-6' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:53:51,ML-R2-10,Group Joiner - ML-R2-10 - Finished operation
11/11/2022 03:53:51,ML-R2-13,Group Joiner - ML-R2-13 - Finished operation
11/11/2022 03:53:52,ML-R2-4,Group Joiner - 'ML-R2-4' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:53:52,ML-R2-15,Group Joiner - 'ML-R2-15' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:53:55,ML-R2-26,Group Joiner - ML-R2-26 - Finished operation
11/11/2022 03:53:56,ML-R2-48,Group Joiner - ML-R2-48 - Finished operation
11/11/2022 03:53:57,ML-R2-41,Group Joiner - ML-R2-41 - Finished operation
11/11/2022 03:53:58,ML-R2-58,Group Joiner - 'ML-R2-58' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:53:58,ML-R2-19,Comment&Like - 'ML-R2-19' - Liking by using https://www.facebook.com/groups/627810285725361
11/11/2022 03:53:58,ML-R2-23,Group Joiner - ML-R2-23 - Finished operation
11/11/2022 03:53:58,ML-R2-36,Group Joiner - 'ML-R2-36' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:53:58,ML-R2-14,Group Joiner - 'ML-R2-14' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:54:09,ML-R2-17,Group Joiner - ML-R2-17 - Finished operation
11/11/2022 03:54:10,ML-R2-42,Group Joiner - 'ML-R2-42' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:54:52,ML-R2-6,Group Joiner - ML-R2-6 - Finished operation
11/11/2022 03:54:55,ML-R2-56,Group Joiner - 'ML-R2-56' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:54:58,ML-R2-15,Group Joiner - ML-R2-15 - Finished operation
11/11/2022 03:54:58,ML-R2-12,Group Joiner - 'ML-R2-12' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:55:02,ML-R2-14,Group Joiner - ML-R2-14 - Finished operation
11/11/2022 03:55:04,ML-R2-36,Group Joiner - ML-R2-36 - Finished operation
11/11/2022 03:55:04,ML-R2-76,Group Joiner - 'ML-R2-76' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:55:04,ML-R2-47,Group Joiner - 'ML-R2-47' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:55:07,ML-R2-58,Group Joiner - ML-R2-58 - Finished operation
11/11/2022 03:55:07,ML-R2-49,Group Joiner - 'ML-R2-49' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:55:09,ML-R2-4,Group Joiner - ML-R2-4 - Finished operation
11/11/2022 03:55:10,ML-R2-20,Group Joiner - 'ML-R2-20' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:55:16,ML-R2-42,Group Joiner - ML-R2-42 - Finished operation
11/11/2022 03:55:17,ML-R2-43,Group Joiner - 'ML-R2-43' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:55:20,ML-R2-19,Comment&Like - ML-R2-19 - Finished operation
11/11/2022 03:55:23,ML-R2-77,Group Joiner - 'ML-R2-77' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:56:05,ML-R2-56,Group Joiner - ML-R2-56 - Finished operation
11/11/2022 03:56:05,ML-R2-65,Group Joiner - 'ML-R2-65' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:56:10,ML-R2-12,Group Joiner - ML-R2-12 - Finished operation
11/11/2022 03:56:11,ML-R2-76,Group Joiner - ML-R2-76 - Finished operation
11/11/2022 03:56:11,ML-R2-32,Group Joiner - 'ML-R2-32' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:56:11,ML-R2-33,Group Joiner - 'ML-R2-33' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:56:13,ML-R2-49,Group Joiner - ML-R2-49 - Finished operation
11/11/2022 03:56:14,ML-R2-20,Group Joiner - ML-R2-20 - Finished operation
11/11/2022 03:56:14,ML-R2-27,Group Joiner - 'ML-R2-27' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:56:14,ML-R2-71,Group Joiner - 'ML-R2-71' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:56:21,ML-R2-43,Group Joiner - ML-R2-43 - Finished operation
11/11/2022 03:56:23,ML-R2-80,Group Joiner - 'ML-R2-80' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:56:25,ML-R2-47,Group Joiner - ML-R2-47 - Finished operation
11/11/2022 03:56:26,ML-R2-81,Group Joiner - 'ML-R2-81' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:56:44,ML-R2-77,Group Joiner - ML-R2-77 - Finished operation
11/11/2022 03:56:44,ML-R2-9,Group Joiner - 'ML-R2-9' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:57:10,ML-R2-65,Group Joiner - ML-R2-65 - Finished operation
11/11/2022 03:57:12,ML-R2-53,Group Joiner - 'ML-R2-53' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:57:17,ML-R2-27,Group Joiner - ML-R2-27 - Finished operation
11/11/2022 03:57:18,ML-R2-78,Group Joiner - 'ML-R2-78' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:57:20,ML-R2-33,Group Joiner - ML-R2-33 - Finished operation
11/11/2022 03:57:21,ML-R2-69,Group Joiner - 'ML-R2-69' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:57:22,ML-R2-32,Group Joiner - ML-R2-32 - Finished operation
11/11/2022 03:57:24,ML-R2-21,Group Joiner - 'ML-R2-21' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:57:29,ML-R2-71,Group Joiner - ML-R2-71 - Finished operation
11/11/2022 03:57:30,ML-R2-51,Group Joiner - 'ML-R2-51' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:57:30,ML-R2-81,Group Joiner - ML-R2-81 - Finished operation
11/11/2022 03:57:33,ML-R2-31,Group Joiner - 'ML-R2-31' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:57:37,ML-R2-80,Group Joiner - ML-R2-80 - Finished operation
11/11/2022 03:57:39,ML-R2-72,Group Joiner - 'ML-R2-72' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:57:51,ML-R2-9,Group Joiner - ML-R2-9 - Finished operation
11/11/2022 03:57:51,ML-R2-29,Group Joiner - 'ML-R2-29' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:58:20,ML-R2-53,Group Joiner - ML-R2-53 - Finished operation
11/11/2022 03:58:22,ML-R2-66,Group Joiner - 'ML-R2-66' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:58:28,ML-R2-78,Group Joiner - ML-R2-78 - Finished operation
11/11/2022 03:58:28,ML-R2-8,Group Joiner - 'ML-R2-8' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:58:29,ML-R2-21,Group Joiner - ML-R2-21 - Finished operation
11/11/2022 03:58:31,ML-R2-34,Group Joiner - 'ML-R2-34' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:58:32,ML-R2-69,Group Joiner - ML-R2-69 - Finished operation
11/11/2022 03:58:34,ML-R2-30,Group Joiner - 'ML-R2-30' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:58:37,ML-R2-51,Group Joiner - ML-R2-51 - Finished operation
11/11/2022 03:58:37,ML-R2-31,Group Joiner - ML-R2-31 - Finished operation
11/11/2022 03:58:40,ML-R2-37,Group Joiner - 'ML-R2-37' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:58:40,ML-R2-28,Group Joiner - 'ML-R2-28' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:58:41,ML-R2-72,Group Joiner - ML-R2-72 - Finished operation
11/11/2022 03:58:43,ML-R2-79,Group Joiner - 'ML-R2-79' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:59:00,ML-R2-29,Group Joiner - ML-R2-29 - Finished operation
11/11/2022 03:59:01,ML-R2-55,Group Joiner - 'ML-R2-55' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:59:31,ML-R2-66,Group Joiner - ML-R2-66 - Finished operation
11/11/2022 03:59:34,ML-R2-62,Group Joiner - 'ML-R2-62' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:59:40,ML-R2-30,Group Joiner - ML-R2-30 - Finished operation
11/11/2022 03:59:40,ML-R2-46,Group Joiner - 'ML-R2-46' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:59:41,ML-R2-8,Group Joiner - ML-R2-8 - Finished operation
11/11/2022 03:59:41,ML-R2-34,Group Joiner - ML-R2-34 - Finished operation
11/11/2022 03:59:43,ML-R2-40,Group Joiner - 'ML-R2-40' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:59:44,ML-R2-68,Group Joiner - 'ML-R2-68' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:59:46,ML-R2-28,Group Joiner - ML-R2-28 - Finished operation
11/11/2022 03:59:47,ML-R2-3,Group Joiner - 'ML-R2-3' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:59:48,ML-R2-79,Group Joiner - ML-R2-79 - Finished operation
11/11/2022 03:59:50,ML-R2-64,Group Joiner - 'ML-R2-64' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 03:59:53,ML-R2-37,Group Joiner - ML-R2-37 - Finished operation
11/11/2022 03:59:56,ML-R2-44,Group Joiner - 'ML-R2-44' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 04:00:11,ML-R2-55,Group Joiner - ML-R2-55 - Finished operation
11/11/2022 04:00:11,ML-R2-75,Group Joiner - 'ML-R2-75' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 04:00:34,ML-R2-40,Group Joiner - ML-R2-40 - Finished operation
11/11/2022 04:00:36,ML-R2-83,Group Joiner - 'ML-R2-83' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 04:00:39,ML-R2-44,Group Joiner - ML-R2-44 - Finished operation
11/11/2022 04:00:42,ML-R2-50,Group Joiner - 'ML-R2-50' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 04:00:47,ML-R2-62,Group Joiner - ML-R2-62 - Finished operation
11/11/2022 04:00:47,ML-R2-46,Group Joiner - ML-R2-46 - Finished operation
11/11/2022 04:00:48,ML-R2-35,Group Joiner - 'ML-R2-35' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 04:00:48,ML-R2-45,Group Joiner - 'ML-R2-45' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 04:00:51,ML-R2-68,Group Joiner - ML-R2-68 - Finished operation
11/11/2022 04:00:51,ML-R2-7,Group Joiner - 'ML-R2-7' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/11/2022 04:00:59,ML-R2-64,Group Joiner - ML-R2-64 - Finished operation
11/11/2022 04:00:59,ML-R2-3,Group Joiner - ML-R2-3 - Finished operation
