Date,Account,Status
8/24/2022 5:16,,Jarvee 3.3.1.1 is now active
8/25/2022 13:09,,Jarvee 3.3.1.1 is now active
8/27/2022 4:51,,Jarvee 3.3.1.1 is now active
11/25/2022 7:39,,Jarvee 3.3.1.1 is now active
11/25/2022 7:48,Frank_Malaysia71,Group Joiner - 'Frank_Malaysia71' -  is active
11/25/2022 7:48,Frank_Malaysia71,Group Joiner - 'Frank_Malaysia71' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/25/2022 7:49,Frank_Malaysia72,Group Joiner - 'Frank_Malaysia72' -  is active
11/25/2022 7:49,Frank_Malaysia73,Group Joiner - 'Frank_Malaysia73' -  is active
11/25/2022 7:49,Frank_Malaysia74,Group Joiner - 'Frank_Malaysia74' -  is active
11/25/2022 7:49,Frank_Malaysia75,Group Joiner - 'Frank_Malaysia75' -  is active
11/25/2022 7:49,Frank_Malaysia76,Group Joiner - 'Frank_Malaysia76' -  is active
11/25/2022 7:49,Frank_Malaysia77,Group Joiner - 'Frank_Malaysia77' -  is active
11/25/2022 7:49,Frank_Malaysia78,Group Joiner - 'Frank_Malaysia78' -  is active
11/25/2022 7:49,Frank_Malaysia79,Group Joiner - 'Frank_Malaysia79' -  is active
11/25/2022 7:49,Frank_Malaysia80,Group Joiner - 'Frank_Malaysia80' -  is active
11/25/2022 7:49,Frank_Malaysia81,Group Joiner - 'Frank_Malaysia81' -  is active
11/25/2022 7:49,Frank_Malaysia82,Group Joiner - 'Frank_Malaysia82' -  is active
11/25/2022 7:49,Frank_Malaysia83,Group Joiner - 'Frank_Malaysia83' -  is active
11/25/2022 7:49,Frank_Malaysia84,Group Joiner - 'Frank_Malaysia84' -  is active
11/25/2022 7:49,Frank_Malaysia85,Group Joiner - 'Frank_Malaysia85' -  is active
11/25/2022 7:49,Frank_Malaysia86,Group Joiner - 'Frank_Malaysia86' -  is active
11/25/2022 7:49,Frank_Malaysia87,Group Joiner - 'Frank_Malaysia87' -  is active
11/25/2022 7:49,Frank_Malaysia88,Group Joiner - 'Frank_Malaysia88' -  is active
11/25/2022 7:49,Frank_Malaysia89,Group Joiner - 'Frank_Malaysia89' -  is active
11/25/2022 7:49,Frank_Malaysia90,Group Joiner - 'Frank_Malaysia90' -  is active
11/25/2022 7:49,Frank_Malaysia91,Group Joiner - 'Frank_Malaysia91' -  is active
11/25/2022 7:49,Frank_Malaysia92,Group Joiner - 'Frank_Malaysia92' -  is active
11/25/2022 7:49,Frank_Malaysia93,Group Joiner - 'Frank_Malaysia93' -  is active
11/25/2022 7:49,Frank_Malaysia94,Group Joiner - 'Frank_Malaysia94' -  is active
11/25/2022 7:49,Frank_Malaysia95,Group Joiner - 'Frank_Malaysia95' -  is active
11/25/2022 7:49,Frank_Malaysia96,Group Joiner - 'Frank_Malaysia96' -  is active
11/25/2022 7:49,Frank_Malaysia97,Group Joiner - 'Frank_Malaysia97' -  is active
11/25/2022 7:49,Frank_Malaysia98,Group Joiner - 'Frank_Malaysia98' -  is active
11/25/2022 7:49,Frank_Malaysia99,Group Joiner - 'Frank_Malaysia99' -  is active
11/25/2022 7:49,Frank_Malaysia100,Group Joiner - 'Frank_Malaysia100' -  is active
11/25/2022 7:49,Frank_Malaysia101,Group Joiner - 'Frank_Malaysia101' -  is active
11/25/2022 7:49,Frank_Malaysia102,Group Joiner - 'Frank_Malaysia102' -  is active
11/25/2022 7:49,Frank_Malaysia103,Group Joiner - 'Frank_Malaysia103' -  is active
11/25/2022 7:49,Frank_Malaysia104,Group Joiner - 'Frank_Malaysia104' -  is active
11/25/2022 7:49,Frank_Malaysia105,Group Joiner - 'Frank_Malaysia105' -  is active
11/25/2022 7:49,Frank_Malaysia106,Group Joiner - 'Frank_Malaysia106' -  is active
11/25/2022 7:49,Frank_Malaysia107,Group Joiner - 'Frank_Malaysia107' -  is active
11/25/2022 7:49,Frank_Malaysia108,Group Joiner - 'Frank_Malaysia108' -  is active
11/25/2022 7:49,Frank_Malaysia109,Group Joiner - 'Frank_Malaysia109' -  is active
11/25/2022 7:49,Frank_Malaysia110,Group Joiner - 'Frank_Malaysia110' -  is active
11/25/2022 7:49,Frank_Malaysia111,Group Joiner - 'Frank_Malaysia111' -  is active
11/25/2022 7:49,Frank_Malaysia112,Group Joiner - 'Frank_Malaysia112' -  is active
11/25/2022 7:49,Frank_Malaysia113,Group Joiner - 'Frank_Malaysia113' -  is active
11/25/2022 7:49,Frank_Malaysia114,Group Joiner - 'Frank_Malaysia114' -  is active
11/25/2022 7:49,Frank_Malaysia115,Group Joiner - 'Frank_Malaysia115' -  is active
11/25/2022 7:49,Frank_Malaysia116,Group Joiner - 'Frank_Malaysia116' -  is active
11/25/2022 7:49,Frank_Malaysia117,Group Joiner - 'Frank_Malaysia117' -  is active
11/25/2022 7:49,Frank_Malaysia118,Group Joiner - 'Frank_Malaysia118' -  is active
11/25/2022 7:49,Frank_Malaysia119,Group Joiner - 'Frank_Malaysia119' -  is active
11/25/2022 7:49,Frank_Malaysia120,Group Joiner - 'Frank_Malaysia120' -  is active
11/25/2022 7:49,Frank_Malaysia121,Group Joiner - 'Frank_Malaysia121' -  is active
11/25/2022 7:49,Frank_Malaysia122,Group Joiner - 'Frank_Malaysia122' -  is active
11/25/2022 7:49,Frank_Malaysia123,Group Joiner - 'Frank_Malaysia123' -  is active
11/25/2022 7:49,Frank_Malaysia124,Group Joiner - 'Frank_Malaysia124' -  is active
11/25/2022 7:49,Frank_Malaysia125,Group Joiner - 'Frank_Malaysia125' -  is active
11/25/2022 7:49,Frank_Malaysia126,Group Joiner - 'Frank_Malaysia126' -  is active
11/25/2022 7:49,Frank_Malaysia127,Group Joiner - 'Frank_Malaysia127' -  is active
11/25/2022 7:49,Frank_Malaysia128,Group Joiner - 'Frank_Malaysia128' -  is active
11/25/2022 7:49,Frank_Malaysia129,Group Joiner - 'Frank_Malaysia129' -  is active
11/25/2022 7:49,Frank_Malaysia130,Group Joiner - 'Frank_Malaysia130' -  is active
11/25/2022 7:49,Frank_Malaysia131,Group Joiner - 'Frank_Malaysia131' -  is active
11/25/2022 7:49,Frank_Malaysia132,Group Joiner - 'Frank_Malaysia132' -  is active
11/25/2022 7:49,Frank_Malaysia133,Group Joiner - 'Frank_Malaysia133' -  is active
11/25/2022 7:49,Frank_Malaysia134,Group Joiner - 'Frank_Malaysia134' -  is active
11/25/2022 7:49,Frank_Malaysia135,Group Joiner - 'Frank_Malaysia135' -  is active
11/25/2022 7:49,Frank_Malaysia136,Group Joiner - 'Frank_Malaysia136' -  is active
11/25/2022 7:49,Frank_Malaysia137,Group Joiner - 'Frank_Malaysia137' -  is active
11/25/2022 7:49,Frank_Malaysia138,Group Joiner - 'Frank_Malaysia138' -  is active
11/25/2022 7:49,Frank_Malaysia139,Group Joiner - 'Frank_Malaysia139' -  is active
11/25/2022 7:49,Frank_Malaysia140,Group Joiner - 'Frank_Malaysia140' -  is active
11/25/2022 7:49,Frank_Malaysia71,Group Joiner - Frank_Malaysia71 - Finished operation
11/25/2022 8:14,Frank_Malaysia71,Group Joiner - 'Frank_Malaysia71' - Executing using 'https://www.facebook.com/groups/619487189661079'
11/25/2022 8:15,Frank_Malaysia71,Group Joiner - Frank_Malaysia71 - Finished operation
11/25/2022 8:32,Frank_Malaysia71,Group Joiner - 'Frank_Malaysia71' - Executing using 'https://www.facebook.com/groups/5646866088722297'
11/25/2022 8:33,Frank_Malaysia71,Group Joiner - Frank_Malaysia71 - Finished operation
11/25/2022 9:01,Frank_Malaysia71,Group Joiner - 'Frank_Malaysia71' - Executing using 'https://www.facebook.com/groups/513992560177139'
11/25/2022 9:01,Frank_Malaysia71,Group Joiner - Frank_Malaysia71 - Finished operation
11/25/2022 9:23,Frank_Malaysia71,Group Joiner - 'Frank_Malaysia71' - Executing using 'https://www.facebook.com/groups/478072124277063'
11/25/2022 9:24,Frank_Malaysia71,Group Joiner - Frank_Malaysia71 - Finished operation
11/25/2022 9:48,Frank_Malaysia71,Group Joiner - 'Frank_Malaysia71' - Executing using 'https://www.facebook.com/groups/416063824057495'
11/25/2022 9:49,Frank_Malaysia71,Group Joiner - Frank_Malaysia71 - Finished operation
11/25/2022 10:09,Frank_Malaysia71,Group Joiner - 'Frank_Malaysia71' - Executing using 'https://www.facebook.com/groups/605843741270804'
11/25/2022 10:09,Frank_Malaysia71,Group Joiner - Frank_Malaysia71 - Finished operation
11/25/2022 10:36,,A restart was scheduled. Jarvee will automatically restart in 4 minute(s).
11/25/2022 10:37,,A restart was scheduled. Jarvee will automatically restart in 3 minute(s).
11/25/2022 10:38,,A restart was scheduled. Jarvee will automatically restart in 2 minute(s).
11/25/2022 10:38,Frank_Malaysia71,Group Joiner - 'Frank_Malaysia71' - Executing using 'https://www.facebook.com/groups/3298767307028463'
11/25/2022 10:39,Frank_Malaysia71,Group Joiner - Frank_Malaysia71 - Finished operation
11/25/2022 10:39,,A restart was scheduled. Jarvee will automatically restart in 1 minute(s).
11/25/2022 10:41,,Jarvee 3.3.1.1 is now active
11/25/2022 10:48,Frank_Malaysia138,Group Joiner - 'Frank_Malaysia138' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/25/2022 10:48,Frank_Malaysia135,Group Joiner - 'Frank_Malaysia135' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/25/2022 10:49,Frank_Malaysia138,Group Joiner - Frank_Malaysia138 - Finished operation
11/25/2022 10:49,Frank_Malaysia137,Group Joiner - 'Frank_Malaysia137' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/25/2022 10:49,Frank_Malaysia135,Group Joiner - Frank_Malaysia135 - Finished operation
11/25/2022 10:49,Frank_Malaysia80,Group Joiner - 'Frank_Malaysia80' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/25/2022 10:50,Frank_Malaysia137,Group Joiner - Frank_Malaysia137 - Finished operation
11/25/2022 10:50,Frank_Malaysia93,Group Joiner - 'Frank_Malaysia93' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/25/2022 10:50,Frank_Malaysia80,Group Joiner - Frank_Malaysia80 - Finished operation
11/25/2022 10:50,Frank_Malaysia100,Group Joiner - 'Frank_Malaysia100' - Executing using 'https://www.facebook.com/groups/460183919270756'
11/25/2022 10:51,Frank_Malaysia93,Group Joiner - Frank_Malaysia93 - Finished operation
11/25/2022 10:51,Frank_Malaysia100,Group Joiner - Frank_Malaysia100 - Finished operation
