Date,Account,Status
08/11/2022 08:54:45,,Jarvee 3.3.1.1 is now active
08/11/2022 09:00:05,Gen_Malaysia68,Synchronizing Number of Followers for the 'Gen_Malaysia68' account
08/11/2022 09:00:32,Gen_Malaysia68,Finalized Number of Followers synchronization for the 'Gen_Malaysia68' account.
08/11/2022 09:00:49,Gen_Malaysia68,Synchronizing Pages for the 'Gen_Malaysia68' account.
08/11/2022 09:01:55,Gen_Malaysia68,Finalized pages synchronization for the 'Gen_Malaysia68' account.
08/11/2022 09:02:47,Gen_Malaysia68,Birthday Sync - for the 'Gen_Malaysia68' account URL: https://www.facebook.com/me
08/11/2022 09:03:41,Gen_Malaysia68,Checking restrictions for the 'Gen_Malaysia68' account done. URL: https://www.facebook.com/me
08/11/2022 09:03:47,Gen_Malaysia68,Checking restrictions for the 'Gen_Malaysia68' account
08/11/2022 09:03:47,Gen_Malaysia6,Synchronizing Number of Followers for the 'Gen_Malaysia6' account
08/11/2022 09:04:19,Gen_Malaysia68,Checking restrictions for the 'Gen_Malaysia68' account done.
08/11/2022 09:04:34,Gen_Malaysia6,Finalized Number of Followers synchronization for the 'Gen_Malaysia6' account.
08/11/2022 09:04:50,Gen_Malaysia6,Synchronizing Pages for the 'Gen_Malaysia6' account.
08/11/2022 09:06:19,Gen_Malaysia6,Finalized pages synchronization for the 'Gen_Malaysia6' account.
08/11/2022 09:07:08,Gen_Malaysia6,Birthday Sync - for the 'Gen_Malaysia6' account URL: https://www.facebook.com/me
08/11/2022 09:08:03,Gen_Malaysia6,Checking restrictions for the 'Gen_Malaysia6' account done. URL: https://www.facebook.com/me
08/11/2022 09:08:13,Gen_Malaysia6,Checking restrictions for the 'Gen_Malaysia6' account
08/11/2022 09:08:13,Gen_Malaysia32,Synchronizing Number of Followers for the 'Gen_Malaysia32' account
08/11/2022 09:08:37,Gen_Malaysia6,Checking restrictions for the 'Gen_Malaysia6' account done.
08/11/2022 09:08:45,Gen_Malaysia32,Finalized Number of Followers synchronization for the 'Gen_Malaysia32' account.
08/11/2022 09:08:46,Gen_Malaysia32,Synchronizing Groups for the 'Gen_Malaysia32' account.
08/11/2022 09:08:58,Gen_Malaysia32,https://www.facebook.com/groups/?category=groups
08/11/2022 09:08:58,Gen_Malaysia32,Birthday Sync - for the 'Gen_Malaysia32' account URL: https://www.facebook.com/me
08/11/2022 09:09:02,Gen_Malaysia24,Synchronizing Number of Followers for the 'Gen_Malaysia24' account
09/27/2022 00:06:17,,Jarvee 3.3.1.1 is now active
09/27/2022 00:10:07,Gen_Malaysia38,Cookies successfully imported for 'Gen_Malaysia38'.
09/27/2022 00:10:21,Gen_Malaysia26,Cookies successfully imported for 'Gen_Malaysia26'.
09/27/2022 00:10:38,Gen_Malaysia28,Cookies successfully imported for 'Gen_Malaysia28'.
09/27/2022 00:10:56,Gen_Malaysia31,Cookies successfully imported for 'Gen_Malaysia31'.
09/27/2022 00:11:15,Gen_Malaysia46,Cookies successfully imported for 'Gen_Malaysia46'.
09/27/2022 00:11:32,Gen_Malaysia41,Cookies successfully imported for 'Gen_Malaysia41'.
09/27/2022 00:11:50,Gen_Malaysia22,Cookies successfully imported for 'Gen_Malaysia22'.
09/27/2022 00:12:08,Gen_Malaysia30,Cookies successfully imported for 'Gen_Malaysia30'.
09/27/2022 00:12:24,Gen_Malaysia35,Cookies successfully imported for 'Gen_Malaysia35'.
09/27/2022 00:12:42,Gen_Malaysia25,Cookies successfully imported for 'Gen_Malaysia25'.
09/27/2022 00:12:58,Gen_Malaysia15,Cookies successfully imported for 'Gen_Malaysia15'.
09/27/2022 00:13:14,Gen_Malaysia29,Cookies successfully imported for 'Gen_Malaysia29'.
09/27/2022 00:13:32,Gen_Malaysia43,Cookies successfully imported for 'Gen_Malaysia43'.
09/27/2022 00:13:50,Gen_Malaysia57,Cookies successfully imported for 'Gen_Malaysia57'.
09/27/2022 00:14:09,Gen_Malaysia47,Cookies successfully imported for 'Gen_Malaysia47'.
09/27/2022 00:14:28,Gen_Malaysia60,Cookies successfully imported for 'Gen_Malaysia60'.
09/27/2022 00:14:47,Gen_Malaysia65,Cookies successfully imported for 'Gen_Malaysia65'.
09/27/2022 00:15:06,Gen_Malaysia20,Cookies successfully imported for 'Gen_Malaysia20'.
09/27/2022 00:15:22,Gen_Malaysia34,Cookies successfully imported for 'Gen_Malaysia34'.
09/27/2022 00:15:38,Gen_Malaysia49,Cookies successfully imported for 'Gen_Malaysia49'.
09/27/2022 00:15:55,Gen_Malaysia53,Cookies successfully imported for 'Gen_Malaysia53'.
09/27/2022 00:16:13,Gen_Malaysia61,Cookies successfully imported for 'Gen_Malaysia61'.
09/27/2022 00:16:29,Gen_Malaysia3,Cookies successfully imported for 'Gen_Malaysia3'.
09/27/2022 00:16:47,Gen_Malaysia19,Cookies successfully imported for 'Gen_Malaysia19'.
09/27/2022 00:17:04,Gen_Malaysia51,Cookies successfully imported for 'Gen_Malaysia51'.
09/27/2022 00:17:20,Gen_Malaysia16,Cookies successfully imported for 'Gen_Malaysia16'.
09/27/2022 00:17:38,Gen_Malaysia59,Cookies successfully imported for 'Gen_Malaysia59'.
09/27/2022 00:17:56,Gen_Malaysia55,Cookies successfully imported for 'Gen_Malaysia55'.
09/27/2022 00:18:14,Gen_Malaysia48,Cookies successfully imported for 'Gen_Malaysia48'.
09/27/2022 00:18:32,Gen_Malaysia36,Cookies successfully imported for 'Gen_Malaysia36'.
09/27/2022 00:18:49,Gen_Malaysia40,Cookies successfully imported for 'Gen_Malaysia40'.
09/27/2022 00:19:07,Gen_Malaysia14,Cookies successfully imported for 'Gen_Malaysia14'.
09/27/2022 00:19:25,Gen_Malaysia50,Cookies successfully imported for 'Gen_Malaysia50'.
09/27/2022 00:19:43,Gen_Malaysia44,Cookies successfully imported for 'Gen_Malaysia44'.
09/27/2022 00:20:00,Gen_Malaysia66,Cookies successfully imported for 'Gen_Malaysia66'.
09/27/2022 00:20:17,Gen_Malaysia67,Cookies successfully imported for 'Gen_Malaysia67'.
09/27/2022 00:20:34,Gen_Malaysia69,Cookies successfully imported for 'Gen_Malaysia69'.
09/27/2022 00:20:51,Gen_Malaysia21,Cookies successfully imported for 'Gen_Malaysia21'.
09/27/2022 00:21:07,Gen_Malaysia6,Cookies successfully imported for 'Gen_Malaysia6'.
09/27/2022 00:21:23,Gen_Malaysia8,Cookies successfully imported for 'Gen_Malaysia8'.
09/27/2022 00:21:42,Gen_Malaysia68,Cookies successfully imported for 'Gen_Malaysia68'.
09/27/2022 00:22:01,Gen_Malaysia11,Cookies successfully imported for 'Gen_Malaysia11'.
09/27/2022 00:22:21,Gen_Malaysia5,Cookies successfully imported for 'Gen_Malaysia5'.
09/27/2022 00:22:40,Gen_Malaysia17,Cookies successfully imported for 'Gen_Malaysia17'.
09/27/2022 00:22:57,Gen_Malaysia10,Cookies successfully imported for 'Gen_Malaysia10'.
09/27/2022 00:23:15,Gen_Malaysia70,Cookies successfully imported for 'Gen_Malaysia70'.
09/27/2022 00:23:33,Gen_Malaysia56,Cookies successfully imported for 'Gen_Malaysia56'.
09/27/2022 00:23:51,Gen_Malaysia62,Cookies successfully imported for 'Gen_Malaysia62'.
09/27/2022 00:24:09,Gen_Malaysia54,Cookies successfully imported for 'Gen_Malaysia54'.
09/27/2022 00:24:28,Gen_Malaysia63,Cookies successfully imported for 'Gen_Malaysia63'.
09/27/2022 00:24:44,Gen_Malaysia2,Cookies successfully imported for 'Gen_Malaysia2'.
09/27/2022 00:25:02,Gen_Malaysia1,Cookies successfully imported for 'Gen_Malaysia1'.
09/27/2022 00:25:22,Gen_Malaysia4,Cookies successfully imported for 'Gen_Malaysia4'.
09/27/2022 00:25:39,Gen_Malaysia42,Cookies successfully imported for 'Gen_Malaysia42'.
09/27/2022 00:25:57,Gen_Malaysia58,Cookies successfully imported for 'Gen_Malaysia58'.
09/27/2022 00:26:14,Gen_Malaysia33,Cookies successfully imported for 'Gen_Malaysia33'.
09/27/2022 00:26:31,Gen_Malaysia7,Cookies successfully imported for 'Gen_Malaysia7'.
09/27/2022 00:26:49,Gen_Malaysia13,Cookies successfully imported for 'Gen_Malaysia13'.
09/27/2022 00:27:08,Gen_Malaysia18,Cookies successfully imported for 'Gen_Malaysia18'.
09/27/2022 00:27:27,Gen_Malaysia64,Cookies successfully imported for 'Gen_Malaysia64'.
09/27/2022 00:27:46,Gen_Malaysia37,Cookies successfully imported for 'Gen_Malaysia37'.
09/27/2022 00:28:06,Gen_Malaysia45,Cookies successfully imported for 'Gen_Malaysia45'.
09/27/2022 00:28:25,Gen_Malaysia39,Cookies successfully imported for 'Gen_Malaysia39'.
09/27/2022 00:28:44,Gen_Malaysia32,Cookies successfully imported for 'Gen_Malaysia32'.
