Date,Account,Status
08/16/2022 03:50:20,,Jarvee 3.3.1.1 is now active
08/26/2022 06:17:06,,Jarvee 3.3.1.1 is now active
09/28/2022 00:30:37,,Jarvee 3.3.1.1 is now active
09/28/2022 00:36:30,AJ_Malaysia24,Change language to English - 'AJ_Malaysia24' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 00:36:54,AJ_Malaysia24,Change language to English - Error executing for the 'AJ_Malaysia24' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/28/2022 00:37:28,AJ_Malaysia18,Change language to English - 'AJ_Malaysia18' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 00:37:51,AJ_Malaysia18,Change language to English - Error executing for the 'AJ_Malaysia18' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/28/2022 00:38:25,AJ_Malaysia56,Change language to English - 'AJ_Malaysia56' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 00:38:49,AJ_Malaysia56,Change language to English - Error executing for the 'AJ_Malaysia56' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/28/2022 00:38:50,AJ_Malaysia56,Birthday Sync - for the 'AJ_Malaysia56' account URL: https://www.facebook.com/me
09/28/2022 00:39:28,AJ_Malaysia56,Birthday Sync - Error executing for the 'AJ_Malaysia56' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
09/28/2022 00:39:29,AJ_Malaysia56,Checking restrictions for the 'AJ_Malaysia56' account
09/28/2022 00:39:57,AJ_Malaysia56,Checking restrictions for the 'AJ_Malaysia56' account done.
09/28/2022 00:39:59,AJ_Malaysia56,Synchronizing Number of Followers for the 'AJ_Malaysia56' account
09/28/2022 00:40:19,AJ_Malaysia56,Finalized Number of Followers synchronization for the 'AJ_Malaysia56' account.
09/28/2022 00:40:21,AJ_Malaysia56,Synchronizing Groups for the 'AJ_Malaysia56' account.
09/28/2022 00:42:51,AJ_Malaysia56,Finalized group synchronization for the 'AJ_Malaysia56' account.
09/28/2022 00:43:23,AJ_Malaysia66,Change language to English - 'AJ_Malaysia66' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 00:43:47,AJ_Malaysia66,Change language to English - Error executing for the 'AJ_Malaysia66' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/28/2022 00:43:47,AJ_Malaysia66,Synchronizing Groups for the 'AJ_Malaysia66' account.
09/28/2022 00:46:24,AJ_Malaysia66,Finalized group synchronization for the 'AJ_Malaysia66' account.
09/28/2022 00:46:25,AJ_Malaysia66,Synchronizing Pages for the 'AJ_Malaysia66' account.
09/28/2022 00:47:22,AJ_Malaysia66,Finalized pages synchronization for the 'AJ_Malaysia66' account.
09/28/2022 00:47:53,AJ_Malaysia20,Change language to English - 'AJ_Malaysia20' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 00:48:20,AJ_Malaysia20,Change language to English - Error executing for the 'AJ_Malaysia20' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/28/2022 00:48:53,AJ_Malaysia37,Change language to English - 'AJ_Malaysia37' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 00:49:16,AJ_Malaysia37,Change language to English - Error executing for the 'AJ_Malaysia37' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/28/2022 00:49:18,AJ_Malaysia37,Synchronizing Groups for the 'AJ_Malaysia37' account.
09/28/2022 00:51:42,AJ_Malaysia37,Finalized group synchronization for the 'AJ_Malaysia37' account.
09/28/2022 00:51:44,AJ_Malaysia37,Birthday Sync - for the 'AJ_Malaysia37' account URL: https://www.facebook.com/me
09/28/2022 00:52:20,AJ_Malaysia37,Birthday Sync - Error executing for the 'AJ_Malaysia37' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
09/28/2022 00:52:23,AJ_Malaysia37,Checking restrictions for the 'AJ_Malaysia37' account
09/28/2022 00:52:48,AJ_Malaysia37,Checking restrictions for the 'AJ_Malaysia37' account done.
09/28/2022 00:52:50,AJ_Malaysia37,Synchronizing Number of Followers for the 'AJ_Malaysia37' account
09/28/2022 00:53:11,AJ_Malaysia37,Finalized Number of Followers synchronization for the 'AJ_Malaysia37' account.
09/28/2022 00:53:45,AJ_Malaysia52,Change language to English - 'AJ_Malaysia52' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 00:54:09,AJ_Malaysia52,Change language to English - Error executing for the 'AJ_Malaysia52' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/28/2022 00:54:43,AJ_Malaysia16,Change language to English - 'AJ_Malaysia16' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 00:55:06,AJ_Malaysia16,Change language to English - Error executing for the 'AJ_Malaysia16' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/28/2022 00:55:07,AJ_Malaysia16,Synchronizing Pages for the 'AJ_Malaysia16' account.
09/28/2022 00:56:15,AJ_Malaysia16,Finalized pages synchronization for the 'AJ_Malaysia16' account.
09/28/2022 00:56:50,AJ_Malaysia13,Change language to English - 'AJ_Malaysia13' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 00:57:16,AJ_Malaysia13,Change language to English - Error executing for the 'AJ_Malaysia13' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/28/2022 00:57:18,AJ_Malaysia13,Synchronizing Groups for the 'AJ_Malaysia13' account.
09/28/2022 01:00:16,AJ_Malaysia13,Finalized group synchronization for the 'AJ_Malaysia13' account.
09/28/2022 01:00:17,AJ_Malaysia13,Synchronizing Pages for the 'AJ_Malaysia13' account.
09/28/2022 01:01:16,AJ_Malaysia13,Finalized pages synchronization for the 'AJ_Malaysia13' account.
09/28/2022 01:01:51,AJ_Malaysia12,Change language to English - 'AJ_Malaysia12' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 01:02:14,AJ_Malaysia12,Change language to English - Error executing for the 'AJ_Malaysia12' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
09/28/2022 01:02:15,AJ_Malaysia12,Birthday Sync - for the 'AJ_Malaysia12' account URL: https://www.facebook.com/me
09/28/2022 01:02:53,AJ_Malaysia12,Birthday Sync - Error executing for the 'AJ_Malaysia12' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
09/28/2022 01:02:54,AJ_Malaysia12,Checking restrictions for the 'AJ_Malaysia12' account
09/28/2022 01:03:23,AJ_Malaysia12,Checking restrictions for the 'AJ_Malaysia12' account done.
09/28/2022 01:03:25,AJ_Malaysia12,Synchronizing Number of Followers for the 'AJ_Malaysia12' account
09/28/2022 01:03:46,AJ_Malaysia12,Finalized Number of Followers synchronization for the 'AJ_Malaysia12' account.
09/28/2022 01:03:46,AJ_Malaysia12,Synchronizing Groups for the 'AJ_Malaysia12' account.
09/28/2022 01:06:23,AJ_Malaysia12,Finalized group synchronization for the 'AJ_Malaysia12' account.
09/28/2022 01:06:24,AJ_Malaysia12,Synchronizing Pages for the 'AJ_Malaysia12' account.
09/28/2022 01:07:21,AJ_Malaysia12,Finalized pages synchronization for the 'AJ_Malaysia12' account.
09/28/2022 01:07:55,AJ_Malaysia49,Change language to English - 'AJ_Malaysia49' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
09/28/2022 01:08:27,AJ_Malaysia49,Change language to English - AJ_Malaysia49 - Finished operation
09/28/2022 01:08:28,AJ_Malaysia49,Synchronizing Pages for the 'AJ_Malaysia49' account.
09/28/2022 01:09:28,AJ_Malaysia49,Finalized pages synchronization for the 'AJ_Malaysia49' account.
