Date,Account,Status
08/02/2022 07:44:34,,Jarvee 3.3.1.1 is now active
08/02/2022 07:52:36,,Jarvee 3.3.1.1 is now active
08/02/2022 07:54:05,,Jarvee 3.3.1.1 is now active
08/03/2022 07:01:13,,Jarvee 3.3.1.1 is now active
08/04/2022 00:37:07,,Jarvee 3.3.1.1 is now active
08/04/2022 07:54:38,,Jarvee 3.3.1.1 is now active
08/11/2022 00:46:20,,Jarvee 3.3.1.1 is now active
08/20/2022 04:55:37,,Jarvee 3.3.1.1 is now active
09/23/2022 04:17:55,,Jarvee 3.3.1.1 is now active
09/23/2022 04:27:46,Cia_Malaysia_1051,Comment&Like - 'Cia_Malaysia_1051' is active
09/23/2022 04:27:47,Cia_Malaysia_1051,Comment&Like - 'Cia_Malaysia_1051' - Liking by using https://www.facebook.com/Earning-Dose-101239609423820
09/23/2022 04:27:56,Cia_Malaysia_1052,Comment&Like - 'Cia_Malaysia_1052' is active
09/23/2022 04:27:56,Cia_Malaysia_1053,Comment&Like - 'Cia_Malaysia_1053' is active
09/23/2022 04:27:56,Cia_Malaysia_1054,Comment&Like - 'Cia_Malaysia_1054' is active
09/23/2022 04:27:56,Cia_Malaysia_1055,Comment&Like - 'Cia_Malaysia_1055' is active
09/23/2022 04:27:56,Cia_Malaysia_1056,Comment&Like - 'Cia_Malaysia_1056' is active
09/23/2022 04:27:56,Cia_Malaysia_1057,Comment&Like - 'Cia_Malaysia_1057' is active
09/23/2022 04:27:56,Cia_Malaysia_1058,Comment&Like - 'Cia_Malaysia_1058' is active
09/23/2022 04:27:56,Cia_Malaysia_1059,Comment&Like - 'Cia_Malaysia_1059' is active
09/23/2022 04:27:56,Cia_Malaysia_1060,Comment&Like - 'Cia_Malaysia_1060' is active
09/23/2022 04:27:56,Cia_Malaysia_1061,Comment&Like - 'Cia_Malaysia_1061' is active
09/23/2022 04:27:57,Cia_Malaysia_1062,Comment&Like - 'Cia_Malaysia_1062' is active
09/23/2022 04:27:57,Cia_Malaysia_1063,Comment&Like - 'Cia_Malaysia_1063' is active
09/23/2022 04:27:57,Cia_Malaysia_1064,Comment&Like - 'Cia_Malaysia_1064' is active
09/23/2022 04:27:57,Cia_Malaysia_1065,Comment&Like - 'Cia_Malaysia_1065' is active
09/23/2022 04:27:57,Cia_Malaysia_1066,Comment&Like - 'Cia_Malaysia_1066' is active
09/23/2022 04:27:57,Cia_Malaysia_1067,Comment&Like - 'Cia_Malaysia_1067' is active
09/23/2022 04:27:57,Cia_Malaysia_1068,Comment&Like - 'Cia_Malaysia_1068' is active
09/23/2022 04:27:57,Cia_Malaysia_1069,Comment&Like - 'Cia_Malaysia_1069' is active
09/23/2022 04:27:57,Cia_Malaysia_1070,Comment&Like - 'Cia_Malaysia_1070' is active
09/23/2022 04:27:57,Cia_Malaysia_1071,Comment&Like - 'Cia_Malaysia_1071' is active
09/23/2022 04:27:57,Cia_Malaysia_1072,Comment&Like - 'Cia_Malaysia_1072' is active
09/23/2022 04:27:57,Cia_Malaysia_1073,Comment&Like - 'Cia_Malaysia_1073' is active
09/23/2022 04:27:57,Cia_Malaysia_1074,Comment&Like - 'Cia_Malaysia_1074' is active
09/23/2022 04:27:57,Cia_Malaysia_1075,Comment&Like - 'Cia_Malaysia_1075' is active
09/23/2022 04:27:57,Cia_Malaysia_1076,Comment&Like - 'Cia_Malaysia_1076' is active
09/23/2022 04:27:57,Cia_Malaysia_1077,Comment&Like - 'Cia_Malaysia_1077' is active
09/23/2022 04:27:57,Cia_Malaysia_1078,Comment&Like - 'Cia_Malaysia_1078' is active
09/23/2022 04:27:57,Cia_Malaysia_1079,Comment&Like - 'Cia_Malaysia_1079' is active
09/23/2022 04:27:57,Cia_Malaysia_1080,Comment&Like - 'Cia_Malaysia_1080' is active
09/23/2022 04:27:57,Cia_Malaysia_1081,Comment&Like - 'Cia_Malaysia_1081' is active
09/23/2022 04:27:57,Cia_Malaysia_1082,Comment&Like - 'Cia_Malaysia_1082' is active
09/23/2022 04:27:57,Cia_Malaysia_1083,Comment&Like - 'Cia_Malaysia_1083' is active
09/23/2022 04:27:57,Cia_Malaysia_1084,Comment&Like - 'Cia_Malaysia_1084' is active
09/23/2022 04:27:57,Cia_Malaysia_1085,Comment&Like - 'Cia_Malaysia_1085' is active
09/23/2022 04:27:57,Cia_Malaysia_1086,Comment&Like - 'Cia_Malaysia_1086' is active
09/23/2022 04:27:57,Cia_Malaysia_1087,Comment&Like - 'Cia_Malaysia_1087' is active
09/23/2022 04:27:57,Cia_Malaysia_1088,Comment&Like - 'Cia_Malaysia_1088' is active
09/23/2022 04:27:57,Cia_Malaysia_1089,Comment&Like - 'Cia_Malaysia_1089' is active
09/23/2022 04:27:57,Cia_Malaysia_1090,Comment&Like - 'Cia_Malaysia_1090' is active
09/23/2022 04:27:57,Cia_Malaysia_1091,Comment&Like - 'Cia_Malaysia_1091' is active
09/23/2022 04:27:57,Cia_Malaysia_1092,Comment&Like - 'Cia_Malaysia_1092' is active
09/23/2022 04:27:57,Cia_Malaysia_1093,Comment&Like - 'Cia_Malaysia_1093' is active
09/23/2022 04:27:57,Cia_Malaysia_1094,Comment&Like - 'Cia_Malaysia_1094' is active
09/23/2022 04:27:57,Cia_Malaysia_1095,Comment&Like - 'Cia_Malaysia_1095' is active
09/23/2022 04:27:57,Cia_Malaysia_1096,Comment&Like - 'Cia_Malaysia_1096' is active
09/23/2022 04:27:57,Cia_Malaysia_1097,Comment&Like - 'Cia_Malaysia_1097' is active
09/23/2022 04:27:57,Cia_Malaysia_1098,Comment&Like - 'Cia_Malaysia_1098' is active
09/23/2022 04:27:57,Cia_Malaysia_1099,Comment&Like - 'Cia_Malaysia_1099' is active
09/23/2022 04:27:57,Cia_Malaysia_1100,Comment&Like - 'Cia_Malaysia_1100' is active
09/23/2022 04:27:57,Cia_Malaysia_1101,Comment&Like - 'Cia_Malaysia_1101' is active
09/23/2022 04:27:57,Cia_Malaysia_1102,Comment&Like - 'Cia_Malaysia_1102' is active
09/23/2022 04:27:57,Cia_Malaysia_1103,Comment&Like - 'Cia_Malaysia_1103' is active
09/23/2022 04:27:57,Cia_Malaysia_1104,Comment&Like - 'Cia_Malaysia_1104' is active
09/23/2022 04:27:57,Cia_Malaysia_1105,Comment&Like - 'Cia_Malaysia_1105' is active
09/23/2022 04:27:57,Cia_Malaysia_1106,Comment&Like - 'Cia_Malaysia_1106' is active
09/23/2022 04:27:57,Cia_Malaysia_1107,Comment&Like - 'Cia_Malaysia_1107' is active
09/23/2022 04:27:57,Cia_Malaysia_1108,Comment&Like - 'Cia_Malaysia_1108' is active
09/23/2022 04:27:57,Cia_Malaysia_1109,Comment&Like - 'Cia_Malaysia_1109' is active
09/23/2022 04:27:57,Cia_Malaysia_1110,Comment&Like - 'Cia_Malaysia_1110' is active
09/23/2022 04:27:57,Cia_Malaysia_1111,Comment&Like - 'Cia_Malaysia_1111' is active
09/23/2022 04:27:57,Cia_Malaysia_1112,Comment&Like - 'Cia_Malaysia_1112' is active
09/23/2022 04:27:57,Cia_Malaysia_1113,Comment&Like - 'Cia_Malaysia_1113' is active
09/23/2022 04:27:57,Cia_Malaysia_1114,Comment&Like - 'Cia_Malaysia_1114' is active
09/23/2022 04:27:57,Cia_Malaysia_1115,Comment&Like - 'Cia_Malaysia_1115' is active
09/23/2022 04:27:57,Cia_Malaysia_1116,Comment&Like - 'Cia_Malaysia_1116' is active
09/23/2022 04:27:57,Cia_Malaysia_1117,Comment&Like - 'Cia_Malaysia_1117' is active
09/23/2022 04:27:57,Cia_Malaysia_1118,Comment&Like - 'Cia_Malaysia_1118' is active
09/23/2022 04:27:57,Cia_Malaysia_1119,Comment&Like - 'Cia_Malaysia_1119' is active
09/23/2022 04:27:57,Cia_Malaysia_1120,Comment&Like - 'Cia_Malaysia_1120' is active
09/23/2022 04:28:36,Cia_Malaysia_1109,Synchronizing Number of Followers for the 'Cia_Malaysia_1109' account
09/23/2022 04:29:13,Cia_Malaysia_1109,Finalized Number of Followers synchronization for the 'Cia_Malaysia_1109' account.
09/23/2022 04:29:16,Cia_Malaysia_1109,Synchronizing Groups for the 'Cia_Malaysia_1109' account.
09/23/2022 04:29:45,Cia_Malaysia_1051,Comment&Like - Error executing for the 'Cia_Malaysia_1051' account. : code  66  - no valid post found URL: https://www.facebook.com/Earning-Dose-101239609423820
09/23/2022 04:31:02,Cia_Malaysia_1109,Finalized group synchronization for the 'Cia_Malaysia_1109' account.
09/23/2022 04:31:05,Cia_Malaysia_1091,Synchronizing Groups for the 'Cia_Malaysia_1091' account.
09/23/2022 04:31:05,Cia_Malaysia_1109,Birthday Sync - for the 'Cia_Malaysia_1109' account URL: https://www.facebook.com/me
09/23/2022 04:32:10,Cia_Malaysia_1109,Birthday Sync - Error executing for the 'Cia_Malaysia_1109' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
09/23/2022 04:32:11,Cia_Malaysia_1109,Checking restrictions for the 'Cia_Malaysia_1109' account
09/23/2022 04:32:28,Cia_Malaysia_1051,Comment&Like - Error executing for the 'Cia_Malaysia_1051' account. : code  66  - no valid post found URL: https://www.facebook.com/Earning-Dose-101239609423820
09/23/2022 04:32:41,Cia_Malaysia_1109,Checking restrictions for the 'Cia_Malaysia_1109' account done.
09/23/2022 04:34:22,Cia_Malaysia_1091,Finalized group synchronization for the 'Cia_Malaysia_1091' account.
09/23/2022 04:34:24,Cia_Malaysia_1091,Birthday Sync - for the 'Cia_Malaysia_1091' account URL: https://www.facebook.com/me
09/23/2022 04:34:31,Cia_Malaysia_1051,Comment&Like - Error executing for the 'Cia_Malaysia_1051' account. : code  66  - no valid post found URL: https://www.facebook.com/Earning-Dose-101239609423820
09/23/2022 04:35:15,Cia_Malaysia_1091,Birthday Sync - Error executing for the 'Cia_Malaysia_1091' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
09/23/2022 04:35:16,Cia_Malaysia_1091,Checking restrictions for the 'Cia_Malaysia_1091' account
09/23/2022 04:35:34,Cia_Malaysia_1091,Checking restrictions for the 'Cia_Malaysia_1091' account done.
09/23/2022 04:35:37,Cia_Malaysia_1091,Synchronizing Number of Followers for the 'Cia_Malaysia_1091' account
09/23/2022 04:35:58,Cia_Malaysia_1091,Finalized Number of Followers synchronization for the 'Cia_Malaysia_1091' account.
09/23/2022 04:35:58,Cia_Malaysia_1062,Synchronizing Number of Followers for the 'Cia_Malaysia_1062' account
09/23/2022 04:36:25,Cia_Malaysia_1062,Finalized Number of Followers synchronization for the 'Cia_Malaysia_1062' account.
09/23/2022 04:36:25,Cia_Malaysia_1062,Synchronizing Groups for the 'Cia_Malaysia_1062' account.
09/23/2022 04:37:13,Cia_Malaysia_1051,Comment&Like - Error executing for the 'Cia_Malaysia_1051' account. : code  66  - no valid post found URL: https://www.facebook.com/profile.php?id=100086107570221
09/23/2022 04:37:23,Cia_Malaysia_1062,Finalized group synchronization for the 'Cia_Malaysia_1062' account.
09/23/2022 04:37:26,Cia_Malaysia_1062,Birthday Sync - for the 'Cia_Malaysia_1062' account URL: https://www.facebook.com/me
09/23/2022 04:37:26,Cia_Malaysia_1110,Synchronizing Groups for the 'Cia_Malaysia_1110' account.
09/23/2022 04:38:06,Cia_Malaysia_1062,Birthday Sync - Error executing for the 'Cia_Malaysia_1062' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
09/23/2022 04:38:09,Cia_Malaysia_1062,Checking restrictions for the 'Cia_Malaysia_1062' account
09/23/2022 04:38:18,Cia_Malaysia_1070,Comment&Like - 'Cia_Malaysia_1070' - Liking by using https://www.facebook.com/Earning-Dose-101239609423820
09/23/2022 04:38:29,Cia_Malaysia_1062,Checking restrictions for the 'Cia_Malaysia_1062' account done.
09/23/2022 04:38:38,Cia_Malaysia_1110,Finalized group synchronization for the 'Cia_Malaysia_1110' account.
09/23/2022 04:38:39,Cia_Malaysia_1110,Birthday Sync - for the 'Cia_Malaysia_1110' account URL: https://www.facebook.com/me
09/23/2022 04:39:21,Cia_Malaysia_1110,Birthday Sync - Error executing for the 'Cia_Malaysia_1110' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
09/23/2022 04:39:21,Cia_Malaysia_1110,Checking restrictions for the 'Cia_Malaysia_1110' account
09/23/2022 04:39:42,Cia_Malaysia_1110,Checking restrictions for the 'Cia_Malaysia_1110' account done.
09/23/2022 04:39:43,Cia_Malaysia_1110,Synchronizing Number of Followers for the 'Cia_Malaysia_1110' account
09/23/2022 04:40:07,Cia_Malaysia_1110,Finalized Number of Followers synchronization for the 'Cia_Malaysia_1110' account.
09/23/2022 04:40:08,Cia_Malaysia_1070,Comment&Like - Error executing for the 'Cia_Malaysia_1070' account. : code  66  - no valid post found URL: https://www.facebook.com/Earning-Dose-101239609423820
09/23/2022 04:40:10,Cia_Malaysia_1063,Synchronizing Number of Followers for the 'Cia_Malaysia_1063' account
09/23/2022 04:40:34,Cia_Malaysia_1063,Finalized Number of Followers synchronization for the 'Cia_Malaysia_1063' account.
09/23/2022 04:40:34,Cia_Malaysia_1063,Synchronizing Groups for the 'Cia_Malaysia_1063' account.
09/23/2022 04:41:57,Cia_Malaysia_1070,Comment&Like - Error executing for the 'Cia_Malaysia_1070' account. : code  66  - no valid post found URL: https://www.facebook.com/Earning-Dose-101239609423820
09/23/2022 04:42:15,Cia_Malaysia_1080,Synchronizing Groups for the 'Cia_Malaysia_1080' account.
09/23/2022 04:42:15,Cia_Malaysia_1063,Birthday Sync - for the 'Cia_Malaysia_1063' account URL: https://www.facebook.com/me
09/23/2022 04:43:00,Cia_Malaysia_1063,Birthday Sync - Error executing for the 'Cia_Malaysia_1063' account. : code  45  - Basic info tag not found URL: https://www.facebook.com/me
09/23/2022 04:43:01,Cia_Malaysia_1063,Checking restrictions for the 'Cia_Malaysia_1063' account
09/23/2022 04:43:20,Cia_Malaysia_1080,Finalized group synchronization for the 'Cia_Malaysia_1080' account.
09/23/2022 04:43:23,Cia_Malaysia_1080,Birthday Sync - for the 'Cia_Malaysia_1080' account URL: https://www.facebook.com/me
09/23/2022 04:43:26,Cia_Malaysia_1063,Checking restrictions for the 'Cia_Malaysia_1063' account done.
