Date,Account,Status
07/19/2022 17:09:46,,Jarvee 3.3.1.1 is now active
07/19/2022 11:09:31,,Jarvee 3.3.1.1 is now active
07/19/2022 12:49:07,,Jarvee 3.3.1.1 is now active
07/26/2022 15:45:48,,Jarvee 3.3.1.1 is now active
07/28/2022 02:50:22,,Jarvee 3.3.1.1 is now active
07/28/2022 03:08:30,,Jarvee 3.3.1.1 is now active
07/29/2022 04:16:04,,Jarvee 3.3.1.1 is now active
08/06/2022 01:24:42,,Jarvee 3.3.1.1 is now active
08/06/2022 01:30:26,Mason_Malaysia_636,Change language to English - 'Mason_Malaysia_636' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 01:30:26,Mason_Malaysia_660,Change language to English - 'Mason_Malaysia_660' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 01:30:26,Mason_Malaysia_679,Change language to English - 'Mason_Malaysia_679' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 01:30:26,Mason_Malaysia_669,Change language to English - 'Mason_Malaysia_669' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 01:30:26,Mason_Malaysia_639,Change language to English - 'Mason_Malaysia_639' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/06/2022 01:30:57,Mason_Malaysia_669,Change language to English - Error executing for the 'Mason_Malaysia_669' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 01:30:57,Mason_Malaysia_669,Birthday Sync - for the 'Mason_Malaysia_669' account URL: https://www.facebook.com/me
08/06/2022 01:31:04,Mason_Malaysia_660,Change language to English - Error executing for the 'Mason_Malaysia_660' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 01:31:07,Mason_Malaysia_660,Synchronizing Groups for the 'Mason_Malaysia_660' account.
08/06/2022 01:31:17,Mason_Malaysia_639,Change language to English - Error executing for the 'Mason_Malaysia_639' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 01:31:39,Mason_Malaysia_679,Change language to English - Error executing for the 'Mason_Malaysia_679' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 01:31:50,Mason_Malaysia_636,Change language to English - Error executing for the 'Mason_Malaysia_636' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/06/2022 01:31:53,Mason_Malaysia_636,Synchronizing Pages for the 'Mason_Malaysia_636' account.
