Date,Account,Status
08/15/2022 02:20:28,,Jarvee 3.3.1.1 is now active
08/15/2022 02:25:28,Yerosen_Malaysia51,Change language to English - 'Yerosen_Malaysia51' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/15/2022 02:25:28,Yerosen_Malaysia60,Change language to English - 'Yerosen_Malaysia60' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/15/2022 02:25:28,Yerosen_Malaysia63,Change language to English - 'Yerosen_Malaysia63' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/15/2022 02:25:28,Yerosen_Malaysia44,Synchronizing Groups for the 'Yerosen_Malaysia44' account.
08/15/2022 02:25:54,Yerosen_Malaysia63,Change language to English - Error executing for the 'Yerosen_Malaysia63' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/15/2022 02:25:54,Yerosen_Malaysia51,Change language to English - Error executing for the 'Yerosen_Malaysia51' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/15/2022 02:25:55,Yerosen_Malaysia60,Change language to English - Error executing for the 'Yerosen_Malaysia60' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/15/2022 02:25:55,Yerosen_Malaysia63,Synchronizing Pages for the 'Yerosen_Malaysia63' account.
08/15/2022 02:25:55,Yerosen_Malaysia51,Synchronizing Pages for the 'Yerosen_Malaysia51' account.
08/15/2022 02:26:04,Yerosen_Malaysia37,Synchronizing Groups for the 'Yerosen_Malaysia37' account.
08/15/2022 02:26:29,Yerosen_Malaysia50,Change language to English - 'Yerosen_Malaysia50' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
08/15/2022 02:26:37,Yerosen_Malaysia44,Finalized group synchronization for the 'Yerosen_Malaysia44' account.
08/15/2022 02:26:38,Yerosen_Malaysia44,Birthday Sync - for the 'Yerosen_Malaysia44' account URL: https://www.facebook.com/me
08/15/2022 02:26:53,Yerosen_Malaysia63,Finalized pages synchronization for the 'Yerosen_Malaysia63' account.
08/15/2022 02:26:53,Yerosen_Malaysia63,Birthday Sync - for the 'Yerosen_Malaysia63' account URL: https://www.facebook.com/me
08/15/2022 02:26:55,Yerosen_Malaysia51,Finalized pages synchronization for the 'Yerosen_Malaysia51' account.
08/15/2022 02:26:55,Yerosen_Malaysia50,Change language to English - Error executing for the 'Yerosen_Malaysia50' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
08/15/2022 02:26:56,Yerosen_Malaysia51,Synchronizing Groups for the 'Yerosen_Malaysia51' account.
08/15/2022 02:26:56,Yerosen_Malaysia50,Synchronizing Groups for the 'Yerosen_Malaysia50' account.
08/15/2022 02:27:23,Yerosen_Malaysia37,Finalized group synchronization for the 'Yerosen_Malaysia37' account.
08/15/2022 02:27:23,Yerosen_Malaysia37,Birthday Sync - for the 'Yerosen_Malaysia37' account URL: https://www.facebook.com/me
08/15/2022 02:27:24,Yerosen_Malaysia44,Checking restrictions for the 'Yerosen_Malaysia44' account done. URL: https://www.facebook.com/me
08/15/2022 02:27:26,Yerosen_Malaysia44,Checking restrictions for the 'Yerosen_Malaysia44' account
08/15/2022 02:27:36,Yerosen_Malaysia63,Checking restrictions for the 'Yerosen_Malaysia63' account done. URL: https://www.facebook.com/me
08/15/2022 02:27:38,Yerosen_Malaysia63,Checking restrictions for the 'Yerosen_Malaysia63' account
08/15/2022 02:27:44,Yerosen_Malaysia44,Checking restrictions for the 'Yerosen_Malaysia44' account done.
08/15/2022 02:27:44,Yerosen_Malaysia44,Synchronizing Number of Followers for the 'Yerosen_Malaysia44' account
