Date,Account,Status
07/07/2022 05:09:30,,Jarvee 3.3.1.1 is now active
07/07/2022 23:41:22,,Jarvee 3.3.1.1 is now active
07/08/2022 07:19:30,,Jarvee 3.3.1.1 is now active
07/30/2022 02:14:38,,Jarvee 3.3.1.1 is now active
07/30/2022 02:51:33,Gen_Malaysia48,Change language to English - 'Gen_Malaysia48' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:51:33,Gen_Malaysia23,Change language to English - 'Gen_Malaysia23' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:51:33,Gen_Malaysia12,Change language to English - 'Gen_Malaysia12' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:51:33,Gen_Malaysia29,Change language to English - 'Gen_Malaysia29' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:51:56,Gen_Malaysia23,Change language to English - Error executing for the 'Gen_Malaysia23' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/30/2022 02:51:57,Gen_Malaysia65,Change language to English - 'Gen_Malaysia65' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:51:58,Gen_Malaysia48,Change language to English - Error executing for the 'Gen_Malaysia48' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/30/2022 02:52:00,Gen_Malaysia29,Change language to English - Error executing for the 'Gen_Malaysia29' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/30/2022 02:52:01,Gen_Malaysia12,Change language to English - Error executing for the 'Gen_Malaysia12' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/30/2022 02:52:20,Gen_Malaysia65,Change language to English - Error executing for the 'Gen_Malaysia65' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/30/2022 02:52:21,Gen_Malaysia65,Synchronizing Groups for the 'Gen_Malaysia65' account.
07/30/2022 02:52:31,Gen_Malaysia17,Change language to English - 'Gen_Malaysia17' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:52:34,Gen_Malaysia42,Change language to English - 'Gen_Malaysia42' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:53:00,Gen_Malaysia17,Change language to English - Gen_Malaysia17 - Finished operation
07/30/2022 02:53:01,Gen_Malaysia17,Birthday Sync - for the 'Gen_Malaysia17' account URL: https://www.facebook.com/me
07/30/2022 02:53:05,Gen_Malaysia42,Change language to English - Gen_Malaysia42 - Finished operation
07/30/2022 02:53:07,Gen_Malaysia42,Synchronizing Groups for the 'Gen_Malaysia42' account.
07/30/2022 02:53:07,Gen_Malaysia68,Change language to English - 'Gen_Malaysia68' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:53:25,Gen_Malaysia3,Change language to English - 'Gen_Malaysia3' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:53:31,Gen_Malaysia68,Change language to English - Error executing for the 'Gen_Malaysia68' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/30/2022 02:53:31,Gen_Malaysia65,Synchronizing Pages for the 'Gen_Malaysia65' account.
07/30/2022 02:53:40,Gen_Malaysia17,Checking restrictions for the 'Gen_Malaysia17' account done. URL: https://www.facebook.com/me
07/30/2022 02:53:40,Gen_Malaysia17,Checking restrictions for the 'Gen_Malaysia17' account
07/30/2022 02:53:54,Gen_Malaysia3,Change language to English - Gen_Malaysia3 - Finished operation
07/30/2022 02:53:55,Gen_Malaysia68,Synchronizing Groups for the 'Gen_Malaysia68' account.
07/30/2022 02:54:00,Gen_Malaysia17,Checking restrictions for the 'Gen_Malaysia17' account done.
07/30/2022 02:54:01,Gen_Malaysia17,Synchronizing Number of Followers for the 'Gen_Malaysia17' account
07/30/2022 02:54:21,Gen_Malaysia17,Finalized Number of Followers synchronization for the 'Gen_Malaysia17' account.
07/30/2022 02:54:23,Gen_Malaysia3,Synchronizing Pages for the 'Gen_Malaysia3' account.
07/30/2022 02:54:30,Gen_Malaysia65,Finalized pages synchronization for the 'Gen_Malaysia65' account.
07/30/2022 02:54:59,Gen_Malaysia25,Change language to English - 'Gen_Malaysia25' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:55:02,Gen_Malaysia27,Change language to English - 'Gen_Malaysia27' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/30/2022 02:55:02,Gen_Malaysia65,Birthday Sync - for the 'Gen_Malaysia65' account URL: https://www.facebook.com/me
07/30/2022 02:55:19,Gen_Malaysia3,Finalized pages synchronization for the 'Gen_Malaysia3' account.
07/30/2022 02:55:21,Gen_Malaysia3,Synchronizing Groups for the 'Gen_Malaysia3' account.
07/30/2022 02:55:23,Gen_Malaysia25,Change language to English - Error executing for the 'Gen_Malaysia25' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/30/2022 02:55:24,Gen_Malaysia68,Birthday Sync - for the 'Gen_Malaysia68' account URL: https://www.facebook.com/me
07/30/2022 02:55:28,Gen_Malaysia27,Change language to English - Error executing for the 'Gen_Malaysia27' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/30/2022 02:55:40,Gen_Malaysia65,Checking restrictions for the 'Gen_Malaysia65' account done. URL: https://www.facebook.com/me
07/30/2022 02:55:42,Gen_Malaysia27,Birthday Sync - for the 'Gen_Malaysia27' account URL: https://www.facebook.com/me
