Date,Account,Status
08/10/2022 08:28:13,Martin_Malaysia3,Group Joiner - Martin_Malaysia3 - Finished operation
08/10/2022 08:29:30,Martin_Malaysia36,Group Joiner - Martin_Malaysia36 - Finished operation
08/10/2022 08:29:53,Martin_Malaysia35,Group Joiner - 'Martin_Malaysia35' - Executing using 'https://www.facebook.com/groups/376438266035171'
08/10/2022 08:30:41,Martin_Malaysia49,Group Joiner - 'Martin_Malaysia49' - Executing using 'https://www.facebook.com/groups/218127716962738'
08/10/2022 08:30:47,Martin_Malaysia1,Group Joiner - 'Martin_Malaysia1' - Executing using 'https://www.facebook.com/groups/328004825178758'
08/10/2022 08:31:26,Martin_Malaysia34,Group Joiner - Error executing for the 'Martin_Malaysia34' account. : code  168  - Timeout occured. URL: https://www.facebook.com/groups/409257792454885
08/10/2022 08:31:39,Martin_Malaysia23,Group Joiner - 'Martin_Malaysia23' - Executing using 'https://www.facebook.com/groups/1419778071552731'
08/10/2022 08:32:04,Martin_Malaysia49,Group Joiner - Martin_Malaysia49 - Finished operation
08/10/2022 08:32:12,Martin_Malaysia11,Group Joiner - 'Martin_Malaysia11' - Executing using 'https://www.facebook.com/groups/350177396884220'
08/10/2022 08:32:37,Martin_Malaysia55,Group Joiner - 'Martin_Malaysia55' - Executing using 'https://www.facebook.com/groups/1404407236333303'
08/10/2022 08:32:50,Martin_Malaysia1,Group Joiner - Martin_Malaysia1 - Finished operation
08/10/2022 08:32:57,Martin_Malaysia67,Group Joiner - 'Martin_Malaysia67' - Executing using 'https://www.facebook.com/groups/607215424010446'
08/10/2022 08:33:02,Martin_Malaysia35,Group Joiner - Error executing for the 'Martin_Malaysia35' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/groups/376438266035171
08/10/2022 08:34:09,Martin_Malaysia55,Group Joiner - Martin_Malaysia55 - Finished operation
08/10/2022 08:34:44,Martin_Malaysia67,Group Joiner - Martin_Malaysia67 - Finished operation
08/10/2022 08:35:12,Martin_Malaysia23,Group Joiner - Martin_Malaysia23 - Finished operation
08/10/2022 08:35:17,Martin_Malaysia60,Group Joiner - 'Martin_Malaysia60' - Executing using 'https://www.facebook.com/groups/281677305583798'
