Date,Account,Status
10/31/2022 23:41:05,Martin_Malaysia18,Group Joiner - 'Martin_Malaysia18' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/31/2022 23:41:20,Martin_Malaysia37,Group Joiner - 'Martin_Malaysia37' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/31/2022 23:41:50,Martin_Malaysia2,Group Joiner - 'Martin_Malaysia2' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/31/2022 23:42:39,Martin_Malaysia32,Group Joiner - 'Martin_Malaysia32' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/31/2022 23:43:17,Martin_Malaysia69,Group Joiner - Error executing for the 'Martin_Malaysia69' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/groups/460183919270756
10/31/2022 23:43:24,Martin_Malaysia58,Group Joiner - Error executing for the 'Martin_Malaysia58' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/groups/460183919270756
10/31/2022 23:44:06,Martin_Malaysia35,Group Joiner - Error executing for the 'Martin_Malaysia35' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/groups/460183919270756
10/31/2022 23:44:13,Martin_Malaysia6,Group Joiner - 'Martin_Malaysia6' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/31/2022 23:44:15,Martin_Malaysia18,Group Joiner - Error executing for the 'Martin_Malaysia18' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/groups/460183919270756
10/31/2022 23:44:16,Martin_Malaysia9,Group Joiner - 'Martin_Malaysia9' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/31/2022 23:44:31,Martin_Malaysia37,Group Joiner - Error executing for the 'Martin_Malaysia37' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/groups/460183919270756
10/31/2022 23:44:37,Martin_Malaysia31,Group Joiner - 'Martin_Malaysia31' - Executing using 'https://www.facebook.com/groups/460183919270756'
10/31/2022 23:44:49,Martin_Malaysia46,Group Joiner - 'Martin_Malaysia46' - Executing using 'https://www.facebook.com/groups/460183919270756'
