Date,Account,Status
07/05/2022 03:37:34,,Jarvee 3.3.1.1 is now active
07/05/2022 06:40:42,,Jarvee 3.3.1.1 is now active
07/05/2022 20:58:06,Malaysia2,Change language to English - 'Malaysia2' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/05/2022 20:58:06,Malaysia5,Change language to English - 'Malaysia5' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/05/2022 20:58:06,Malaysia4,Change language to English - 'Malaysia4' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/05/2022 20:58:06,Malaysia12,Change language to English - 'Malaysia12' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/05/2022 20:58:09,Malaysia13,Change language to English - 'Malaysia13' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/05/2022 20:58:33,Malaysia13,Change language to English - Error executing for the 'Malaysia13' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/05/2022 20:58:38,Malaysia12,Change language to English - Error executing for the 'Malaysia12' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/05/2022 20:58:40,Malaysia5,Change language to English - Error executing for the 'Malaysia5' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/05/2022 20:58:47,Malaysia4,Change language to English - Malaysia4 - Finished operation
07/05/2022 21:01:03,Malaysia2,Change language to English - Error executing for the 'Malaysia2' account. : code  581  - Proxy error - Check proxy settings URL: https://www.facebook.com/settings?tab=language&section=account&view
07/06/2022 02:26:03,Malaysia31,Change language to English - 'Malaysia31' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/06/2022 02:26:03,Malaysia70,Change language to English - 'Malaysia70' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/06/2022 02:26:03,Malaysia40,Change language to English - 'Malaysia40' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/06/2022 02:26:03,Malaysia51,Change language to English - 'Malaysia51' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/06/2022 02:26:03,Malaysia58,Change language to English - 'Malaysia58' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/06/2022 02:26:34,Malaysia58,Change language to English - Error executing for the 'Malaysia58' account. : code  43  - Edit Language button not found URL: https://www.facebook.com/settings?tab=language&section=account&view
