Date,Account,Status
07/09/2022 01:37:11,,Jarvee 3.3.1.1 is now active
07/09/2022 02:30:57,Gen_Malaysia49,Change language to English - 'Gen_Malaysia49' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:30:57,Gen_Malaysia22,Change language to English - 'Gen_Malaysia22' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:30:57,Gen_Malaysia51,Change language to English - 'Gen_Malaysia51' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:30:57,Gen_Malaysia71,Change language to English - 'Gen_Malaysia71' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:30:57,Gen_Malaysia32,Change language to English - 'Gen_Malaysia32' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:31:31,Gen_Malaysia51,Change language to English - Error executing for the 'Gen_Malaysia51' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/09/2022 02:31:31,Gen_Malaysia22,Change language to English - Error executing for the 'Gen_Malaysia22' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/09/2022 02:31:34,Gen_Malaysia51,Birthday Sync - for the 'Gen_Malaysia51' account URL: https://www.facebook.com/me
07/09/2022 02:31:34,Gen_Malaysia22,Synchronizing Groups for the 'Gen_Malaysia22' account.
07/09/2022 02:31:34,Gen_Malaysia32,Change language to English - Error executing for the 'Gen_Malaysia32' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/09/2022 02:31:37,Gen_Malaysia32,Synchronizing Pages for the 'Gen_Malaysia32' account.
07/09/2022 02:31:38,Gen_Malaysia49,Change language to English - Error executing for the 'Gen_Malaysia49' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/09/2022 02:31:39,Gen_Malaysia71,Change language to English - Gen_Malaysia71 - Finished operation
07/09/2022 02:31:40,Gen_Malaysia49,Synchronizing Groups for the 'Gen_Malaysia49' account.
07/09/2022 02:31:40,Gen_Malaysia71,Birthday Sync - for the 'Gen_Malaysia71' account URL: https://www.facebook.com/me
07/09/2022 02:32:21,Gen_Malaysia51,Checking restrictions for the 'Gen_Malaysia51' account done. URL: https://www.facebook.com/me
07/09/2022 02:32:22,Gen_Malaysia51,Checking restrictions for the 'Gen_Malaysia51' account
07/09/2022 02:32:26,Gen_Malaysia71,Checking restrictions for the 'Gen_Malaysia71' account done. URL: https://www.facebook.com/me
07/09/2022 02:32:28,Gen_Malaysia71,Checking restrictions for the 'Gen_Malaysia71' account
07/09/2022 02:32:37,Gen_Malaysia22,Birthday Sync - for the 'Gen_Malaysia22' account URL: https://www.facebook.com/me
07/09/2022 02:32:42,Gen_Malaysia32,Finalized pages synchronization for the 'Gen_Malaysia32' account.
07/09/2022 02:32:46,Gen_Malaysia51,Checking restrictions for the 'Gen_Malaysia51' account done.
07/09/2022 02:32:46,Gen_Malaysia51,Synchronizing Number of Followers for the 'Gen_Malaysia51' account
07/09/2022 02:32:52,Gen_Malaysia71,Checking restrictions for the 'Gen_Malaysia71' account done.
07/09/2022 02:32:52,Gen_Malaysia71,Synchronizing Number of Followers for the 'Gen_Malaysia71' account
07/09/2022 02:32:52,Gen_Malaysia49,Synchronizing Pages for the 'Gen_Malaysia49' account.
07/09/2022 02:33:14,Gen_Malaysia51,Finalized Number of Followers synchronization for the 'Gen_Malaysia51' account.
07/09/2022 02:33:19,Gen_Malaysia71,Finalized Number of Followers synchronization for the 'Gen_Malaysia71' account.
07/09/2022 02:33:20,Gen_Malaysia71,Synchronizing Pages for the 'Gen_Malaysia71' account.
07/09/2022 02:33:20,Gen_Malaysia14,Change language to English - 'Gen_Malaysia14' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:33:24,Gen_Malaysia22,Checking restrictions for the 'Gen_Malaysia22' account done. URL: https://www.facebook.com/me
07/09/2022 02:33:26,Gen_Malaysia22,Checking restrictions for the 'Gen_Malaysia22' account
07/09/2022 02:33:48,Gen_Malaysia22,Checking restrictions for the 'Gen_Malaysia22' account done.
07/09/2022 02:33:50,Gen_Malaysia14,Change language to English - Error executing for the 'Gen_Malaysia14' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/09/2022 02:33:50,Gen_Malaysia14,Synchronizing Pages for the 'Gen_Malaysia14' account.
07/09/2022 02:33:50,Gen_Malaysia22,Synchronizing Number of Followers for the 'Gen_Malaysia22' account
07/09/2022 02:33:53,Gen_Malaysia47,Change language to English - 'Gen_Malaysia47' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:33:56,Gen_Malaysia49,Finalized pages synchronization for the 'Gen_Malaysia49' account.
07/09/2022 02:34:16,Gen_Malaysia22,Finalized Number of Followers synchronization for the 'Gen_Malaysia22' account.
07/09/2022 02:34:17,Gen_Malaysia22,Synchronizing Pages for the 'Gen_Malaysia22' account.
07/09/2022 02:34:24,Gen_Malaysia71,Finalized pages synchronization for the 'Gen_Malaysia71' account.
07/09/2022 02:34:24,Gen_Malaysia47,Change language to English - Error executing for the 'Gen_Malaysia47' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/09/2022 02:34:26,Gen_Malaysia71,Synchronizing Groups for the 'Gen_Malaysia71' account.
07/09/2022 02:34:26,Gen_Malaysia47,Synchronizing Groups for the 'Gen_Malaysia47' account.
07/09/2022 02:34:32,Gen_Malaysia25,Change language to English - 'Gen_Malaysia25' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:34:56,Gen_Malaysia14,Finalized pages synchronization for the 'Gen_Malaysia14' account.
07/09/2022 02:34:57,Gen_Malaysia14,Synchronizing Groups for the 'Gen_Malaysia14' account.
07/09/2022 02:35:02,Gen_Malaysia25,Change language to English - Error executing for the 'Gen_Malaysia25' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/09/2022 02:35:03,Gen_Malaysia25,Synchronizing Groups for the 'Gen_Malaysia25' account.
07/09/2022 02:35:20,Gen_Malaysia22,Finalized pages synchronization for the 'Gen_Malaysia22' account.
07/09/2022 02:35:36,Gen_Malaysia47,Synchronizing Pages for the 'Gen_Malaysia47' account.
07/09/2022 02:35:57,Gen_Malaysia8,Change language to English - 'Gen_Malaysia8' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:36:06,Gen_Malaysia14,Birthday Sync - for the 'Gen_Malaysia14' account URL: https://www.facebook.com/me
07/09/2022 02:36:12,Gen_Malaysia25,Birthday Sync - for the 'Gen_Malaysia25' account URL: https://www.facebook.com/me
07/09/2022 02:36:12,Gen_Malaysia46,Change language to English - 'Gen_Malaysia46' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:36:30,Gen_Malaysia8,Change language to English - Error executing for the 'Gen_Malaysia8' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/09/2022 02:36:40,Gen_Malaysia47,Finalized pages synchronization for the 'Gen_Malaysia47' account.
07/09/2022 02:36:41,Gen_Malaysia46,Change language to English - Error executing for the 'Gen_Malaysia46' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/09/2022 02:36:43,Gen_Malaysia46,Synchronizing Pages for the 'Gen_Malaysia46' account.
07/09/2022 02:36:50,Gen_Malaysia14,Checking restrictions for the 'Gen_Malaysia14' account done. URL: https://www.facebook.com/me
07/09/2022 02:36:52,Gen_Malaysia14,Checking restrictions for the 'Gen_Malaysia14' account
07/09/2022 02:36:58,Gen_Malaysia25,Checking restrictions for the 'Gen_Malaysia25' account done. URL: https://www.facebook.com/me
07/09/2022 02:37:01,Gen_Malaysia25,Checking restrictions for the 'Gen_Malaysia25' account
07/09/2022 02:37:10,Gen_Malaysia40,Change language to English - 'Gen_Malaysia40' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/09/2022 02:37:15,Gen_Malaysia14,Checking restrictions for the 'Gen_Malaysia14' account done.
07/09/2022 02:37:16,Gen_Malaysia14,Synchronizing Number of Followers for the 'Gen_Malaysia14' account
