Date,Account,Status
07/19/2022 02:57:01,,Jarvee 3.3.1.1 is now active
07/19/2022 16:00:23,,Jarvee 3.3.1.1 is now active
07/20/2022 01:05:59,,Jarvee 3.3.1.1 is now active
07/20/2022 02:04:22,,Jarvee 3.3.1.1 is now active
07/20/2022 02:20:23,,Jarvee 3.3.1.1 is now active
07/20/2022 06:35:40,,Jarvee 3.3.1.1 is now active
07/20/2022 09:48:40,,Jarvee 3.3.1.1 is now active
07/20/2022 09:56:08,,Jarvee 3.3.1.1 is now active
07/21/2022 04:06:32,,Jarvee 3.3.1.1 is now active
07/21/2022 04:12:02,Gen_Malaysia1,Change language to English - 'Gen_Malaysia1' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/21/2022 04:12:02,Gen_Malaysia12,Change language to English - 'Gen_Malaysia12' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/21/2022 04:12:02,Gen_Malaysia15,Change language to English - 'Gen_Malaysia15' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/21/2022 04:12:02,Gen_Malaysia57,Change language to English - 'Gen_Malaysia57' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/21/2022 04:14:30,Gen_Malaysia12,Change language to English - Error executing for the 'Gen_Malaysia12' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/21/2022 04:14:32,Gen_Malaysia12,Synchronizing Pages for the 'Gen_Malaysia12' account.
07/21/2022 04:15:48,Gen_Malaysia12,Finalized pages synchronization for the 'Gen_Malaysia12' account.
07/21/2022 04:16:14,Gen_Malaysia57,Change language to English - Error executing for the 'Gen_Malaysia57' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/21/2022 04:16:16,Gen_Malaysia15,Change language to English - Error executing for the 'Gen_Malaysia15' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/21/2022 04:16:18,Gen_Malaysia1,Change language to English - Error executing for the 'Gen_Malaysia1' account. : code  43  - Language dropdown not found URL: https://www.facebook.com/settings?tab=language&section=account&view
07/21/2022 04:16:48,Gen_Malaysia57,Synchronizing Pages for the 'Gen_Malaysia57' account.
07/21/2022 04:16:48,Gen_Malaysia1,Synchronizing Groups for the 'Gen_Malaysia1' account.
07/21/2022 04:16:48,Gen_Malaysia7,Change language to English - 'Gen_Malaysia7' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
07/21/2022 04:16:48,Gen_Malaysia15,Synchronizing Pages for the 'Gen_Malaysia15' account.
08/09/2022 02:45:05,,Jarvee 3.3.1.1 is now active
08/09/2022 02:50:02,Gen_Malaysia62,Change language to English - 'Gen_Malaysia62' - Executing using 'https://www.facebook.com/settings?tab=language&section=account&view'
